group	comparison	outcome	n_checkpoints	mean_difference	ci_low	ci_high	uncertainty
overall	hns_f4_s1 minus scalar_e	target	18	-0.6162081723006325	-1.6398548809557982	0.2488205806095556	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
overall	hns_f4_s1 minus scalar_e	off_score	18	0.3218929716539623	-0.1246419580735092	0.8283956768808701	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
overall	hns_f4_s1 minus scalar_e	forgetting_gap	18	-0.1805893525281851	-0.34610207812783766	-0.037124066110802566	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
overall	hns_f4_s1 minus flat_e	target	18	-0.18981429277617798	-0.6157631584944852	0.2592721375046062	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
overall	hns_f4_s1 minus flat_e	off_score	18	0.22538088483942906	0.10371457943637793	0.35635362525075787	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
overall	hns_f4_s1 minus flat_e	forgetting_gap	18	-0.05161413235291518	-0.13805939804966427	0.02519480760607146	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
overall	scalar_e minus flat_e	target	18	0.42639387952445457	-0.5005900046177788	1.3939713563371934	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
overall	scalar_e minus flat_e	off_score	18	-0.09651208681453324	-0.55892173807102	0.37963000905599587	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
overall	scalar_e minus flat_e	forgetting_gap	18	0.12897522017526988	0.022444960602402395	0.26977929875039525	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base/Qwen3-8B	hns_f4_s1 minus scalar_e	target	9	-0.47380745718485984	-1.562824665227844	0.6151174929114452	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base/Qwen3-8B	hns_f4_s1 minus scalar_e	off_score	9	0.6832128153855371	0.08467215165731744	1.2921777290614544	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base/Qwen3-8B	hns_f4_s1 minus scalar_e	forgetting_gap	9	-0.15808491418247533	-0.38392050587172594	0.0	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base/Qwen3-8B	hns_f4_s1 minus flat_e	target	9	-0.37806721688596195	-0.7263523067663524	0.012156648384111199	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base/Qwen3-8B	hns_f4_s1 minus flat_e	off_score	9	0.1586789728878257	-0.0031472258617920397	0.36405862580132614	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base/Qwen3-8B	hns_f4_s1 minus flat_e	forgetting_gap	9	0.0	0.0	0.0	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base/Qwen3-8B	scalar_e minus flat_e	target	9	0.09574024029889788	-1.1069932659123685	1.3794643247264606	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base/Qwen3-8B	scalar_e minus flat_e	off_score	9	-0.5245338424977114	-1.1370975311285576	0.022321082245112076	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base/Qwen3-8B	scalar_e minus flat_e	forgetting_gap	9	0.15808491418247533	0.0	0.42908762420957597	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base/Llama-3.1-8B-Instruct	hns_f4_s1 minus scalar_e	target	9	-0.7586088874164053	-2.3336623496479776	0.5897622329755265	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base/Llama-3.1-8B-Instruct	hns_f4_s1 minus scalar_e	off_score	9	-0.03942687207761253	-0.5923360161546019	0.7247699163718058	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base/Llama-3.1-8B-Instruct	hns_f4_s1 minus scalar_e	forgetting_gap	9	-0.2030937908738948	-0.4483338712890901	-0.0009371749714120433	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base/Llama-3.1-8B-Instruct	hns_f4_s1 minus flat_e	target	9	-0.001561368666394003	-0.8390519967990173	0.7905580958629759	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base/Llama-3.1-8B-Instruct	hns_f4_s1 minus flat_e	off_score	9	0.2920827967910324	0.10692069645001706	0.4764209314658753	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base/Llama-3.1-8B-Instruct	hns_f4_s1 minus flat_e	forgetting_gap	9	-0.10322826470583037	-0.265763961012593	0.06668680339297992	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base/Llama-3.1-8B-Instruct	scalar_e minus flat_e	target	9	0.7570475187500113	-0.5693897875213564	2.2091074066540504	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base/Llama-3.1-8B-Instruct	scalar_e minus flat_e	off_score	9	0.3315096688686449	-0.3561209454209811	0.8698151353627396	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
base/Llama-3.1-8B-Instruct	scalar_e minus flat_e	forgetting_gap	9	0.09986552616806442	-0.023561963244790225	0.2321127117885163	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
source/magicoder	hns_f4_s1 minus scalar_e	target	6	-2.642276422764224	-4.166666666666661	-1.4227642276422745	source-checkpoint bootstrap; paired variants, fixed test set; subgroup CIs unadjusted descriptive
