base	task	seed	method	name	magicoder	metamath	tulu	commonsense	target	off_score	forgetting_gap	path	modules	functional_pr	functional_erank	protected_functional_pr	cov_functional_pr	cov_functional_erank	functional_energy_ratio	fro_ratio	max_target_to_source_gain	floored_direction_fraction	max_nuclear_relative_error	max_saved_update_error	functional_rms_ratio	functional_squared_energy_ratio	target_gain_lora	off_score_gain_lora	fg_reduction_lora	target_gain_hns	off_score_gain_hns	fg_reduction_hns	raw_fpr	full_moment_pr	functional_energy	source_functional_energy	checkpoint	target_gain	off_gain	fg_reduction	energy_ratio	log_energy_ratio	gain_magicoder	gain_metamath	gain_tulu	gain_commonsense	score_arc_challenge	gain_arc_challenge	score_arc_easy	gain_arc_easy	score_boolq	gain_boolq	score_hellaswag	gain_hellaswag	score_openbookqa	gain_openbookqa	score_piqa	gain_piqa	score_siqa	gain_siqa	score_winogrande	gain_winogrande	max_saved_energy_relative_error	max_analytic_energy_relative_error	max_storage_roundoff_common_gain_error
Qwen3-8B	magicoder	42	hns_f4_s1	HNS α=0 (4+1)	75.0	88.62774829416225	71.71903881700554	83.65273723214618	75.0	81.33317478110466	0	/dataset1/zailong/runs/peft-sft-lab/hns-step-grid-2x4-20260912/adapters/Qwen3-8B/magicoder/hns_f4_s1	252	2.4362167389471248	4.878432019843614	2.4362167389471248	2.01854996292123	3.9358078073190055	0.14106579076313366	0.5216496724401795	16.8695276348469	0.001488095238095238	2.1210398326587665e-08	0.0	0.14106579076313366	0.019899557323628206	9.756097560975604	3.535331950994987	1.9004202758208966	0.0	0.0	0	2.4362167389471248	2.01854996292123	56.61299533267069	2844.937423077745	Qwen3-8B/magicoder/seed42	9.756097560975604	3.535331950994987	1.9004202758208966	0.019899557323628206	-3.917057792542924	9.756097560975604	4.700530705079615	5.914972273567457	-0.009507125662139515	88.48122866894198	-1.9624573378839605	95.83333333333334	-1.0521885521885488	87.49235474006116	-0.06116207951070152	84.51503684524995	0.5875323640708974	84.39999999999999	-0.6000000000000005	87.86724700761698	1.4145810663764968	75.28147389969294	0.25588536335722223	65.35122336227307	1.3417521704814472			
Qwen3-8B	magicoder	43	hns_f4_s1	HNS α=0 (4+1)	74.39024390243902	88.77937831690674	71.34935304990758	83.4453448407783	74.39024390243902	81.19135873586421	0	/dataset1/zailong/runs/peft-sft-lab/hns-training-seeds-3task-20260912/Qwen3-8B/seed43/hns_step_grid/adapters/Qwen3-8B/magicoder/hns_f4_s1	252	2.675784933576747	5.348084503075329	2.675784933576747	2.137713183565589	4.244195861168233	0.15980831614383254	0.6010973959847162	17.63591979296207	0.000992063492063492	1.9231273906683555e-08	0.0	0.15980831614383254	0.025538697908727127	11.585365853658537	3.43196098036978	1.985624576956435	0.0	0.0	0	2.675784933576747	2.137713183565589	33.86920345778962	1326.1914753381288	Qwen3-8B/magicoder/seed43	11.585365853658537	3.43196098036978	1.985624576956435	0.025538697908727127	-3.66756041210781	11.585365853658537	6.21683093252463	4.436229205175593	-0.3571771965908823	88.05460750853243	-2.4744027303754246	95.70707070707071	-1.1784511784511786	87.24770642201834	-0.09174311926606338	84.5947022505477	0.3286197968532245	84.2	0.20000000000000018	87.59521218715996	0.10881392818280489	75.1279426816786	-0.46059365404299557	65.03551696921863	0.7103393843725381			
Qwen3-8B	magicoder	44	hns_f4_s1	HNS α=0 (4+1)	74.39024390243902	89.31008339651251	70.97966728280961	83.48186533343954	74.39024390243902	81.25720533758722	0	/dataset1/zailong/runs/peft-sft-lab/hns-training-seeds-3task-20260912/Qwen3-8B/seed44/hns_step_grid/adapters/Qwen3-8B/magicoder/hns_f4_s1	252	2.6438497049185954	5.3556473813470316	2.6438497049185954	2.156651307271127	4.373964077749275	0.15804589033705171	0.6019645285423316	16.372078697452263	0.001240079365079365	1.95273486269798e-08	0.0	0.15804589033705171	0.024978503452431376	9.756097560975604	2.704147822366906	1.1105054007101292	0.0	0.0	0	2.6438497049185954	2.156651307271127	33.11213270043299	1325.6251625919526	Qwen3-8B/magicoder/seed44	9.756097560975604	2.704147822366906	1.1105054007101292	0.024978503452431373	-3.6897396859099807	9.756097560975604	5.231235784685367	2.957486136783743	-0.07627845436837788	88.22525597269625	-2.4744027303754246	95.7912457912458	-1.094276094276092	87.18654434250764	0.03058103975535076	84.66440948018324	0.4381597291376216	84.2	1.200000000000001	87.75843307943417	0.5984766050054491	75.23029682702149	-0.25588536335722223	64.79873717442779	0.9471191791633693			
Qwen3-8B	metamath	42	hns_f4_s1	HNS α=0 (4+1)	67.6829268292683	88.17285822592874	72.45841035120148	84.61988734853911	88.17285822592874	74.9204081763363	0	/dataset1/zailong/runs/peft-sft-lab/hns-step-grid-2x4-20260912/adapters/Qwen3-8B/metamath/hns_f4_s1	252	6.785375028564202	10.063683829102072	6.785375028564202	4.264867175177999	7.501956701077886	0.21427276330836653	0.6088121744763298	12.567867384074711	0.001240079365079365	2.444988211891541e-08	0.0	0.21427276330836653	0.04591281709580327	4.018195602729335	3.6273311806650383	1.798836842342548	0.0	0.0	0	6.785375028564202	4.264867175177999	1002.3031001522104	21830.572889064293	Qwen3-8B/metamath/seed42	4.018195602729335	3.6273311806650383	1.798836842342548	0.04591281709580327	-3.081010961335763	3.6585365853658516	4.018195602729335	5.73012939001849	1.4933275666107733	91.21160409556313	3.0716723549488067	96.63299663299664	0.5471380471380516	88.1039755351682	-0.4281345565749217	84.68432583150766	1.5933081059549936	85.8	1.4000000000000012	87.43199129488575	2.013057671381935	75.69089048106449	1.3817809621289756	67.40331491712708	2.3677979479084454			
Qwen3-8B	metamath	43	hns_f4_s1	HNS α=0 (4+1)	73.17073170731707	86.8081880212282	72.08872458410352	84.6918197379783	86.8081880212282	76.65042534313297	0	/dataset1/zailong/runs/peft-sft-lab/hns-training-seeds-3task-20260912/Qwen3-8B/seed43/hns_step_grid/adapters/Qwen3-8B/metamath/hns_f4_s1	252	7.94489686561457	11.011508287991841	7.94489686561457	5.073135282092272	8.442876258679842	0.24431452336369291	0.6619543233703242	11.913309241129904	0.002232142857142857	1.9524651451163777e-08	0.0	0.24431452336369291	0.05968958632642845	2.8051554207733176	6.984823647586609	3.5232856949641636	0.0	0.0	0	7.94489686561457	5.073135282092272	1266.0179811686082	21210.03108054813	Qwen3-8B/metamath/seed43	2.8051554207733176	6.984823647586609	3.5232856949641636	0.05968958632642845	-2.8185977071920125	15.243902439024396	2.8051554207733176	4.436229205175607	1.2743392985598234	91.55290102389078	2.6450511945392496	96.88552188552188	0.7154882154882136	87.92048929663608	-0.39755351681957096	84.54491137223661	2.1210914160525784	86.4	1.8000000000000016	87.15995647442872	1.4145810663764968	75.5885363357216	0.8700102354145423	67.48224151539068	1.026045777426987			
Qwen3-8B	metamath	44	hns_f4_s1	HNS α=0 (4+1)	67.6829268292683	87.41470811220621	70.60998151571165	84.48500083338453	87.41470811220621	74.25930305945482	0	/dataset1/zailong/runs/peft-sft-lab/hns-training-seeds-3task-20260912/Qwen3-8B/seed44/hns_step_grid/adapters/Qwen3-8B/metamath/hns_f4_s1	252	7.664287108051248	10.796897852629208	7.664287108051248	4.9651077570405135	8.378432131533376	0.24417017941522604	0.6629979367438751	15.140052815806147	0.001488095238095238	1.847221198225668e-08	0.0	0.24417017941522604	0.05961907651566367	3.4116755117513264	10.744784777211898	9.522414078114908	0.0	0.0	0	7.664287108051248	4.9651077570405135	1260.117551379127	21136.146767520917	Qwen3-8B/metamath/seed44	3.4116755117513264	10.744784777211898	9.522414078114908	0.05961907651566368	-2.819779680357984	26.829268292682933	3.4116755117513264	3.8817005545286634	1.5233854844241108	91.72354948805462	3.242320819112632	96.71717171717171	0.7575757575757569	87.37003058103976	-0.7951070336391419	84.35570603465446	1.9916351324437365	86.4	1.6000000000000014	87.05114254624591	2.176278563656142	75.33265097236438	0.7676560900716445	66.92975532754538	2.4467245461720633			
Qwen3-8B	tulu	42	hns_f4_s1	HNS α=0 (4+1)	82.92682926829268	88.70356330553449	70.79482439926062	84.457699756602	70.79482439926062	85.36269744347639	0	/dataset1/zailong/runs/peft-sft-lab/hns-step-grid-2x4-20260912/adapters/Qwen3-8B/tulu/hns_f4_s1	252	10.025037954271376	12.472748909013806	10.025037954271376	7.16449587698925	10.38811979481606	0.422985786038345	0.7574306712806317	18.989836304199784	0.001736111111111111	1.740843380559909e-08	0.0	0.422985786038345	0.17891697519047658	2.9574861367837144	-0.6553673074048021	0	0.0	0.0	0	10.025037954271376	7.16449587698925	1849.805792950229	10338.906025998424	Qwen3-8B/tulu/seed42	2.9574861367837144	-0.6553673074048021	0	0.1789169751904766	-1.7208334064933464	-1.8292682926829258	-0.30326004548901153	2.9574861367837144	0.16642641595753105	90.27303754266211	0.7679180887371961	96.84343434343434	0.0	87.18654434250764	-0.1529051987767649	84.50507866958773	0.7169886476797394	86.0	-0.40000000000000036	87.15995647442872	1.088139281828071	75.89559877175026	-0.7676560900716445	67.79794790844514	0.07892659826361781			
Qwen3-8B	tulu	43	hns_f4_s1	HNS α=0 (4+1)	80.48780487804879	89.76497346474602	72.45841035120148	84.60833296815858	72.45841035120148	84.9537037703178	0	/dataset1/zailong/runs/peft-sft-lab/hns-training-seeds-3task-20260912/Qwen3-8B/seed43/hns_step_grid/adapters/Qwen3-8B/tulu/hns_f4_s1	252	10.917668661739786	13.179034320029547	10.917668661739786	7.4999077707826585	10.875734211249899	0.46595329441650674	0.8097696773415715	15.136125628940388	0.000248015873015873	2.1598333788119817e-08	0.0	0.46595329441650674	0.2171124725775958	6.284658040665434	-0.17105228528308203	0	0.0	0.0	0	10.917668661739786	7.4999077707826585	1964.6896527734823	9049.179116466023	Qwen3-8B/tulu/seed43	6.284658040665434	-0.17105228528308203	0	0.21711247257759583	-1.5273397529070594	-1.2195121951219363	0.6065200909780089	6.284658040665434	0.09983524829466717	91.21160409556313	1.0238907849829282	96.96969696969697	0.042087542087543284	86.94189602446482	-0.03058103975536186	84.53495319657439	0.4779924317865003	85.6	0.0	87.26877040261154	0.21762785636562088	76.3050153531218	0.4094165813715356	68.03472770323599	-1.3417521704814583			
Qwen3-8B	tulu	44	hns_f4_s1	HNS α=0 (4+1)	80.48780487804879	88.40030326004549	70.97966728280961	84.53963147881997	70.97966728280961	84.47591320563808	0	/dataset1/zailong/runs/peft-sft-lab/hns-training-seeds-3task-20260912/Qwen3-8B/seed44/hns_step_grid/adapters/Qwen3-8B/tulu/hns_f4_s1	252	10.689923803605577	13.150418159493821	10.689923803605577	7.507778186750645	10.78464292934736	0.45798026644591056	0.7931901577149588	15.823565089179988	0.001240079365079365	2.0212548412779086e-08	0.0	0.45798026644591056	0.20974592445386722	4.06654343807763	-1.2619280456356279	0	0.0	0.0	0	10.689923803605577	7.507778186750645	1985.8276688475828	9467.777140453367	Qwen3-8B/tulu/seed44	4.06654343807763	-1.2619280456356279	0	0.20974592445386722	-1.5618583643176736	-3.6585365853658374	-0.3032600454889973	4.06654343807763	0.17601249394795104	90.95563139931741	0.5972696245733822	96.88552188552188	0.21043771043770532	87.37003058103976	-0.48929663608562324	84.37562238597889	0.8862776339374601	85.8	-0.20000000000000018	87.26877040261154	0.9793253536452773	76.10030706243603	-0.10235414534288667	67.5611681136543	-0.47355958958168465			
Llama-3.1-8B-Instruct	magicoder	42	hns_f4_s1	HNS α=0 (4+1)	54.87804878048781	63.60879454131918	60.44362292051756	70.32626654200732	54.87804878048781	64.79289466794802	0.9096738148461441	/dataset1/zailong/runs/peft-sft-lab/hns-step-grid-2x4-20260912/adapters/Llama-3.1-8B-Instruct/magicoder/hns_f4_s1	224	4.771368231443067	8.734817801903006	4.771368231443067	3.97776932742456	7.744000847536908	0.15975892910464576	0.6417629615850727	6.393897716590051	0.0005580357142857143	1.4865901176719376e-08	0.0	0.15975892910464576	0.02552291542866323	1.2195121951219505	4.473055659825938	4.068708932507266	0.0	0.0	0.0	4.771368231443067	3.97776932742456	13.55703827202389	531.1712257134545	Llama-3.1-8B-Instruct/magicoder/seed42	1.2195121951219505	4.473055659825938	4.068708932507266	0.025522915428663234	-3.668178586095467	1.2195121951219505	7.202426080363907	4.990757855822551	1.2259830432913645	72.7815699658703	1.4505119453924964	88.51010101010101	0.2946127946127919	85.74923547400611	0.06116207951070152	50.089623580959966	4.530969926309497	64.4	0.6000000000000005	76.6050054406964	1.2513601741022784	67.96315250767655	-0.5117707267144334	56.51144435674822	2.131018153117592			
