group	method	n	target	off_score	forgetting_gap	raw_fpr	full_moment_pr	energy_ratio	target_gain	off_gain	fg_reduction	gain_magicoder	gain_metamath	gain_tulu	gain_commonsense	gain_arc_challenge	gain_arc_easy	gain_boolq	gain_hellaswag	gain_openbookqa	gain_piqa	gain_siqa	gain_winogrande
overall	hns_f4_s1	18	72.08343957191462	72.79151252738858	0.3440958896830035	7.3451420813058705	5.392337873249273	0.09723731884124506	4.085460257359661	3.24030354670987	2.36407012158841	4.098915989159893	3.912896975823437	4.477305401519819	1.317252530986127	2.3653773227152075	1.5432098765432098	0.66428814135236	2.3656199517581706	0.48888888888888793	1.1939306008946917	0.136472193790515	1.7802332719459777
overall	scalar_e	18	72.69964774421526	72.4696195557346	0.5246852422111885	2.0225654372813877	1.8443686849060756	0.09723731884124508	4.701668429660294	2.918410575055908	2.1834807690602243	4.166666666666663	3.9465925364333265	4.220579174368453	1.1230617773595886	1.7586272279105055	1.1878039655817438	0.6574923547400598	1.6253955608665818	0.6333333333333329	1.1455688550356669	0.2530421926532467	1.7232307287555901
overall	flat_e	18	72.27325386469079	72.56613164254915	0.39571002203591865	7.222451955372108	5.32749219277386	0.09723731884124508	4.27527455013584	3.0149226618704414	2.312455989235495	3.99728997289973	3.7696908432314067	4.2103101252823985	1.3427515943336334	2.408039438756163	1.4987841376730273	0.6557934080869848	2.3324260328841095	0.4888888888888887	1.2241566920565834	0.15637438871829937	1.9775497676050153
base/Qwen3-8B	hns_f4_s1	9	77.8232382441681	80.48935442810138	0.0	6.864782311032136	4.754245166954586	0.09349040120495798	6.071252791821167	3.2155591912079675	2.2045652076565645	7.791327913279137	2.931513773060399	4.518381597864037	0.47670708124149525	0.4929844520288206	-0.11690983913206097	-0.2684335711858665	1.0157339175463058	0.555555555555556	1.112320154757588	0.23313999772546345	0.7892659826361472
base/Qwen3-8B	scalar_e	9	78.29704570135296	79.80614161271585	0.15808491418247533	1.6685546417104347	1.533773019659674	0.09349040120495797	6.545060249006027	2.53234637582243	2.0464802934740893	6.707317073170732	2.510319265436779	4.3951530088313815	0.5293100290344483	0.3602578687902924	-0.14029180695847268	-0.16649677200136154	1.0599924760450525	0.733333333333334	1.1183653729899647	0.3923575571477304	0.8769622029290546
base/Qwen3-8B	flat_e	9	78.20130546105406	80.33067545521357	0.0	6.74721672405389	4.710834887593794	0.09349040120495797	6.449320008707129	3.0568802183201416	2.2045652076565645	7.7235772357723596	2.9146659927554595	4.497843499691925	0.4838739354478147	0.4835039817974963	-0.10755705200149457	-0.2752293577981667	0.998030494146804	0.6222222222222228	1.118365372989965	0.21608097350164965	0.8155748487240198
base/Llama-3.1-8B-Instruct	hns_f4_s1	9	66.34364089966114	65.09367062667577	0.688191779366007	7.825501851579604	6.030430579543959	0.10098423647753216	2.099667722898155	3.2650479022117733	2.5235750355202544	0.4065040650406486	4.894280178586474	4.436229205175601	2.157797980730759	4.2377701934015946	3.2033295922184815	1.5970098538905866	3.7155059859700352	0.42222222222222006	1.2755410470317956	0.039804389855566474	2.7712005612558084
base/Llama-3.1-8B-Instruct	scalar_e	9	67.10224978707754	65.1330974987534	0.8912855702399018	2.3765762328523405	2.1549643501524773	0.10098423647753216	2.85827661031456	3.304474774289386	2.3204812446463596	1.6260162601625952	5.382865807429874	4.046005339905523	1.7168135256847288	3.1569965870307186	2.5158997381219605	1.4814814814814812	2.190798645688111	0.5333333333333313	1.1727723370813685	0.11372682815876296	2.569499254582125
base/Llama-3.1-8B-Instruct	flat_e	9	66.34520226832754	64.80158782988475	0.7914200440718372	7.697687186690327	5.9441494979539256	0.10098423647753217	2.101229091564549	2.972965105420741	2.420346770814424	0.2710027100270985	4.624715693707354	3.9227767508728713	2.201629253219452	4.33257489571483	3.105125327347549	1.5868161739721363	3.666821571621415	0.3555555555555549	1.3299480111232016	0.09666780393494905	3.139524686486011
task/magicoder	hns_f4_s1	6	64.63414634146342	73.5310950105009	0.6445266586049793	3.5070302576601673	2.8795280982593727	0.026678719308227263	5.284552845528453	3.9135042915875418	2.4866396521026495	5.284552845528453	5.408137477887288	5.884165126309302	0.4482102705660414	-0.08532423208190883	-0.3577441077441068	1.1467889908256848	1.9484830379074551	0.03333333333333336	-0.32644178454842204	-1.0491299897645874	2.275716916600891
