cohort	checkpoint	feature	outcome	spearman	n_arms
A_all_versions	Llama-3.1-8B-Instruct/magicoder/seed42	log_energy_ratio	target_gain	-0.3461538461538462	7
A_all_versions	Llama-3.1-8B-Instruct/magicoder/seed43	log_energy_ratio	target_gain	0.7359800721939873	7
A_all_versions	Llama-3.1-8B-Instruct/magicoder/seed44	log_energy_ratio	target_gain	-0.2453266907313291	7
A_all_versions	Llama-3.1-8B-Instruct/metamath/seed42	log_energy_ratio	target_gain	-0.8524367141602663	7
A_all_versions	Llama-3.1-8B-Instruct/metamath/seed43	log_energy_ratio	target_gain	-0.9636241116594316	7
A_all_versions	Llama-3.1-8B-Instruct/metamath/seed44	log_energy_ratio	target_gain	-0.9636241116594316	7
A_all_versions	Llama-3.1-8B-Instruct/tulu/seed42	log_energy_ratio	target_gain	-0.4113766756037212	7
A_all_versions	Llama-3.1-8B-Instruct/tulu/seed43	log_energy_ratio	target_gain	-0.5384615384615384	7
A_all_versions	Llama-3.1-8B-Instruct/tulu/seed44	log_energy_ratio	target_gain	-0.3739787960033829	7
A_all_versions	Qwen3-8B/magicoder/seed42	log_energy_ratio	target_gain	0.18698939800169145	7
A_all_versions	Qwen3-8B/magicoder/seed43	log_energy_ratio	target_gain	0.1682904582015223	7
A_all_versions	Qwen3-8B/magicoder/seed44	log_energy_ratio	target_gain	0.14824986333222026	7
A_all_versions	Qwen3-8B/metamath/seed42	log_energy_ratio	target_gain	-0.261785157202368	7
A_all_versions	Qwen3-8B/metamath/seed43	log_energy_ratio	target_gain	-0.4300756154038903	7
A_all_versions	Qwen3-8B/metamath/seed44	log_energy_ratio	target_gain	-0.8040544114072732	7
A_all_versions	Qwen3-8B/tulu/seed42	log_energy_ratio	target_gain	-0.8894991799933215	7
A_all_versions	Qwen3-8B/tulu/seed43	log_energy_ratio	target_gain	-0.2991830368027063	7
A_all_versions	Qwen3-8B/tulu/seed44	log_energy_ratio	target_gain	-0.8414522910076115	7
A_all_versions	Llama-3.1-8B-Instruct/magicoder/seed42	raw_fpr	target_gain	0.1682904582015223	7
A_all_versions	Llama-3.1-8B-Instruct/magicoder/seed43	raw_fpr	target_gain	-0.8532469179729296	7
A_all_versions	Llama-3.1-8B-Instruct/magicoder/seed44	raw_fpr	target_gain	-0.0642228862990377	7
A_all_versions	Llama-3.1-8B-Instruct/metamath/seed42	raw_fpr	target_gain	0.8468812149338255	7
A_all_versions	Llama-3.1-8B-Instruct/metamath/seed43	raw_fpr	target_gain	0.8108437164260032	7
A_all_versions	Llama-3.1-8B-Instruct/metamath/seed44	raw_fpr	target_gain	0.9549937104572925	7
A_all_versions	Llama-3.1-8B-Instruct/tulu/seed42	raw_fpr	target_gain	0.2181818181818182	7
A_all_versions	Llama-3.1-8B-Instruct/tulu/seed43	raw_fpr	target_gain	0.6731618328060892	7
A_all_versions	Llama-3.1-8B-Instruct/tulu/seed44	raw_fpr	target_gain	0.23636363636363636	7
A_all_versions	Qwen3-8B/magicoder/seed42	raw_fpr	target_gain	-0.33636363636363636	7
A_all_versions	Qwen3-8B/magicoder/seed43	raw_fpr	target_gain	-0.34545454545454546	7
A_all_versions	Qwen3-8B/magicoder/seed44	raw_fpr	target_gain	-0.3243374865704013	7
A_all_versions	Qwen3-8B/metamath/seed42	raw_fpr	target_gain	0.34545454545454546	7
A_all_versions	Qwen3-8B/metamath/seed43	raw_fpr	target_gain	0.509090909090909	7
A_all_versions	Qwen3-8B/metamath/seed44	raw_fpr	target_gain	0.8	7
A_all_versions	Qwen3-8B/tulu/seed42	raw_fpr	target_gain	0.7207499701564473	7
A_all_versions	Qwen3-8B/tulu/seed43	raw_fpr	target_gain	0.3181818181818182	7
A_all_versions	Qwen3-8B/tulu/seed44	raw_fpr	target_gain	0.6909090909090909	7
A_all_versions	Llama-3.1-8B-Instruct/magicoder/seed42	full_moment_pr	target_gain	0.1682904582015223	7
A_all_versions	Llama-3.1-8B-Instruct/magicoder/seed43	full_moment_pr	target_gain	-0.8532469179729296	7
A_all_versions	Llama-3.1-8B-Instruct/magicoder/seed44	full_moment_pr	target_gain	-0.0642228862990377	7
A_all_versions	Llama-3.1-8B-Instruct/metamath/seed42	full_moment_pr	target_gain	0.8468812149338255	7
A_all_versions	Llama-3.1-8B-Instruct/metamath/seed43	full_moment_pr	target_gain	0.8468812149338255	7
A_all_versions	Llama-3.1-8B-Instruct/metamath/seed44	full_moment_pr	target_gain	0.9910312089651149	7
A_all_versions	Llama-3.1-8B-Instruct/tulu/seed42	full_moment_pr	target_gain	0.2181818181818182	7
A_all_versions	Llama-3.1-8B-Instruct/tulu/seed43	full_moment_pr	target_gain	0.635763953205751	7
A_all_versions	Llama-3.1-8B-Instruct/tulu/seed44	full_moment_pr	target_gain	0.4	7
A_all_versions	Qwen3-8B/magicoder/seed42	full_moment_pr	target_gain	-0.33636363636363636	7
A_all_versions	Qwen3-8B/magicoder/seed43	full_moment_pr	target_gain	-0.34545454545454546	7
A_all_versions	Qwen3-8B/magicoder/seed44	full_moment_pr	target_gain	-0.2882999880625789	7
