cohort	group	feature	outcome	n_checkpoints	n_defined	mean_rho	ci_low	ci_high	positive	zero	negative
A_all_versions	base/Qwen3-8B	log_energy_ratio	target_gain	9	9	-0.33583555247574853	-0.6081748110713816	-0.05131562772145157	3	0	6
A_all_versions	base/Llama-3.1-8B-Instruct	log_energy_ratio	target_gain	9	9	-0.43988915691544	-0.7157601686586255	-0.09609079952142897	1	0	8
A_all_versions	task/magicoder	log_energy_ratio	target_gain	6	6	0.10800487580737433	-0.15787347569442525	0.38631556367564107	4	0	2
A_all_versions	task/metamath	log_energy_ratio	target_gain	6	6	-0.7126000202487769	-0.9184979287008775	-0.49718493501294986	0	0	6
A_all_versions	task/tulu	log_energy_ratio	target_gain	6	6	-0.5589919196453804	-0.7432980075088059	-0.38892662654629606	0	0	6
A_all_versions	base/Qwen3-8B	log_energy_ratio	off_gain	9	9	-0.012354155277685032	-0.44485254129064145	0.37474271008977894	6	0	3
A_all_versions	base/Llama-3.1-8B-Instruct	log_energy_ratio	off_gain	9	9	-0.00411805175922834	-0.2636582638845945	0.2882636231459838	4	0	5
A_all_versions	task/magicoder	log_energy_ratio	off_gain	6	6	-0.012354155277685032	-0.24708310555370047	0.14824986333222026	4	0	2
A_all_versions	task/metamath	log_energy_ratio	off_gain	6	6	-0.5991765309677235	-0.80935159762934	-0.4015100465247632	0	0	6
A_all_versions	task/tulu	log_energy_ratio	off_gain	6	6	0.5868223756900385	0.4015100465247632	0.7412493166611012	6	0	0
A_all_versions	base/Qwen3-8B	log_energy_ratio	fg_reduction	9	6	-0.6547843546286739	-0.6740797999551051	-0.6354889093022426	0	0	6
A_all_versions	base/Llama-3.1-8B-Instruct	log_energy_ratio	fg_reduction	9	9	-0.35830458801795567	-0.6566382980600919	-0.005363494979119911	2	0	7
A_all_versions	task/magicoder	log_energy_ratio	fg_reduction	6	6	-0.6712354374288244	-0.8337300724093722	-0.4959752078208363	0	0	6
A_all_versions	task/metamath	log_energy_ratio	fg_reduction	6	6	-0.6282010834213586	-0.6837275226183207	-0.5689645341479361	0	0	6
A_all_versions	task/tulu	log_energy_ratio	fg_reduction	6	3	0.21439056838915152	-0.2964997266644405	0.7858252779857414	2	0	1
A_all_versions	base/Qwen3-8B	log_energy_ratio	gain_magicoder	9	9	-0.0012667101738124626	-0.4238705764052094	0.3997131235274751	6	0	3
A_all_versions	base/Llama-3.1-8B-Instruct	log_energy_ratio	gain_magicoder	9	9	0.39357497126148794	0.06951867353377796	0.6918789303535189	6	0	3
A_all_versions	task/magicoder	log_energy_ratio	gain_magicoder	6	6	0.10800487580737433	-0.15475139549827563	0.38631556367564107	4	0	2
A_all_versions	task/metamath	log_energy_ratio	gain_magicoder	6	6	-0.25765401675410843	-0.744561590567335	0.2785312307512184	2	0	4
A_all_versions	task/tulu	log_energy_ratio	gain_magicoder	6	6	0.7381115325782472	0.6207867518681934	0.8335021544211182	6	0	0
A_all_versions	base/Qwen3-8B	log_energy_ratio	gain_metamath	9	9	-0.09654133208412714	-0.3661354040056432	0.17670913391262533	4	0	5
A_all_versions	base/Llama-3.1-8B-Instruct	log_energy_ratio	gain_metamath	9	9	-0.3931062361226649	-0.7124229543465028	-0.05730892551773147	4	0	5
A_all_versions	task/magicoder	log_energy_ratio	gain_metamath	6	6	0.04346315265008638	-0.1976664844429604	0.17318178306577914	5	0	1
A_all_versions	task/metamath	log_energy_ratio	gain_metamath	6	6	-0.7126000202487769	-0.908030412909849	-0.4865158262937848	0	0	6
A_all_versions	task/tulu	log_energy_ratio	gain_metamath	6	6	-0.06533448471149757	-0.4763617080199869	0.2815322020709855	3	0	3
A_all_versions	base/Qwen3-8B	log_energy_ratio	gain_tulu	9	9	-0.4761314804246206	-0.6820667864866968	-0.27505686692385933	1	0	8
A_all_versions	base/Llama-3.1-8B-Instruct	log_energy_ratio	gain_tulu	9	9	-0.5686600543887634	-0.7374489327471238	-0.3892540374686347	0	0	9
A_all_versions	task/magicoder	log_energy_ratio	gain_tulu	6	6	-0.42421784287548747	-0.7344692821812931	-0.12643236343646125	1	0	5
A_all_versions	task/metamath	log_energy_ratio	gain_tulu	6	6	-0.5839775396992083	-0.7039204771778138	-0.41735043928818877	0	0	6
A_all_versions	task/tulu	log_energy_ratio	gain_tulu	6	6	-0.5589919196453804	-0.743342378381245	-0.38011799820534176	0	0	6
A_all_versions	base/Qwen3-8B	log_energy_ratio	gain_commonsense	9	9	0.44474958999666075	0.23061089851678707	0.667124384994991	9	0	0
A_all_versions	base/Llama-3.1-8B-Instruct	log_energy_ratio	gain_commonsense	9	9	-0.19766648444296034	-0.6713453880482002	0.3006177784236688	4	0	5
A_all_versions	task/magicoder	log_energy_ratio	gain_commonsense	6	6	0.21002063972064536	-0.4076871241636056	0.7536034719387862	4	0	2
A_all_versions	task/metamath	log_energy_ratio	gain_commonsense	6	6	-0.3891558912470782	-0.7597805495776289	-0.012354155277685033	3	0	3
A_all_versions	task/tulu	log_energy_ratio	gain_commonsense	6	6	0.5497599098569834	0.30267680430328303	0.7787750633170671	6	0	0
A_all_versions	base/Qwen3-8B	log_energy_ratio	gain_arc_challenge	9	9	0.1486459238489926	-0.245424322557565	0.5367639667202053	4	2	3
