cohort	pr_definition	model	checkpoint	method	outcome	log_energy_ratio	raw_fpr	full_moment_pr
A_all_versions	raw_fpr	Energy	Qwen3-8B/magicoder/seed42	original_lora	target_gain	3.247126697561175		
A_all_versions	raw_fpr	Energy	Qwen3-8B/magicoder/seed42	hns_f4_s1	target_gain	0.06487879923274588		
A_all_versions	raw_fpr	Energy	Qwen3-8B/magicoder/seed42	functional_hns_a05	target_gain	-0.9489824619617976		
A_all_versions	raw_fpr	Energy	Qwen3-8B/magicoder/seed42	functional_hns_a10	target_gain	-1.2102312781423785		
A_all_versions	raw_fpr	Energy	Qwen3-8B/magicoder/seed42	functional_flat	target_gain	-1.282549355155238		
A_all_versions	raw_fpr	Energy	Qwen3-8B/magicoder/seed43	original_lora	target_gain	3.0448227873639278		
A_all_versions	raw_fpr	Energy	Qwen3-8B/magicoder/seed43	hns_f4_s1	target_gain	0.0652684811595651		
A_all_versions	raw_fpr	Energy	Qwen3-8B/magicoder/seed43	functional_hns_a05	target_gain	-0.8891767567356392		
A_all_versions	raw_fpr	Energy	Qwen3-8B/magicoder/seed43	functional_hns_a10	target_gain	-1.1497631966959758		
A_all_versions	raw_fpr	Energy	Qwen3-8B/magicoder/seed43	functional_flat	target_gain	-1.2016882774110038		
A_all_versions	raw_fpr	Energy	Qwen3-8B/magicoder/seed44	original_lora	target_gain	3.0723202593046843		
A_all_versions	raw_fpr	Energy	Qwen3-8B/magicoder/seed44	hns_f4_s1	target_gain	0.07474734036048036		
A_all_versions	raw_fpr	Energy	Qwen3-8B/magicoder/seed44	functional_hns_a05	target_gain	-0.9039947870152061		
A_all_versions	raw_fpr	Energy	Qwen3-8B/magicoder/seed44	functional_hns_a10	target_gain	-1.1704015256798637		
A_all_versions	raw_fpr	Energy	Qwen3-8B/magicoder/seed44	functional_flat	target_gain	-1.2221659676910568		
A_all_versions	raw_fpr	Energy	Qwen3-8B/metamath/seed42	original_lora	target_gain	2.3720878408119477		
A_all_versions	raw_fpr	Energy	Qwen3-8B/metamath/seed42	hns_f4_s1	target_gain	-0.13094917720267568		
A_all_versions	raw_fpr	Energy	Qwen3-8B/metamath/seed42	functional_hns_a05	target_gain	-0.5415073209624517		
A_all_versions	raw_fpr	Energy	Qwen3-8B/metamath/seed42	functional_hns_a10	target_gain	-0.7102103449692562		
A_all_versions	raw_fpr	Energy	Qwen3-8B/metamath/seed42	functional_flat	target_gain	-0.7275226432722102		
A_all_versions	raw_fpr	Energy	Qwen3-8B/metamath/seed43	original_lora	target_gain	2.1727665877232973		
A_all_versions	raw_fpr	Energy	Qwen3-8B/metamath/seed43	hns_f4_s1	target_gain	-0.11708388295923847		
A_all_versions	raw_fpr	Energy	Qwen3-8B/metamath/seed43	functional_hns_a05	target_gain	-0.4946384267054401		
A_all_versions	raw_fpr	Energy	Qwen3-8B/metamath/seed43	functional_hns_a10	target_gain	-0.6585761357767823		
A_all_versions	raw_fpr	Energy	Qwen3-8B/metamath/seed43	functional_flat	target_gain	-0.6683003763633594		
A_all_versions	raw_fpr	Energy	Qwen3-8B/metamath/seed44	original_lora	target_gain	2.177969520003555		
A_all_versions	raw_fpr	Energy	Qwen3-8B/metamath/seed44	hns_f4_s1	target_gain	-0.11284119477608244		
A_all_versions	raw_fpr	Energy	Qwen3-8B/metamath/seed44	functional_hns_a05	target_gain	-0.4974280567083096		
A_all_versions	raw_fpr	Energy	Qwen3-8B/metamath/seed44	functional_hns_a10	target_gain	-0.6651487702031011		
A_all_versions	raw_fpr	Energy	Qwen3-8B/metamath/seed44	functional_flat	target_gain	-0.676869108763895		
A_all_versions	raw_fpr	Energy	Qwen3-8B/tulu/seed42	original_lora	target_gain	1.3367065711005552		
A_all_versions	raw_fpr	Energy	Qwen3-8B/tulu/seed42	hns_f4_s1	target_gain	-0.06131173274268428		
A_all_versions	raw_fpr	Energy	Qwen3-8B/tulu/seed42	functional_hns_a05	target_gain	-0.29790823482497214		
A_all_versions	raw_fpr	Energy	Qwen3-8B/tulu/seed42	functional_hns_a10	target_gain	-0.4271965788074279		
A_all_versions	raw_fpr	Energy	Qwen3-8B/tulu/seed42	functional_flat	target_gain	-0.42766655924010244		
A_all_versions	raw_fpr	Energy	Qwen3-8B/tulu/seed43	original_lora	target_gain	1.1885563890612743		
A_all_versions	raw_fpr	Energy	Qwen3-8B/tulu/seed43	hns_f4_s1	target_gain	-0.05226618138301679		
A_all_versions	raw_fpr	Energy	Qwen3-8B/tulu/seed43	functional_hns_a05	target_gain	-0.268164639118344		
A_all_versions	raw_fpr	Energy	Qwen3-8B/tulu/seed43	functional_hns_a10	target_gain	-0.3811355935236802		
A_all_versions	raw_fpr	Energy	Qwen3-8B/tulu/seed43	functional_flat	target_gain	-0.38245761227019986		
A_all_versions	raw_fpr	Energy	Qwen3-8B/tulu/seed44	original_lora	target_gain	1.2163912989557137		
A_all_versions	raw_fpr	Energy	Qwen3-8B/tulu/seed44	hns_f4_s1	target_gain	-0.05247445707132838		
A_all_versions	raw_fpr	Energy	Qwen3-8B/tulu/seed44	functional_hns_a05	target_gain	-0.27481757719082156		
A_all_versions	raw_fpr	Energy	Qwen3-8B/tulu/seed44	functional_hns_a10	target_gain	-0.3919420269719875		
A_all_versions	raw_fpr	Energy	Qwen3-8B/tulu/seed44	functional_flat	target_gain	-0.3922083235789192		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/magicoder/seed42	original_lora	target_gain	2.994858950936376		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/magicoder/seed42	hns_f4_s1	target_gain	0.01480243542666003		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/magicoder/seed42	functional_hns_a05	target_gain	-0.833481463862353		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/magicoder/seed42	functional_hns_a10	target_gain	-1.0943481807473268		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/magicoder/seed42	functional_flat	target_gain	-1.1114366126066715		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/magicoder/seed43	original_lora	target_gain	2.844187299244994		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/magicoder/seed43	hns_f4_s1	target_gain	0.07175312687996666		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/magicoder/seed43	functional_hns_a05	target_gain	-0.8304706509913871		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/magicoder/seed43	functional_hns_a10	target_gain	-1.1119311036987145		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/magicoder/seed43	functional_flat	target_gain	-1.1170449251947903		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/magicoder/seed44	original_lora	target_gain	2.8838671447338755		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/magicoder/seed44	hns_f4_s1	target_gain	0.06639512435587855		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/magicoder/seed44	functional_hns_a05	target_gain	-0.8383820321439499		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/magicoder/seed44	functional_hns_a10	target_gain	-1.1194099901815056		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/magicoder/seed44	functional_flat	target_gain	-1.1252604954760526		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/metamath/seed42	original_lora	target_gain	0.9396603029102223		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/metamath/seed42	hns_f4_s1	target_gain	-0.0501202035734346		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/metamath/seed42	functional_hns_a05	target_gain	-0.20908234051981903		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/metamath/seed42	functional_hns_a10	target_gain	-0.28997784477642324		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/metamath/seed42	functional_flat	target_gain	-0.29023950689367617		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/metamath/seed43	original_lora	target_gain	2.15815629623268		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/metamath/seed43	hns_f4_s1	target_gain	0.11757844331864177		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/metamath/seed43	functional_hns_a05	target_gain	-0.6452705348817865		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/metamath/seed43	functional_hns_a10	target_gain	-0.9334764463485106		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/metamath/seed43	functional_flat	target_gain	-0.932144644958309		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/metamath/seed44	original_lora	target_gain	2.1281432950540977		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/metamath/seed44	hns_f4_s1	target_gain	0.119295762076226		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/metamath/seed44	functional_hns_a05	target_gain	-0.6353557948889782		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/metamath/seed44	functional_hns_a10	target_gain	-0.9257645355282149		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/metamath/seed44	functional_flat	target_gain	-0.9249102508655792		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/tulu/seed42	original_lora	target_gain	1.6844709710365018		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/tulu/seed42	hns_f4_s1	target_gain	-0.03622972928553988		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/tulu/seed42	functional_hns_a05	target_gain	-0.4183853341269242		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/tulu/seed42	functional_hns_a10	target_gain	-0.5789421134652528		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/tulu/seed42	functional_flat	target_gain	-0.5784543355877066		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/tulu/seed43	original_lora	target_gain	1.6905793171512855		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/tulu/seed43	hns_f4_s1	target_gain	-0.032459492338120136		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/tulu/seed43	functional_hns_a05	target_gain	-0.420588038194985		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/tulu/seed43	functional_hns_a10	target_gain	-0.5867943389349509		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/tulu/seed43	functional_flat	target_gain	-0.5858184630069887		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/tulu/seed44	original_lora	target_gain	1.6985463714149995		
A_all_versions	raw_fpr	Energy	Llama-3.1-8B-Instruct/tulu/seed44	hns_f4_s1	target_gain	-0.03896285783160902		
