cohort	kind	feature	outcome	n_checkpoints	n_defined	n_arms	mean_rho	ci_low	ci_high	pr_definition	model	r2	loco_r2	rank	coefficients	delta_r2	delta_loco_r2	delta_r2_ci_low	delta_r2_ci_high	delta_loco_r2_ci_low	delta_loco_r2_ci_high
A_all_versions	mean_within_checkpoint_spearman	log_energy_ratio	target_gain	18	18	126	-0.3878623546955942	-0.5920760878964929	-0.15732208610480683												
A_all_versions	mean_within_checkpoint_spearman	raw_fpr	target_gain	18	18	126	0.2983042915834694	0.04773875357193966	0.5097958983328803												
A_all_versions	mean_within_checkpoint_spearman	full_moment_pr	target_gain	18	18	126	0.31031368943778453	0.07267089968759068	0.5265486322322465												
A_all_versions	paired_linear_regression		target_gain	18		126				raw_fpr	Energy	0.21202294864885296	0.19268330872176853	1	"{""log_energy_ratio"": -1.036456176757965}"						
A_all_versions	paired_linear_regression		target_gain	18		126				raw_fpr	FPR	0.01477127052877536	-0.020571916307094762	1	"{""raw_fpr"": 0.27356997774318836}"						
A_all_versions	paired_linear_regression		target_gain	18		126				raw_fpr	Energy+FPR	0.30042293857860813	0.21274336601062793	2	"{""log_energy_ratio"": -1.7213428535255269, ""raw_fpr"": -0.9575800871927389}"						
A_all_versions	incremental_fpr_over_energy		target_gain	18		126				raw_fpr						0.08839998992975517	0.0200600572888594	0.0009416863561686862	0.29325789006951736	-0.23439863164256586	0.1289545698894254
A_all_versions	paired_linear_regression		target_gain	18		126				full_moment_pr	Energy	0.21202294864885296	0.19268330872176853	1	"{""log_energy_ratio"": -1.036456176757965}"						
A_all_versions	paired_linear_regression		target_gain	18		126				full_moment_pr	FPR	0.007694055898860075	-0.027611304069265596	1	"{""full_moment_pr"": 0.19744092529360732}"						
A_all_versions	paired_linear_regression		target_gain	18		126				full_moment_pr	Energy+FPR	0.3235089768755063	0.24036404691159763	2	"{""log_energy_ratio"": -1.783282977831972, ""full_moment_pr"": -1.0595322090484456}"						
A_all_versions	incremental_fpr_over_energy		target_gain	18		126				full_moment_pr						0.11148602822665332	0.0476807381898291	0.002878106867973085	0.31353494166526336	-0.21559493095414334	0.16573384134409555
A_all_versions	mean_within_checkpoint_spearman	log_energy_ratio	off_gain	18	18	126	-0.008236103518456685	-0.26767336434984207	0.25948873647837556												
A_all_versions	mean_within_checkpoint_spearman	raw_fpr	off_gain	18	18	126	-0.027028123880866766	-0.2602958485971253	0.22425835008930278												
A_all_versions	mean_within_checkpoint_spearman	full_moment_pr	off_gain	18	18	126	-0.027028123880866783	-0.2673031399736463	0.21029381941752134												
A_all_versions	paired_linear_regression		off_gain	18		126				raw_fpr	Energy	0.3911699571012658	0.3532044917573687	1	"{""log_energy_ratio"": -0.9833164798323346}"						
A_all_versions	paired_linear_regression		off_gain	18		126				raw_fpr	FPR	0.08659425334374893	0.0538507661332055	1	"{""raw_fpr"": 0.4626527068930703}"						
A_all_versions	paired_linear_regression		off_gain	18		126				raw_fpr	Energy+FPR	0.4391320626203422	0.38594671439666095	2	"{""log_energy_ratio"": -1.335681503197333, ""raw_fpr"": -0.4926621311864708}"						
A_all_versions	incremental_fpr_over_energy		off_gain	18		126				raw_fpr						0.047962105519076426	0.03274222263929227	0.003240942348527866	0.1812290938355019	-0.04460421168831729	0.1431694443382391
A_all_versions	paired_linear_regression		off_gain	18		126				full_moment_pr	Energy	0.3911699571012658	0.3532044917573687	1	"{""log_energy_ratio"": -0.9833164798323346}"						
A_all_versions	paired_linear_regression		off_gain	18		126				full_moment_pr	FPR	0.06467622758162028	0.03639849553146157	1	"{""full_moment_pr"": 0.39983693699513734}"						
A_all_versions	paired_linear_regression		off_gain	18		126				full_moment_pr	Energy+FPR	0.4603207788843462	0.4090636439340499	2	"{""log_energy_ratio"": -1.394143886792772, ""full_moment_pr"": -0.5828458076336517}"						
A_all_versions	incremental_fpr_over_energy		off_gain	18		126				full_moment_pr						0.06915082178308041	0.05585915217668125	0.008953407585363057	0.2267829201416936	-0.038684631471216965	0.19761607996842698
A_all_versions	mean_within_checkpoint_spearman	log_energy_ratio	fg_reduction	18	15	126	-0.47689649466224293	-0.6692270550493282	-0.2311387595311134												
A_all_versions	mean_within_checkpoint_spearman	raw_fpr	fg_reduction	18	15	126	0.45151710148542196	0.20849673410128264	0.6475864229069666												
A_all_versions	mean_within_checkpoint_spearman	full_moment_pr	fg_reduction	18	15	126	0.45222348001462576	0.2213328201221334	0.6401383669925168												
A_all_versions	paired_linear_regression		fg_reduction	18		126				raw_fpr	Energy	0.5170510632968036	0.47295546517177045	1	"{""log_energy_ratio"": -0.8165593018146684}"						
A_all_versions	paired_linear_regression		fg_reduction	18		126				raw_fpr	FPR	0.17241045890457218	0.15312863039579527	1	"{""raw_fpr"": 0.47152292931257106}"						
A_all_versions	paired_linear_regression		fg_reduction	18		126				raw_fpr	Energy+FPR	0.5371446279042658	0.48601221024350405	2	"{""log_energy_ratio"": -0.9812930604226414, ""raw_fpr"": -0.23032389486085278}"						
A_all_versions	incremental_fpr_over_energy		fg_reduction	18		126				raw_fpr						0.020093564607462144	0.0130567450717336	0.0028423503990636597	0.06887469714665381	-0.028861640988410896	0.05625573488866024
A_all_versions	paired_linear_regression		fg_reduction	18		126				full_moment_pr	Energy	0.5170510632968036	0.47295546517177045	1	"{""log_energy_ratio"": -0.8165593018146684}"						
A_all_versions	paired_linear_regression		fg_reduction	18		126				full_moment_pr	FPR	0.15260751656344151	0.13678907068175816	1	"{""full_moment_pr"": 0.443617811641472}"						
A_all_versions	paired_linear_regression		fg_reduction	18		126				full_moment_pr	Energy+FPR	0.5438822041517377	0.4908610369610187	2	"{""log_energy_ratio"": -1.001397082876008, ""full_moment_pr"": -0.26223159399461204}"						
A_all_versions	incremental_fpr_over_energy		fg_reduction	18		126				full_moment_pr						0.0268311408549341	0.01790557178924823	0.004122194388184298	0.07668586348946106	-0.0474511791043571	0.06560329169310171
A_all_versions	mean_within_checkpoint_spearman	log_energy_ratio	gain_magicoder	18	18	126	0.19615413054383773	-0.09032214050767526	0.45670646094959655												
A_all_versions	mean_within_checkpoint_spearman	raw_fpr	gain_magicoder	18	18	126	-0.21944396254006918	-0.47182359882421926	0.05842279485636924												
A_all_versions	mean_within_checkpoint_spearman	full_moment_pr	gain_magicoder	18	18	126	-0.22048146624847456	-0.481742826763142	0.04856010591752838												
A_all_versions	paired_linear_regression		gain_magicoder	18		126				raw_fpr	Energy	0.08159763855946012	0.026691935251301202	1	"{""log_energy_ratio"": -0.9992730447034011}"						
A_all_versions	paired_linear_regression		gain_magicoder	18		126				raw_fpr	FPR	0.0004881485675780617	-0.050296624843201077	1	"{""raw_fpr"": 0.0772896582390821}"						
A_all_versions	paired_linear_regression		gain_magicoder	18		126				raw_fpr	Energy+FPR	0.14957047763300235	0.06383123750043407	2	"{""log_energy_ratio"": -1.9326265938994807, ""raw_fpr"": -1.3049761418036177}"						
