checkpoint	method	raw_fpr_delta	full_moment_pr_delta	target_delta	off_delta	higher_fpr_worse_target	higher_fpr_worse_off
Llama-3.1-8B-Instruct/magicoder/seed42	functional_hns_a05	7.642431379553977	5.327286354192311	-0.6097560975609753	-0.5144522111414318	True	True
Llama-3.1-8B-Instruct/magicoder/seed42	functional_hns_a10	11.212413905250152	9.049046435098777	0.0	0.4376109793303016	False	False
Llama-3.1-8B-Instruct/magicoder/seed42	functional_flat	11.228631768556898	9.09902342854869	0.0	0.1366884139430482	False	False
Llama-3.1-8B-Instruct/magicoder/seed43	functional_hns_a05	7.342344953598935	5.155240577924086	-0.6097560975609753	0.13588685442434212	True	False
Llama-3.1-8B-Instruct/magicoder/seed43	functional_hns_a10	11.841274951754286	9.782794021645918	0.0	-0.28885850058715334	False	True
Llama-3.1-8B-Instruct/magicoder/seed43	functional_flat	11.85793806789438	9.813511967152563	-1.2195121951219505	-0.19818587369763918	True	True
Llama-3.1-8B-Instruct/magicoder/seed44	functional_hns_a05	7.149731659973675	5.318450900560835	1.8292682926829258	-0.11366498566249561	False	True
Llama-3.1-8B-Instruct/magicoder/seed44	functional_hns_a10	11.610682302781356	9.684654964175277	1.2195121951219505	-0.6259407610477439	False	True
Llama-3.1-8B-Instruct/magicoder/seed44	functional_flat	11.627099995030083	9.724224012663983	0.6097560975609753	-0.3711911630308151	False	True
Llama-3.1-8B-Instruct/metamath/seed42	functional_hns_a05	2.992026328672706	2.335642288979191	0.6823351023502653	-0.028082163833147433	False	True
Llama-3.1-8B-Instruct/metamath/seed42	functional_hns_a10	3.952561432116891	3.538967931144615	0.7581501137225217	-0.7934514137931714	False	True
Llama-3.1-8B-Instruct/metamath/seed42	functional_flat	3.9659128083273156	3.5466276925394755	0.4548900682335102	-1.033249135490209	False	True
Llama-3.1-8B-Instruct/metamath/seed43	functional_hns_a05	6.655898349198803	3.7441917169718684	1.5921152388172857	0.9052370050224638	False	False
Llama-3.1-8B-Instruct/metamath/seed43	functional_hns_a10	10.91539268419886	7.788292939847915	2.729340409401061	-0.31590529429961123	False	True
Llama-3.1-8B-Instruct/metamath/seed43	functional_flat	10.931749653942195	7.769533769298736	2.047005307050796	0.05036657249325316	False	False
Llama-3.1-8B-Instruct/metamath/seed44	functional_hns_a05	6.931488182292588	3.578674210700852	1.5921152388172857	0.45641050255098037	False	False
Llama-3.1-8B-Instruct/metamath/seed44	functional_hns_a10	11.087939443644334	7.476444893382553	2.3502653525398074	0.15435985238993055	False	False
Llama-3.1-8B-Instruct/metamath/seed44	functional_flat	11.104204505277787	7.456894560322622	2.04700530705081	-0.2437656286089549	False	True
Llama-3.1-8B-Instruct/tulu/seed42	functional_hns_a05	2.924036998616323	2.4488094854093134	1.1090573012939018	-0.7126655324514815	False	True
Llama-3.1-8B-Instruct/tulu/seed42	functional_hns_a10	3.851453212607362	3.9534686027291635	0.0	-2.1143054468644635	False	True
Llama-3.1-8B-Instruct/tulu/seed42	functional_flat	3.8641432121195187	3.9835510863331436	0.3696857670979625	-1.6655487401057485	False	True
Llama-3.1-8B-Instruct/tulu/seed43	functional_hns_a05	3.2207610771905664	2.678790703226859	-1.6635859519408456	-1.4519921894099355	True	True
Llama-3.1-8B-Instruct/tulu/seed43	functional_hns_a10	4.244543504567499	4.185529560902985	-1.293900184842883	-1.1212276917443091	True	True
Llama-3.1-8B-Instruct/tulu/seed43	functional_flat	4.257221035738686	4.162733472078637	-0.7393715341959393	-0.49277749100198776	True	True
Llama-3.1-8B-Instruct/tulu/seed44	functional_hns_a05	3.6172662634045896	3.1040543627826764	-0.18484288354898126	-0.3868185856891415	True	True
Llama-3.1-8B-Instruct/tulu/seed44	functional_hns_a10	4.721392589446879	4.713186744786928	0.18484288354898126	-1.1724012806481454	False	True
Llama-3.1-8B-Instruct/tulu/seed44	functional_flat	4.733582288896365	4.698087946303222	-1.4787430683918643	-0.6716979992642962	True	True
Qwen3-8B/magicoder/seed42	functional_hns_a05	6.47943368922063	3.7628606267462175	-4.268292682926827	-0.9257563080500688	True	True
Qwen3-8B/magicoder/seed42	functional_hns_a10	13.533704945985004	9.935952282142619	-6.707317073170728	-1.315101602859201	True	True
Qwen3-8B/magicoder/seed42	functional_flat	13.56378326105284	10.077275274120204	-7.317073170731703	-1.3660428346988738	True	True
Qwen3-8B/magicoder/seed43	functional_hns_a05	6.750173419371954	3.7998581372140148	-0.6097560975609753	-0.3667002715583294	True	True
