base	task	seed	method	module	analytic_energy_relative_error	saved_energy_relative_error	shape_spread	source_basis_sha256	nuclear_ratio
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.0.mlp.down_proj	1.1102230246251565e-16	1.2164310885243168e-06	2.7755575615628914e-17	f6a4d99dce955960fcf78a6462146a39cd424d6f6b323245ed5392f9f751b7f8	0.1682398140968486
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.0.mlp.gate_proj	1.1102230246251565e-16	1.4025071922718624e-06	2.220446049250313e-16	ef793eb39bb6eafa297168d597deeb3072ab0fe040254874f70283930a85fabe	0.6880306773182775
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.0.mlp.up_proj	2.220446049250313e-16	2.7138221472267077e-06	1.1102230246251565e-16	75329b170d75d46892880c98331ff73e2459b31ab8dc8e32f231646dbe114a54	0.6473972437300263
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.0.self_attn.k_proj	0.0	3.1577399717264143e-07	1.1102230246251565e-16	cc207de4d1f4c606e59499e356e0a4623b3553634044d8045e494dba100f32d6	0.6677264037457858
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.0.self_attn.o_proj	2.220446049250313e-16	9.171165715748941e-07	0.0	c651f6b99873462df5f20b8c504514a45008485bef9457fc4e7d2192758b772b	0.31076814802705255
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.0.self_attn.q_proj	4.440892098500626e-16	1.5535954518419715e-06	0.0	240217247b4cd5ab19fea9f590e8a2d9d21b410324529b3abbcfacce05e9bee1	0.5646703028847906
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.0.self_attn.v_proj	0.0	8.159944991925627e-07	5.551115123125783e-17	02d76012406323b91588c6bdb36ba7335efd4984d98ae06740a746569ea567bc	0.32185898709986477
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.1.mlp.down_proj	2.220446049250313e-16	3.2746215294920944e-08	0.0	81bcdd95273542ac2636770008468ac856737201dca080174baaff3ab3364767	0.13693736825848912
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.1.mlp.gate_proj	2.220446049250313e-16	7.05853313909266e-06	2.7755575615628914e-17	9548e0a2454545ec8e85d0d1df06897917b93ae5a9f59d9b65d780e7d4e10469	0.11116287594749116
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.1.mlp.up_proj	2.220446049250313e-16	7.375818185106908e-07	2.7755575615628914e-17	f1108b333dfb9504599b1abdcc18e9a4bb00c76bc6bd8f179bc5931714e8b3da	0.12415280493181036
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.1.self_attn.k_proj	2.220446049250313e-16	3.419107071578331e-06	5.551115123125783e-17	c2906c842a0c97843f157ee4c97bf62aa867c01f70c1de2994301f0e9abc159f	0.24568701453171496
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.1.self_attn.o_proj	2.220446049250313e-16	9.464551810056676e-07	2.7755575615628914e-17	7f6145a32129532d8d2a6bfae1a1c6418354eb47d977e7008c5a4f4073b61391	0.16525518576600035
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.1.self_attn.q_proj	2.220446049250313e-16	4.274635245993252e-06	2.7755575615628914e-17	108964cf2ecb01f7fcd98e29adcddb8f3aa5c70590284eda99503464b543ada4	0.1698753843371428
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.1.self_attn.v_proj	1.1102230246251565e-16	4.342260044865043e-07	2.7755575615628914e-17	207f1837098f68f5f3017251be01439db7ae2edc693c0342b87925ecf238f0b6	0.12312537848741177
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.10.mlp.down_proj	1.1102230246251565e-16	5.635610940135649e-07	2.7755575615628914e-17	b94b797f28291537c39cb47cbb9afa82257bb816008908f73f1f7057978f6fa3	0.1234137998323807
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.10.mlp.gate_proj	0.0	1.2486079987716892e-06	5.551115123125783e-17	4f410535c7bb2edef90addf32e6b9544bc9d3ed119f1f98528946cf9af341a19	0.231601958660027
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.10.mlp.up_proj	0.0	5.687631282613737e-07	2.7755575615628914e-17	b2aa42c1c5a9b5e49c558910d6591cfd39ab5d2181cfcadc0312514b717c0568	0.20399345199094734
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.10.self_attn.k_proj	0.0	1.8899847284981064e-06	5.551115123125783e-17	ad3b6f8920470b32d1c196a0270a7becd1059f4f3e50c29d40615fad23e0c9a9	0.24854236024781973
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.10.self_attn.o_proj	2.220446049250313e-16	2.4910422752322248e-06	2.7755575615628914e-17	179bfb27bcb174aabbe8529e8516bb91d99f890ae9b49aad9fc02736c51d3f82	0.19147595806008058
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.10.self_attn.q_proj	3.3306690738754696e-16	3.231672205949998e-06	0.0	e25d650f5a1c998061b4d69e9129fed927de336075bc7161c30fd9a0a717f8bd	0.15100500324949212
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.10.self_attn.v_proj	2.220446049250313e-16	1.3876341420360205e-07	2.7755575615628914e-17	7564f195f3f525105322f7ece9639dc7f7fc0ac0e04236868bf789433e6885e2	0.17583841826305238
Qwen3-8B	magicoder	42	scalar_e	base_model.model.model.layers.11.mlp.down_proj	3.3306690738754696e-16	1.402746482748185e-06	0.0	4cc8cc6ffab6f7a266e6337a969bf1f350e00e8c2f0f37e1933b49eb790d497a	0.17956739017896597
