base	task	seed	module	fro_matching_gain	energy_matching_gain	old_fro_scalar_energy_over_hns
Qwen3-8B	magicoder	42	base_model.model.model.layers.0.mlp.down_proj	0.5314543305304689	0.16823981409684857	9.978708609638495
Qwen3-8B	magicoder	42	base_model.model.model.layers.0.mlp.gate_proj	0.8760723827793775	0.6880306773182774	1.6213037027770998
Qwen3-8B	magicoder	42	base_model.model.model.layers.0.mlp.up_proj	0.8691711130976937	0.6473972437300263	1.8024734486772713
Qwen3-8B	magicoder	42	base_model.model.model.layers.0.self_attn.k_proj	0.9341010241188571	0.6677264037457858	1.9569989691853762
Qwen3-8B	magicoder	42	base_model.model.model.layers.0.self_attn.o_proj	0.7625452430022813	0.31076814802705255	6.020855896903399
Qwen3-8B	magicoder	42	base_model.model.model.layers.0.self_attn.q_proj	0.8022332786852266	0.5646703028847905	2.018419584514421
Qwen3-8B	magicoder	42	base_model.model.model.layers.0.self_attn.v_proj	0.7350807518360916	0.32185898709986477	5.216014875478552
Qwen3-8B	magicoder	42	base_model.model.model.layers.1.mlp.down_proj	0.4472181653651886	0.13693736825848912	10.665836381690179
Qwen3-8B	magicoder	42	base_model.model.model.layers.1.mlp.gate_proj	0.4117357218614629	0.11116287594749116	13.71884493182077
Qwen3-8B	magicoder	42	base_model.model.model.layers.1.mlp.up_proj	0.44514248884707774	0.12415280493181033	12.855383224169962
Qwen3-8B	magicoder	42	base_model.model.model.layers.1.self_attn.k_proj	0.5361484000366489	0.245687014531715	4.762177980566684
Qwen3-8B	magicoder	42	base_model.model.model.layers.1.self_attn.o_proj	0.5061867665671992	0.16525518576600035	9.382344617381907
Qwen3-8B	magicoder	42	base_model.model.model.layers.1.self_attn.q_proj	0.5047381552931637	0.16987538433714275	8.828183823812784
Qwen3-8B	magicoder	42	base_model.model.model.layers.1.self_attn.v_proj	0.4231091503628987	0.12312537848741179	11.80890634641534
Qwen3-8B	magicoder	42	base_model.model.model.layers.10.mlp.down_proj	0.40324672066694467	0.12341379983238068	10.676139507196586
Qwen3-8B	magicoder	42	base_model.model.model.layers.10.mlp.gate_proj	0.6093874893158147	0.23160195866002703	6.9231319984615025
Qwen3-8B	magicoder	42	base_model.model.model.layers.10.mlp.up_proj	0.5678292820503467	0.20399345199094737	7.748240900774507
Qwen3-8B	magicoder	42	base_model.model.model.layers.10.self_attn.k_proj	0.6312604715872101	0.24854236024781973	6.450841249895904
Qwen3-8B	magicoder	42	base_model.model.model.layers.10.self_attn.o_proj	0.5433881023337631	0.19147595806008055	8.053631381980273
Qwen3-8B	magicoder	42	base_model.model.model.layers.10.self_attn.q_proj	0.5089530811537261	0.15100500324949215	11.359855883564984
Qwen3-8B	magicoder	42	base_model.model.model.layers.10.self_attn.v_proj	0.5303828804214908	0.17583841826305238	9.09811575913161
Qwen3-8B	magicoder	42	base_model.model.model.layers.11.mlp.down_proj	0.4935280905074359	0.179567390178966	7.5538579237882
Qwen3-8B	magicoder	42	base_model.model.model.layers.11.mlp.gate_proj	0.6871543876217608	0.32073013641182585	4.590173589555529
Qwen3-8B	magicoder	42	base_model.model.model.layers.11.mlp.up_proj	0.623303481111843	0.23571818257383048	6.992185426922944
