group	comparison	metric	n_checkpoints	n_defined	mean_difference	ci_low	ci_high	uncertainty
benchmark/magicoder	hns_f4_s1 minus scalar_e	recovery_rate	18	18	-0.0019150028136956253	-0.07462181337181338	0.0669316737637816	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/magicoder	hns_f4_s1 minus scalar_e	retention_rate	18	18	-0.013605999411937904	-0.06161411248911249	0.03929049781382759	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/magicoder	hns_f4_s1 minus scalar_e	new_success_rate	18	18	0.0010162601626016266	-0.003726287262872628	0.005420054200542006	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/magicoder	hns_f4_s1 minus scalar_e	new_damage_rate	18	18	0.0013550135501355014	-0.0020325203252032514	0.005081300813008129	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/magicoder	hns_f4_s1 minus flat_e	recovery_rate	18	18	-0.00527135150791065	-0.02569295101553166	0.015883838383838365	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/magicoder	hns_f4_s1 minus flat_e	retention_rate	18	18	0.011027361939344957	-0.0051880973294017065	0.028087367865138275	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/magicoder	hns_f4_s1 minus flat_e	new_success_rate	18	18	-0.0003387533875338746	-0.0030487804878048773	0.0023712737127371286	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/magicoder	hns_f4_s1 minus flat_e	new_damage_rate	18	18	-0.0006775067750677507	-0.003387533875338754	0.002371273712737128	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/magicoder	scalar_e minus flat_e	recovery_rate	18	18	-0.0033563486942150248	-0.06370686305820977	0.06304934266436735	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/magicoder	scalar_e minus flat_e	retention_rate	18	18	0.024633361351282863	-0.02664926766398137	0.07118669492907287	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/magicoder	scalar_e minus flat_e	new_success_rate	18	18	-0.001355013550135501	-0.005758807588075881	0.0027100271002710036	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/magicoder	scalar_e minus flat_e	new_damage_rate	18	18	-0.002032520325203252	-0.007113821138211383	0.0030487804878048777	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/metamath	hns_f4_s1 minus scalar_e	recovery_rate	18	18	-0.01995019183115037	-0.04098562904314377	0.002673936103209534	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/metamath	hns_f4_s1 minus scalar_e	retention_rate	18	18	-0.005865834356627763	-0.02739803602814652	0.019094245835774314	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/metamath	hns_f4_s1 minus scalar_e	new_success_rate	18	18	8.423890152472422e-05	-0.0032010782579395157	0.0030326004548900678	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/metamath	hns_f4_s1 minus scalar_e	new_damage_rate	18	18	-0.0017690169320192066	-0.004001347822424395	0.00021165024008086425	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/metamath	hns_f4_s1 minus flat_e	recovery_rate	18	18	0.007539639693134068	-0.004426138362347396	0.016647422729900416	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/metamath	hns_f4_s1 minus flat_e	retention_rate	18	18	-0.01013175178499768	-0.019613585866245085	-0.0002907878809902156	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/metamath	hns_f4_s1 minus flat_e	new_success_rate	18	18	0.0016847780304944822	0.000758150113722517	0.00265352539802881	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/metamath	hns_f4_s1 minus flat_e	new_damage_rate	18	18	0.0003790750568612585	-0.0005475528599107067	0.0014320613259203095	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/metamath	scalar_e minus flat_e	recovery_rate	18	18	0.02748983152428444	0.008233297707035514	0.04187385378045258	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/metamath	scalar_e minus flat_e	retention_rate	18	18	-0.004265917428369915	-0.027620738404468787	0.017990042815743016	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
benchmark/metamath	scalar_e minus flat_e	new_success_rate	18	18	0.001600539128969758	-0.0013478224243955862	0.005224917867071003	source-checkpoint bootstrap on fixed test set; descriptive run heterogeneity
