checkpoint	benchmark	level	comparison	metric	mean_difference	ci_low	ci_high	bootstrap_defined	bootstrap_resamples	uncertainty
Llama-3.1-8B-Instruct/magicoder/seed42	arc_challenge	atomic_benchmark	hns_f4_s1 minus scalar_e	recovery_rate	-0.03614457831325302	-0.10715245775729652	0.03411072938689204	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	arc_challenge	atomic_benchmark	hns_f4_s1 minus scalar_e	retention_rate	-0.016949152542372947	-0.078125	0.037072649572649434	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	arc_challenge	atomic_benchmark	hns_f4_s1 minus scalar_e	new_success_rate	0.0	-0.0034129692832764505	0.003412969283276451	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	arc_challenge	atomic_benchmark	hns_f4_s1 minus scalar_e	new_damage_rate	0.0025597269624573387	-0.0008532423208191127	0.0068259385665529	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	arc_challenge	atomic_benchmark	hns_f4_s1 minus flat_e	recovery_rate	-0.012048192771084265	-0.06666666666666665	0.040013513513513475	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	arc_challenge	atomic_benchmark	hns_f4_s1 minus flat_e	retention_rate	0.0	-0.06451612903225801	0.06666666666666671	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	arc_challenge	atomic_benchmark	hns_f4_s1 minus flat_e	new_success_rate	0.0	-0.002559726962457338	0.002559726962457338	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	arc_challenge	atomic_benchmark	hns_f4_s1 minus flat_e	new_damage_rate	0.0017064846416382264	0.0	0.004266211604095563	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	arc_challenge	atomic_benchmark	scalar_e minus flat_e	recovery_rate	0.024096385542168752	-0.05128205128205132	0.09574832410375979	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	arc_challenge	atomic_benchmark	scalar_e minus flat_e	retention_rate	0.016949152542372947	-0.06977764177886578	0.1052830940988835	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	arc_challenge	atomic_benchmark	scalar_e minus flat_e	new_success_rate	0.0	-0.003412969283276451	0.0034129692832764505	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	arc_challenge	atomic_benchmark	scalar_e minus flat_e	new_damage_rate	-0.0008532423208191123	-0.004266211604095564	0.002559726962457338	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	arc_easy	atomic_benchmark	hns_f4_s1 minus scalar_e	recovery_rate	-0.07352941176470584	-0.14084507042253513	-0.015625	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	arc_easy	atomic_benchmark	hns_f4_s1 minus scalar_e	retention_rate	0.0	-0.07246376811594202	0.07148109243697458	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	arc_easy	atomic_benchmark	hns_f4_s1 minus scalar_e	new_success_rate	0.00042087542087542086	0.0	0.0012626262626262627	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	arc_easy	atomic_benchmark	hns_f4_s1 minus scalar_e	new_damage_rate	-0.0004208754208754207	-0.0025252525252525255	0.0016835016835016834	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	arc_easy	atomic_benchmark	hns_f4_s1 minus flat_e	recovery_rate	0.0	-0.07408789386401327	0.07352941176470584	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	arc_easy	atomic_benchmark	hns_f4_s1 minus flat_e	retention_rate	0.01428571428571429	0.0	0.048387096774193505	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	arc_easy	atomic_benchmark	hns_f4_s1 minus flat_e	new_success_rate	0.0	0.0	0.0	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	arc_easy	atomic_benchmark	hns_f4_s1 minus flat_e	new_damage_rate	-0.0016835016835016832	-0.0033670033670033673	-0.0004208754208754207	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	arc_easy	atomic_benchmark	scalar_e minus flat_e	recovery_rate	0.07352941176470584	0.0	0.1518987341772151	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	arc_easy	atomic_benchmark	scalar_e minus flat_e	retention_rate	0.01428571428571429	-0.0491803278688524	0.078125	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	arc_easy	atomic_benchmark	scalar_e minus flat_e	new_success_rate	-0.00042087542087542086	-0.0012626262626262627	0.0	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	arc_easy	atomic_benchmark	scalar_e minus flat_e	new_damage_rate	-0.0012626262626262625	-0.003787878787878788	0.0012626262626262625	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	boolq	atomic_benchmark	hns_f4_s1 minus scalar_e	recovery_rate	0.0714285714285714	0.0	0.1578947368421052	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	boolq	atomic_benchmark	hns_f4_s1 minus scalar_e	retention_rate	-0.023809523809523836	-0.10640197568389062	0.057142857142857106	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	boolq	atomic_benchmark	hns_f4_s1 minus scalar_e	new_success_rate	0.0006116207951070337	0.0	0.0015290519877675843	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	boolq	atomic_benchmark	hns_f4_s1 minus scalar_e	new_damage_rate	0.0009174311926605505	-0.0003058103975535169	0.002140672782874618	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	boolq	atomic_benchmark	hns_f4_s1 minus flat_e	recovery_rate	0.023809523809523836	-0.05263157894736836	0.10810810810810811	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	boolq	atomic_benchmark	hns_f4_s1 minus flat_e	retention_rate	-0.023809523809523836	-0.08167517006802724	0.0	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	boolq	atomic_benchmark	hns_f4_s1 minus flat_e	new_success_rate	0.0	0.0	0.0	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	boolq	atomic_benchmark	hns_f4_s1 minus flat_e	new_damage_rate	0.0015290519877675843	0.0003058103975535168	0.003058103975535168	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	boolq	atomic_benchmark	scalar_e minus flat_e	recovery_rate	-0.04761904761904756	-0.1428571428571428	0.045454545454545414	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	boolq	atomic_benchmark	scalar_e minus flat_e	retention_rate	0.0	-0.06980897009966779	0.06666666666666665	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	boolq	atomic_benchmark	scalar_e minus flat_e	new_success_rate	-0.0006116207951070337	-0.0015290519877675843	0.0	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	boolq	atomic_benchmark	scalar_e minus flat_e	new_damage_rate	0.0006116207951070337	0.0	0.0015290519877675843	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	hellaswag	atomic_benchmark	hns_f4_s1 minus scalar_e	recovery_rate	-0.034692107545533424	-0.05282548356318845	-0.016947364657083568	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	hellaswag	atomic_benchmark	hns_f4_s1 minus scalar_e	retention_rate	-0.028301886792452824	-0.06807694281901244	0.009134524335584863	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	hellaswag	atomic_benchmark	hns_f4_s1 minus scalar_e	new_success_rate	-0.0004979087831109338	-0.0012945628360884285	0.0002987452698665601	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	hellaswag	atomic_benchmark	hns_f4_s1 minus scalar_e	new_damage_rate	0.001991635132443736	0.0010953993228440548	0.0029874526986656044	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	hellaswag	atomic_benchmark	hns_f4_s1 minus flat_e	recovery_rate	-0.006071118820468402	-0.020601994899099287	0.008842714521957484	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	hellaswag	atomic_benchmark	hns_f4_s1 minus flat_e	retention_rate	0.009433962264150941	-0.019514586322333827	0.03828211262421789	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	hellaswag	atomic_benchmark	hns_f4_s1 minus flat_e	new_success_rate	-0.00019916351324437368	-0.0008962358095996811	0.0004979087831109338	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	hellaswag	atomic_benchmark	hns_f4_s1 minus flat_e	new_damage_rate	-0.00039832702648874736	-0.0011949810794662417	0.00039832702648874736	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	hellaswag	atomic_benchmark	scalar_e minus flat_e	recovery_rate	0.028620988725065022	0.012420171286288802	0.04619631642512081	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	hellaswag	atomic_benchmark	scalar_e minus flat_e	retention_rate	0.037735849056603765	0.0046077664566862905	0.0730593607305936	2000	2000	paired test samples conditional on one fixed source checkpoint
