base	task	seed	checkpoint	method	benchmark	role	recovery_rate	recovery_rate_defined	retention_rate	retention_rate_defined	new_success_rate	new_success_rate_defined	new_damage_rate	new_damage_rate_defined	new_success_conditional_rate	new_success_conditional_rate_defined	new_damage_conditional_rate	new_damage_conditional_rate_defined	n_units	samples	recovery_set_size	retention_set_size	new_success_set_size	new_damage_set_size	recovered	retained	new_success	new_damage
Qwen3-8B	magicoder	42	Qwen3-8B/magicoder/seed42	hns_f4_s1	magicoder	target	0.8666666666666667	1	0.5714285714285714	1	0.012195121951219513	1	0.0	1	0.07407407407407407	1	0.0	1	1	164	30	28	27	79	26	16	2	0
Qwen3-8B	magicoder	42	Qwen3-8B/magicoder/seed42	scalar_e	magicoder	target	0.8666666666666667	1	0.5714285714285714	1	0.024390243902439025	1	0.006097560975609756	1	0.14814814814814814	1	0.012658227848101266	1	1	164	30	28	27	79	26	16	4	1
Qwen3-8B	magicoder	42	Qwen3-8B/magicoder/seed42	flat_e	magicoder	target	0.8666666666666667	1	0.5714285714285714	1	0.018292682926829267	1	0.0	1	0.1111111111111111	1	0.0	1	1	164	30	28	27	79	26	16	3	0
Qwen3-8B	magicoder	43	Qwen3-8B/magicoder/seed43	hns_f4_s1	magicoder	target	0.7741935483870968	1	0.52	1	0.042682926829268296	1	0.0	1	0.23333333333333334	1	0.0	1	1	164	31	25	30	78	24	13	7	0
Qwen3-8B	magicoder	43	Qwen3-8B/magicoder/seed43	scalar_e	magicoder	target	0.7741935483870968	1	0.6	1	0.054878048780487805	1	0.0	1	0.3	1	0.0	1	1	164	31	25	30	78	24	15	9	0
Qwen3-8B	magicoder	43	Qwen3-8B/magicoder/seed43	flat_e	magicoder	target	0.8064516129032258	1	0.56	1	0.036585365853658534	1	0.0	1	0.2	1	0.0	1	1	164	31	25	30	78	25	14	6	0
Qwen3-8B	magicoder	44	Qwen3-8B/magicoder/seed44	hns_f4_s1	magicoder	target	0.7857142857142857	1	0.6	1	0.024390243902439025	1	0.0	1	0.13333333333333333	1	0.0	1	1	164	28	25	30	81	22	15	4	0
Qwen3-8B	magicoder	44	Qwen3-8B/magicoder/seed44	scalar_e	magicoder	target	0.8214285714285714	1	0.68	1	0.042682926829268296	1	0.006097560975609756	1	0.23333333333333334	1	0.012345679012345678	1	1	164	28	25	30	81	23	17	7	1
Qwen3-8B	magicoder	44	Qwen3-8B/magicoder/seed44	flat_e	magicoder	target	0.7857142857142857	1	0.56	1	0.036585365853658534	1	0.0	1	0.2	1	0.0	1	1	164	28	25	30	81	22	14	6	0
Qwen3-8B	metamath	42	Qwen3-8B/metamath/seed42	hns_f4_s1	magicoder	off_task	0.5185185185185185	1	0.6521739130434783	1	0.018292682926829267	1	0.018292682926829267	1	0.09375	1	0.036585365853658534	1	1	164	27	23	32	82	14	15	3	3
Qwen3-8B	metamath	42	Qwen3-8B/metamath/seed42	scalar_e	magicoder	off_task	0.48148148148148145	1	0.43478260869565216	1	0.024390243902439025	1	0.012195121951219513	1	0.125	1	0.024390243902439025	1	1	164	27	23	32	82	13	10	4	2
Qwen3-8B	metamath	42	Qwen3-8B/metamath/seed42	flat_e	magicoder	off_task	0.5185185185185185	1	0.6086956521739131	1	0.018292682926829267	1	0.018292682926829267	1	0.09375	1	0.036585365853658534	1	1	164	27	23	32	82	14	14	3	3
Qwen3-8B	metamath	43	Qwen3-8B/metamath/seed43	hns_f4_s1	magicoder	off_task	0.6388888888888888	1	0.8636363636363636	1	0.042682926829268296	1	0.012195121951219513	1	0.21212121212121213	1	0.0273972602739726	1	1	164	36	22	33	73	23	19	7	2
Qwen3-8B	metamath	43	Qwen3-8B/metamath/seed43	scalar_e	magicoder	off_task	0.5277777777777778	1	0.6363636363636364	1	0.036585365853658534	1	0.006097560975609756	1	0.18181818181818182	1	0.0136986301369863	1	1	164	36	22	33	73	19	14	6	1
Qwen3-8B	metamath	43	Qwen3-8B/metamath/seed43	flat_e	magicoder	off_task	0.6666666666666666	1	0.8636363636363636	1	0.036585365853658534	1	0.012195121951219513	1	0.18181818181818182	1	0.0273972602739726	1	1	164	36	22	33	73	24	19	6	2
Qwen3-8B	metamath	44	Qwen3-8B/metamath/seed44	hns_f4_s1	magicoder	off_task	0.7678571428571429	1	0.5	1	0.06707317073170732	1	0.018292682926829267	1	0.2682926829268293	1	0.05660377358490566	1	1	164	56	14	41	53	43	7	11	3
Qwen3-8B	metamath	44	Qwen3-8B/metamath/seed44	scalar_e	magicoder	off_task	0.6428571428571429	1	0.6428571428571429	1	0.054878048780487805	1	0.018292682926829267	1	0.21951219512195122	1	0.05660377358490566	1	1	164	56	14	41	53	36	9	9	3
Qwen3-8B	metamath	44	Qwen3-8B/metamath/seed44	flat_e	magicoder	off_task	0.7678571428571429	1	0.42857142857142855	1	0.06707317073170732	1	0.018292682926829267	1	0.2682926829268293	1	0.05660377358490566	1	1	164	56	14	41	53	43	6	11	3
Qwen3-8B	tulu	42	Qwen3-8B/tulu/seed42	hns_f4_s1	magicoder	off_task	0.7272727272727273	1	0.7560975609756098	1	0.018292682926829267	1	0.024390243902439025	1	0.21428571428571427	1	0.04081632653061224	1	1	164	11	41	14	98	8	31	3	4
Qwen3-8B	tulu	42	Qwen3-8B/tulu/seed42	scalar_e	magicoder	off_task	0.5454545454545454	1	0.6829268292682927	1	0.018292682926829267	1	0.03048780487804878	1	0.21428571428571427	1	0.05102040816326531	1	1	164	11	41	14	98	6	28	3	5
Qwen3-8B	tulu	42	Qwen3-8B/tulu/seed42	flat_e	magicoder	off_task	0.6363636363636364	1	0.7073170731707317	1	0.018292682926829267	1	0.006097560975609756	1	0.21428571428571427	1	0.01020408163265306	1	1	164	11	41	14	98	7	29	3	1
Qwen3-8B	tulu	43	Qwen3-8B/tulu/seed43	hns_f4_s1	magicoder	off_task	0.6666666666666666	1	0.7567567567567568	1	0.006097560975609756	1	0.012195121951219513	1	0.05555555555555555	1	0.020618556701030927	1	1	164	12	37	18	97	8	28	1	2
Qwen3-8B	tulu	43	Qwen3-8B/tulu/seed43	scalar_e	magicoder	off_task	0.6666666666666666	1	0.8378378378378378	1	0.006097560975609756	1	0.006097560975609756	1	0.05555555555555555	1	0.010309278350515464	1	1	164	12	37	18	97	8	31	1	1
