comparison	role	metric	n_defined	mean_difference	ci_low	ci_high
HNS minus scalar_e	all	recovery_rate	18	-0.005244320507161806	-0.025801575383651684	0.016913069827642832
HNS minus scalar_e	all	retention_rate	18	-0.009316939997280647	-0.026353094024024498	0.010095802639613896
HNS minus scalar_e	all	new_success_rate	18	0.0006643730159195732	-0.000828931299061948	0.0022418503656667192
HNS minus scalar_e	all	new_damage_rate	18	-0.0008872069304926383	-0.0018468788418912253	8.007315080363215e-05
HNS minus scalar_e	target	recovery_rate	18	-0.07355368073422118	-0.12168479911825733	-0.032377795836799686
HNS minus scalar_e	target	retention_rate	18	0.015563183949502216	-0.01348436712940492	0.044912367797608516
HNS minus scalar_e	target	new_success_rate	18	7.98505488484776e-05	-0.0034640893856207897	0.003384029079780749
HNS minus scalar_e	target	new_damage_rate	18	-0.0005606111049415923	-0.003516163784046852	0.002494629919565993
HNS minus scalar_e	off_task	recovery_rate	18	0.017525466235191314	-0.002180833999381856	0.040728709730509016
HNS minus scalar_e	off_task	retention_rate	18	-0.017610314646208262	-0.03684485367896189	0.005054724135167023
HNS minus scalar_e	off_task	new_success_rate	18	0.0008592138382766056	-0.000528454958916118	0.0023992690476909296
HNS minus scalar_e	off_task	new_damage_rate	18	-0.0009960722056763206	-0.001956047726568997	-6.616858706085153e-05
HNS minus flat_e	all	recovery_rate	18	-0.0007882048891451332	-0.006192717009074752	0.004694848637198264
HNS minus flat_e	all	retention_rate	18	-0.0017561552310786902	-0.00851002992083232	0.004743076381727354
HNS minus flat_e	all	new_success_rate	18	0.0003905947266033025	-0.00039078603235265653	0.001255033491025931
HNS minus flat_e	all	new_damage_rate	18	-0.0008003774143664289	-0.0015226878283983373	-3.636750723271267e-05
HNS minus flat_e	target	recovery_rate	18	-0.013800263658856275	-0.03185654968138953	0.002870294964528917
HNS minus flat_e	target	retention_rate	18	-0.004656598187353496	-0.019068911441567752	0.010038285300985557
HNS minus flat_e	target	new_success_rate	18	-0.0007380778151659349	-0.0034653359051738477	0.0019788926521624025
HNS minus flat_e	target	new_damage_rate	18	-0.0010954949938580339	-0.0032441767329039794	0.0007738689993212613
HNS minus flat_e	off_task	recovery_rate	18	0.003549148034091895	-0.00479854718010083	0.011110859924889957
HNS minus flat_e	off_task	retention_rate	18	-0.0007893409123203946	-0.007005595765620204	0.006092906851141983
HNS minus flat_e	off_task	new_success_rate	18	0.0007668189071930484	4.60609359405424e-05	0.0014517146784080069
HNS minus flat_e	off_task	new_damage_rate	18	-0.0007020048878692274	-0.001968047374664284	0.0005476520013809889
