checkpoint	method	role	recovery_rate	recovery_rate_defined	retention_rate	retention_rate_defined	new_success_rate	new_success_rate_defined	new_damage_rate	new_damage_rate_defined	new_success_conditional_rate	new_success_conditional_rate_defined	new_damage_conditional_rate	new_damage_conditional_rate_defined	n_units	samples	recovery_set_size	retention_set_size	new_success_set_size	new_damage_set_size	recovered	retained	new_success	new_damage
Llama-3.1-8B-Instruct/magicoder/seed42	hns_f4_s1	all	0.6404073362338691	4	0.4762608764545043	4	0.018561267437176215	4	0.016673300669925225	4	0.06137168410623644	4	0.03568688743519653	4	4	24443	1997	843	7274	14329	1086	404	107	106
Llama-3.1-8B-Instruct/magicoder/seed42	hns_f4_s1	target	0.5555555555555556	1	0.65	1	0.012195121951219513	1	0.018292682926829267	1	0.034482758620689655	1	0.04411764705882353	1	1	164	18	20	58	68	10	13	2	3
Llama-3.1-8B-Instruct/magicoder/seed42	hns_f4_s1	off_task	0.6686912631266404	3	0.4183478352726724	3	0.02068331593249512	3	0.016133506584290542	3	0.07033465926808537	3	0.03287663422732087	3	3	24279	1979	823	7216	14261	1076	391	105	103
Llama-3.1-8B-Instruct/magicoder/seed42	scalar_e	all	0.6918524485926456	4	0.48626159417058656	4	0.01593604569813377	4	0.013668191426404071	4	0.05388985172662676	4	0.028918594831934125	4	4	24443	1997	843	7274	14329	1127	430	109	77
Llama-3.1-8B-Instruct/magicoder/seed42	scalar_e	target	0.7777777777777778	1	0.6	1	0.0	1	0.012195121951219513	1	0.0	1	0.029411764705882353	1	1	164	18	20	58	68	14	12	0	2
Llama-3.1-8B-Instruct/magicoder/seed42	scalar_e	off_task	0.6632106721976015	3	0.4483487922274488	3	0.021248060930845025	3	0.014159214584798923	3	0.07185313563550234	3	0.028754204873951385	3	3	24279	1979	823	7216	14261	1113	418	109	75
Llama-3.1-8B-Instruct/magicoder/seed42	flat_e	all	0.6370117768785928	4	0.458930873314075	4	0.013586789431170202	4	0.016662579923253068	4	0.04643409633769075	4	0.03565399878474345	4	4	24443	1997	843	7274	14329	1098	399	102	109
Llama-3.1-8B-Instruct/magicoder/seed42	flat_e	target	0.5555555555555556	1	0.6	1	0.0	1	0.018292682926829267	1	0.0	1	0.04411764705882353	1	1	164	18	20	58	68	10	12	0	3
Llama-3.1-8B-Instruct/magicoder/seed42	flat_e	off_task	0.6641638506529385	3	0.41190783108543333	3	0.01811571924156027	3	0.016119212255394335	3	0.06191212845025434	3	0.032832782693383425	3	3	24279	1979	823	7216	14261	1088	387	102	106
Llama-3.1-8B-Instruct/magicoder/seed43	hns_f4_s1	all	0.6858413510764216	4	0.4216286466274872	4	0.02576994242351617	4	0.023240631273645722	4	0.09684176227246491	4	0.05232763372779366	4	4	24443	2007	2016	6101	14319	1637	567	534	276
