group	method	recovery_rate	recovery_rate_defined	retention_rate	retention_rate_defined	new_success_rate	new_success_rate_defined	new_damage_rate	new_damage_rate_defined	new_success_conditional_rate	new_success_conditional_rate_defined	new_damage_conditional_rate	new_damage_conditional_rate_defined	n_units	samples	recovery_set_size	retention_set_size	new_success_set_size	new_damage_set_size	recovered	retained	new_success	new_damage
benchmark/arc_challenge	hns_f4_s1	0.6041834779440483	18	0.6803656211960971	18	0.009670079635949942	18	0.007157755024649223	18	0.07828577606355144	18	0.010668198986704153	18	18	21096	1333	1133	3115	15515	819	760	204	151
benchmark/arc_easy	hns_f4_s1	0.6151723697634127	18	0.6913220562806862	18	0.0036242050130939015	18	0.0028759820426487092	18	0.06734435638002972	18	0.003381393192947041	18	18	42768	1545	1327	2354	37542	1051	904	155	123
benchmark/boolq	hns_f4_s1	0.7336350717834844	18	0.3701152002030204	18	0.0033639143730886853	18	0.005147808358817533	18	0.029849758478573667	18	0.006319575581785786	18	18	58860	1874	1524	6504	48958	1483	537	198	303
benchmark/hellaswag	hns_f4_s1	0.5783922360930053	18	0.5026920242809765	18	0.013686959215738344	18	0.007396711589103542	18	0.04638715017017028	18	0.014688762819317006	18	18	180756	12234	7570	47564	113388	6980	3729	2474	1337
benchmark/magicoder	hns_f4_s1	0.5794875263381483	18	0.6827077510826186	18	0.023712737127371278	18	0.014905149051490516	18	0.11201785848134915	18	0.033037373314631205	18	18	2952	379	468	729	1376	238	325	70	44
benchmark/metamath	hns_f4_s1	0.6298313105904467	18	0.7073713610251914	18	0.029188779378316907	18	0.02051217252127032	18	0.19264775211092963	18	0.03502142650200706	18	18	23742	2141	2532	3624	15445	1422	1833	693	487
benchmark/openbookqa	hns_f4_s1	0.6211402794736128	18	0.6050332010962448	18	0.010333333333333335	18	0.005222222222222222	18	0.05125387772178621	18	0.00806005945156933	18	18	9000	312	500	1822	6366	198	300	93	47
benchmark/piqa	hns_f4_s1	0.646126335783009	18	0.5063733556405954	18	0.003052835207350985	18	0.003899165759883932	18	0.025004096398573164	18	0.005460780406704335	18	18	33084	2075	1746	4122	25141	1338	831	101	129
benchmark/siqa	hns_f4_s1	0.5867654596659331	18	0.45617192905673737	18	0.004463778005231434	18	0.005316729216422155	18	0.019341804944391416	18	0.008339388115358084	18	18	35172	1736	1857	8160	23419	1022	913	157	187
benchmark/tulu	hns_f4_s1	0.6720951307868093	18	0.5531929088433926	18	0.023208050934483464	18	0.022386527007599095	18	0.08755556049702755	18	0.0430581427116815	18	18	9738	1089	708	2613	5328	736	400	226	218
benchmark/winogrande	hns_f4_s1	0.5157134303992106	18	0.5739347866868755	18	0.00798035604665439	18	0.006007191090064018	18	0.031844673994202516	18	0.015352119723709166	18	18	22806	3255	2980	5876	10695	1606	1735	182	137
benchmark/arc_challenge	scalar_e	0.5787147636526071	18	0.6786972019375423	18	0.007916192643155101	18	0.00862722791050436	18	0.06414119107517145	18	0.01328697033381352	18	18	21096	1333	1133	3115	15515	755	764	167	182
benchmark/arc_easy	scalar_e	0.6024332481958697	18	0.6869151303224382	18	0.00308641975308642	18	0.0036475869809203146	18	0.058066163903707065	18	0.004412623707712906	18	18	42768	1545	1327	2354	37542	956	903	132	156
benchmark/boolq	scalar_e	0.712211067011093	18	0.4024414476751311	18	0.0032959565069656813	18	0.00472307169554876	18	0.02920424835132608	18	0.005828363194988773	18	18	58860	1874	1524	6504	48958	1413	582	194	278
benchmark/hellaswag	scalar_e	0.5465989818648844	18	0.5079269247929834	18	0.010345438049082742	18	0.008420190754387128	18	0.03778871831338535	18	0.017002496206219506	18	18	180756	12234	7570	47564	113388	6442	3718	1870	1522
benchmark/magicoder	scalar_e	0.581402529151844	18	0.6963137504945566	18	0.02269647696476965	18	0.013550135501355011	18	0.1093025757987153	18	0.028880881055653413	18	18	2952	379	468	729	1376	234	330	67	40
benchmark/metamath	scalar_e	0.6497815024215972	18	0.7132371953818191	18	0.029104540476792187	18	0.02228118945328953	18	0.18187756330118354	18	0.03752394008080376	18	18	23742	2141	2532	3624	15445	1465	1842	691	529
benchmark/openbookqa	scalar_e	0.6169705166232944	18	0.6289553384309269	18	0.010444444444444445	18	0.004666666666666668	18	0.05238925711121527	18	0.007141560269274217	18	18	9000	312	500	1822	6366	194	311	94	42
benchmark/piqa	scalar_e	0.6104229848154059	18	0.5355461536258993	18	0.002780800386893967	18	0.0032644178454842216	18	0.0220683826575602	18	0.00457496096065807	18	18	33084	2075	1746	4122	25141	1279	862	92	108
benchmark/siqa	scalar_e	0.5825621912739365	18	0.489737592195153	18	0.003980438985556693	18	0.0044922097122711245	18	0.017003855863277594	18	0.007104278136343359	18	18	35172	1736	1857	8160	23419	1001	963	140	158
benchmark/tulu	scalar_e	0.691292918970256	18	0.5521097901445975	18	0.022181146025878007	18	0.0250564797699733	18	0.08385776085709523	18	0.04780870541118906	18	18	9738	1089	708	2613	5328	749	398	216	244
benchmark/winogrande	scalar_e	0.49052930107146164	18	0.6068207448159751	18	0.010085065333684117	18	0.008901166359729895	18	0.04228574237965628	18	0.023524180867410698	18	18	22806	3255	2980	5876	10695	1602	1744	230	203
benchmark/arc_challenge	flat_e	0.6029395681584897	18	0.6841722310287789	18	0.009859689040576413	18	0.007252559726962458	18	0.07995437699131869	18	0.010779018618278496	18	18	21096	1333	1133	3115	15515	822	764	208	153
benchmark/arc_easy	flat_e	0.6088951810254635	18	0.688477663372858	18	0.0036008230452674894	18	0.003016273849607183	18	0.06961355991145507	18	0.003554885394677786	18	18	42768	1545	1327	2354	37542	1043	900	154	129
benchmark/boolq	flat_e	0.7248377445648819	18	0.37740732922830245	18	0.003312945973496432	18	0.005062861026163778	18	0.029458096545112198	18	0.006209521170206374	18	18	58860	1874	1524	6504	48958	1469	544	195	298
benchmark/hellaswag	flat_e	0.5751246993274375	18	0.5024741265634776	18	0.013465666423244597	18	0.007385646949478856	18	0.04582859434854772	18	0.014626749993853834	18	18	180756	12234	7570	47564	113388	6957	3730	2434	1335
benchmark/magicoder	flat_e	0.584758877846059	18	0.6716803891432737	18	0.02405149051490515	18	0.015582655826558267	18	0.11179313358229474	18	0.03519521960330538	18	18	2952	379	468	729	1376	241	320	71	46
benchmark/metamath	flat_e	0.6222916708973126	18	0.717503112810189	18	0.027504001347822424	18	0.02013309746440907	18	0.1808230391831319	18	0.03431645398853401	18	18	23742	2141	2532	3624	15445	1400	1852	653	478
benchmark/openbookqa	flat_e	0.6296764192597526	18	0.6166113014506055	18	0.009666666666666665	18	0.0047777777777777775	18	0.0488014275810904	18	0.007344527328768707	18	18	9000	312	500	1822	6366	198	302	87	43
benchmark/piqa	flat_e	0.646804992705774	18	0.5109536518871021	18	0.003234191754322331	18	0.004201426671502842	18	0.02579904408567994	18	0.0058937057297580395	18	18	33084	2075	1746	4122	25141	1341	842	107	139
benchmark/siqa	flat_e	0.588681091512144	18	0.45811635567019837	18	0.00474809507562834	18	0.005629477993858751	18	0.020581116273660226	18	0.008847350592482648	18	18	35172	1736	1857	8160	23419	1024	919	167	198
benchmark/tulu	flat_e	0.6779354887115718	18	0.5568548362300012	18	0.023002669952762372	18	0.02526186075169439	18	0.08692959321440631	18	0.04820912818018279	18	18	9738	1089	708	2613	5328	738	402	224	246
benchmark/winogrande	flat_e	0.5208149628881066	18	0.5818619447763376	18	0.008199596597386652	18	0.005919494869771114	18	0.03283150170933061	18	0.015235308608984706	18	18	22806	3255	2980	5876	10695	1635	1744	187	135
macro/all	hns_f4_s1	0.6235137625821547	18	0.6228807606890892	18	0.020782875010994194	18	0.01579544856083409	18	0.10897127696455403	18	0.030037681828270404	18	18	439974	27973	22345	86483	303173	16893	12267	4553	3163
macro/target	hns_f4_s1	0.5805897761031595	18	0.7236762800847361	18	0.02349142201999265	18	0.01613625145380086	18	0.13709475931233492	18	0.029987471007985537	18	18	12144	1202	1620	1938	7384	697	1296	306	232
macro/off_task	hns_f4_s1	0.6378217580751532	18	0.5892822542238735	18	0.019880026007994708	18	0.015681847596511832	18	0.09959678284862707	18	0.030054418768365367	18	18	427830	26771	20725	84545	295789	16196	10971	4247	2931
macro/base/Qwen3-8B	hns_f4_s1	0.6750790192003383	9	0.6481853384780867	9	0.016882780316643593	9	0.011852709339846133	9	0.11975082438248627	9	0.019168577914374894	9	9	219987	7709	8172	27603	176503	4967	4705	1132	743
macro/base/Llama-3.1-8B-Instruct	hns_f4_s1	0.5719485059639711	9	0.5975761829000917	9	0.024682969705344796	9	0.019738187781822042	9	0.09819172954662175	9	0.04090678574216591	9	9	219987	20264	14173	58880	126670	11926	7562	3421	2420
macro/source/magicoder	hns_f4_s1	0.7403252691598623	6	0.48284977802196133	6	0.02008439488770631	6	0.014959086656004648	6	0.10282243583824408	6	0.030042217422070736	6	6	146658	7828	6736	29540	102554	5783	2334	1502	855
macro/source/metamath	hns_f4_s1	0.6310591583045854	6	0.6511837263962299	6	0.02479112740547955	6	0.016501237609714437	6	0.13171377413498678	6	0.031829330235188316	6	6	146658	12641	6868	29408	97741	8321	4378	2315	1013
macro/source/tulu	hns_f4_s1	0.4991568602820164	6	0.7346087776490761	6	0.017473102739796725	6	0.01592602141678318	6	0.09237762092043124	6	0.02824149782755216	6	6	146658	7504	8741	27535	102878	2789	5555	736	1295
macro/all	scalar_e	0.6287580830893166	18	0.6321977006863698	18	0.020118501995074624	18	0.016682655491326727	18	0.10385158622847662	18	0.031143238939299718	18	18	439974	27973	22345	86483	303173	16090	12417	3893	3462
macro/target	scalar_e	0.6541434568373807	18	0.7081130961352338	18	0.02341157147114417	18	0.01669686255874245	18	0.13799418298687507	18	0.029486941769397257	18	18	12144	1202	1620	1938	7384	746	1256	286	265
macro/off_task	scalar_e	0.6202962918399617	18	0.6068925688700817	18	0.019020812169718102	18	0.01667791980218815	18	0.0924707206423438	18	0.03169533799593387	18	18	427830	26771	20725	84545	295789	15344	11161	3607	3197
macro/base/Qwen3-8B	scalar_e	0.6730168764703043	9	0.6442547041386506	9	0.01677726502380726	9	0.013617752462228442	9	0.11392466977119925	9	0.021851221956405834	9	9	219987	7709	8172	27603	176503	4890	4888	1071	762
macro/base/Llama-3.1-8B-Instruct	scalar_e	0.5844992897083288	9	0.620140697234089	9	0.02345973896634198	9	0.01974755852042501	9	0.09377850268575398	9	0.0404352559221936	9	9	219987	20264	14173	58880	126670	11200	7529	2822	2700
macro/source/magicoder	scalar_e	0.7755636934356432	6	0.5106045098059349	6	0.021813278760656155	6	0.015106422420592784	6	0.113210678044398	6	0.029523563607851844	6	6	146658	7828	6736	29540	102554	5803	2474	1321	871
macro/source/metamath	scalar_e	0.6042519813786487	6	0.6450444772925551	6	0.021971313974586015	6	0.018226530279876443	6	0.11813120992954863	6	0.033957168320600244	6	6	146658	12641	6868	29408	97741	7645	4433	1911	1084
macro/source/tulu	scalar_e	0.5064585744536577	6	0.7409441149606195	6	0.01657091324998169	6	0.016715013773510954	6	0.08021287071148324	6	0.029948984889447073	6	6	146658	7504	8741	27535	102878	2642	5510	661	1507
macro/all	flat_e	0.6243019674713	18	0.6246369159201678	18	0.02039228028439089	18	0.01659582597520052	18	0.10591355766515183	18	0.031695546300412124	18	18	439974	27973	22345	86483	303173	16868	12319	4487	3200
macro/target	flat_e	0.5943900397620159	18	0.7283328782720895	18	0.024229499835158583	18	0.017231746447658892	18	0.1414612719596187	18	0.0320906655025613	18	18	12144	1202	1620	1938	7384	699	1305	308	235
macro/off_task	flat_e	0.6342726100410611	18	0.590071595136194	18	0.01911320710080166	18	0.01638385248438106	18	0.09406431956699621	18	0.03156383989969573	18	18	427830	26771	20725	84545	295789	16169	11014	4179	2965
macro/base/Qwen3-8B	flat_e	0.6769470915515665	9	0.6492468392070551	9	0.01681497444740212	9	0.012097068840475962	9	0.11644213913748858	9	0.019553751823043204	9	9	219987	7709	8172	27603	176503	4952	4727	1136	771
macro/base/Llama-3.1-8B-Instruct	flat_e	0.5716568433910332	9	0.6000269926332806	9	0.023969586121379664	9	0.02109458310992507	9	0.0953849761928151	9	0.04383734077778104	9	9	219987	20264	14173	58880	126670	11916	7592	3351	2429
macro/source/magicoder	flat_e	0.7432307888764093	6	0.4903261122297489	6	0.01970126033490265	6	0.014778986326195382	6	0.10014409190498481	6	0.029597216596307707	6	6	146658	7828	6736	29540	102554	5789	2368	1470	843
macro/source/metamath	flat_e	0.6238917797443748	6	0.6509031922859891	6	0.02431870934377681	6	0.018027519637346685	6	0.13001693866520497	6	0.035257362427656945	6	6	146658	12641	6868	29408	97741	8297	4395	2301	1019
macro/source/tulu	flat_e	0.5057833337931154	6	0.7326814432447654	6	0.017156871174493212	6	0.01698097196205948	6	0.08757964242526571	6	0.030232059877271716	6	6	146658	7504	8741	27535	102878	2782	5556	716	1338
