checkpoint	base	task	seed	method	benchmark	recovery_rate	recovery_rate_defined	retention_rate	retention_rate_defined	new_success_rate	new_success_rate_defined	new_damage_rate	new_damage_rate_defined	new_success_conditional_rate	new_success_conditional_rate_defined	new_damage_conditional_rate	new_damage_conditional_rate_defined	n_units	samples	recovery_set_size	retention_set_size	new_success_set_size	new_damage_set_size	recovered	retained	new_success	new_damage	n_000	n_001	n_010	n_011	n_100	n_101	n_110	n_111
Llama-3.1-8B-Instruct/magicoder/seed42	Llama-3.1-8B-Instruct	magicoder	42	hns_f4_s1	magicoder	0.5555555555555556	1	0.65	1	0.012195121951219513	1	0.018292682926829267	1	0.034482758620689655	1	0.04411764705882353	1	1	164	18	20	58	68	10	13	2	3	56	2	7	13	8	10	3	65
Llama-3.1-8B-Instruct/magicoder/seed42	Llama-3.1-8B-Instruct	magicoder	42	scalar_e	magicoder	0.7777777777777778	1	0.6	1	0.0	1	0.012195121951219513	1	0.0	1	0.029411764705882353	1	1	164	18	20	58	68	14	12	0	2	58	0	8	12	4	14	2	66
Llama-3.1-8B-Instruct/magicoder/seed42	Llama-3.1-8B-Instruct	magicoder	42	flat_e	magicoder	0.5555555555555556	1	0.6	1	0.0	1	0.018292682926829267	1	0.0	1	0.04411764705882353	1	1	164	18	20	58	68	10	12	0	3	58	0	8	12	8	10	3	65
Llama-3.1-8B-Instruct/magicoder/seed42	Llama-3.1-8B-Instruct	magicoder	42	hns_f4_s1	metamath	0.717948717948718	1	0.4051724137931034	1	0.04169825625473844	1	0.02350265352539803	1	0.14473684210526316	1	0.04936305732484077	1	1	1319	195	116	380	628	140	47	55	31	325	55	69	47	55	140	31	597
Llama-3.1-8B-Instruct/magicoder/seed42	Llama-3.1-8B-Instruct	magicoder	42	scalar_e	metamath	0.7384615384615385	1	0.4482758620689655	1	0.04169825625473844	1	0.019711902956785442	1	0.14473684210526316	1	0.041401273885350316	1	1	1319	195	116	380	628	144	52	55	26	325	55	64	52	51	144	26	602
Llama-3.1-8B-Instruct/magicoder/seed42	Llama-3.1-8B-Instruct	magicoder	42	flat_e	metamath	0.7076923076923077	1	0.3706896551724138	1	0.03790750568612585	1	0.02350265352539803	1	0.13157894736842105	1	0.04936305732484077	1	1	1319	195	116	380	628	138	43	50	31	330	50	73	43	57	138	31	597
Llama-3.1-8B-Instruct/magicoder/seed42	Llama-3.1-8B-Instruct	magicoder	42	hns_f4_s1	tulu	0.6956521739130435	1	0.42424242424242425	1	0.018484288354898338	1	0.022181146025878003	1	0.05813953488372093	1	0.0449438202247191	1	1	541	69	33	172	267	48	14	10	12	162	10	19	14	21	48	12	255
Llama-3.1-8B-Instruct/magicoder/seed42	Llama-3.1-8B-Instruct	magicoder	42	scalar_e	tulu	0.6521739130434783	1	0.42424242424242425	1	0.02033271719038817	1	0.02033271719038817	1	0.06395348837209303	1	0.04119850187265917	1	1	541	69	33	172	267	45	14	11	11	161	11	19	14	24	45	11	256
Llama-3.1-8B-Instruct/magicoder/seed42	Llama-3.1-8B-Instruct	magicoder	42	flat_e	tulu	0.6811594202898551	1	0.42424242424242425	1	0.014787430683918669	1	0.022181146025878003	1	0.046511627906976744	1	0.0449438202247191	1	1	541	69	33	172	267	47	14	8	12	164	8	19	14	22	47	12	255
Llama-3.1-8B-Instruct/magicoder/seed42	Llama-3.1-8B-Instruct	magicoder	42	hns_f4_s1	commonsense	0.5924728975181595	8	0.42562866778248937	8	0.0018674031878485777	8	0.0027167202015955932	8	0.008127600815271993	8	0.004323025132402749	8	8	22419	1715	674	6664	13366	888	330	40	60	6624	40	344	330	827	888	60	13306
Llama-3.1-8B-Instruct/magicoder/seed42	Llama-3.1-8B-Instruct	magicoder	42	scalar_e	commonsense	0.598996565087788	8	0.4725280903709566	8	0.0017132093474084601	8	0.002433023607223162	8	0.006869076429150855	8	0.0036628388638446645	8	8	22419	1715	674	6664	13366	924	352	43	38	6621	43	322	352	791	924	38	13328
Llama-3.1-8B-Instruct/magicoder/seed42	Llama-3.1-8B-Instruct	magicoder	42	flat_e	commonsense	0.6036398239766527	8	0.4407914138414618	8	0.0016522213546362912	8	0.002673837214906965	8	0.007645810075365222	8	0.004191470530590411	8	8	22419	1715	674	6664	13366	903	330	44	63	6620	44	344	330	812	903	63	13303
Llama-3.1-8B-Instruct/magicoder/seed43	Llama-3.1-8B-Instruct	magicoder	43	hns_f4_s1	magicoder	0.4444444444444444	1	0.6666666666666666	1	0.012195121951219513	1	0.018292682926829267	1	0.037037037037037035	1	0.04411764705882353	1	1	164	18	24	54	68	8	16	2	3	52	2	8	16	10	8	3	65
Llama-3.1-8B-Instruct/magicoder/seed43	Llama-3.1-8B-Instruct	magicoder	43	scalar_e	magicoder	0.6666666666666666	1	0.625	1	0.006097560975609756	1	0.006097560975609756	1	0.018518518518518517	1	0.014705882352941176	1	1	164	18	24	54	68	12	15	1	1	53	1	9	15	6	12	1	67
Llama-3.1-8B-Instruct/magicoder/seed43	Llama-3.1-8B-Instruct	magicoder	43	flat_e	magicoder	0.5	1	0.7083333333333334	1	0.024390243902439025	1	0.018292682926829267	1	0.07407407407407407	1	0.04411764705882353	1	1	164	18	24	54	68	9	17	4	3	50	4	7	17	9	9	3	65
