group	method	recovery_rate	recovery_rate_defined	retention_rate	retention_rate_defined	new_success_rate	new_success_rate_defined	new_damage_rate	new_damage_rate_defined	new_success_conditional_rate	new_success_conditional_rate_defined	new_damage_conditional_rate	new_damage_conditional_rate_defined	n_units	samples	recovery_set_size	retention_set_size	new_success_set_size	new_damage_set_size	recovered	retained	new_success	new_damage	n_000	n_001	n_010	n_011	n_100	n_101	n_110	n_111
benchmark/magicoder	hns_f4_s1	0.5794875263381482	18	0.6827077510826185	18	0.023712737127371278	18	0.014905149051490516	18	0.11201785848134915	18	0.03303737331463121	18	18	2952	379	468	729	1376	238	325	70	44	659	70	143	325	141	238	44	1332
benchmark/magicoder	scalar_e	0.581402529151844	18	0.6963137504945565	18	0.02269647696476965	18	0.013550135501355013	18	0.10930257579871529	18	0.02888088105565341	18	18	2952	379	468	729	1376	234	330	67	40	662	67	138	330	145	234	40	1336
benchmark/magicoder	flat_e	0.584758877846059	18	0.6716803891432735	18	0.024051490514905148	18	0.015582655826558267	18	0.11179313358229476	18	0.035195219603305385	18	18	2952	379	468	729	1376	241	320	71	46	658	71	148	320	138	241	46	1330
benchmark/metamath	hns_f4_s1	0.6298313105904467	18	0.7073713610251913	18	0.029188779378316907	18	0.020512172521270324	18	0.19264775211092963	18	0.03502142650200706	18	18	23742	2141	2532	3624	15445	1422	1833	693	487	2931	693	699	1833	719	1422	487	14958
benchmark/metamath	scalar_e	0.649781502421597	18	0.7132371953818191	18	0.02910454047679219	18	0.022281189453289534	18	0.18187756330118354	18	0.03752394008080376	18	18	23742	2141	2532	3624	15445	1465	1842	691	529	2933	691	690	1842	676	1465	529	14916
benchmark/metamath	flat_e	0.6222916708973126	18	0.717503112810189	18	0.027504001347822424	18	0.020133097464409066	18	0.18082303918313192	18	0.034316453988534	18	18	23742	2141	2532	3624	15445	1400	1852	653	478	2971	653	680	1852	741	1400	478	14967
benchmark/tulu	hns_f4_s1	0.6720951307868092	18	0.5531929088433927	18	0.023208050934483467	18	0.022386527007599095	18	0.08755556049702753	18	0.04305814271168149	18	18	9738	1089	708	2613	5328	736	400	226	218	2387	226	308	400	353	736	218	5110
benchmark/tulu	scalar_e	0.6912929189702559	18	0.5521097901445974	18	0.022181146025878	18	0.025056479769973307	18	0.08385776085709523	18	0.04780870541118907	18	18	9738	1089	708	2613	5328	749	398	216	244	2397	216	310	398	340	749	244	5084
benchmark/tulu	flat_e	0.6779354887115717	18	0.5568548362300011	18	0.023002669952762372	18	0.02526186075169439	18	0.08692959321440631	18	0.048209128180182775	18	18	9738	1089	708	2613	5328	738	402	224	246	2389	224	306	402	351	738	246	5082
benchmark/arc_challenge	hns_f4_s1	0.6041834779440484	18	0.6803656211960972	18	0.009670079635949944	18	0.0071577550246492245	18	0.07828577606355146	18	0.010668198986704153	18	18	21096	1333	1133	3115	15515	819	760	204	151	2911	204	373	760	514	819	151	15364
benchmark/arc_challenge	scalar_e	0.5787147636526071	18	0.6786972019375423	18	0.007916192643155103	18	0.00862722791050436	18	0.06414119107517144	18	0.013286970333813519	18	18	21096	1333	1133	3115	15515	755	764	167	182	2948	167	369	764	578	755	182	15333
benchmark/arc_challenge	flat_e	0.6029395681584897	18	0.684172231028779	18	0.009859689040576413	18	0.0072525597269624585	18	0.07995437699131869	18	0.010779018618278497	18	18	21096	1333	1133	3115	15515	822	764	208	153	2907	208	369	764	511	822	153	15362
benchmark/arc_easy	hns_f4_s1	0.6151723697634126	18	0.6913220562806861	18	0.0036242050130939015	18	0.002875982042648709	18	0.06734435638002972	18	0.0033813931929470406	18	18	42768	1545	1327	2354	37542	1051	904	155	123	2199	155	423	904	494	1051	123	37419
benchmark/arc_easy	scalar_e	0.6024332481958697	18	0.6869151303224383	18	0.0030864197530864204	18	0.0036475869809203137	18	0.058066163903707065	18	0.004412623707712905	18	18	42768	1545	1327	2354	37542	956	903	132	156	2222	132	424	903	589	956	156	37386
benchmark/arc_easy	flat_e	0.6088951810254636	18	0.6884776633728582	18	0.0036008230452674902	18	0.0030162738496071827	18	0.06961355991145508	18	0.003554885394677786	18	18	42768	1545	1327	2354	37542	1043	900	154	129	2200	154	427	900	502	1043	129	37413
benchmark/boolq	hns_f4_s1	0.7336350717834843	18	0.3701152002030204	18	0.003363914373088685	18	0.005147808358817532	18	0.029849758478573667	18	0.006319575581785787	18	18	58860	1874	1524	6504	48958	1483	537	198	303	6306	198	987	537	391	1483	303	48655
benchmark/boolq	scalar_e	0.712211067011093	18	0.402441447675131	18	0.0032959565069656817	18	0.00472307169554876	18	0.02920424835132608	18	0.005828363194988772	18	18	58860	1874	1524	6504	48958	1413	582	194	278	6310	194	942	582	461	1413	278	48680
benchmark/boolq	flat_e	0.7248377445648817	18	0.37740732922830245	18	0.003312945973496432	18	0.005062861026163778	18	0.029458096545112205	18	0.006209521170206376	18	18	58860	1874	1524	6504	48958	1469	544	195	298	6309	195	980	544	405	1469	298	48660
benchmark/hellaswag	hns_f4_s1	0.5783922360930052	18	0.5026920242809765	18	0.013686959215738342	18	0.007396711589103544	18	0.04638715017017028	18	0.014688762819317013	18	18	180756	12234	7570	47564	113388	6980	3729	2474	1337	45090	2474	3841	3729	5254	6980	1337	112051
benchmark/hellaswag	scalar_e	0.5465989818648844	18	0.5079269247929834	18	0.01034543804908274	18	0.00842019075438713	18	0.03778871831338536	18	0.017002496206219506	18	18	180756	12234	7570	47564	113388	6442	3718	1870	1522	45694	1870	3852	3718	5792	6442	1522	111866
benchmark/hellaswag	flat_e	0.5751246993274375	18	0.5024741265634778	18	0.013465666423244595	18	0.007385646949478856	18	0.045828594348547705	18	0.014626749993853834	18	18	180756	12234	7570	47564	113388	6957	3730	2434	1335	45130	2434	3840	3730	5277	6957	1335	112053
benchmark/openbookqa	hns_f4_s1	0.6211402794736128	18	0.6050332010962447	18	0.010333333333333333	18	0.005222222222222223	18	0.05125387772178622	18	0.00806005945156933	18	18	9000	312	500	1822	6366	198	300	93	47	1729	93	200	300	114	198	47	6319
benchmark/openbookqa	scalar_e	0.6169705166232944	18	0.6289553384309269	18	0.010444444444444444	18	0.004666666666666668	18	0.052389257111215275	18	0.007141560269274216	18	18	9000	312	500	1822	6366	194	311	94	42	1728	94	189	311	118	194	42	6324
benchmark/openbookqa	flat_e	0.6296764192597526	18	0.6166113014506056	18	0.009666666666666667	18	0.004777777777777779	18	0.048801427581090406	18	0.007344527328768706	18	18	9000	312	500	1822	6366	198	302	87	43	1735	87	198	302	114	198	43	6323
benchmark/piqa	hns_f4_s1	0.646126335783009	18	0.5063733556405954	18	0.0030528352073509856	18	0.003899165759883932	18	0.025004096398573164	18	0.005460780406704334	18	18	33084	2075	1746	4122	25141	1338	831	101	129	4021	101	915	831	737	1338	129	25012
benchmark/piqa	scalar_e	0.6104229848154059	18	0.5355461536258993	18	0.0027808003868939673	18	0.003264417845484221	18	0.022068382657560205	18	0.004574960960658069	18	18	33084	2075	1746	4122	25141	1279	862	92	108	4030	92	884	862	796	1279	108	25033
benchmark/piqa	flat_e	0.646804992705774	18	0.510953651887102	18	0.003234191754322331	18	0.004201426671502841	18	0.02579904408567994	18	0.005893705729758038	18	18	33084	2075	1746	4122	25141	1341	842	107	139	4015	107	904	842	734	1341	139	25002
benchmark/siqa	hns_f4_s1	0.5867654596659331	18	0.4561719290567374	18	0.004463778005231434	18	0.005316729216422155	18	0.019341804944391416	18	0.00833938811535808	18	18	35172	1736	1857	8160	23419	1022	913	157	187	8003	157	944	913	714	1022	187	23232
benchmark/siqa	scalar_e	0.5825621912739363	18	0.489737592195153	18	0.003980438985556693	18	0.0044922097122711245	18	0.017003855863277597	18	0.007104278136343359	18	18	35172	1736	1857	8160	23419	1001	963	140	158	8020	140	894	963	735	1001	158	23261
benchmark/siqa	flat_e	0.5886810915121439	18	0.4581163556701985	18	0.00474809507562834	18	0.00562947799385875	18	0.02058111627366023	18	0.00884735059248265	18	18	35172	1736	1857	8160	23419	1024	919	167	198	7993	167	938	919	712	1024	198	23221
benchmark/winogrande	hns_f4_s1	0.5157134303992105	18	0.5739347866868755	18	0.00798035604665439	18	0.006007191090064018	18	0.03184467399420251	18	0.015352119723709166	18	18	22806	3255	2980	5876	10695	1606	1735	182	137	5694	182	1245	1735	1649	1606	137	10558
benchmark/winogrande	scalar_e	0.49052930107146153	18	0.6068207448159753	18	0.01008506533368412	18	0.008901166359729895	18	0.04228574237965628	18	0.023524180867410698	18	18	22806	3255	2980	5876	10695	1602	1744	230	203	5646	230	1236	1744	1653	1602	203	10492
benchmark/winogrande	flat_e	0.5208149628881065	18	0.5818619447763376	18	0.00819959659738665	18	0.005919494869771113	18	0.03283150170933061	18	0.015235308608984706	18	18	22806	3255	2980	5876	10695	1635	1744	187	135	5689	187	1236	1744	1620	1635	135	10560
family/magicoder	hns_f4_s1	0.5794875263381482	18	0.6827077510826185	18	0.023712737127371278	18	0.014905149051490516	18	0.11201785848134915	18	0.03303737331463121	18	18	2952	379	468	729	1376	238	325	70	44	659	70	143	325	141	238	44	1332
family/magicoder	scalar_e	0.581402529151844	18	0.6963137504945565	18	0.02269647696476965	18	0.013550135501355013	18	0.10930257579871529	18	0.02888088105565341	18	18	2952	379	468	729	1376	234	330	67	40	662	67	138	330	145	234	40	1336
family/magicoder	flat_e	0.584758877846059	18	0.6716803891432735	18	0.024051490514905148	18	0.015582655826558267	18	0.11179313358229476	18	0.035195219603305385	18	18	2952	379	468	729	1376	241	320	71	46	658	71	148	320	138	241	46	1330
family/metamath	hns_f4_s1	0.6298313105904467	18	0.7073713610251913	18	0.029188779378316907	18	0.020512172521270324	18	0.19264775211092963	18	0.03502142650200706	18	18	23742	2141	2532	3624	15445	1422	1833	693	487	2931	693	699	1833	719	1422	487	14958
family/metamath	scalar_e	0.649781502421597	18	0.7132371953818191	18	0.02910454047679219	18	0.022281189453289534	18	0.18187756330118354	18	0.03752394008080376	18	18	23742	2141	2532	3624	15445	1465	1842	691	529	2933	691	690	1842	676	1465	529	14916
family/metamath	flat_e	0.6222916708973126	18	0.717503112810189	18	0.027504001347822424	18	0.020133097464409066	18	0.18082303918313192	18	0.034316453988534	18	18	23742	2141	2532	3624	15445	1400	1852	653	478	2971	653	680	1852	741	1400	478	14967
family/tulu	hns_f4_s1	0.6720951307868092	18	0.5531929088433927	18	0.023208050934483467	18	0.022386527007599095	18	0.08755556049702753	18	0.04305814271168149	18	18	9738	1089	708	2613	5328	736	400	226	218	2387	226	308	400	353	736	218	5110
family/tulu	scalar_e	0.6912929189702559	18	0.5521097901445974	18	0.022181146025878	18	0.025056479769973307	18	0.08385776085709523	18	0.04780870541118907	18	18	9738	1089	708	2613	5328	749	398	216	244	2397	216	310	398	340	749	244	5084
family/tulu	flat_e	0.6779354887115717	18	0.5568548362300011	18	0.023002669952762372	18	0.02526186075169439	18	0.08692959321440631	18	0.048209128180182775	18	18	9738	1089	708	2613	5328	738	402	224	246	2389	224	306	402	351	738	246	5082
