cohort	outcome	feature	family	rows	source_clusters	raw_pearson	raw_spearman	within_pearson	within_spearman	cluster_ci_low	cluster_ci_high	partial_pearson_logFro	median_checkpoint_spearman	positive_checkpoints	negative_checkpoints	nonconstant_checkpoints	permutation_p	fdr_q
joint_flat_hns__seed42	target_gain	functional_participation	core	24	6	-0.09048144042157749	0.2522211595017643	0.49146070374296574	0.6218487810012564	0.4824506406770077	0.7637626158259733	0.37916854991250226	0.6324555320336759	6	0	6	0.0074962518740629685	0.009995002498750623
joint_flat_hns__seed42	target_gain	functional_erank	core	24	6	-0.038734544901587446	0.2522211595017643	0.5844125605042338	0.6218487810012564	0.4824506406770077	0.7637626158259733	0.45713504547500167	0.6324555320336759	6	0	6	0.0074962518740629685	0.009995002498750623
joint_flat_hns__seed42	target_gain	functional_top1	core	24	6	0.01638254347119692	-0.29102441480972807	-0.6826813014932951	-0.6218487810012564	-0.7637626158259733	-0.4824506406770077	-0.5618388849579017	-0.6324555320336759	0	6	6	0.0074962518740629685	0.009995002498750623
joint_flat_hns__seed42	target_gain	functional_erank_iqr	core	24	6	0.04112058514200213	0.08113407928028783	0.54270377720983	0.2613567340440063	-0.16366341767699427	0.6218487810012564	0.3850403752149057	0.408113883008419	4	2	6	0.2993503248375812	0.3265639907319068
joint_flat_hns__seed42	target_gain	functional_attn_mlp_gap	core	24	6	0.021467275686668435	-0.03968514747405383	0.4562425692125766	-0.09913531291324378	-0.44671355618241454	0.2545875386086578	0.296295941506614	-0.055555555555555566	2	4	6	0.6966516741629185	0.6966516741629185
joint_flat_hns__seed42	target_gain	functional_energy_ratio	core	24	6	-0.5639217144780099	-0.5742253604368646	-0.7542248066013866	-0.7181848464596079	-0.8378823208695425	-0.5714487486348921	-0.6402694970570563	-0.7689323936863108	0	6	6	0.0014992503748125937	0.004497751124437781
joint_flat_hns__seed42	target_gain	gamma_functional	core	24	6	-0.5469402008652972	-0.5671252014206437	-0.74743123698421	-0.7181848464596079	-0.8378823208695425	-0.5714487486348921	-0.6306188618017855	-0.7689323936863108	0	6	6	0.0014992503748125937	0.004497751124437781
joint_flat_hns__seed42	target_gain	eta_functional	core	24	6	0.2647587839798846	0.5271868069544012	0.6307759263837298	0.7181848464596079	0.5714487486348921	0.8378823208695425	0.4659642261452025	0.7689323936863108	6	0	6	0.0014992503748125937	0.004497751124437781
joint_flat_hns__seed42	target_gain	functional_cov_participation	core	24	6	-0.12022936599670854	0.29102441480972807	0.47495436589277995	0.6218487810012564	0.4824506406770077	0.7637626158259733	0.36612819207672354	0.6324555320336759	6	0	6	0.0074962518740629685	0.009995002498750623
joint_flat_hns__seed42	target_gain	functional_cov_erank	core	24	6	-0.0871903991488647	0.15609491339794507	0.5621477631632273	0.6218487810012564	0.4824506406770077	0.7637626158259733	0.4340307134593222	0.6324555320336759	6	0	6	0.0074962518740629685	0.009995002498750623
joint_flat_hns__seed42	target_gain	functional_cov_top1	core	24	6	0.07637105442262043	-0.2403156152595482	-0.6593206492686288	-0.5677749739576688	-0.6968731476445666	-0.45176990293482383	-0.5326512195846875	-0.566227766016838	0	6	6	0.014992503748125937	0.017991004497751123
joint_flat_hns__seed42	target_gain	functional_offdiag_fraction	core	24	6	0.271752582888675	0.6257024918409154	0.6837167521878671	0.7299963950884314	0.611218103970644	0.8432740427115678	0.571010376679686	0.7328944326835047	6	0	6	0.0004997501249375312	0.004497751124437781
joint_flat_hns__seed42	off_gain	functional_participation	core	24	6	0.25071415549908754	0.21978948728208947	0.6838883305360406	0.4743416490252569	0.0	0.7905694150420948	0.620924337403807	0.6324555320336759	5	1	6	0.06146926536731634	0.07376311844077961
joint_flat_hns__seed42	off_gain	functional_erank	core	24	6	0.34944325637990287	0.21978948728208947	0.7535847180851707	0.4743416490252569	0.0	0.7905694150420948	0.6785185210225165	0.6324555320336759	5	1	6	0.06146926536731634	0.07376311844077961
joint_flat_hns__seed42	off_gain	functional_top1	core	24	6	-0.31232175148455066	-0.27067886956696446	-0.7802587381338244	-0.4743416490252569	-0.7905694150420948	0.0	-0.6945331024836677	-0.6324555320336759	1	5	6	0.06146926536731634	0.07376311844077961
joint_flat_hns__seed42	off_gain	functional_erank_iqr	core	24	6	0.37190673132189306	0.401850639421944	0.5120634593453915	0.05270462766947299	-0.4216370213557839	0.5797509043642028	0.34005779603540115	0.0	3	3	6	0.8655672163918041	0.8655672163918041
joint_flat_hns__seed42	off_gain	functional_attn_mlp_gap	core	24	6	0.27916168930010793	0.30665239842351405	0.524548013460606	0.15811388300841897	-0.26484075403910173	0.5797509043642028	0.3826725570490288	0.4743416490252569	4	2	6	0.5372313843078461	0.5860706010631048
joint_flat_hns__seed42	off_gain	functional_energy_ratio	core	24	6	-0.6527055209041209	-0.5664459161147902	-0.8398983774060044	-0.4666666666666667	-0.8	-0.09916666666667122	-0.772835456663858	-0.5999999999999999	1	5	6	0.059470264867566215	0.07376311844077961
joint_flat_hns__seed42	off_gain	gamma_functional	core	24	6	-0.6395023421774559	-0.5461368653421632	-0.8348944376391781	-0.4666666666666667	-0.8	-0.09916666666667122	-0.7623715441499888	-0.5999999999999999	1	5	6	0.059470264867566215	0.07376311844077961
joint_flat_hns__seed42	off_gain	eta_functional	core	24	6	0.3871110514297844	0.14613686534216333	0.7393024528856624	0.4666666666666667	0.09916666666666672	0.8	0.621281849000192	0.5999999999999999	5	1	6	0.059470264867566215	0.07376311844077961
joint_flat_hns__seed42	off_gain	functional_cov_participation	core	24	6	0.2763531624536353	0.27067886956696446	0.6961862202491765	0.4743416490252569	0.0	0.7905694150420948	0.6426752524239363	0.6324555320336759	5	1	6	0.06146926536731634	0.07376311844077961
joint_flat_hns__seed42	off_gain	functional_cov_erank	core	24	6	0.34648205404762206	0.253130806710111	0.7566773430668802	0.4743416490252569	0.0	0.7905694150420948	0.6869870618484075	0.6324555320336759	5	1	6	0.06146926536731634	0.07376311844077961
joint_flat_hns__seed42	off_gain	functional_cov_top1	core	24	6	-0.3002045292769006	-0.23865365485320691	-0.7789337187395654	-0.4743416490252569	-0.7905694150420948	0.0	-0.694812713521772	-0.6324555320336759	1	5	6	0.05697151424287856	0.07376311844077961
joint_flat_hns__seed42	off_gain	functional_offdiag_fraction	core	24	6	0.27549107980128257	0.2092606495679774	0.711754357248685	0.4743416490252569	0.0	0.7905694150420948	0.6068208199973087	0.6324555320336759	5	1	6	0.05697151424287856	0.07376311844077961
joint_flat_hns__seed42	forgetting_reduction	functional_participation	core	24	6	0.2172887420793158	0.2509280892039745	0.6945615248721619	0.6998677123677123	0.5163977794943223	0.8433336209713712	0.6368159722414638	0.8164965809277261	5	0	5	0.0014992503748125937	0.0035982008995502244
joint_flat_hns__seed42	forgetting_reduction	functional_erank	core	24	6	0.3529842538985085	0.2509280892039745	0.7885038514352557	0.6998677123677123	0.5163977794943223	0.8433336209713712	0.7322268886548671	0.8164965809277261	5	0	5	0.0014992503748125937	0.0035982008995502244
joint_flat_hns__seed42	forgetting_reduction	functional_top1	core	24	6	-0.31227445866845344	-0.3055457999673731	-0.8164524878824773	-0.6998677123677123	-0.8433336209713715	-0.5163977794943223	-0.7601947838844803	-0.8164965809277261	0	5	5	0.0014992503748125937	0.0035982008995502244
joint_flat_hns__seed42	forgetting_reduction	functional_erank_iqr	core	24	6	0.46848234906007713	0.47477116610314896	0.5959892985071427	0.2130032168075646	-0.3986205025895504	0.7969708913291729	0.4771447091085141	0.8164965809277261	3	2	5	0.4012993503248376	0.43778110944527737
joint_flat_hns__seed42	forgetting_reduction	functional_attn_mlp_gap	core	24	6	0.4130253131919887	0.34180837842503936	0.6026723242557649	0.03042903097250923	-0.4472135954999579	0.5163977794943223	0.5013934280293196	0.31622776601683794	3	2	5	0.9300349825087456	0.9300349825087456
joint_flat_hns__seed42	forgetting_reduction	functional_energy_ratio	core	24	6	-0.6586232998346683	-0.6564411807042128	-0.8450699700076671	-0.5965952781626133	-0.8036830424667041	-0.37712361663282534	-0.8182920545200958	-0.7745966692414834	0	5	5	0.01249375312343828	0.014992503748125935
joint_flat_hns__seed42	forgetting_reduction	gamma_functional	core	24	6	-0.6441031541307219	-0.642023804051821	-0.842770376064436	-0.5965952781626133	-0.8036830424667041	-0.37712361663282534	-0.8074116751566555	-0.7745966692414834	0	5	5	0.01249375312343828	0.014992503748125935
joint_flat_hns__seed42	forgetting_reduction	eta_functional	core	24	6	0.34553618745352394	0.15453625599282428	0.7273905130888498	0.5965952781626133	0.37712361663282534	0.8036830424667041	0.6348093370488277	0.7745966692414834	5	0	5	0.01249375312343828	0.014992503748125935
