checkpoint	cohort	label	feature	previous	recollected	difference
Qwen3-8B/magicoder/seed42	joint_flat_hns	magicoder__seed42__original_lora	functional_participation	1.04498	1.04498	0.0
Qwen3-8B/magicoder/seed42	joint_flat_hns	magicoder__seed42__original_lora	functional_erank	1.14286	1.14286	0.0
Qwen3-8B/magicoder/seed42	joint_flat_hns	magicoder__seed42__original_lora	functional_top1	0.97811	0.9781	-1.0000000000065512e-05
Qwen3-8B/magicoder/seed42	joint_flat_hns	magicoder__seed42__original_lora	functional_erank_iqr	0.30938	0.30939	1.0000000000010001e-05
Qwen3-8B/magicoder/seed42	joint_flat_hns	magicoder__seed42__original_lora	functional_attn_mlp_gap	0.15661	0.15661	0.0
Qwen3-8B/magicoder/seed42	joint_flat_hns	magicoder__seed42__original_lora	functional_energy_ratio	1.0	1.0	0.0
Qwen3-8B/magicoder/seed42	joint_flat_hns	magicoder__seed42__original_lora	gamma_functional	1.0	1.0	0.0
Qwen3-8B/magicoder/seed42	joint_flat_hns	magicoder__seed42__original_lora	eta_functional	0.0	0.0	0.0
Qwen3-8B/magicoder/seed42	joint_flat_hns	magicoder__seed42__flat_fro	functional_participation	2.42282	2.42281	-1.0000000000065512e-05
Qwen3-8B/magicoder/seed42	joint_flat_hns	magicoder__seed42__flat_fro	functional_erank	4.81209	4.81202	-7.00000000000145e-05
Qwen3-8B/magicoder/seed42	joint_flat_hns	magicoder__seed42__flat_fro	functional_top1	0.62846	0.62845	-1.0000000000065512e-05
Qwen3-8B/magicoder/seed42	joint_flat_hns	magicoder__seed42__flat_fro	functional_erank_iqr	3.4014	3.40142	1.9999999999686935e-05
Qwen3-8B/magicoder/seed42	joint_flat_hns	magicoder__seed42__flat_fro	functional_attn_mlp_gap	1.60628	1.60621	-7.00000000000145e-05
Qwen3-8B/magicoder/seed42	joint_flat_hns	magicoder__seed42__flat_fro	functional_energy_ratio	0.28902	0.28902	0.0
Qwen3-8B/magicoder/seed42	joint_flat_hns	magicoder__seed42__flat_fro	gamma_functional	0.26667	0.26667	0.0
Qwen3-8B/magicoder/seed42	joint_flat_hns	magicoder__seed42__flat_fro	eta_functional	0.14872	0.14872	0.0
Qwen3-8B/magicoder/seed42	joint_flat_hns	magicoder__seed42__flat_nuclear	functional_participation	2.42282	2.42281	-1.0000000000065512e-05
Qwen3-8B/magicoder/seed42	joint_flat_hns	magicoder__seed42__flat_nuclear	functional_erank	4.81209	4.81202	-7.00000000000145e-05
Qwen3-8B/magicoder/seed42	joint_flat_hns	magicoder__seed42__flat_nuclear	functional_top1	0.62846	0.62845	-1.0000000000065512e-05
Qwen3-8B/magicoder/seed42	joint_flat_hns	magicoder__seed42__flat_nuclear	functional_erank_iqr	3.4014	3.40142	1.9999999999686935e-05
Qwen3-8B/magicoder/seed42	joint_flat_hns	magicoder__seed42__flat_nuclear	functional_attn_mlp_gap	1.60628	1.60621	-7.00000000000145e-05
Qwen3-8B/magicoder/seed42	joint_flat_hns	magicoder__seed42__flat_nuclear	functional_energy_ratio	0.13945	0.13945	0.0
Qwen3-8B/magicoder/seed42	joint_flat_hns	magicoder__seed42__flat_nuclear	gamma_functional	0.12398	0.12398	0.0
Qwen3-8B/magicoder/seed42	joint_flat_hns	magicoder__seed42__flat_nuclear	eta_functional	0.20957	0.20957	0.0
Qwen3-8B/magicoder/seed42	joint_flat_hns	magicoder__seed42__hns_f4_s1	functional_participation	2.43624	2.43622	-2.0000000000131024e-05
Qwen3-8B/magicoder/seed42	joint_flat_hns	magicoder__seed42__hns_f4_s1	functional_erank	4.87845	4.87843	-2.0000000000131024e-05
Qwen3-8B/magicoder/seed42	joint_flat_hns	magicoder__seed42__hns_f4_s1	functional_top1	0.62761	0.62761	0.0
Qwen3-8B/magicoder/seed42	joint_flat_hns	magicoder__seed42__hns_f4_s1	functional_erank_iqr	3.57548	3.57559	0.00010999999999983245
Qwen3-8B/magicoder/seed42	joint_flat_hns	magicoder__seed42__hns_f4_s1	functional_attn_mlp_gap	1.70305	1.70305	0.0
Qwen3-8B/magicoder/seed42	joint_flat_hns	magicoder__seed42__hns_f4_s1	functional_energy_ratio	0.14107	0.14107	0.0
Qwen3-8B/magicoder/seed42	joint_flat_hns	magicoder__seed42__hns_f4_s1	gamma_functional	0.12592	0.12592	0.0
Qwen3-8B/magicoder/seed42	joint_flat_hns	magicoder__seed42__hns_f4_s1	eta_functional	0.20326	0.20326	0.0
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__original_lora	functional_participation	1.31491	1.31491	0.0
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__original_lora	functional_erank	1.7969	1.7969	0.0
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__original_lora	functional_top1	0.86904	0.86904	0.0
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__original_lora	functional_erank_iqr	1.695	1.69498	-2.0000000000131024e-05
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__original_lora	functional_attn_mlp_gap	0.79849	0.7985	9.99999999995449e-06
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__original_lora	functional_energy_ratio	1.0	1.0	0.0
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__original_lora	gamma_functional	1.0	1.0	0.0
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__original_lora	eta_functional	0.0	0.0	0.0
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__flat_fro	functional_participation	6.61039	6.61031	-7.999999999963592e-05
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__flat_fro	functional_erank	9.97999	9.98001	1.9999999999242846e-05
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__flat_fro	functional_top1	0.31066	0.31066	0.0
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__flat_fro	functional_erank_iqr	4.85446	4.85456	9.999999999976694e-05
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__flat_fro	functional_attn_mlp_gap	2.38241	2.38244	2.9999999999752447e-05
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__flat_fro	functional_energy_ratio	0.37548	0.37548	0.0
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__flat_fro	gamma_functional	0.30106	0.30106	0.0
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__flat_fro	eta_functional	0.3571	0.3571	0.0
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__flat_nuclear	functional_participation	6.61039	6.61031	-7.999999999963592e-05
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__flat_nuclear	functional_erank	9.97999	9.98001	1.9999999999242846e-05
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__flat_nuclear	functional_top1	0.31066	0.31066	0.0
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__flat_nuclear	functional_erank_iqr	4.85446	4.85456	9.999999999976694e-05
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__flat_nuclear	functional_attn_mlp_gap	2.38241	2.38244	2.9999999999752447e-05
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__flat_nuclear	functional_energy_ratio	0.21388	0.21388	0.0
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__flat_nuclear	gamma_functional	0.15742	0.15742	0.0
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__flat_nuclear	eta_functional	0.45825	0.45825	0.0
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__hns_f4_s1	functional_participation	6.78533	6.78537	4.000000000026205e-05
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__hns_f4_s1	functional_erank	10.06368	10.06368	0.0
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__hns_f4_s1	functional_top1	0.30485	0.30485	0.0
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__hns_f4_s1	functional_erank_iqr	5.01265	5.01266	1.0000000000509601e-05
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__hns_f4_s1	functional_attn_mlp_gap	2.18313	2.18307	-5.999999999994898e-05
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__hns_f4_s1	functional_energy_ratio	0.21427	0.21427	0.0
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__hns_f4_s1	gamma_functional	0.15821	0.15821	0.0
Qwen3-8B/metamath/seed42	joint_flat_hns	metamath__seed42__hns_f4_s1	eta_functional	0.45482	0.45482	0.0
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__original_lora	functional_participation	2.20155	2.2015	-5.000000000032756e-05
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__original_lora	functional_erank	3.24083	3.24081	-1.9999999999686935e-05
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__original_lora	functional_top1	0.63866	0.63866	0.0
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__original_lora	functional_erank_iqr	1.74044	1.74039	-4.999999999988347e-05
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__original_lora	functional_attn_mlp_gap	0.98213	0.9821	-2.999999999997449e-05
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__original_lora	functional_energy_ratio	1.0	1.0	0.0
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__original_lora	gamma_functional	1.0	1.0	0.0
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__original_lora	eta_functional	0.0	0.0	0.0
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__flat_fro	functional_participation	9.90412	9.90401	-0.00011000000000116472
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__flat_fro	functional_erank	12.45118	12.45119	9.999999999621423e-06
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__flat_fro	functional_top1	0.19962	0.19962	0.0
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__flat_fro	functional_erank_iqr	2.6568	2.65712	0.00031999999999987594
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__flat_fro	functional_attn_mlp_gap	0.73531	0.7352	-0.0001100000000000545
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__flat_fro	functional_energy_ratio	0.57899	0.57897	-2.0000000000020002e-05
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__flat_fro	gamma_functional	0.45641	0.4564	-1.0000000000010001e-05
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__flat_fro	eta_functional	0.3786	0.37859	-1.0000000000010001e-05
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__flat_nuclear	functional_participation	9.90412	9.90401	-0.00011000000000116472
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__flat_nuclear	functional_erank	12.45118	12.45119	9.999999999621423e-06
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__flat_nuclear	functional_top1	0.19962	0.19962	0.0
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__flat_nuclear	functional_erank_iqr	2.6568	2.65712	0.00031999999999987594
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__flat_nuclear	functional_attn_mlp_gap	0.73531	0.7352	-0.0001100000000000545
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__flat_nuclear	functional_energy_ratio	0.42477	0.42476	-9.99999999995449e-06
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__flat_nuclear	gamma_functional	0.33019	0.33019	0.0
Qwen3-8B/tulu/seed42	joint_flat_hns	tulu__seed42__flat_nuclear	eta_functional	0.39574	0.39573	-9.99999999995449e-06
