cohort	outcome	feature	family	sources	raw_spearman	within_base_spearman	within_base_task_spearman	within_base_task_pearson	permutation_p	exact_seed_permutations	fdr_q
source18	target	shannon_eff_rank	source	18	-0.160206910891181	0.4151025494769678	-0.4008918628686366	-0.03140631736299037	0.18964334705075445	46656	0.8850022862368541
source18	off_score	shannon_eff_rank	source	18	-0.4901960784313725	0.4	-0.5000000000000001	-0.43011149643912555	0.1143261316872428	46656	0.21825897867564537
source18	forgetting_gap	shannon_eff_rank	source	18	-0.06950300958302082	-0.6134670389756931	0.3651483716701107	0.4289664227210585	0.2824074074074074	46656	0.5391414141414141
source18	hns_target_gain	shannon_eff_rank	source	18	-0.47520686514272414	-0.020920685218893075	0.13055824196677338	0.2903251560168159	0.7165637860082305	46656	0.9511442336645588
source18	hns_off_gain	shannon_eff_rank	source	18	-0.22187822497420018	-0.5416666666666666	0.33333333333333337	0.5393707318428269	0.3191872427983539	46656	0.6383744855967078
source18	hns_forgetting_reduction	shannon_eff_rank	source	18	-0.13796866081405623	-0.6134670389756931	0.09128709291752768	0.2970332861933508	0.8868312757201646	46656	0.9550490661601773
source18	target	r2_participation	source	18	-0.12403115681897885	0.4151025494769678	-0.4008918628686366	0.042884790901485136	0.18964334705075445	46656	0.8850022862368541
source18	off_score	r2_participation	source	18	-0.4427244582043343	0.4	-0.5000000000000001	-0.45768206534331995	0.1143261316872428	46656	0.21825897867564537
source18	forgetting_gap	r2_participation	source	18	-0.11722149377434854	-0.6134670389756931	0.3651483716701107	0.4455248941071002	0.2824074074074074	46656	0.5391414141414141
source18	hns_target_gain	r2_participation	source	18	-0.4276861786284517	-0.020920685218893075	0.13055824196677338	0.26391962991212214	0.7165637860082305	46656	0.9511442336645588
source18	hns_off_gain	r2_participation	source	18	-0.27554179566563464	-0.5416666666666666	0.33333333333333337	0.5794104144449694	0.3191872427983539	46656	0.6383744855967078
source18	hns_forgetting_reduction	r2_participation	source	18	-0.17738827818950087	-0.6134670389756931	0.09128709291752768	0.2986808351672984	0.8868312757201646	46656	0.9550490661601773
source18	target	stable_rank	source	18	-0.0537468346215575	0.448646189838743	-0.0445435403187374	0.3808096564713016	0.9567901234567902	46656	0.95679012345679
source18	off_score	stable_rank	source	18	-0.3560371517027863	0.4	-0.5000000000000001	-0.3186780073714077	0.1143261316872428	46656	0.21825897867564537
source18	forgetting_gap	stable_rank	source	18	-0.2022848786371501	-0.5966597228393727	0.3651483716701107	0.2911511785150082	0.2824074074074074	46656	0.5391414141414141
source18	hns_target_gain	stable_rank	source	18	-0.3977274849564104	-0.03347309635022892	0.08703882797784893	0.093084096399315	0.8297325102880658	46656	0.9511442336645588
source18	hns_off_gain	stable_rank	source	18	-0.3415892672858617	-0.5333333333333333	0.41666666666666674	0.5038718357500469	0.19920267489711935	46656	0.6383744855967078
source18	hns_forgetting_reduction	stable_rank	source	18	-0.25000336282847785	-0.6050633809075329	0.09128709291752768	0.08843574701662547	0.8868312757201646	46656	0.9550490661601773
source18	target	flatness	source	18	-0.22945764011511086	0.4151025494769678	-0.4008918628686366	0.01687430403493379	0.18964334705075445	46656	0.8850022862368541
source18	off_score	flatness	source	18	-0.5851393188854489	0.4	-0.5000000000000001	-0.3447258063011346	0.1143261316872428	46656	0.21825897867564537
source18	forgetting_gap	flatness	source	18	0.03838225902345926	-0.6134670389756931	0.3651483716701107	0.32418434034652954	0.2824074074074074	46656	0.5391414141414141
source18	hns_target_gain	flatness	source	18	-0.576446588586174	-0.020920685218893075	0.13055824196677338	0.297951316737667	0.7165637860082305	46656	0.9511442336645588
source18	hns_off_gain	flatness	source	18	-0.12693498452012383	-0.5416666666666666	0.33333333333333337	0.45180476126308095	0.3191872427983539	46656	0.6383744855967078
source18	hns_forgetting_reduction	flatness	source	18	-0.03838225902345926	-0.6134670389756931	0.09128709291752768	0.18519369195254476	0.8868312757201646	46656	0.9550490661601773
source18	target	gini	source	18	0.29560759041856627	-0.2976998082107547	0.2672612419124244	-0.1184961047132828	0.3950617283950617	46656	0.9319319319319319
source18	off_score	gini	source	18	0.5686274509803921	-0.4666666666666667	0.5833333333333334	0.3405449085886204	0.05757030178326475	46656	0.20149605624142664
source18	forgetting_gap	gini	source	18	-0.05083055924728388	0.5714487486348921	-0.45643546458763845	-0.31604435130180286	0.15895061728395063	46656	0.5391414141414141
source18	hns_target_gain	gini	source	18	0.6363639759302566	0.17154961879492323	-0.2175970699446223	-0.2891443443490306	0.5046296296296297	46656	0.9511442336645588
source18	hns_off_gain	gini	source	18	0.10010319917440659	0.4583333333333333	-0.5000000000000001	-0.4566511156481679	0.1143261316872428	46656	0.6002121913580247
source18	hns_forgetting_reduction	gini	source	18	0.052905275951254646	0.655485329316494	-0.18257418583505536	-0.15641880764686353	0.6450617283950617	46656	0.9550490661601773
source18	target	decay_slope	source	18	-0.5932823667841155	-0.43187436965785536	0.0890870806374748	0.21793417037220325	0.8209876543209876	46656	0.9319319319319319
source18	off_score	decay_slope	source	18	-0.4881320949432404	0.7166666666666667	-0.25000000000000006	-0.20232863164151915	0.4834533607681756	46656	0.7001738328366681
source18	forgetting_gap	decay_slope	source	18	0.01556037527978078	-0.5966597228393727	0.09128709291752768	0.17271070327559626	0.8868312757201646	46656	0.9550490661601773
source18	hns_target_gain	decay_slope	source	18	-0.5289259020719016	0.14644479653225154	-0.04351941398892446	0.2718485466413421	0.9284979423868313	46656	0.9511442336645588
source18	hns_off_gain	decay_slope	source	18	-0.16408668730650153	-0.5833333333333334	0.41666666666666674	0.3004026479580834	0.19920267489711935	46656	0.6383744855967078
source18	hns_forgetting_reduction	decay_slope	source	18	-0.12966979399817316	-0.7395219099980958	-0.18257418583505536	0.01295061991241674	0.6450617283950617	46656	0.9550490661601773
source18	target	erank_energy	source	18	-0.12403115681897885	0.4151025494769678	-0.4008918628686366	0.1916301408394554	0.18964334705075445	46656	0.8850022862368541
source18	off_score	erank_energy	source	18	-0.4427244582043343	0.4	-0.5000000000000001	-0.43223007077857095	0.1143261316872428	46656	0.21825897867564537
source18	forgetting_gap	erank_energy	source	18	-0.11722149377434854	-0.6134670389756931	0.3651483716701107	0.4039299950331944	0.2824074074074074	46656	0.5391414141414141
source18	hns_target_gain	erank_energy	source	18	-0.4276861786284517	-0.020920685218893075	0.13055824196677338	0.23954898389035265	0.7165637860082305	46656	0.9511442336645588
source18	hns_off_gain	erank_energy	source	18	-0.27554179566563464	-0.5416666666666666	0.33333333333333337	0.5590669873584064	0.3191872427983539	46656	0.6383744855967078
