base	task	method	n	functional_participation_seed42	functional_participation_seed43	functional_participation_seed44	functional_participation_mean	functional_participation_sample_sd	functional_erank_seed42	functional_erank_seed43	functional_erank_seed44	functional_erank_mean	functional_erank_sample_sd	functional_top1_seed42	functional_top1_seed43	functional_top1_seed44	functional_top1_mean	functional_top1_sample_sd	functional_erank_iqr_seed42	functional_erank_iqr_seed43	functional_erank_iqr_seed44	functional_erank_iqr_mean	functional_erank_iqr_sample_sd	functional_attn_mlp_gap_seed42	functional_attn_mlp_gap_seed43	functional_attn_mlp_gap_seed44	functional_attn_mlp_gap_mean	functional_attn_mlp_gap_sample_sd	functional_energy_ratio_seed42	functional_energy_ratio_seed43	functional_energy_ratio_seed44	functional_energy_ratio_mean	functional_energy_ratio_sample_sd	gamma_functional_seed42	gamma_functional_seed43	gamma_functional_seed44	gamma_functional_mean	gamma_functional_sample_sd	eta_functional_seed42	eta_functional_seed43	eta_functional_seed44	eta_functional_mean	eta_functional_sample_sd	functional_cov_participation_seed42	functional_cov_participation_seed43	functional_cov_participation_seed44	functional_cov_participation_mean	functional_cov_participation_sample_sd	functional_cov_erank_seed42	functional_cov_erank_seed43	functional_cov_erank_seed44	functional_cov_erank_mean	functional_cov_erank_sample_sd	functional_cov_top1_seed42	functional_cov_top1_seed43	functional_cov_top1_seed44	functional_cov_top1_mean	functional_cov_top1_sample_sd	functional_offdiag_fraction_seed42	functional_offdiag_fraction_seed43	functional_offdiag_fraction_seed44	functional_offdiag_fraction_mean	functional_offdiag_fraction_sample_sd	target_seed42	target_seed43	target_seed44	target_mean	target_sample_sd	off_score_seed42	off_score_seed43	off_score_seed44	off_score_mean	off_score_sample_sd	forgetting_gap_seed42	forgetting_gap_seed43	forgetting_gap_seed44	forgetting_gap_mean	forgetting_gap_sample_sd	target_gain_seed42	target_gain_seed43	target_gain_seed44	target_gain_mean	target_gain_sample_sd	forgetting_reduction_seed42	forgetting_reduction_seed43	forgetting_reduction_seed44	forgetting_reduction_mean	forgetting_reduction_sample_sd
Qwen3-8B	magicoder	original_lora	3	1.04498	1.07709	1.06227	1.0614466666666666	0.016070825533659888	1.14286	1.22258	1.18585	1.1837633333333333	0.03990094276246282	0.9781	0.96322	0.97006	0.97046	0.007448060150133054	0.30939	0.42472	0.39155	0.37522000000000005	0.059373848620415365	0.15661	0.27973	0.18351	0.20661666666666667	0.06473076651278997	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.03587	1.05168	1.03923	1.04226	0.008329147615452543	1.12134	1.16372	1.13122	1.13876	0.022173290238482943	0.98244	0.9749	0.98089	0.97941	0.0039819216466424915	0.00656	0.01469	0.01293	0.011393333333333333	0.004277292757496654	65.2439024390244	62.80487804878049	64.63414634146342	64.22764227642277	1.2693085362598402	77.79784283010969	77.75939775549442	78.55305751522032	78.03676603360815	0.44753455333584613	1.9004202758208966	1.985624576956435	1.1105054007101292	1.6655167511624869	0.48253822913963124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	magicoder	flat_fro	3	2.42281	2.67001	2.59122	2.5613466666666667	0.1262785493792723	4.81202	5.36041	5.28933	5.15392	0.2982193808255926	0.62845	0.59872	0.6057	0.6109566666666667	0.015546466908379282	3.40142	4.12188	3.81443	3.7792433333333335	0.36151656813116234	1.60621	2.39123	1.99544	1.9976266666666669	0.3925145681797472	0.28902	0.29842	0.29809	0.29517666666666664	0.005334382188532563	0.26667	0.27537	0.27465	0.27223	0.004828540152054234	0.14872	0.14851	0.15111	0.14944666666666664	0.001444310677566751	1.99735	2.10419	2.16477	2.08877	0.08476848706919331	3.90136	4.17918	4.28917	4.123236666666666	0.1998659336488672	0.70136	0.6827	0.67364	0.6858999999999998	0.014134341159035311	0.12755	0.14773	0.1596	0.14495999999999998	0.016203558251199023	76.82926829268293	76.21951219512195	72.5609756097561	75.20325203252033	2.3084993275610857	81.35098514114459	80.82141242473925	81.02427729495592	81.0655582869466	0.26718889519407946	0.0	0.0	0.0	0.0	0.0	11.58536585365853	13.414634146341463	7.926829268292678	10.975609756097557	2.7942534725340504	1.9004202758208966	1.985624576956435	1.1105054007101292	1.6655167511624869	0.48253822913963124
Qwen3-8B	magicoder	flat_nuclear	3	2.42281	2.67001	2.59122	2.5613466666666667	0.1262785493792723	4.81202	5.36041	5.28933	5.15392	0.2982193808255926	0.62845	0.59872	0.6057	0.6109566666666667	0.015546466908379282	3.40142	4.12188	3.81443	3.7792433333333335	0.36151656813116234	1.60621	2.39123	1.99544	1.9976266666666669	0.3925145681797472	0.13945	0.15877	0.15682	0.15168	0.010636272843435336	0.12398	0.14013	0.13901	0.13437333333333334	0.009018294369410063	0.20957	0.22101	0.21429	0.21495666666666668	0.00574906369188352	1.99735	2.10419	2.16477	2.08877	0.08476848706919331	3.90136	4.17918	4.28917	4.123236666666666	0.1998659336488672	0.70136	0.6827	0.67364	0.6858999999999998	0.014134341159035311	0.12755	0.14773	0.1596	0.14495999999999998	0.016203558251199023	75.60975609756098	73.17073170731707	74.39024390243902	74.39024390243902	1.2195121951219505	81.0020964675649	81.02809205899014	80.74528266353049	80.92515706336184	0.15631712151713947	0.0	0.0	0.0	0.0	0.0	10.36585365853658	10.365853658536587	9.756097560975604	10.162601626016256	0.35204284706684685	1.9004202758208966	1.985624576956435	1.1105054007101292	1.6655167511624869	0.48253822913963124
Qwen3-8B	magicoder	hns_f4_s1	3	2.43622	2.67578	2.64385	2.5852833333333334	0.13007609016776808	4.87843	5.34808	5.35565	5.194053333333334	0.2733640295161992	0.62761	0.59644	0.60234	0.6087966666666667	0.016557736358975336	3.57559	4.17694	3.95633	3.902953333333333	0.3042075887175291	1.70305	2.59529	2.27469	2.19101	0.45196771035108246	0.14107	0.15981	0.15805	0.15297666666666668	0.010348958079600736	0.12592	0.14177	0.14079	0.13615999999999998	0.008881627103183288	0.20326	0.21303	0.20642	0.20757	0.0049854889429222496	2.01855	2.13771	2.15665	2.104303333333333	0.07486592371254996	3.93581	4.2442	4.37396	4.184656666666666	0.2250620181935046	0.69734	0.67679	0.67251	0.6822133333333333	0.013273719649492836	0.125	0.15339	0.16194	0.14677666666666667	0.0193376067116211	75.0	74.39024390243902	74.39024390243902	74.59349593495934	0.3520428470668448	81.33317478110466	81.1913587358642	81.25720533758722	81.26057961818536	0.07096821118696259	0.0	0.0	0.0	0.0	0.0	9.756097560975604	11.585365853658537	9.756097560975604	10.365853658536581	1.0561285412005386	1.9004202758208966	1.985624576956435	1.1105054007101292	1.6655167511624869	0.48253822913963124
Qwen3-8B	metamath	original_lora	3	1.31491	1.67236	1.63644	1.5412366666666666	0.19682576465832244	1.7969	2.46417	2.42804	2.2297033333333336	0.37525376511546615	0.86904	0.76197	0.76875	0.7999200000000001	0.05995559106538772	1.69498	2.25002	1.83834	1.9277800000000003	0.28812668324887936	0.7985	0.87598	0.99215	0.8888766666666666	0.09746703870198033	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.24613	1.55466	1.51213	1.43764	0.16721022785703032	1.64166	2.20349	2.20698	2.017376666666667	0.3253848571051416	0.89356	0.78884	0.80306	0.8284866666666666	0.05680190255029611	0.02578	0.04341	0.04589	0.03836	0.010964939580316892	84.1546626231994	84.00303260045489	84.00303260045489	84.05357594136973	0.08754363444877358	71.29307699567126	69.66560169554636	63.51451828224293	68.15773232448684	4.102651148306114	1.798836842342548	3.5232856949641636	9.522414078114908	4.948178871807206	4.054152408740407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	metamath	flat_fro	3	6.61031	7.79431	7.46687	7.290496666666667	0.6113874913124518	9.98001	10.91745	10.74218	10.546546666666666	0.4984001798086889	0.31066	0.25674	0.28133	0.28291	0.02699470133192807	4.85456	4.42548	4.27807	4.519369999999999	0.29949403850494277	2.38244	2.17176	2.33473	2.29631	0.11046985063808133	0.37548	0.39714	0.39784	0.39015333333333335	0.012712298507088866	0.30106	0.31863	0.31829	0.31266	0.010047332979452822	0.3571	0.3563	0.35993	0.3577766666666667	0.0019072580667894427	4.17926	5.06671	4.89964	4.715203333333333	0.47159785690069994	7.42173	8.37251	8.28432	8.026186666666666	0.525328721310127	0.4445	0.39293	0.40094	0.41279	0.02775217288790195	0.2648	0.27905	0.27675	0.27353333333333335	0.0076502178618215585	87.64215314632298	87.26307808946171	88.47611827141773	87.79378316906748	0.6205726134853954	73.86605391813983	74.88072379119913	73.92994264965606	74.22557345299835	0.5682753881149073	0.2032520325203251	0.0	0.2032520325203251	0.13550135501355007	0.11734761568894826	3.487490523123583	3.260045489006828	4.4730856709628455	3.740207227697752	0.6447991317752321	1.595584809822223	3.5232856949641636	9.319162045594583	4.812677516793657	4.019988778825861
Qwen3-8B	metamath	flat_nuclear	3	6.61031	7.79431	7.46687	7.290496666666667	0.6113874913124518	9.98001	10.91745	10.74218	10.546546666666666	0.4984001798086889	0.31066	0.25674	0.28133	0.28291	0.02699470133192807	4.85456	4.42548	4.27807	4.519369999999999	0.29949403850494277	2.38244	2.17176	2.33473	2.29631	0.11046985063808133	0.21388	0.24427	0.24423	0.23412666666666668	0.017534139081612575	0.15742	0.17887	0.17856	0.17161666666666667	0.012295650992661318	0.45825	0.46379	0.46549	0.46251	0.0037859212881411124	4.17926	5.06671	4.89964	4.715203333333333	0.47159785690069994	7.42173	8.37251	8.28432	8.026186666666666	0.525328721310127	0.4445	0.39293	0.40094	0.41279	0.02775217288790195	0.2648	0.27905	0.27675	0.27353333333333335	0.0076502178618215585	88.17285822592874	87.03563305534496	87.41470811220621	87.54106646449331	0.5790467140454693	75.19983334415933	76.5309523567975	74.75008387544415	75.49362319213365	0.9260709978446754	0.0	0.0	0.0	0.0	0.0	4.018195602729335	3.0326004548900727	3.4116755117513264	3.487490523123578	0.4971522762927929	1.798836842342548	3.5232856949641636	9.522414078114908	4.948178871807206	4.054152408740407
Qwen3-8B	metamath	hns_f4_s1	3	6.78537	7.9449	7.66429	7.464853333333334	0.6049451985372997	10.06368	11.01151	10.7969	10.62403	0.49699945160935544	0.30485	0.25394	0.27116	0.27665	0.025895213843488533	5.01266	4.47339	4.41145	4.6325	0.3306816597575378	2.18307	1.98032	2.176	2.11313	0.11507114451503464	0.21427	0.24431	0.24417	0.23424999999999999	0.01730332915944213	0.15821	0.17925	0.17882	0.17209333333333332	0.012025241508316308	0.45482	0.46168	0.46367	0.4600566666666667	0.004642955237058977	4.26487	5.07314	4.96511	4.767706666666666	0.43880651229594736	7.50196	8.44288	8.37843	8.107756666666667	0.525624059222305	0.44632	0.39061	0.39827	0.4117333333333333	0.030196805018632894	0.26529	0.27934	0.27646	0.27369666666666664	0.007421430679682519	88.17285822592874	86.8081880212282	87.41470811220621	87.46525145312104	0.683737642581182	74.9204081763363	76.65042534313297	74.25930305945482	75.2767121929747	1.2347391862575827	0.0	0.0	0.0	0.0	0.0	4.018195602729335	2.8051554207733176	3.4116755117513264	3.4116755117513264	0.6065200909780089	1.798836842342548	3.5232856949641636	9.522414078114908	4.948178871807206	4.054152408740407
Qwen3-8B	tulu	original_lora	3	2.2015	2.61114	2.39631	2.4029833333333332	0.20490151886536453	3.24081	3.93438	3.66193	3.6123733333333337	0.34943058485675416	0.63866	0.56484	0.594	0.5991666666666666	0.03718022234109599	1.74039	2.47273	2.52792	2.2470133333333333	0.4396156109982142	0.9821	1.09609	0.932	1.0033966666666667	0.08409246716165088	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9361	2.33213	2.09603	2.12142	0.19923209907040576	2.88814	3.51693	3.25491	3.2199933333333335	0.3158458425139285	0.68841	0.621	0.65831	0.6559066666666666	0.03376920243851389	0.05714	0.07549	0.06831	0.06698	0.00924701573481953	67.8373382624769	66.17375231053605	66.91312384473198	66.97473813924832	0.833502726954329	86.0180647508812	85.12475605560088	85.73784125127371	85.62688735258526	0.4568732668820503	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	tulu	flat_fro	3	9.90401	10.80386	10.46155	10.389806666666667	0.4541947104858595	12.45119	13.06722	13.0472	12.855203333333336	0.35002897056291404	0.19962	0.1828	0.19559	0.19267	0.008781964472713386	2.65712	2.50524	2.86866	2.6770066666666668	0.18252433737267298	0.7352	0.40386	0.89378	0.6776133333333334	0.24998513902496952	0.57897	0.60675	0.6009	0.59554	0.014645111812478604	0.4564	0.48858	0.48241	0.47579666666666665	0.017078941224014273	0.37859	0.35159	0.3555	0.36189333333333334	0.014591299919244105	7.05786	7.44493	7.4828	7.328530000000001	0.23517062082666726	10.35153	10.78491	10.69916	10.611866666666666	0.22949869418655341	0.29425	0.28276	0.28448	0.2871633333333334	0.006197195602313464	0.24937	0.24881	0.25683	0.25167	0.004477454634052699	69.31608133086876	71.34935304990758	69.31608133086876	69.99383857054836	1.1739099743227173	85.0373908526397	85.1863056131142	84.0708598014257	84.76485208905986	0.6056095053279587	0.0	0.0	0.0	0.0	0.0	1.47874306839185	5.175600739371532	2.4029574861367706	3.019100431300051	1.92390572963599	0.0	0.0	0.0	0.0	0.0
