base	task	seed	method	name	magicoder	metamath	tulu	commonsense	target	off_score	forgetting_gap	path	modules	functional_pr	functional_erank	protected_functional_pr	cov_functional_pr	cov_functional_erank	functional_energy_ratio	fro_ratio	max_target_to_source_gain	floored_direction_fraction	max_nuclear_relative_error	max_saved_update_error	functional_rms_ratio	functional_squared_energy_ratio	target_gain_lora	off_score_gain_lora	fg_reduction_lora	target_gain_hns	off_score_gain_hns	fg_reduction_hns
Qwen3-8B	magicoder	42	original_lora	LoRA	65.2439024390244	83.92721758908263	65.80406654343808	83.66224435780832	65.2439024390244	77.79784283010967	1.9004202758208966	/dataset1/zailong/models/spectral-surgery/Qwen3-8B-Magicoder-50K-LoRA-E1	252	1.044977615886804	1.1428624497651114	1.044977615886804	1.0358672138800051	1.1213383301695758	1.0	1.0	1.0	0.001488095238095238	0.0	0.0	1.0	1.0	0.0	0.0	0.0	-9.756097560975604	-3.535331950994987	-1.9004202758208966
Qwen3-8B	magicoder	42	hns_f4_s1	HNS α=0 (4+1)	75.0	88.62774829416225	71.71903881700554	83.65273723214618	75.0	81.33317478110466	0	/dataset1/zailong/runs/peft-sft-lab/hns-step-grid-2x4-20260912/adapters/Qwen3-8B/magicoder/hns_f4_s1	252	2.4362167389471248	4.878432019843614	2.4362167389471248	2.01854996292123	3.9358078073190055	0.14106579076313366	0.5216496724401795	16.8695276348469	0.001488095238095238	2.1210398326587665e-08	0.0	0.14106579076313366	0.019899557323628206	9.756097560975604	3.535331950994987	1.9004202758208966	0.0	0.0	0
Qwen3-8B	magicoder	42	functional_hns_a05	Functional-HNS α=0.5	70.73170731707317	87.79378316906747	70.24029574861368	83.18817650148263	70.73170731707317	80.40741847305459	0	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/adapters/Qwen3-8B/magicoder/functional_hns_a05	252	8.915650428167755	12.492183895464192	8.915650428167755	5.7814105896674475	10.001840061748023	0.07558371674393538	0.5312766575979823	10.085340646385019	0.001488095238095238	1.1091542633234752e-06	0.0	0.07558371674393538	0.005712898236827458	5.487804878048777	2.609575642944918	1.9004202758208966	-4.268292682926827	-0.9257563080500688	0
Qwen3-8B	magicoder	42	functional_hns_a10	Functional-HNS α=1	68.29268292682927	86.65655799848369	70.42513863216267	82.97252290409003	68.29268292682927	80.01807317824546	0	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/adapters/Qwen3-8B/magicoder/functional_hns_a10	252	15.969921684932128	15.9850411654398	15.969921684932128	11.95450224506385	13.907711102392952	0.06435754037155303	0.5428548549993502	7.404300390341986	0.001488095238095238	1.126242074045436e-06	0.0	0.06435754037155303	0.004141893002676078	3.0487804878048763	2.220230348135786	1.9004202758208966	-6.707317073170728	-1.315101602859201	0
Qwen3-8B	magicoder	42	functional_flat	Protected Exact Functional Flat	67.6829268292683	86.27748294162244	70.60998151571165	83.01393138188325	67.6829268292683	79.96713194640579	0	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/adapters/Qwen3-8B/magicoder/functional_flat	252	15.999999999999964	15.999999999999977	15.999999999999964	12.095825237041435	13.979238675392285	0.061555894536405614	0.5442771746834804	35.87007385033572	0.001488095238095238	1.1208050434419192e-06	0.0	0.061555894536405614	0.0037891281521770905	2.439024390243901	2.169289116296113	1.9004202758208966	-7.317073170731703	-1.3660428346988738	0
Qwen3-8B	metamath	42	original_lora	LoRA	64.02439024390245	84.1546626231994	66.72828096118299	83.12655978192834	84.1546626231994	71.29307699567126	1.798836842342548	/dataset1/zailong/models/spectral-surgery/Qwen3-8B-MetaMathQA-50K-LoRA	252	1.3149124913538812	1.7969015107518533	1.3149124913538812	1.2461303493884002	1.6416621870850312	1.0	1.0	1.0	0.001240079365079365	0.0	0.0	1.0	1.0	0.0	0.0	0.0	-4.018195602729335	-3.6273311806650383	-1.798836842342548
Qwen3-8B	metamath	42	hns_f4_s1	HNS α=0 (4+1)	67.6829268292683	88.17285822592874	72.45841035120148	84.61988734853911	88.17285822592874	74.9204081763363	0	/dataset1/zailong/runs/peft-sft-lab/hns-step-grid-2x4-20260912/adapters/Qwen3-8B/metamath/hns_f4_s1	252	6.785375028564202	10.063683829102072	6.785375028564202	4.264867175177999	7.501956701077886	0.21427276330836653	0.6088121744763298	12.567867384074711	0.001240079365079365	2.444988211891541e-08	0.0	0.21427276330836653	0.04591281709580327	4.018195602729335	3.6273311806650383	1.798836842342548	0.0	0.0	0
Qwen3-8B	metamath	42	functional_hns_a05	Functional-HNS α=0.5	69.51219512195121	88.24867323730099	71.71903881700554	84.5145963817174	88.24867323730099	75.24861010689138	0	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/adapters/Qwen3-8B/metamath/functional_hns_a05	252	12.753341517241498	14.370326451932414	12.753341517241498	7.304285618439541	10.90073388358021	0.16642918895624353	0.6200077438254455	14.10817234266159	0.001240079365079365	1.3622308006056016e-06	0.0	0.16642918895624353	0.027698674936633014	4.094010614101592	3.95553311122012	1.798836842342548	0.07581501137225644	0.32820193055508184	0
Qwen3-8B	metamath	42	functional_hns_a10	Functional-HNS α=1	71.34146341463415	87.94541319181198	72.08872458410352	84.34381460653924	87.94541319181198	75.9246675350923	0	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/adapters/Qwen3-8B/metamath/functional_hns_a10	252	15.979064044177727	15.989495793312713	15.979064044177727	10.483641318553786	12.924838375144567	0.15001583968727522	0.6416918493198356	11.251862552207804	0.001240079365079365	1.2742241373153718e-06	0.0	0.15001583968727522	0.02250475215707826	3.79075056861258	4.63159053942104	1.798836842342548	-0.2274450341167551	1.004259358756002	0
Qwen3-8B	metamath	42	functional_flat	Protected Exact Functional Flat	69.51219512195121	87.56633813495071	73.38262476894639	84.21424725505648	87.56633813495071	75.7030223819847	0	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/adapters/Qwen3-8B/metamath/functional_flat	252	15.999999999999961	15.999999999999977	15.999999999999961	10.537749743847385	12.953627899683745	0.1484259163492283	0.6441167387698706	32.17340885476588	0.001240079365079365	1.2779691016540085e-06	0.0	0.1484259163492283	0.022030252644108118	3.4116755117513122	4.409945386313439	1.798836842342548	-0.6065200909780231	0.7826142056484002	0
Qwen3-8B	tulu	42	original_lora	LoRA	84.7560975609756	89.0068233510235	67.8373382624769	84.29127334064447	67.8373382624769	86.0180647508812	0	/dataset1/zailong/models/spectral-surgery/Qwen3-8B-InstructionFollowing-LoRA	252	2.201498627289306	3.240808950821389	2.201498627289306	1.9361048176598614	2.8881430288482624	1.0	1.0	1.0	0.001736111111111111	0.0	0.0	1.0	1.0	0.0	0.0	0	-2.9574861367837144	0.6553673074048021	0
Qwen3-8B	tulu	42	hns_f4_s1	HNS α=0 (4+1)	82.92682926829268	88.70356330553449	70.79482439926062	84.457699756602	70.79482439926062	85.36269744347639	0	/dataset1/zailong/runs/peft-sft-lab/hns-step-grid-2x4-20260912/adapters/Qwen3-8B/tulu/hns_f4_s1	252	10.025037954271376	12.472748909013806	10.025037954271376	7.16449587698925	10.38811979481606	0.422985786038345	0.7574306712806317	18.989836304199784	0.001736111111111111	1.740843380559909e-08	0.0	0.422985786038345	0.17891697519047658	2.9574861367837144	-0.6553673074048021	0	0.0	0.0	0
Qwen3-8B	tulu	42	functional_hns_a05	Functional-HNS α=0.5	83.53658536585365	88.40030326004549	72.08872458410352	84.40823892854532	72.08872458410352	85.44837585148149	0	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/adapters/Qwen3-8B/tulu/functional_hns_a05	252	14.16137553362436	15.082736071571796	14.16137553362436	9.804827621927942	12.585605077532424	0.36566740321974484	0.7680707986081492	17.67132537192365	0.001736111111111111	1.3108941201434021e-06	0.0	0.36566740321974484	0.13371264977747147	4.251386321626612	-0.5696888993997078	0	1.2939001848428973	0.0856784080050943	0
