base	task	seed	method	name	magicoder	metamath	tulu	commonsense	target	off_score	forgetting_gap	path	modules	functional_pr	functional_erank	protected_functional_pr	cov_functional_pr	cov_functional_erank	functional_energy_ratio	fro_ratio	max_target_to_source_gain	floored_direction_fraction	max_nuclear_relative_error	max_saved_update_error	functional_rms_ratio	functional_squared_energy_ratio	target_gain_lora	off_score_gain_lora	fg_reduction_lora	target_gain_hns	off_score_gain_hns	fg_reduction_hns
Qwen3-8B	magicoder	42	original_lora	LoRA	65.2439024390244	83.92721758908263	65.80406654343808	83.66224435780832	65.2439024390244	77.79784283010967	1.9004202758208966	/dataset1/zailong/models/spectral-surgery/Qwen3-8B-Magicoder-50K-LoRA-E1	252	1.044977615886804	1.1428624497651114	1.044977615886804	1.0358672138800051	1.1213383301695758	1.0	1.0	1.0	0.001488095238095238	0.0	0.0	1.0	1.0	0.0	0.0	0.0	-9.756097560975604	-3.535331950994987	-1.9004202758208966
Qwen3-8B	magicoder	42	hns_f4_s1	HNS α=0 (4+1)	75.0	88.62774829416225	71.71903881700554	83.65273723214618	75.0	81.33317478110466	0	/dataset1/zailong/runs/peft-sft-lab/hns-step-grid-2x4-20260912/adapters/Qwen3-8B/magicoder/hns_f4_s1	252	2.4362167389471248	4.878432019843614	2.4362167389471248	2.01854996292123	3.9358078073190055	0.14106579076313366	0.5216496724401795	16.8695276348469	0.001488095238095238	2.1210398326587665e-08	0.0	0.14106579076313366	0.019899557323628206	9.756097560975604	3.535331950994987	1.9004202758208966	0.0	0.0	0
Qwen3-8B	magicoder	42	functional_hns_a05	Functional-HNS α=0.5	70.73170731707317	87.79378316906747	70.24029574861368	83.18817650148263	70.73170731707317	80.40741847305459	0	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/adapters/Qwen3-8B/magicoder/functional_hns_a05	252	8.915650428167755	12.492183895464192	8.915650428167755	5.7814105896674475	10.001840061748023	0.07558371674393538	0.5312766575979823	10.085340646385019	0.001488095238095238	1.1091542633234752e-06	0.0	0.07558371674393538	0.005712898236827458	5.487804878048777	2.609575642944918	1.9004202758208966	-4.268292682926827	-0.9257563080500688	0
Qwen3-8B	magicoder	42	functional_hns_a10	Functional-HNS α=1	68.29268292682927	86.65655799848369	70.42513863216267	82.97252290409003	68.29268292682927	80.01807317824546	0	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/adapters/Qwen3-8B/magicoder/functional_hns_a10	252	15.969921684932128	15.9850411654398	15.969921684932128	11.95450224506385	13.907711102392952	0.06435754037155303	0.5428548549993502	7.404300390341986	0.001488095238095238	1.126242074045436e-06	0.0	0.06435754037155303	0.004141893002676078	3.0487804878048763	2.220230348135786	1.9004202758208966	-6.707317073170728	-1.315101602859201	0
Qwen3-8B	magicoder	42	functional_flat	Protected Exact Functional Flat	67.6829268292683	86.27748294162244	70.60998151571165	83.01393138188325	67.6829268292683	79.96713194640579	0	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_pilot_2x3_seed42_20260914/adapters/Qwen3-8B/magicoder/functional_flat	252	15.999999999999964	15.999999999999977	15.999999999999964	12.095825237041435	13.979238675392285	0.061555894536405614	0.5442771746834804	35.87007385033572	0.001488095238095238	1.1208050434419192e-06	0.0	0.061555894536405614	0.0037891281521770905	2.439024390243901	2.169289116296113	1.9004202758208966	-7.317073170731703	-1.3660428346988738	0
Qwen3-8B	magicoder	43	original_lora	LoRA	62.80487804878049	82.56254738438211	66.91312384473198	83.80252203736919	62.80487804878049	77.75939775549443	1.985624576956435	/dataset1/zailong/runs/peft-sft-lab/hns-training-seeds-3task-20260912/Qwen3-8B/seed43/lora/magicoder	252	1.0770897259560885	1.2225821045901215	1.0770897259560885	1.0516780137295336	1.1637229867825631	1.0	1.0	1.0	0.000992063492063492	0.0	0.0	1.0	1.0	0.0	0.0	0.0	-11.585365853658537	-3.43196098036978	-1.985624576956435
Qwen3-8B	magicoder	43	hns_f4_s1	HNS α=0 (4+1)	74.39024390243902	88.77937831690674	71.34935304990758	83.4453448407783	74.39024390243902	81.19135873586421	0	/dataset1/zailong/runs/peft-sft-lab/hns-training-seeds-3task-20260912/Qwen3-8B/seed43/hns_step_grid/adapters/Qwen3-8B/magicoder/hns_f4_s1	252	2.675784933576747	5.348084503075329	2.675784933576747	2.137713183565589	4.244195861168233	0.15980831614383254	0.6010973959847162	17.63591979296207	0.000992063492063492	1.9231273906683555e-08	0.0	0.15980831614383254	0.025538697908727127	11.585365853658537	3.43196098036978	1.985624576956435	0.0	0.0	0
Qwen3-8B	magicoder	43	functional_hns_a05	Functional-HNS α=0.5	73.78048780487805	88.02122820318424	71.1645101663586	83.28823702337482	73.78048780487805	80.82465846430588	0	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_three_seed_20260914/adapters/Qwen3-8B/magicoder/seed43/functional_hns_a05	252	9.425958352948701	12.837739264494605	9.425958352948701	5.937571320779604	10.178388582203105	0.08881516603793402	0.6112284583303468	10.293912137661808	0.000992063492063492	1.6142211296532594e-06	0.0	0.08881516603793402	0.007888133718345788	10.975609756097562	3.0652607088114507	1.985624576956435	-0.6097560975609753	-0.3667002715583294	0
Qwen3-8B	magicoder	43	functional_hns_a10	Functional-HNS α=1	68.90243902439023	86.73237300985596	70.79482439926062	83.02554741320589	68.90243902439023	80.18424827410749	0	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_three_seed_20260914/adapters/Qwen3-8B/magicoder/seed43/functional_hns_a10	252	15.970677977250514	15.985353806286746	15.970677977250514	12.102408801328021	13.960998810879396	0.07565460556174557	0.625374100487809	7.417183190580972	0.000992063492063492	1.5587223678448225e-06	0.0	0.07565460556174557	0.005723619342703303	6.0975609756097455	2.424850518613056	1.985624576956435	-5.487804878048792	-1.0071104617567244	0
Qwen3-8B	magicoder	43	functional_flat	Protected Exact Functional Flat	68.90243902439023	86.8081880212282	70.79482439926062	83.02345703782325	68.90243902439023	80.20882315277069	0	/dataset1/zailong/workspace/peft-sft-lab/reports/functional_hns_three_seed_20260914/adapters/Qwen3-8B/magicoder/seed43/functional_flat	252	15.999999999999964	15.999999999999977	15.999999999999964	12.12586137089106	14.011307308942186	0.07327509564678311	0.625805351563883	35.98431147882817	0.000992063492063492	1.5698221200732831e-06	0.0	0.07327509564678311	0.0053692396420452135	6.0975609756097455	2.449425397276258	1.985624576956435	-5.487804878048792	-0.9825355830935223	0
Qwen3-8B	magicoder	44	original_lora	LoRA	64.63414634146342	84.07884761182714	68.02218114602587	83.55814378780792	64.63414634146342	78.55305751522032	1.1105054007101292	/dataset1/zailong/runs/peft-sft-lab/hns-training-seeds-3task-20260912/Qwen3-8B/seed44/lora/magicoder	252	1.0622656484299178	1.1858488583616646	1.0622656484299178	1.0392300680842528	1.1312244151921933	1.0	1.0	1.0	0.001240079365079365	0.0	0.0	1.0	1.0	0.0	0.0	0.0	-9.756097560975604	-2.704147822366906	-1.1105054007101292
Qwen3-8B	magicoder	44	hns_f4_s1	HNS α=0 (4+1)	74.39024390243902	89.31008339651251	70.97966728280961	83.48186533343954	74.39024390243902	81.25720533758722	0	/dataset1/zailong/runs/peft-sft-lab/hns-training-seeds-3task-20260912/Qwen3-8B/seed44/hns_step_grid/adapters/Qwen3-8B/magicoder/hns_f4_s1	252	2.6438497049185954	5.3556473813470316	2.6438497049185954	2.156651307271127	4.373964077749275	0.15804589033705171	0.6019645285423316	16.372078697452263	0.001240079365079365	1.95273486269798e-08	0.0	0.15804589033705171	0.024978503452431376	9.756097560975604	2.704147822366906	1.1105054007101292	0.0	0.0	0
