group	method	name	n	target	off_score	forgetting_gap	target_gain_lora	target_gain_hns	off_score_gain_lora	off_score_gain_hns	fg_reduction_lora	fg_reduction_hns	functional_pr	cov_functional_pr	functional_rms_ratio	functional_squared_energy_ratio	target_gain_lora_wtl	target_gain_hns_wtl	off_score_gain_lora_wtl	off_score_gain_hns_wtl	fg_reduction_lora_wtl	fg_reduction_hns_wtl	pareto_vs_hns
base/Qwen3-8B	original_lora	LoRA	9	71.75198545234693	77.27379523689342	2.2045652076565645	0.0	-6.071252791821167	0.0	-3.2155591912079675	0.0	-2.2045652076565645	1.6685546417104347	1.5337730196596735	1.0	1.0	[0, 9, 0]	[0, 0, 9]	[0, 9, 0]	[3, 0, 6]	[0, 9, 0]	[0, 3, 6]	0
base/Qwen3-8B	hns_f4_s1	HNS α=0 (4+1)	9	77.8232382441681	80.48935442810138	0	6.071252791821167	0.0	3.2155591912079675	0.0	2.2045652076565645	0	6.864782311032136	4.754245166954587	0.27873297891467397	0.09349040120495797	[9, 0, 0]	[0, 9, 0]	[6, 0, 3]	[0, 9, 0]	[6, 3, 0]	[0, 9, 0]	0
base/Qwen3-8B	functional_hns_a05	Functional-HNS α=0.5	9	77.45713370326216	80.26886543878983	0.0	5.705148250915227	-0.3661045409059401	2.995070201896413	-0.22048898931155414	2.2045652076565645	0.0	12.244477630485886	7.888502887031817	0.21964178447627664	0.06479009933096234	[9, 0, 0]	[5, 0, 4]	[6, 0, 3]	[4, 0, 5]	[6, 3, 0]	[0, 9, 0]	3
base/Qwen3-8B	functional_hns_a10	Functional-HNS α=1	9	76.18691960926412	80.12329381399206	0	4.434934156917185	-1.6363186349039818	2.849498577098641	-0.3660606141093265	2.2045652076565645	0	15.978706008353877	11.50944160438394	0.20025056347468828	0.0550677002409164	[9, 0, 0]	[4, 0, 5]	[6, 0, 3]	[3, 0, 6]	[6, 3, 0]	[0, 9, 0]	1
base/Qwen3-8B	functional_flat	Protected Exact Functional Flat	9	76.06738133809863	80.08614369999955	0	4.315395885751689	-1.7558569060694775	2.8123484631061384	-0.40321072810182873	2.2045652076565645	0	15.999999999999963	11.535344420699282	0.1989354470017823	0.05477228715092337	[9, 0, 0]	[4, 0, 5]	[6, 0, 3]	[3, 0, 6]	[6, 3, 0]	[0, 9, 0]	2
base/Llama-3.1-8B-Instruct	original_lora	LoRA	9	64.24397317676298	61.82862272446401	3.2117668148862615	0.0	-2.099667722898155	0.0	-3.2650479022117733	0.0	-2.5235750355202544	2.3765762328523405	2.1549643501524782	1.0	1.0	[0, 9, 0]	[1, 1, 7]	[0, 9, 0]	[0, 0, 9]	[0, 9, 0]	[0, 1, 8]	0
base/Llama-3.1-8B-Instruct	hns_f4_s1	HNS α=0 (4+1)	9	66.34364089966114	65.09367062667579	0.688191779366007	2.099667722898155	0.0	3.2650479022117733	0.0	2.5235750355202544	0.0	7.825501851579604	6.0304305795439594	0.29702912943965515	0.10098423647753217	[7, 1, 1]	[0, 9, 0]	[9, 0, 0]	[0, 9, 0]	[8, 1, 0]	[0, 9, 0]	0
base/Llama-3.1-8B-Instruct	functional_hns_a05	Functional-HNS α=0.5	9	66.75885758225557	64.90365492598802	0.5071434411643168	2.5148844054925865	0.4152166825944319	3.0750322015240124	-0.19001570068776077	2.7046233737219447	0.18104833820169014	13.211722428524288	9.773890646293736	0.21913942858206248	0.06239098078884176	[8, 0, 1]	[5, 0, 4]	[8, 0, 1]	[3, 0, 6]	[8, 1, 0]	[4, 2, 3]	2
base/Llama-3.1-8B-Instruct	functional_hns_a10	Functional-HNS α=1	9	67.00455320738241	64.4447684536464	0.5780155939435532	2.7605800306194257	0.660912307721271	2.6161457291823993	-0.648902173029374	2.6337512209427083	0.11017618542245372	15.985241187842673	12.716251256623307	0.19608426869142087	0.052200859785193385	[8, 0, 1]	[5, 3, 1]	[7, 0, 2]	[2, 0, 7]	[8, 0, 1]	[4, 0, 5]	2
base/Llama-3.1-8B-Instruct	functional_flat	Protected Exact Functional Flat	9	66.57594264958162	64.5948527328132	0.6251231544206698	2.3319694728186326	0.23230174992047775	2.766230008349179	-0.49881789386259434	2.5866436604655916	0.06306862494533709	15.999999999999963	12.7253403501263	0.1959810401806176	0.052193817677590924	[8, 0, 1]	[5, 1, 3]	[7, 0, 2]	[2, 0, 7]	[8, 0, 1]	[3, 0, 6]	2
