base	train_task	eval_task	greedy_transition	samples	base_expected_reward	original_lora_expected_reward	original_hns_expected_reward	common_lora_expected_reward	common_hns_expected_reward	original_hns_minus_base	original_hns_minus_lora	common_hns_minus_base	common_hns_minus_lora
Llama-3.1-8B-Instruct	magicoder	metamath	hns_new_harm	36	0.7256944444444444	0.4548611111111111	0.5798611111111112	0.4791666666666667	0.5972222222222222	-0.14583333333333326	0.12500000000000006	-0.1284722222222222	0.11805555555555552
Llama-3.1-8B-Instruct	magicoder	metamath	hns_novel_gain	48	0.4505208333333333	0.3307291666666667	0.4661458333333333	0.3359375	0.4635416666666667	0.015625	0.13541666666666663	0.01302083333333337	0.12760416666666669
Llama-3.1-8B-Instruct	magicoder	metamath	lost_positive_transfer	72	0.3229166666666667	0.3645833333333333	0.421875	0.3680555555555556	0.4375	0.09895833333333331	0.057291666666666685	0.11458333333333331	0.06944444444444442
Llama-3.1-8B-Instruct	magicoder	metamath	persistent_failure	332	0.17319277108433734	0.19728915662650603	0.20519578313253012	0.2029367469879518	0.21084337349397592	0.03200301204819278	0.007906626506024084	0.03765060240963858	0.007906626506024111
Llama-3.1-8B-Instruct	magicoder	metamath	persistent_forgetting	55	0.5681818181818182	0.3068181818181818	0.4772727272727273	0.3090909090909091	0.45681818181818185	-0.09090909090909094	0.17045454545454547	-0.11136363636363639	0.14772727272727276
Llama-3.1-8B-Instruct	magicoder	metamath	preserved_base_success	592	0.9130067567567568	0.7043918918918919	0.877956081081081	0.7160050675675675	0.8842905405405406	-0.03505067567567577	0.17356418918918914	-0.028716216216216228	0.16828547297297303
Llama-3.1-8B-Instruct	magicoder	metamath	preserved_positive_transfer	44	0.5198863636363636	0.4375	0.5568181818181818	0.4403409090909091	0.5852272727272727	0.03693181818181812	0.11931818181818177	0.06534090909090906	0.1448863636363636
Llama-3.1-8B-Instruct	magicoder	metamath	recovered_forgetting	140	0.8205357142857143	0.47946428571428573	0.7196428571428571	0.48839285714285713	0.7339285714285714	-0.10089285714285712	0.2401785714285714	-0.08660714285714288	0.24553571428571425
Llama-3.1-8B-Instruct	metamath	magicoder	hns_novel_gain	6	0.3125	0.22916666666666666	0.3333333333333333	0.22916666666666666	0.3333333333333333	0.020833333333333315	0.10416666666666666	0.020833333333333315	0.10416666666666666
Llama-3.1-8B-Instruct	metamath	magicoder	lost_positive_transfer	5	0.1	0.325	0.25	0.325	0.3	0.15	-0.07500000000000001	0.19999999999999998	-0.025000000000000022
Llama-3.1-8B-Instruct	metamath	magicoder	persistent_failure	48	0.059895833333333336	0.046875	0.049479166666666664	0.046875	0.052083333333333336	-0.010416666666666671	0.0026041666666666644	-0.0078125	0.005208333333333336
Llama-3.1-8B-Instruct	metamath	magicoder	persistent_forgetting	12	0.5625	0.19791666666666666	0.3333333333333333	0.22916666666666666	0.3125	-0.22916666666666669	0.13541666666666666	-0.25	0.08333333333333334
Llama-3.1-8B-Instruct	metamath	magicoder	preserved_base_success	65	0.7692307692307693	0.8865384615384615	0.8903846153846153	0.8903846153846153	0.8903846153846153	0.12115384615384606	0.0038461538461538325	0.12115384615384606	0.0
Llama-3.1-8B-Instruct	metamath	magicoder	preserved_positive_transfer	19	0.24342105263157895	0.7894736842105263	0.7302631578947368	0.7828947368421053	0.7368421052631579	0.48684210526315785	-0.05921052631578949	0.49342105263157887	-0.046052631578947456
Llama-3.1-8B-Instruct	metamath	magicoder	recovered_forgetting	9	0.75	0.4583333333333333	0.5833333333333334	0.4305555555555556	0.5972222222222222	-0.16666666666666663	0.12500000000000006	-0.1527777777777778	0.16666666666666663
Qwen3-8B	magicoder	metamath	hns_new_harm	18	0.6180555555555556	0.5763888888888888	0.5902777777777778	0.5694444444444444	0.625	-0.02777777777777779	0.01388888888888895	0.00694444444444442	0.05555555555555558
Qwen3-8B	magicoder	metamath	hns_novel_gain	24	0.4583333333333333	0.390625	0.5989583333333334	0.4010416666666667	0.6354166666666666	0.14062500000000006	0.20833333333333337	0.17708333333333331	0.23437499999999994
Qwen3-8B	magicoder	metamath	lost_positive_transfer	26	0.2932692307692308	0.6201923076923077	0.40384615384615385	0.6009615384615384	0.39903846153846156	0.11057692307692307	-0.21634615384615385	0.10576923076923078	-0.20192307692307687
Qwen3-8B	magicoder	metamath	persistent_failure	85	0.13088235294117648	0.1426470588235294	0.11764705882352941	0.1411764705882353	0.1338235294117647	-0.013235294117647067	-0.024999999999999994	0.002941176470588225	-0.00735294117647059
Qwen3-8B	magicoder	metamath	persistent_forgetting	18	0.5208333333333334	0.2361111111111111	0.4166666666666667	0.2638888888888889	0.4166666666666667	-0.10416666666666669	0.18055555555555558	-0.10416666666666669	0.1527777777777778
Qwen3-8B	magicoder	metamath	preserved_base_success	1012	0.9651679841897233	0.9125494071146245	0.9799901185770751	0.912302371541502	0.9801136363636364	0.014822134387351804	0.06744071146245056	0.014945652173913082	0.0678112648221344
Qwen3-8B	magicoder	metamath	preserved_positive_transfer	54	0.6643518518518519	0.8240740740740741	0.8541666666666666	0.8148148148148148	0.8634259259259259	0.18981481481481477	0.03009259259259256	0.19907407407407407	0.04861111111111116
Qwen3-8B	magicoder	metamath	recovered_forgetting	82	0.8963414634146342	0.5472560975609756	0.9207317073170732	0.5259146341463414	0.9176829268292683	0.024390243902439046	0.3734756097560976	0.021341463414634165	0.3917682926829269
Qwen3-8B	metamath	magicoder	hns_new_harm	1	1.0	0.75	0.5	0.75	0.5	-0.5	-0.25	-0.5	-0.25
Qwen3-8B	metamath	magicoder	hns_novel_gain	3	0.25	0.20833333333333334	0.75	0.25	0.75	0.5	0.5416666666666666	0.5	0.5
Qwen3-8B	metamath	magicoder	lost_positive_transfer	9	0.09722222222222222	0.7638888888888888	0.20833333333333334	0.75	0.3194444444444444	0.11111111111111112	-0.5555555555555555	0.2222222222222222	-0.4305555555555556
Qwen3-8B	metamath	magicoder	persistent_failure	29	0.05172413793103448	0.08620689655172414	0.05603448275862069	0.07327586206896551	0.05603448275862069	0.004310344827586209	-0.030172413793103453	0.004310344827586209	-0.01724137931034482
Qwen3-8B	metamath	magicoder	persistent_forgetting	14	0.8482142857142857	0.1875	0.14285714285714285	0.19642857142857142	0.14285714285714285	-0.7053571428571428	-0.04464285714285715	-0.7053571428571428	-0.053571428571428575
Qwen3-8B	metamath	magicoder	preserved_base_success	81	0.9737654320987654	0.8734567901234568	0.9660493827160493	0.8626543209876543	0.9598765432098766	-0.007716049382716084	0.09259259259259256	-0.01388888888888884	0.09722222222222232
Qwen3-8B	metamath	magicoder	preserved_positive_transfer	14	0.125	0.8214285714285714	0.8482142857142857	0.8392857142857143	0.9017857142857143	0.7232142857142857	0.0267857142857143	0.7767857142857143	0.0625
Qwen3-8B	metamath	magicoder	recovered_forgetting	13	0.9711538461538461	0.18269230769230768	0.9038461538461539	0.18269230769230768	0.8846153846153846	-0.06730769230769229	0.7211538461538461	-0.08653846153846156	0.7019230769230769
