base_model	task	module	gamma_fro	gamma_energy	gamma_fit	shape_residual_fraction	suppressed_original_energy_share	relative_distance_to_equal_spectrum	peak_gain_ratio	nuclear_relative_error	participation_rank_sigma_probabilities	hns_majorized_by_lora_tolerance_1e_6	cached_energy_consistency_relative_error
Qwen3-8B	magicoder	layers.0.mlp.down_proj	0.5314545349330467	0.16823984252387525	0.15140640995140095	0.190101084530781	0.9983793971339523	0.012522245242804828	0.14668459332645145	3.8083181119752396e-07	4.518390696463444	True	2.2207335604035592e-08
Qwen3-8B	magicoder	layers.0.mlp.gate_proj	0.8760725939323726	0.6880307866300115	0.5952030323009909	0.2516331751664065	0.8449212113228317	0.006737121709953074	0.3646046852398039	2.3054687448009759e-07	12.279487998544283	True	3.681810316244339e-08
Qwen3-8B	magicoder	layers.0.mlp.up_proj	0.8691712303828272	0.64739628325808	0.5534344705694227	0.26921098981903724	0.8646230378274007	0.010069968799896129	0.36253389059222163	1.4312691321016757e-07	12.086108876197734	True	4.5071100356808645e-08
Qwen3-8B	magicoder	layers.0.self_attn.k_proj	0.934101258803276	0.6677266286576314	0.6201115963586871	0.13753334400540584	0.8865001831013191	0.012324211968586223	0.5030156527844605	2.457565413394036e-07	13.958595285220749	True	8.906061308300987e-08
Qwen3-8B	magicoder	layers.0.self_attn.o_proj	0.762545162182147	0.31076784843044153	0.2845955088017861	0.161343876407958	0.9934385986125125	0.017169399884656433	0.2778234803157277	1.0584108478539633e-07	9.300861365761001	True	7.876347912355291e-09
Qwen3-8B	magicoder	layers.0.self_attn.q_proj	0.8022333333880751	0.56467048675296	0.47674860965145505	0.2871655312139678	0.9201603319626038	0.010400613384643275	0.2789960197588486	6.269360741661956e-08	10.296137965899089	True	3.3346565668864203e-08
Qwen3-8B	magicoder	layers.0.self_attn.v_proj	0.7350810133602305	0.3218588025662542	0.2836027473722371	0.22359185099108592	0.9874112543305013	0.01708428820149738	0.2750267949223863	3.479699650643653e-07	8.642976135447318	True	4.666599566311775e-09
Qwen3-8B	magicoder	layers.1.mlp.down_proj	0.4472180249841895	0.1369376474354203	0.12046155145342363	0.22615999152367794	0.9987799176368439	0.01642271150916223	0.11823078648250118	3.078357634356266e-07	3.199202285042387	True	2.334298285748875e-08
Qwen3-8B	magicoder	layers.1.mlp.gate_proj	0.4117364688876359	0.11116278458169204	0.10731341594289678	0.06805731384796443	0.9997670628257895	0.0203675476715764	0.11029567556592927	1.8301392759045854e-06	2.711295576270481	True	7.644613990898101e-09
Qwen3-8B	magicoder	layers.1.mlp.up_proj	0.44514245400804	0.12415283758197763	0.11898365917058214	0.08153768494820446	0.9997051457745144	0.024386356364247484	0.12156930149653791	8.195167744418086e-08	3.1685439528791086	True	1.287955643963686e-08
Qwen3-8B	magicoder	layers.1.self_attn.k_proj	0.5361487421673969	0.24568712187583328	0.1819546966695363	0.45151878888488306	0.9958820470620244	0.016689087613942354	0.14641078921668865	6.377675427771123e-07	4.598000695188394	True	5.456562240641673e-08
Qwen3-8B	magicoder	layers.1.self_attn.o_proj	0.506186900722338	0.16525538505576406	0.14135245239103536	0.2683633466951586	0.9975794660373849	0.012009252831833671	0.1354032952017226	2.7100799004919907e-07	4.099009380124664	True	6.695203826306051e-09
Qwen3-8B	magicoder	layers.1.self_attn.q_proj	0.5047375827520411	0.16987552152874572	0.14455350166227723	0.27590486956017746	0.9981453090092445	0.01375480604034362	0.1362055368270413	1.1273333840877697e-06	4.075398439830796	True	1.6982697225397588e-08
Qwen3-8B	magicoder	layers.1.self_attn.v_proj	0.42310923613999707	0.12312538811041691	0.11162371579691095	0.17810237401809847	0.9996011190951593	0.022583206611497233	0.114238866018827	2.0899091102144496e-07	2.8628807963485685	True	1.0985644170910596e-08
Qwen3-8B	magicoder	layers.10.mlp.down_proj	0.40324659958263154	0.12341287084616455	0.10753226895777689	0.24079910892123302	0.9994923533782768	0.016090535646618744	0.10559361656105788	3.0819763241485276e-07	2.60105312395555	True	1.132403456012158e-08
Qwen3-8B	magicoder	layers.10.mlp.gate_proj	0.6093874451397607	0.23160225567088003	0.19706475315393188	0.27601038342160733	0.9953443530707076	0.016774404227051353	0.17604814622169157	6.999812929286975e-08	5.93997789931555	True	3.0225710484047224e-08
Qwen3-8B	magicoder	layers.10.mlp.up_proj	0.5678294229820827	0.20399311781324672	0.16991018382275916	0.3062423452931867	0.9957332977104163	0.012697702816184205	0.15748950016016705	2.3819731231888852e-07	5.158049824975238	True	3.389020896450761e-08
Qwen3-8B	magicoder	layers.10.self_attn.k_proj	0.6312602198334526	0.2485430134190984	0.20706495820695694	0.3059190911916283	0.9939125384979606	0.012860756334336892	0.18501594664227425	3.9862645517807493e-07	6.374781968133547	True	8.437367545174404e-09
Qwen3-8B	magicoder	layers.10.self_attn.o_proj	0.5433884520560172	0.19147529954595313	0.16118926898359798	0.29132561386622435	0.9975263820547052	0.010845640944646065	0.15076804634878027	6.415500084511194e-07	4.723774382297426	True	1.3182704067006632e-08
Qwen3-8B	magicoder	layers.10.self_attn.q_proj	0.5089532864727241	0.15100479142763604	0.1412423721350655	0.12511987610349318	0.999154345244961	0.016384483809106398	0.1390779714090607	4.056691325082795e-07	4.143419197373864	True	6.234753472037023e-08
Qwen3-8B	magicoder	layers.10.self_attn.v_proj	0.5303829508638421	0.1758387545856209	0.15594299629225927	0.2134930750616576	0.998890353698658	0.014117220281407725	0.14730433106120883	1.3223542150164747e-07	4.499998992558942	True	1.3404680117940481e-08
Qwen3-8B	magicoder	layers.11.mlp.down_proj	0.49352794192461463	0.1795664600182286	0.15357864442404298	0.2685052427726772	0.9987542652039185	0.01053356857277201	0.13697758824271286	3.1453276472248604e-07	3.8966873138322238	True	2.9914427046734414e-08
Qwen3-8B	magicoder	layers.11.mlp.gate_proj	0.6871546951004941	0.3207291750819212	0.25586272661536136	0.363589827609603	0.9821126105231671	0.014084767762738582	0.20604549739523317	4.458251994243767e-07	7.553399717732031	True	3.4597714893123264e-08
Qwen3-8B	magicoder	layers.11.mlp.up_proj	0.6233036705759027	0.2357155460731786	0.1983881124684678	0.29163868070561716	0.9938096343938668	0.015164872287684086	0.1804503924221484	3.024461336931239e-07	6.214686151014405	True	1.7572883713478176e-08
Qwen3-8B	magicoder	layers.11.self_attn.k_proj	0.6707874459365283	0.29776746919963004	0.2609618713303642	0.23193209734828912	0.9952974813837248	0.01581583953922377	0.22952460864614613	8.152904906744141e-07	7.1974801892284	True	4.247932631029017e-08
Qwen3-8B	magicoder	layers.11.self_attn.o_proj	0.6242000034828051	0.2350573239663567	0.19493839558505685	0.3122237109509075	0.995104950133995	0.014204006415008547	0.18040516617147517	2.1321335696988797e-07	6.232755232121782	True	4.4911156545168756e-08
Qwen3-8B	magicoder	layers.11.self_attn.q_proj	0.6217375393824052	0.20434154975563937	0.1873881844100757	0.1590483226746826	0.9980136818053915	0.013463946711614092	0.1828841138458605	5.342795952323343e-07	6.1837932890204295	True	5.6344655567742744e-08
