base_model,task,module,layer,module_type,dose_label,dose,lora_fro,head_fro,scalar_gamma_head_matched,suppressed_directions
Qwen3-8B,metamath,base_model.model.model.layers.0.mlp.down_proj,0,down_proj,0p00,0.0,1.0226041078567505,1.0226041078567505,1.0,2
Qwen3-8B,metamath,base_model.model.model.layers.0.mlp.down_proj,0,down_proj,0p25,0.25,1.0226041078567505,0.8301225900650024,0.8117731809616089,2
Qwen3-8B,metamath,base_model.model.model.layers.0.mlp.down_proj,0,down_proj,0p50,0.5,1.0226041078567505,0.6442902684211731,0.6300485730171204,2
Qwen3-8B,metamath,base_model.model.model.layers.0.mlp.down_proj,0,down_proj,1p00,1.0,1.0226041078567505,0.33910122513771057,0.33160558342933655,2
Qwen3-8B,metamath,base_model.model.model.layers.0.mlp.gate_proj,0,gate_proj,0p00,0.0,1.3915258646011353,1.3915258646011353,1.0,3
Qwen3-8B,metamath,base_model.model.model.layers.0.mlp.gate_proj,0,gate_proj,0p25,0.25,1.3915258646011353,1.183245062828064,0.8503220081329346,3
Qwen3-8B,metamath,base_model.model.model.layers.0.mlp.gate_proj,0,gate_proj,0p50,0.5,1.3915258646011353,0.9905943274497986,0.7118763327598572,3
Qwen3-8B,metamath,base_model.model.model.layers.0.mlp.gate_proj,0,gate_proj,1p00,1.0,1.3915258646011353,0.7043748497962952,0.5061888098716736,3
Qwen3-8B,metamath,base_model.model.model.layers.0.mlp.up_proj,0,up_proj,0p00,0.0,1.1493477821350098,1.1493477821350098,1.0,4
Qwen3-8B,metamath,base_model.model.model.layers.0.mlp.up_proj,0,up_proj,0p25,0.25,1.1493477821350098,1.0215623378753662,0.88881915807724,4
Qwen3-8B,metamath,base_model.model.model.layers.0.mlp.up_proj,0,up_proj,0p50,0.5,1.1493477821350098,0.9040321111679077,0.7865609526634216,4
Qwen3-8B,metamath,base_model.model.model.layers.0.mlp.up_proj,0,up_proj,1p00,1.0,1.1493477821350098,0.7196731567382812,0.6261578798294067,4
Qwen3-8B,metamath,base_model.model.model.layers.0.self_attn.k_proj,0,k_proj,0p00,0.0,0.3598513901233673,0.3598513901233673,1.0,5
Qwen3-8B,metamath,base_model.model.model.layers.0.self_attn.k_proj,0,k_proj,0p25,0.25,0.3598513901233673,0.3289613723754883,0.9141589403152466,5
Qwen3-8B,metamath,base_model.model.model.layers.0.self_attn.k_proj,0,k_proj,0p50,0.5,0.3598513901233673,0.2996669411659241,0.8327519297599792,5
Qwen3-8B,metamath,base_model.model.model.layers.0.self_attn.k_proj,0,k_proj,1p00,1.0,0.3598513901233673,0.24810484051704407,0.6894647479057312,5
