base_model,task,module,layer,module_type,rank,lora_frobenius_norm,hns_frobenius_norm,gamma_hns_matched,lora_nuclear_norm,lora_spectral_hhi,ideal_flat_gamma,gamma_to_ideal_flat_ratio,lora_top1_nuclear_share,lora_top1_energy_share,lora_top4_energy_share,lora_effective_rank,adapter_global_gamma,gamma_minus_global
Qwen3-8B,magicoder,base_model.model.model.layers.0.mlp.down_proj,0,down_proj,16,0.21743869132782861,0.11555877857608146,0.5314545349330467,0.4621986960992217,0.22131773615387054,0.5314126631243984,1.0000787933964579,0.43336915953185823,0.8485936631069443,0.9610140276256244,8.212028721445353,0.5216498252446977,0.009804709688349011
Qwen3-8B,magicoder,base_model.model.model.layers.0.mlp.gate_proj,0,gate_proj,16,0.16369639157709867,0.14340992238631822,0.8760725939323726,0.5736265387386084,0.08143662016841002,0.8760525097898056,1.0000229257291573,0.17284846017888691,0.3668692306290192,0.6786005356995903,14.20912839469905,0.5216498252446977,0.35442276868767486
Qwen3-8B,magicoder,base_model.model.model.layers.0.mlp.up_proj,0,up_proj,16,0.17968292425054938,0.15617522834963435,0.8691712303828272,0.624669149518013,0.08273961539179829,0.8691270360323389,1.0000508491263718,0.1760416544163944,0.3745565403333171,0.6815266106271824,14.09690619257585,0.5216498252446977,0.34752140513812946
Qwen3-8B,magicoder,base_model.model.model.layers.0.self_attn.k_proj,0,k_proj,16,0.04919442903797716,0.0459525780904829,0.934101258803276,0.1837963075377047,0.07164044658983644,0.9340300880198115,1.000076197527657,0.1266696911611747,0.22396860185323994,0.5593305784624225,15.00587321886562,0.5216498252446977,0.4124514335585783
Qwen3-8B,magicoder,base_model.model.model.layers.0.self_attn.o_proj,0,o_proj,16,0.11252496051768027,0.08580536426749419,0.762545162182147,0.34317090082913637,0.10751692350573806,0.7624328399013663,1.00014732088507,0.22911926574815403,0.4882546507589719,0.8441194680322255,12.249533128228084,0.5216498252446977,0.24089533693744924
Qwen3-8B,magicoder,base_model.model.model.layers.0.self_attn.q_proj,0,q_proj,16,0.11110943410069749,0.08913569168946521,0.8022333333880751,0.356523459777236,0.09712379567096031,0.8021898920260047,1.000054153464787,0.22856578316135912,0.5378941058806427,0.7539589170434557,13.264492498776237,0.5216498252446977,0.2805835081433774
Qwen3-8B,magicoder,base_model.model.model.layers.0.self_attn.v_proj,0,v_proj,16,0.05098175020432436,0.03747571660307289,0.7350810133602305,0.1498809363692999,0.11570088639938665,0.7349734746679348,1.0001463164263775,0.23203939666233422,0.465357554976394,0.8607025026056677,11.744121390955742,0.5216498252446977,0.21343118811553274
Qwen3-8B,magicoder,base_model.model.model.layers.1.mlp.down_proj,1,down_proj,16,0.2900843707159182,0.1297309593503544,0.4472180249841895,0.5188540141098201,0.3125779212760068,0.4471578499983525,1.0001345721333914,0.5421877879271249,0.9404618092579071,0.9785361397727752,6.458493847780863,0.5216498252446977,-0.07443180026050822
Qwen3-8B,magicoder,base_model.model.model.layers.1.mlp.gate_proj,1,gate_proj,16,0.24824373117922777,0.10221099729922675,0.4117364688876359,0.4087584305088967,0.36882736384483333,0.4116503048910629,1.0002093135740437,0.5934209001566971,0.9547783035179961,0.9869274537713134,5.4195110445467645,0.5216498252446977,-0.10991335635706184
Qwen3-8B,magicoder,base_model.model.model.layers.1.mlp.up_proj,1,up_proj,16,0.2665439898250161,0.1186500457318017,0.44514245400804,0.47445907979272306,0.31560237600344665,0.4450101089356784,1.0002973979010907,0.5361762011041874,0.9109086004706706,0.985011976282758,5.887297494510462,0.5216498252446977,-0.07650737123665774
Qwen3-8B,magicoder,base_model.model.model.layers.1.self_attn.k_proj,1,k_proj,16,0.11202607050201616,0.06006263678961209,0.5361487421673969,0.2402169336564839,0.21748583053640166,0.5360737294899598,1.0001399297770261,0.4369826262254352,0.8780057769828713,0.9493548035220521,8.588646257767847,0.5216498252446977,0.014498916922699223
Qwen3-8B,magicoder,base_model.model.model.layers.1.self_attn.o_proj,1,o_proj,16,0.2019879866445401,0.10224367294274474,0.506186900722338,0.40894508827477694,0.24396138365743059,0.5061502605529227,1.000072389905273,0.4701580701926408,0.90608032981836,0.9575952506620754,7.960075922661442,0.5216498252446977,-0.015462924522359756
Qwen3-8B,magicoder,base_model.model.model.layers.1.self_attn.q_proj,1,q_proj,16,0.16941937126607548,0.08551232392420954,0.5047375827520411,0.3420173227787018,0.24537478108312732,0.504690402612755,1.0000934833296646,0.4699416540165701,0.9000320130902633,0.9593794555930647,7.851952765027831,0.5216498252446977,-0.01691224249265666
Qwen3-8B,magicoder,base_model.model.model.layers.1.self_attn.v_proj,1,v_proj,16,0.11654251156048916,0.04931021304419534,0.423109236139997,0.19719050801359117,0.3492985112322663,0.4230012408631747,1.000255307234092,0.5735362746226907,0.9417270550269911,0.9855582581993748,5.57682210107102,0.5216498252446977,-0.0985405891047007
Qwen3-8B,magicoder,base_model.model.model.layers.10.mlp.down_proj,10,down_proj,16,0.2454525320153955,0.09897789889415523,0.40324659958263154,0.395860462449491,0.38445966012383864,0.4031945191185291,1.0001291695735752,0.6082232751157809,0.9622220242129084,0.9874849100124892,5.32347795101121,0.5216498252446977,-0.11840322566206618
Qwen3-8B,magicoder,base_model.model.model.layers.10.mlp.gate_proj,10,gate_proj,16,0.28387335180018874,0.1729888565967775,0.6093874451397607,0.6918581165373325,0.16835079472521736,0.6093017468440591,1.0001406500082193,0.3632274864518755,0.7836862732337607,0.9150134423379858,9.98521961310612,0.5216498252446977,0.08773761989506301
Qwen3-8B,magicoder,base_model.model.model.layers.10.mlp.up_proj,10,up_proj,16,0.27372699586533683,0.15543024211683315,0.5678294229820827,0.6216706978157163,0.1938717216646508,0.5677835098529653,1.0000808637945988,0.4040641381228972,0.8421435901797578,0.9358793270903182,9.217156013659784,0.5216498252446977,0.046179597737385
Qwen3-8B,magicoder,base_model.model.model.layers.10.self_attn.k_proj,10,k_proj,16,0.059915766208815335,0.03782243974846651,0.6312602198334525,0.15127730718813837,0.15686811015636776,0.6312082643694921,1.000082311127552,0.34384228870982125,0.7536746594789576,0.908000297288508,10.212846359472469,0.5216498252446977,0.10961039458875477
Qwen3-8B,magicoder,base_model.model.model.layers.10.self_attn.o_proj,10,o_proj,16,0.17466131879350671,0.09490894365326616,0.5433884520560172,0.3796132025308907,0.21169512323610296,0.5433561436972892,1.000059460740626,0.4221979418646396,0.84201798978588,0.9555528101085611,8.471730374180803,0.5216498252446977,0.02173862681131944
Qwen3-8B,magicoder,base_model.model.model.layers.10.self_attn.q_proj,10,q_proj,16,0.17707138413182508,0.09012106289416655,0.5089532864727241,0.3604357158765197,0.24134656725870476,0.5088847608603214,1.0001346584092767,0.46011251406512377,0.8771764521199878,0.9640357283073752,7.775535850837817,0.5216498252446977,-0.012696538771973631
Qwen3-8B,magicoder,base_model.model.model.layers.10.self_attn.v_proj,10,v_proj,16,0.08009648173073669,0.042481808334159946,0.5303829508638421,0.169910277123563,0.222222271972409,0.5303300265258737,1.0000997950998836,0.4304355329069364,0.8337361792965644,0.9627298570844827,7.9229337806271145,0.5216498252446977,0.00873312561914441
