base_model,task,seed,module_type,target_module,source_module,lora_frobenius_norm,raw_permuted_gamma,norm_correction,final_gamma
Llama-3.1-8B-Instruct,commonsense,20260911,down_proj,base_model.model.model.layers.0.mlp.down_proj,base_model.model.model.layers.3.mlp.down_proj,4.906867533611846,0.7577299712873041,0.9983408033699376,0.7564727482724469
Llama-3.1-8B-Instruct,commonsense,20260911,down_proj,base_model.model.model.layers.1.mlp.down_proj,base_model.model.model.layers.29.mlp.down_proj,5.034711072874383,0.7261137986989383,0.9983408033699376,0.7249090331310952
Llama-3.1-8B-Instruct,commonsense,20260911,down_proj,base_model.model.model.layers.10.mlp.down_proj,base_model.model.model.layers.31.mlp.down_proj,3.0127749571765836,0.5835942855397113,0.9983408033699376,0.58262598786782
Llama-3.1-8B-Instruct,commonsense,20260911,down_proj,base_model.model.model.layers.11.mlp.down_proj,base_model.model.model.layers.23.mlp.down_proj,3.1706160915466106,0.5627550872565733,0.9983408033699376,0.5618213659122467
Llama-3.1-8B-Instruct,commonsense,20260911,down_proj,base_model.model.model.layers.12.mlp.down_proj,base_model.model.model.layers.10.mlp.down_proj,2.9349650966687513,0.7279904777903075,0.9983408033699376,0.7267825984428402
Llama-3.1-8B-Instruct,commonsense,20260911,down_proj,base_model.model.model.layers.13.mlp.down_proj,base_model.model.model.layers.25.mlp.down_proj,2.6530399964370814,0.7095018164880166,0.9983408033699376,0.7083246134650765
Llama-3.1-8B-Instruct,commonsense,20260911,down_proj,base_model.model.model.layers.14.mlp.down_proj,base_model.model.model.layers.28.mlp.down_proj,2.6204886971023655,0.6707300186331266,0.9983408033699376,0.6696171456465289
Llama-3.1-8B-Instruct,commonsense,20260911,down_proj,base_model.model.model.layers.15.mlp.down_proj,base_model.model.model.layers.13.mlp.down_proj,2.1169166088475393,0.6878737522202683,0.9983408033699376,0.686732434408676
Llama-3.1-8B-Instruct,commonsense,20260911,down_proj,base_model.model.model.layers.16.mlp.down_proj,base_model.model.model.layers.19.mlp.down_proj,1.5144390508999035,0.5734388468692911,0.9983408033699376,0.5724873990670187
Llama-3.1-8B-Instruct,commonsense,20260911,down_proj,base_model.model.model.layers.17.mlp.down_proj,base_model.model.model.layers.7.mlp.down_proj,1.9170332729354524,0.7320067903107687,0.9983408033699376,0.7307922471111022
Llama-3.1-8B-Instruct,commonsense,20260911,down_proj,base_model.model.model.layers.18.mlp.down_proj,base_model.model.model.layers.26.mlp.down_proj,2.352474545859622,0.6098840425414416,0.9983408033699376,0.608872124993328
Llama-3.1-8B-Instruct,commonsense,20260911,down_proj,base_model.model.model.layers.19.mlp.down_proj,base_model.model.model.layers.8.mlp.down_proj,2.057864538100632,0.7333337455167757,0.9983408033699376,0.7321170006375032
Llama-3.1-8B-Instruct,commonsense,20260911,down_proj,base_model.model.model.layers.2.mlp.down_proj,base_model.model.model.layers.9.mlp.down_proj,4.456264039229606,0.7555991453123321,0.9983408033699376,0.7543454577567518
Llama-3.1-8B-Instruct,commonsense,20260911,down_proj,base_model.model.model.layers.20.mlp.down_proj,base_model.model.model.layers.14.mlp.down_proj,1.4950598856027224,0.621862833742877,0.9983408033699376,0.6208310410247697
Llama-3.1-8B-Instruct,commonsense,20260911,down_proj,base_model.model.model.layers.21.mlp.down_proj,base_model.model.model.layers.4.mlp.down_proj,1.1009495829337335,0.7229287650886836,0.9983408033699376,0.7217292841178733
Llama-3.1-8B-Instruct,commonsense,20260911,down_proj,base_model.model.model.layers.22.mlp.down_proj,base_model.model.model.layers.17.mlp.down_proj,1.2018811585429814,0.6454213438766593,0.9983408033699376,0.6443504629579287
Llama-3.1-8B-Instruct,commonsense,20260911,down_proj,base_model.model.model.layers.23.mlp.down_proj,base_model.model.model.layers.30.mlp.down_proj,1.4254566967432865,0.6537865482342582,0.9983408033699376,0.6527017877966478
Llama-3.1-8B-Instruct,commonsense,20260911,down_proj,base_model.model.model.layers.24.mlp.down_proj,base_model.model.model.layers.20.mlp.down_proj,1.1115399057700035,0.6414549188641994,0.9983408033699376,0.6403906190244829
Llama-3.1-8B-Instruct,commonsense,20260911,down_proj,base_model.model.model.layers.25.mlp.down_proj,base_model.model.model.layers.0.mlp.down_proj,0.8415115939208605,0.6536606504451452,0.9983408033699376,0.6525760988967222
Llama-3.1-8B-Instruct,commonsense,20260911,down_proj,base_model.model.model.layers.26.mlp.down_proj,base_model.model.model.layers.15.mlp.down_proj,0.9059031329871199,0.641808952352599,0.9983408033699376,0.6407440651017118
Llama-3.1-8B-Instruct,commonsense,20260911,down_proj,base_model.model.model.layers.27.mlp.down_proj,base_model.model.model.layers.22.mlp.down_proj,1.485118666401271,0.6302298576843011,0.9983408033699376,0.6291841824282666
Llama-3.1-8B-Instruct,commonsense,20260911,down_proj,base_model.model.model.layers.28.mlp.down_proj,base_model.model.model.layers.18.mlp.down_proj,0.8205275136344776,0.5204167257191921,0.9983408033699376,0.5195532520416507
Llama-3.1-8B-Instruct,commonsense,20260911,down_proj,base_model.model.model.layers.29.mlp.down_proj,base_model.model.model.layers.5.mlp.down_proj,0.6818863493171894,0.6518403625879504,0.9983408033699376,0.6507588312550058
Llama-3.1-8B-Instruct,commonsense,20260911,down_proj,base_model.model.model.layers.3.mlp.down_proj,base_model.model.model.layers.21.mlp.down_proj,3.962957244791229,0.7527549648879909,0.9983408033699376,0.751505996386986
Llama-3.1-8B-Instruct,commonsense,20260911,down_proj,base_model.model.model.layers.30.mlp.down_proj,base_model.model.model.layers.27.mlp.down_proj,0.544833893895239,0.47980290242159046,0.9983408033699376,0.4790068150627984
Llama-3.1-8B-Instruct,commonsense,20260911,down_proj,base_model.model.model.layers.31.mlp.down_proj,base_model.model.model.layers.12.mlp.down_proj,0.16929692897495144,0.6205177093273766,0.9983408033699376,0.6194881484351665
Llama-3.1-8B-Instruct,commonsense,20260911,down_proj,base_model.model.model.layers.4.mlp.down_proj,base_model.model.model.layers.24.mlp.down_proj,3.875557757913442,0.6076989936932223,0.9983408033699376,0.6066907015707942
Llama-3.1-8B-Instruct,commonsense,20260911,down_proj,base_model.model.model.layers.5.mlp.down_proj,base_model.model.model.layers.1.mlp.down_proj,3.849115218824183,0.4594689883640498,0.9983408033699376,0.458706638966938
Llama-3.1-8B-Instruct,commonsense,20260911,down_proj,base_model.model.model.layers.6.mlp.down_proj,base_model.model.model.layers.11.mlp.down_proj,3.5784788410820387,0.6480597178338856,0.9983408033699376,0.6469844593339764
Llama-3.1-8B-Instruct,commonsense,20260911,down_proj,base_model.model.model.layers.7.mlp.down_proj,base_model.model.model.layers.2.mlp.down_proj,3.3268488777628047,0.667506332826281,0.9983408033699376,0.6663988085683104
Llama-3.1-8B-Instruct,commonsense,20260911,down_proj,base_model.model.model.layers.8.mlp.down_proj,base_model.model.model.layers.6.mlp.down_proj,3.3645862152793464,0.694023374564451,0.9983408033699376,0.6928718533201891
Llama-3.1-8B-Instruct,commonsense,20260911,down_proj,base_model.model.model.layers.9.mlp.down_proj,base_model.model.model.layers.16.mlp.down_proj,3.0824281129660833,0.7624531957186274,0.9983408033699376,0.7611881359457107
Llama-3.1-8B-Instruct,commonsense,20260911,gate_proj,base_model.model.model.layers.0.mlp.gate_proj,base_model.model.model.layers.14.mlp.gate_proj,4.520984954348877,0.7216920532463275,0.9983408033699376,0.7204946242236383
Llama-3.1-8B-Instruct,commonsense,20260911,gate_proj,base_model.model.model.layers.1.mlp.gate_proj,base_model.model.model.layers.4.mlp.gate_proj,4.45272141100736,0.8495385473980999,0.9983408033699376,0.8481289959031488
Llama-3.1-8B-Instruct,commonsense,20260911,gate_proj,base_model.model.model.layers.10.mlp.gate_proj,base_model.model.model.layers.0.mlp.gate_proj,4.207975941380536,0.8844802478191903,0.9983408033699376,0.883012721172652
Llama-3.1-8B-Instruct,commonsense,20260911,gate_proj,base_model.model.model.layers.11.mlp.gate_proj,base_model.model.model.layers.30.mlp.gate_proj,4.1266757366343105,0.8763717410919134,0.9983408033699376,0.8749176680524118
Llama-3.1-8B-Instruct,commonsense,20260911,gate_proj,base_model.model.model.layers.12.mlp.gate_proj,base_model.model.model.layers.31.mlp.gate_proj,3.924252965418844,0.8037926861346221,0.9983408033699376,0.8024590360185186
Llama-3.1-8B-Instruct,commonsense,20260911,gate_proj,base_model.model.model.layers.13.mlp.gate_proj,base_model.model.model.layers.13.mlp.gate_proj,3.6902483590931725,0.7823503136388017,0.9983408033699376,0.7810522406348839
Llama-3.1-8B-Instruct,commonsense,20260911,gate_proj,base_model.model.model.layers.14.mlp.gate_proj,base_model.model.model.layers.17.mlp.gate_proj,3.8985733467639325,0.7896919859432567,0.9983408033699376,0.7883817316613924
Llama-3.1-8B-Instruct,commonsense,20260911,gate_proj,base_model.model.model.layers.15.mlp.gate_proj,base_model.model.model.layers.9.mlp.gate_proj,3.2465957004195123,0.758729492324816,0.9983408033699376,0.7574706109080217
Llama-3.1-8B-Instruct,commonsense,20260911,gate_proj,base_model.model.model.layers.16.mlp.gate_proj,base_model.model.model.layers.10.mlp.gate_proj,2.6677487146358847,0.7106126518948802,0.9983408033699376,0.7094336057775765
Llama-3.1-8B-Instruct,commonsense,20260911,gate_proj,base_model.model.model.layers.17.mlp.gate_proj,base_model.model.model.layers.15.mlp.gate_proj,2.7423351033168974,0.7480660414997087,0.9983408033699376,0.7468248528445882
Llama-3.1-8B-Instruct,commonsense,20260911,gate_proj,base_model.model.model.layers.18.mlp.gate_proj,base_model.model.model.layers.5.mlp.gate_proj,2.4296480546343124,0.8136945947178122,0.9983408033699376,0.8123445153883564
Llama-3.1-8B-Instruct,commonsense,20260911,gate_proj,base_model.model.model.layers.19.mlp.gate_proj,base_model.model.model.layers.3.mlp.gate_proj,2.0112598420602024,0.8090510418612058,0.9983408033699376,0.8077086670990012
Llama-3.1-8B-Instruct,commonsense,20260911,gate_proj,base_model.model.model.layers.2.mlp.gate_proj,base_model.model.model.layers.16.mlp.gate_proj,4.422087187974683,0.8176903911889313,0.9983408033699376,0.8163336820474362
Llama-3.1-8B-Instruct,commonsense,20260911,gate_proj,base_model.model.model.layers.20.mlp.gate_proj,base_model.model.model.layers.25.mlp.gate_proj,2.3627610726191506,0.847308252856064,0.9983408033699376,0.8459024018583011
Llama-3.1-8B-Instruct,commonsense,20260911,gate_proj,base_model.model.model.layers.21.mlp.gate_proj,base_model.model.model.layers.2.mlp.gate_proj,2.119480510937505,0.8779657069641156,0.9983408033699376,0.8765089892218103
Llama-3.1-8B-Instruct,commonsense,20260911,gate_proj,base_model.model.model.layers.22.mlp.gate_proj,base_model.model.model.layers.21.mlp.gate_proj,1.6883422096038263,0.7027667252430726,0.9983408033699376,0.7016006970608293
Llama-3.1-8B-Instruct,commonsense,20260911,gate_proj,base_model.model.model.layers.23.mlp.gate_proj,base_model.model.model.layers.6.mlp.gate_proj,1.5625469662589149,0.7681467585347485,0.9983408033699376,0.7668722520215943
Llama-3.1-8B-Instruct,commonsense,20260911,gate_proj,base_model.model.model.layers.24.mlp.gate_proj,base_model.model.model.layers.23.mlp.gate_proj,1.4897092619553118,0.8174412801841546,0.9983408033699376,0.8160849843667992
Llama-3.1-8B-Instruct,commonsense,20260911,gate_proj,base_model.model.model.layers.25.mlp.gate_proj,base_model.model.model.layers.12.mlp.gate_proj,1.5889550724745822,0.7396566212948227,0.9983408033699376,0.7384293855213669
Llama-3.1-8B-Instruct,commonsense,20260911,gate_proj,base_model.model.model.layers.26.mlp.gate_proj,base_model.model.model.layers.7.mlp.gate_proj,1.5344870611490768,0.859741182051311,0.9983408033699376,0.8583147023793256
Llama-3.1-8B-Instruct,commonsense,20260911,gate_proj,base_model.model.model.layers.27.mlp.gate_proj,base_model.model.model.layers.18.mlp.gate_proj,1.577944484192821,0.7926141638410233,0.9983408033699376,0.7912990610914385
Llama-3.1-8B-Instruct,commonsense,20260911,gate_proj,base_model.model.model.layers.28.mlp.gate_proj,base_model.model.model.layers.8.mlp.gate_proj,1.4944386590447247,0.7779075518380205,0.9983408033699376,0.7766168502495108
Llama-3.1-8B-Instruct,commonsense,20260911,gate_proj,base_model.model.model.layers.29.mlp.gate_proj,base_model.model.model.layers.20.mlp.gate_proj,1.65010284055841,0.6896172424803914,0.9983408033699376,0.6884730318756349
