base	eval_task	condition	samples	rollouts_per_sample	expected_strict_accuracy	expected_numeric_accuracy	any_at_n_strict	any_at_n_numeric	majority_strict_accuracy	invalid_extraction_rate	mean_output_tokens	expected_pass_rate	code_fence_rate	pass_at_1	pass_at_4	pass_at_8
Llama-3.1-8B-Instruct	metamath	base	1319	8	0.6353297952994693	0.6423426838514026	0.8870356330553449	0.8946171341925702	0.6929492039423806	0.0	159.03989764973466					
Llama-3.1-8B-Instruct	metamath	calibrated_scalar_0p25	1319	8	0.6144806671721	0.6294541319181198	0.9029567854435178	0.910538286580743	0.6974981046247157	9.476876421531463e-05	150.79169825625473					
Llama-3.1-8B-Instruct	metamath	common_hns	1319	8	0.6234836997725549	0.6412054586808188	0.9097801364670205	0.9188779378316907	0.7172100075815011	0.0	144.6292645943897					
Llama-3.1-8B-Instruct	metamath	common_lora	1319	8	0.49725170583775585	0.5630212282031842	0.8931008339651251	0.9226686884003032	0.6830932524639879	0.0	117.26449962092494					
Llama-3.1-8B-Instruct	metamath	original_hns	1319	8	0.6163760424564063	0.6345716451857468	0.910538286580743	0.9241849886277483	0.7058377558756633	0.0	144.89281652767247					
Llama-3.1-8B-Instruct	metamath	original_lora	1319	8	0.48843821076573163	0.5559135708870356	0.8870356330553449	0.9181197877179682	0.6747536012130402	0.0	116.96067096285064					
Llama-3.1-8B-Instruct	magicoder	base	164	8							56.43368902439025	0.44740853658536583	0.0	0.44740853658536583	0.6730836236933798	0.7378048780487805
Llama-3.1-8B-Instruct	magicoder	calibrated_scalar_0p40	164	8							59.21112804878049	0.524390243902439	0.0	0.524390243902439	0.724912891986063	0.7926829268292683
Llama-3.1-8B-Instruct	magicoder	common_hns	164	8							59.853658536585364	0.5304878048780488	0.0	0.5304878048780488	0.7189895470383276	0.7865853658536586
Llama-3.1-8B-Instruct	magicoder	common_lora	164	8							64.89100609756098	0.5160060975609756	0.0007621951219512195	0.5160060975609756	0.6843205574912894	0.7560975609756098
Llama-3.1-8B-Instruct	magicoder	original_hns	164	8							60.06859756097561	0.5282012195121951	0.0	0.5282012195121951	0.7182926829268294	0.7865853658536586
Llama-3.1-8B-Instruct	magicoder	original_lora	164	8							64.3826219512195	0.5144817073170732	0.0007621951219512195	0.5144817073170732	0.6768292682926831	0.7439024390243902
Qwen3-8B	metamath	base	1319	8	0.8615428354814253	0.890068233510235	0.9499620924943138	0.974981046247157	0.9006823351023503	0.002274450341167551	220.43119787717967					
Qwen3-8B	metamath	calibrated_scalar_0p40	1319	8	0.8694086429112965	0.8986921910538287	0.9529946929492039	0.9727065959059894	0.9044730856709629	0.0	155.58064821834722					
Qwen3-8B	metamath	common_hns	1319	8	0.8866565579984838	0.9169825625473844	0.956027293404094	0.9719484457922669	0.9097801364670205	0.0002843062926459439	195.59334723275208					
Qwen3-8B	metamath	common_lora	1319	8	0.8056292645943897	0.8315959059893859	0.956027293404094	0.9696739954510993	0.8961334344200151	0.0003790750568612585	119.78203184230478					
Qwen3-8B	metamath	original_hns	1319	8	0.8842873388931008	0.9158453373768006	0.9514783927217589	0.9704321455648218	0.9097801364670205	0.0009476876421531463	195.92048900682335					
Qwen3-8B	metamath	original_lora	1319	8	0.8075246398786959	0.8335860500379075	0.9529946929492039	0.9673995451099318	0.8976497346474602	0.0002843062926459439	119.69711902956786					
Qwen3-8B	magicoder	base	164	8							65.35670731707317	0.6661585365853658	0.0022865853658536584	0.6661585365853658	0.7487804878048783	0.7804878048780488
Qwen3-8B	magicoder	calibrated_scalar_0p40	164	8							59.111280487804876	0.6585365853658537	0.0	0.6585365853658537	0.7614111498257841	0.7987804878048781
Qwen3-8B	magicoder	common_hns	164	8							59.62118902439025	0.6775914634146342	0.0	0.6775914634146342	0.7735191637630662	0.7987804878048781
Qwen3-8B	magicoder	common_lora	164	8							59.263719512195124	0.5922256097560976	0.0	0.5922256097560976	0.7759581881533101	0.8353658536585366
Qwen3-8B	magicoder	original_hns	164	8							59.85594512195122	0.6714939024390244	0.0	0.6714939024390244	0.7674216027874565	0.7926829268292683
Qwen3-8B	magicoder	original_lora	164	8							59.33993902439025	0.5975609756097561	0.0	0.5975609756097561	0.7823170731707317	0.8475609756097561
