case	label	selected_modules	samples	observed_set_utility	observed_ci_low	observed_ci_high	sum_single_module_utility	interaction_observed_minus_additive	interaction_ci_low	interaction_ci_high	observed_to_additive_ratio
qwen_magicoder	full_hns	252	61	-0.18174777790659763	-0.19997151795102924	-0.16531918436655257	-0.06121357676924252	-0.12053420113735512	-0.20672410616620643	-0.033908967734848895	2.96907626541305
qwen_magicoder	functional_top50	126	61	-0.0733330387805329	-0.08368332840380122	-0.06357439689521419	-0.034991832541637735	-0.03834120623889516	-0.08175761918002954	0.0034179551404763375	2.095718727885198
qwen_magicoder	compatibility_top50	126	61	-0.019815106250223567	-0.02373971068223969	-0.016004613142643797	-0.02518501499148666	0.005369908741263092	-0.03798225754719288	0.0482691466075475	0.786781594409283
qwen_magicoder	high_f_high_c_top50	126	61	-0.02716571764379251	-0.03242993296780547	-0.02232502588666365	-0.02638503738114091	-0.0007806802626515999	-0.0439363196095238	0.04300717183800992	1.0295879915337776
qwen_commonsense	full_hns	252	64	2.342757187783718	2.15167126795277	2.530098134372383	3.3322643861174583	-0.9895071983337402	-2.4987973078154027	0.5169555395841597	0.7030526141754764
qwen_commonsense	functional_top50	126	64	2.242893673479557	2.092758678738028	2.393311843462288	2.8759442046284676	-0.6330505311489105	-1.355375273246318	0.10908323321491417	0.7798808022318041
qwen_commonsense	compatibility_top50	126	64	3.031266178935766	2.8432982329279186	3.2154744218103586	4.67073667049408	-1.6394704915583134	-2.4328890456818044	-0.8395170395262544	0.6489910249243644
qwen_commonsense	high_f_high_c_top50	126	64	2.8342546112835407	2.6552550734952094	3.0078608910553157	4.094727922230959	-1.2604733109474182	-2.0283482159487902	-0.5152599441818898	0.6921716570949442
llama_tulu	full_hns	224	64	-0.04002979438519105	-0.047609092749189584	-0.03227280996943591	0.009487700182944536	-0.04951749456813559	-0.12271382980397902	0.023132571860332962	-4.219125142376463
llama_tulu	functional_top50	112	64	-0.029129625007044524	-0.035437761373759716	-0.0220477586335619	-0.0017934641218744218	-0.027336160885170102	-0.0663742060190998	0.010023775784065934	16.242100776791663
llama_tulu	compatibility_top50	112	64	-0.013236936239991337	-0.017534288293973077	-0.008393767300003675	0.00455349066760391	-0.017790426907595247	-0.05501417407649569	0.01939589820249239	-2.9069865749734234
llama_tulu	high_f_high_c_top50	112	64	-0.013560568098910153	-0.017961182532599197	-0.00839541106252	0.0053372562397271395	-0.018897824338637292	-0.05675968918658327	0.02012342770176474	-2.5407376917701483
