case	selection	scope_fraction	runs	mean_gain	sample_sd	min_gain	max_gain
qwen_commonsense	compatibility	0.25	1	-0.001297238323562211	0.0	-0.001297238323562211	-0.001297238323562211
qwen_commonsense	compatibility	0.5	1	-0.0015216741620394103	0.0	-0.0015216741620394103	-0.0015216741620394103
qwen_commonsense	high_f_high_c	0.25	1	-0.00021501305887061672	0.0	-0.00021501305887061672	-0.00021501305887061672
qwen_commonsense	high_f_high_c	0.5	1	-0.0023974105425955683	0.0	-0.0023974105425955683	-0.0023974105425955683
qwen_commonsense	high_f_low_c	0.25	1	-0.001282327705266706	0.0	-0.001282327705266706	-0.001282327705266706
qwen_commonsense	high_f_low_c	0.5	1	-0.0005126930128462881	0.0	-0.0005126930128462881	-0.0005126930128462881
qwen_commonsense	low_f_high_c	0.25	1	-0.0019053799280138728	0.0	-0.0019053799280138728	-0.0019053799280138728
qwen_commonsense	low_f_high_c	0.5	1	-0.0035519607458674995	0.0	-0.0035519607458674995	-0.0035519607458674995
qwen_commonsense	low_f_low_c	0.25	1	-0.0009121373417926293	0.0	-0.0009121373417926293	-0.0009121373417926293
qwen_commonsense	low_f_low_c	0.5	1	-0.0019295836961009671	0.0	-0.0019295836961009671	-0.0019295836961009671
