case	label	selection	scope_fraction	selected_modules	seed	baseline_score	score	gain
qwen_commonsense	high_f_high_c_top25	high_f_high_c	0.25	63		0.9078089686538364	0.9075939555949658	-0.00021501305887061672
qwen_commonsense	high_f_low_c_top25	high_f_low_c	0.25	63		0.9078089686538364	0.9065266409485697	-0.001282327705266706
qwen_commonsense	low_f_high_c_top25	low_f_high_c	0.25	63		0.9078089686538364	0.9059035887258226	-0.0019053799280138728
qwen_commonsense	low_f_low_c_top25	low_f_low_c	0.25	63		0.9078089686538364	0.9068968313120438	-0.0009121373417926293
qwen_commonsense	compatibility_top25	compatibility	0.25	63		0.9078089686538364	0.9065117303302742	-0.001297238323562211
qwen_commonsense	high_f_high_c_top50	high_f_high_c	0.5	126		0.9078089686538364	0.9054115581112409	-0.0023974105425955683
qwen_commonsense	high_f_low_c_top50	high_f_low_c	0.5	126		0.9078089686538364	0.9072962756409901	-0.0005126930128462881
qwen_commonsense	low_f_high_c_top50	low_f_high_c	0.5	126		0.9078089686538364	0.9042570079079689	-0.0035519607458674995
qwen_commonsense	low_f_low_c_top50	low_f_low_c	0.5	126		0.9078089686538364	0.9058793849577355	-0.0019295836961009671
qwen_commonsense	compatibility_top50	compatibility	0.5	126		0.9078089686538364	0.906287294491797	-0.0015216741620394103
