case	label	category	baseline_score	score	gain
qwen_magicoder	high_f_high_c_top25	humaneval	0.774390243902439	0.7804878048780488	0.0060975609756097615
qwen_magicoder	high_f_high_c_top25	mbpp	0.7198443579766537	0.7315175097276264	0.011673151750972721
qwen_magicoder	high_f_low_c_top25	humaneval	0.774390243902439	0.7560975609756098	-0.018292682926829285
qwen_magicoder	high_f_low_c_top25	mbpp	0.7198443579766537	0.7431906614785992	0.023346303501945553
qwen_magicoder	low_f_high_c_top25	humaneval	0.774390243902439	0.7865853658536586	0.012195121951219523
qwen_magicoder	low_f_high_c_top25	mbpp	0.7198443579766537	0.7276264591439688	0.0077821011673151474
qwen_magicoder	low_f_low_c_top25	humaneval	0.774390243902439	0.7621951219512195	-0.012195121951219523
qwen_magicoder	low_f_low_c_top25	mbpp	0.7198443579766537	0.7315175097276264	0.011673151750972721
qwen_magicoder	compatibility_top25	humaneval	0.774390243902439	0.7804878048780488	0.0060975609756097615
qwen_magicoder	compatibility_top25	mbpp	0.7198443579766537	0.7276264591439688	0.0077821011673151474
qwen_magicoder	high_f_high_c_top50	humaneval	0.774390243902439	0.7987804878048781	0.024390243902439046
qwen_magicoder	high_f_high_c_top50	mbpp	0.7198443579766537	0.708171206225681	-0.011673151750972721
qwen_magicoder	high_f_low_c_top50	humaneval	0.774390243902439	0.7865853658536586	0.012195121951219523
qwen_magicoder	high_f_low_c_top50	mbpp	0.7198443579766537	0.7237354085603113	0.0038910505836575737
qwen_magicoder	low_f_high_c_top50	humaneval	0.774390243902439	0.7926829268292683	0.018292682926829285
qwen_magicoder	low_f_high_c_top50	mbpp	0.7198443579766537	0.6964980544747081	-0.023346303501945553
qwen_magicoder	low_f_low_c_top50	humaneval	0.774390243902439	0.8048780487804879	0.030487804878048808
qwen_magicoder	low_f_low_c_top50	mbpp	0.7198443579766537	0.7276264591439688	0.0077821011673151474
qwen_magicoder	compatibility_top50	humaneval	0.774390243902439	0.8048780487804879	0.030487804878048808
qwen_magicoder	compatibility_top50	mbpp	0.7198443579766537	0.7120622568093385	-0.0077821011673151474
