case	selection	scope_fraction	runs	mean_gain	sample_sd	min_gain	max_gain
qwen_magicoder	compatibility	0.25	1	0.0069398310714623435	0.0	0.0069398310714623435	0.0069398310714623435
qwen_magicoder	compatibility	0.5	1	0.011352851855366719	0.0	0.011352851855366719	0.011352851855366719
qwen_magicoder	high_f_high_c	0.25	1	0.00888535636329113	0.0	0.00888535636329113	0.00888535636329113
qwen_magicoder	high_f_high_c	0.5	1	0.0063585460757331624	0.0	0.0063585460757331624	0.0063585460757331624
qwen_magicoder	high_f_low_c	0.25	1	0.002526810287558079	0.0	0.002526810287558079	0.002526810287558079
qwen_magicoder	high_f_low_c	0.5	1	0.008043086267438548	0.0	0.008043086267438548	0.008043086267438548
qwen_magicoder	low_f_high_c	0.25	1	0.009988611559267335	0.0	0.009988611559267335	0.009988611559267335
qwen_magicoder	low_f_high_c	0.5	1	-0.00252681028755819	0.0	-0.00252681028755819	-0.00252681028755819
qwen_magicoder	low_f_low_c	0.25	1	-0.0002609851001234009	0.0	-0.0002609851001234009	-0.0002609851001234009
qwen_magicoder	low_f_low_c	0.5	1	0.019134953022681866	0.0	0.019134953022681866	0.019134953022681866
