case	label	selection	scope_fraction	selected_modules	seed	baseline_score	score	gain
qwen_magicoder	high_f_high_c_top25	high_f_high_c	0.25	63		0.7471173009395464	0.7560026573028376	0.00888535636329113
qwen_magicoder	high_f_low_c_top25	high_f_low_c	0.25	63		0.7471173009395464	0.7496441112271045	0.002526810287558079
qwen_magicoder	low_f_high_c_top25	low_f_high_c	0.25	63		0.7471173009395464	0.7571059124988138	0.009988611559267335
qwen_magicoder	low_f_low_c_top25	low_f_low_c	0.25	63		0.7471173009395464	0.746856315839423	-0.0002609851001234009
qwen_magicoder	compatibility_top25	compatibility	0.25	63		0.7471173009395464	0.7540571320110088	0.0069398310714623435
qwen_magicoder	high_f_high_c_top50	high_f_high_c	0.5	126		0.7471173009395464	0.7534758470152796	0.0063585460757331624
qwen_magicoder	high_f_low_c_top50	high_f_low_c	0.5	126		0.7471173009395464	0.755160387206985	0.008043086267438548
qwen_magicoder	low_f_high_c_top50	low_f_high_c	0.5	126		0.7471173009395464	0.7445904906519882	-0.00252681028755819
qwen_magicoder	low_f_low_c_top50	low_f_low_c	0.5	126		0.7471173009395464	0.7662522539622283	0.019134953022681866
qwen_magicoder	compatibility_top50	compatibility	0.5	126		0.7471173009395464	0.7584701527949131	0.011352851855366719
