case	label	selection	scope_fraction	selected_modules	seed	baseline_score	score	gain
llama_tulu	functional_top25	functional_top1_share	0.25	56		0.7004359543788259	0.717821491420542	0.01738553704171608
llama_tulu	raw_top25	raw_top1_energy_share	0.25	56		0.7004359543788259	0.7054692659920123	0.005033311613186431
llama_tulu	random_top25_seed42	uniform_random	0.25	56	42	0.7004359543788259	0.7026090772483677	0.0021731228695418547
llama_tulu	matched_random_top25_seed42	functional_matched_random	0.25	56	42	0.7004359543788259	0.7226924560167023	0.022256501637876402
llama_tulu	random_top25_seed43	uniform_random	0.25	56	43	0.7004359543788259	0.7109148171296604	0.010478862750834539
llama_tulu	matched_random_top25_seed43	functional_matched_random	0.25	56	43	0.7004359543788259	0.7116140728821748	0.011178118503348933
llama_tulu	random_top25_seed44	uniform_random	0.25	56	44	0.7004359543788259	0.7127632459651503	0.012327291586324396
llama_tulu	matched_random_top25_seed44	functional_matched_random	0.25	56	44	0.7004359543788259	0.7088663634711454	0.008430409092319513
llama_tulu	functional_top50	functional_top1_share	0.5	112		0.7004359543788259	0.7141495675917676	0.013713613212941733
llama_tulu	raw_top50	raw_top1_energy_share	0.5	112		0.7004359543788259	0.721306134390085	0.020870180011259065
llama_tulu	random_top50_seed42	uniform_random	0.5	112	42	0.7004359543788259	0.709003776645966	0.008567822267140146
llama_tulu	matched_random_top50_seed42	functional_matched_random	0.5	112	42	0.7004359543788259	0.7220680017908039	0.021632047411977995
llama_tulu	random_top50_seed43	uniform_random	0.5	112	43	0.7004359543788259	0.7130630061569967	0.012627051778170806
llama_tulu	matched_random_top50_seed43	functional_matched_random	0.5	112	43	0.7004359543788259	0.7229672823663436	0.02253132798751767
llama_tulu	random_top50_seed44	uniform_random	0.5	112	44	0.7004359543788259	0.7188831190131074	0.018447164634281532
llama_tulu	matched_random_top50_seed44	functional_matched_random	0.5	112	44	0.7004359543788259	0.714774021817666	0.01433806743884014
