case	left	right	left_score	right_score	delta	bootstrap_ci_low	bootstrap_ci_high	paired_permutation_p	paired_units
qwen_magicoder	lora	functional_top25	0.7471173009395464	0.7421229951599126	-0.004994305779633779	-0.035221125557559074	0.02633576919426782	0.7856621433785662	421
qwen_magicoder	lora	raw_top25	0.7471173009395464	0.7451717756477176	-0.0019455252918287869	-0.03554646721078105	0.03139443152700002	0.938790612093879	421
qwen_magicoder	lora	random_top25_seed42	0.7471173009395464	0.7571059124988138	0.009988611559267335	-0.013618677042801557	0.03463984056182974	0.45945540544594554	421
qwen_magicoder	lora	matched_random_top25_seed42	0.7471173009395464	0.7301888583088165	-0.0169284426307299	-0.0482585176046313	0.014403115213058723	0.3162668373316267	421
qwen_magicoder	lora	random_top25_seed43	0.7471173009395464	0.7629424883743001	0.015825187434753696	-0.0038910505836575876	0.0369056657492645	0.14954850451495486	421
qwen_magicoder	lora	matched_random_top25_seed43	0.7471173009395464	0.742383980260036	-0.004733320679510378	-0.03437885546170637	0.025232513998291736	0.7942620573794262	421
qwen_magicoder	lora	random_top25_seed44	0.7471173009395464	0.7460140457435702	-0.001103255195976205	-0.023026003606339565	0.02023820821865806	0.989540104598954	421
qwen_magicoder	lora	matched_random_top25_seed44	0.7471173009395464	0.7371286893802791	-0.009988611559267335	-0.042421941729144916	0.023286988706462942	0.5844641553584464	421
qwen_magicoder	lora	functional_top50	0.7471173009395464	0.7762408655214956	0.0291235645819492	-0.003048780487804878	0.06298044984340895	0.0939990600093999	421
qwen_magicoder	lora	raw_top50	0.7471173009395464	0.7693010344500333	0.022183733510486858	-0.012776406946948846	0.05740485906804593	0.22923770762292378	421
qwen_magicoder	lora	random_top50_seed42	0.7471173009395464	0.7643067286703995	0.01718942773085308	-0.016667457530606434	0.05020404289646009	0.3316466835331647	421
qwen_magicoder	lora	matched_random_top50_seed42	0.7471173009395464	0.7401774698680839	-0.0069398310714625655	-0.042421941729144916	0.02717803929012053	0.7237427625723742	421
qwen_magicoder	lora	random_top50_seed43	0.7471173009395464	0.747959571035399	0.000842270095852582	-0.029384549682072696	0.031069089873778117	0.993740062599374	421
qwen_magicoder	lora	matched_random_top50_seed43	0.7471173009395464	0.7440685204517414	-0.0030487804878049918	-0.03632438075353516	0.02996583467780203	0.8862311376886232	421
qwen_magicoder	lora	random_top50_seed44	0.7471173009395464	0.755160387206985	0.008043086267438548	-0.02023820821865806	0.03633090538103815	0.6156838431615684	421
qwen_magicoder	lora	matched_random_top50_seed44	0.7471173009395464	0.7499050963272278	0.002787795387681369	-0.03133007497390149	0.037486950744993836	0.9047909520904791	421
qwen_magicoder	raw_top25	functional_top25	0.7451717756477176	0.7421229951599126	-0.0030487804878049918	-0.01971623801841131	0.013037392047072221	0.8173818261817382	421
qwen_magicoder	raw_top50	functional_top50	0.7693010344500333	0.7762408655214956	0.0069398310714623435	-0.011352851855366802	0.025820323621524057	0.5367746322536775	421
qwen_commonsense	lora	functional_top25	0.9078089686538365	0.9081482079650955	0.00033923931125900975	-0.002184051241191461	0.002871424619497813	0.7906720932790672	22419
qwen_commonsense	lora	raw_top25	0.9078089686538365	0.908032775441014	0.00022380678717748292	-0.002340538203837446	0.0027833231123241447	0.8628213717862822	22419
qwen_commonsense	lora	random_top25_seed42	0.9078089686538365	0.9075005757066139	-0.00030839294722262434	-0.0026277584424490674	0.0020581063895951756	0.8009319906800932	22419
qwen_commonsense	lora	matched_random_top25_seed42	0.9078089686538365	0.9032948043573319	-0.004514164296504641	-0.007463221543795623	-0.001695576569517149	0.0017599824001759982	22419
qwen_commonsense	lora	random_top25_seed43	0.9078089686538365	0.9061674201207162	-0.0016415485331203739	-0.004026717282300111	0.000711534794516694	0.17727822721772782	22419
qwen_commonsense	lora	matched_random_top25_seed43	0.9078089686538365	0.9044934661764583	-0.0033155024773782182	-0.006006972004699814	-0.0006982581104482994	0.013029869701302987	22419
qwen_commonsense	lora	random_top25_seed44	0.9078089686538365	0.9070314167111764	-0.0007775519426601596	-0.002933106206104328	0.0013603354435993155	0.47970520294797053	22419
qwen_commonsense	lora	matched_random_top25_seed44	0.9078089686538365	0.9057553357392352	-0.0020536329146013665	-0.004620827114839839	0.00044821753985425434	0.11291887081129189	22419
qwen_commonsense	lora	functional_top50	0.9078089686538365	0.9064180270036698	-0.0013909416501667327	-0.004366944741675819	0.0015252350049007057	0.36594634053659464	22419
qwen_commonsense	lora	raw_top50	0.9078089686538365	0.9057549151383444	-0.002054053515492149	-0.005066866718771004	0.0008638196608518028	0.17730822691773082	22419
qwen_commonsense	lora	random_top50_seed42	0.9078089686538365	0.9042704146962872	-0.0035385539575493175	-0.006533110795836139	-0.000535424349139007	0.022909770902290977	22419
qwen_commonsense	lora	matched_random_top50_seed42	0.9078089686538365	0.9052636880941998	-0.0025452805596367645	-0.005491714118387006	0.0003019259128548681	0.08700912990870091	22419
qwen_commonsense	lora	random_top50_seed43	0.9078089686538365	0.9059086185702707	-0.001900350083565816	-0.004536516954916226	0.0007984257117709984	0.16534834651653482	22419
qwen_commonsense	lora	matched_random_top50_seed43	0.9078089686538365	0.9064206163681365	-0.0013883522857000008	-0.004432459690624429	0.0016611999777799067	0.3715762842371576	22419
qwen_commonsense	lora	random_top50_seed44	0.9078089686538365	0.9050753908038178	-0.002733577850018709	-0.005579136375088846	4.558013414376727e-05	0.05776942230577694	22419
qwen_commonsense	lora	matched_random_top50_seed44	0.9078089686538365	0.9054215974418885	-0.002387371211947986	-0.0053196216281562155	0.0005278208287398748	0.1077889221107789	22419
qwen_commonsense	raw_top25	functional_top25	0.908032775441014	0.9081482079650955	0.00011543252408152682	-0.0019940080185672513	0.0021768524895293922	0.9150208497915021	22419
qwen_commonsense	raw_top50	functional_top50	0.9057549151383444	0.9064180270036698	0.0006631118653254164	-0.001609873517005036	0.0029935633627925697	0.5731042689573105	22419
llama_tulu	lora	functional_top25	0.700435954378826	0.717821491420542	0.01738553704171597	-0.005063697905782327	0.04007128194425068	0.13307866921330785	541
llama_tulu	lora	raw_top25	0.700435954378826	0.7054692659920123	0.00503331161318632	-0.018681877968738377	0.02877689942248416	0.6822031779682203	541
llama_tulu	lora	random_top25_seed42	0.700435954378826	0.7026090772483676	0.0021731228695416327	-0.016466173740550573	0.02154363282407354	0.8189618103818962	541
llama_tulu	lora	matched_random_top25_seed42	0.700435954378826	0.7226924560167024	0.022256501637876402	0.0007938693858455626	0.04430112624519047	0.045909540904590956	541
llama_tulu	lora	random_top25_seed43	0.700435954378826	0.7109148171296604	0.010478862750834428	-0.008755221297843398	0.02984189193237369	0.2933870661293387	541
llama_tulu	lora	matched_random_top25_seed43	0.700435954378826	0.7116140728821748	0.011178118503348822	-0.011239660576059974	0.034136356570510715	0.3310866891331087	541
llama_tulu	lora	random_top25_seed44	0.700435954378826	0.7127632459651502	0.012327291586324174	-0.005276210292623125	0.030891595757795442	0.1918380816191838	541
llama_tulu	lora	matched_random_top25_seed44	0.700435954378826	0.7088663634711454	0.008430409092319402	-0.014820126797264216	0.03136251707865931	0.47986520134798655	541
llama_tulu	lora	functional_top50	0.700435954378826	0.7141495675917676	0.013713613212941622	-0.009426609999234985	0.03737185681791796	0.25940740592594075	541
llama_tulu	lora	raw_top50	0.700435954378826	0.721306134390085	0.020870180011258954	-0.0024699359650732044	0.04486954293544038	0.0921490785092149	541
llama_tulu	lora	random_top50_seed42	0.700435954378826	0.709003776645966	0.008567822267140035	-0.014529339859495219	0.03145974848092468	0.46119538804611954	541
llama_tulu	lora	matched_random_top50_seed42	0.700435954378826	0.7220680017908039	0.021632047411977884	-0.0010800734130102863	0.04464592656622841	0.06345936540634593	541
llama_tulu	lora	random_top50_seed43	0.700435954378826	0.7130630061569967	0.012627051778170695	-0.008417323993354701	0.03308156149352398	0.23947760522394776	541
llama_tulu	lora	matched_random_top50_seed43	0.700435954378826	0.7229672823663436	0.022531327987517558	-0.0005442548227725944	0.04578151989672366	0.06092939070609294	541
llama_tulu	lora	random_top50_seed44	0.700435954378826	0.7188831190131074	0.01844716463428142	-0.0021285634500497097	0.03941646046286267	0.07809921900780992	541
llama_tulu	lora	matched_random_top50_seed44	0.700435954378826	0.714774021817666	0.01433806743884003	-0.009451783613252145	0.03828394539388169	0.24129758702412976	541
llama_tulu	raw_top25	functional_top25	0.7054692659920123	0.717821491420542	0.01235222542852965	-0.00491245639005214	0.029762454889534374	0.17041829581704182	541
llama_tulu	raw_top50	functional_top50	0.721306134390085	0.7141495675917676	-0.007156566798317332	-0.0264524155631494	0.01195619332213528	0.47013529864701353	541
