case	label	selection	scope_fraction	selected_modules	seed	baseline_score	score	gain
qwen_magicoder	functional_top25	functional_top1_share	0.25	63		0.7471173009395464	0.7421229951599126	-0.004994305779633779
qwen_magicoder	raw_top25	raw_top1_energy_share	0.25	63		0.7471173009395464	0.7451717756477176	-0.0019455252918287869
qwen_magicoder	random_top25_seed42	uniform_random	0.25	63	42	0.7471173009395464	0.7571059124988138	0.009988611559267335
qwen_magicoder	matched_random_top25_seed42	functional_matched_random	0.25	63	42	0.7471173009395464	0.7301888583088165	-0.0169284426307299
qwen_magicoder	random_top25_seed43	uniform_random	0.25	63	43	0.7471173009395464	0.7629424883743001	0.015825187434753696
qwen_magicoder	matched_random_top25_seed43	functional_matched_random	0.25	63	43	0.7471173009395464	0.742383980260036	-0.004733320679510378
qwen_magicoder	random_top25_seed44	uniform_random	0.25	63	44	0.7471173009395464	0.7460140457435702	-0.001103255195976205
qwen_magicoder	matched_random_top25_seed44	functional_matched_random	0.25	63	44	0.7471173009395464	0.7371286893802791	-0.009988611559267335
qwen_magicoder	functional_top50	functional_top1_share	0.5	126		0.7471173009395464	0.7762408655214956	0.0291235645819492
qwen_magicoder	raw_top50	raw_top1_energy_share	0.5	126		0.7471173009395464	0.7693010344500333	0.022183733510486858
qwen_magicoder	random_top50_seed42	uniform_random	0.5	126	42	0.7471173009395464	0.7643067286703995	0.01718942773085308
qwen_magicoder	matched_random_top50_seed42	functional_matched_random	0.5	126	42	0.7471173009395464	0.7401774698680839	-0.0069398310714625655
qwen_magicoder	random_top50_seed43	uniform_random	0.5	126	43	0.7471173009395464	0.747959571035399	0.000842270095852582
qwen_magicoder	matched_random_top50_seed43	functional_matched_random	0.5	126	43	0.7471173009395464	0.7440685204517414	-0.0030487804878049918
qwen_magicoder	random_top50_seed44	uniform_random	0.5	126	44	0.7471173009395464	0.755160387206985	0.008043086267438548
qwen_magicoder	matched_random_top50_seed44	functional_matched_random	0.5	126	44	0.7471173009395464	0.7499050963272278	0.002787795387681369
