base_model,task,layer,modules,lora_mean,lora_median,lora_p50,lora_p90,lora_p95,lora_p99,lora_max,lora_fraction_gt_0p10,lora_fraction_gt_0p25,lora_fraction_gt_0p50,lora_fraction_gt_1p00,hns_mean,hns_median,hns_p50,hns_p90,hns_p95,hns_p99,hns_max,hns_fraction_gt_0p10,hns_fraction_gt_0p25,hns_fraction_gt_0p50,hns_fraction_gt_1p00,scalar_shrink_mean,scalar_shrink_median,scalar_shrink_p50,scalar_shrink_p90,scalar_shrink_p95,scalar_shrink_p99,scalar_shrink_max,scalar_shrink_fraction_gt_0p10,scalar_shrink_fraction_gt_0p25,scalar_shrink_fraction_gt_0p50,scalar_shrink_fraction_gt_1p00,shape_only_mean,shape_only_median,shape_only_p50,shape_only_p90,shape_only_p95,shape_only_p99,shape_only_max,shape_only_fraction_gt_0p10,shape_only_fraction_gt_0p25,shape_only_fraction_gt_0p50,shape_only_fraction_gt_1p00,head_only_mean,head_only_median,head_only_p50,head_only_p90,head_only_p95,head_only_p99,head_only_max,head_only_fraction_gt_0p10,head_only_fraction_gt_0p25,head_only_fraction_gt_0p50,head_only_fraction_gt_1p00,tail_only_mean,tail_only_median,tail_only_p50,tail_only_p90,tail_only_p95,tail_only_p99,tail_only_max,tail_only_fraction_gt_0p10,tail_only_fraction_gt_0p25,tail_only_fraction_gt_0p50,tail_only_fraction_gt_1p00,paired_mean_delta,paired_fraction_hns_lower,hns_to_lora_p99_ratio,scalar_shrink_to_lora_p99_ratio,shape_only_to_lora_p99_ratio,head_only_to_lora_p99_ratio,tail_only_to_lora_p99_ratio
Qwen3-8B,magicoder,0,7,0.0038740224138196734,0.0038405718925240005,0.0038405718925240005,0.004241273173587616,0.004352459154320908,0.004787669137794202,0.0049362845418778195,0.0,0.0,0.0,0.0,0.0013235443882257155,0.0013168838471274273,0.0013168838471274273,0.0014137267330794532,0.0014424022416990047,0.0015598093393335683,0.0016146013865374522,0.0,0.0,0.0,0.0,0.0024318212767024325,0.002401251302554867,0.002401251302554867,0.00269085753650481,0.0027798732462319064,0.003085666649405641,0.0032394727805679624,0.0,0.0,0.0,0.0,0.0017421707940294847,0.0017321903405155999,0.0017321903405155999,0.001863080361858754,0.0019014164224565556,0.002059422396590128,0.00212623979115281,0.0,0.0,0.0,0.0,0.0011778535444830285,0.0011677523433543111,0.0011677523433543111,0.0012825270594409837,0.001312169394000669,0.001436455291726681,0.0015003623787088413,0.0,0.0,0.0,0.0,0.003920729833257759,0.0038887723615061254,0.0038887723615061254,0.00428290941481441,0.004393740961587168,0.004824720477507041,0.004973104607230841,0.0,0.0,0.0,0.0,-0.002550478025593958,1.0,0.3257972291820089,0.6445029012233048,0.43015136119847974,0.3000322809250122,1.0077389098215566
Qwen3-8B,magicoder,1,7,0.004833859422946337,0.004844755623199554,0.004844755623199554,0.004931866675987311,0.004966770949677038,0.005046060553682152,0.005116380538029377,0.0,0.0,0.0,0.0,0.0005702028323745435,0.0005715114554909814,0.0005715114554909814,0.0005811924501128217,0.0005843606169456459,0.00059422294781968,0.0006011128471381228,0.0,0.0,0.0,0.0,0.002073987321434923,0.002078203450361708,0.002078203450361708,0.0021169082377993356,0.0021308838712646846,0.0021658276097003834,0.002196189221384925,0.0,0.0,0.0,0.0,0.0013266211298938256,0.0013297822291436002,0.0013297822291436002,0.0013517189133312748,0.0013596387040853669,0.0013818200815292083,0.0013978549702131063,0.0,0.0,0.0,0.0,0.0005559766840845532,0.0005568662737529513,0.0005568662737529513,0.0005671416687276568,0.0005708067726130526,0.0005800122180904654,0.0005869439820356949,0.0,0.0,0.0,0.0,0.004838695287323945,0.0048494937467864555,0.0048494937467864555,0.004936592758963635,0.004971292261837435,0.005051083233759294,0.005120853570698294,0.0,0.0,0.0,0.0,-0.004263656590571794,1.0,0.11775977349024688,0.4292115773600777,0.2738413593790274,0.11494357071621458,1.0009953665881945
Qwen3-8B,magicoder,2,7,0.0040109352352729,0.004020394304307619,0.004020394304307619,0.004103788340660157,0.004131647447328601,0.004260422761468317,0.004412908191058284,0.0,0.0,0.0,0.0,0.0004906280131279425,0.0004917009780320987,0.0004917009780320987,0.000501068219289751,0.0005044734101876353,0.000520121242820071,0.0005381958996925057,0.0,0.0,0.0,0.0,0.0017814367672816037,0.0017857590212822473,0.0017857590212822473,0.0018221286496500318,0.0018354525041473044,0.0018950345636876125,0.001963012415938991,0.0,0.0,0.0,0.0,0.0011039002274947662,0.001106799366202448,0.001106799366202448,0.0011274528867013965,0.0011347872859727459,0.0011687836171864825,0.0012092748594182507,0.0,0.0,0.0,0.0,0.0004786193645333244,0.00047970398535458243,0.00047970398535458243,0.0004890739456464761,0.0004927018945428811,0.0005077924492424675,0.0005252718386776307,0.0,0.0,0.0,0.0,0.004011282587196799,0.004020475502164223,0.004020475502164223,0.004104265252548556,0.004131859370628198,0.0042605020799427636,0.004413347789811724,0.0,0.0,0.0,0.0,-0.0035203072221449572,1.0,0.12208207305718549,0.44479965247263525,0.2743351264942711,0.11918827723741231,1.000018617512601
Qwen3-8B,magicoder,3,7,0.00443538545072325,0.0044545367885838434,0.0044545367885838434,0.004575666134593776,0.004610117355865429,0.004718527193150601,0.004740694946077511,0.0,0.0,0.0,0.0,0.0006003912631941112,0.0006023554521331228,0.0006023554521331228,0.0006168028093240447,0.0006226241959973146,0.0006365535479066727,0.0006437010652547197,0.0,0.0,0.0,0.0,0.0021188426932514546,0.002126599896659085,0.002126599896659085,0.0021834771100702564,0.0022028597042660553,0.0022493120651313893,0.0022594254159052523,0.0,0.0,0.0,0.0,0.001248408372806704,0.0012522575778056762,0.0012522575778056762,0.0012834150220279532,0.0012948232639426237,0.0013267730555513216,0.0013432442154028533,0.0,0.0,0.0,0.0,0.0005861225335527526,0.000588023542810144,0.000588023542810144,0.0006031580955777891,0.0006086209083600068,0.0006216823005683984,0.0006255312363087804,0.0,0.0,0.0,0.0,0.004435167017976038,0.0044541625036697684,0.0044541625036697684,0.004575406433507909,0.0046096413531628334,0.004718415636718949,0.004741707766078844,0.0,0.0,0.0,0.0,-0.0038349941875291393,1.0,0.13490513498167223,0.47669791294124225,0.2811837256076984,0.13175346355337963,0.9999763577855791
Qwen3-8B,magicoder,4,7,0.005446833539781038,0.005506107294257772,0.005506107294257772,0.005715499830367824,0.005761965554974081,0.005843987723597774,0.005880446841799585,0.0,0.0,0.0,0.0,0.000873197755193779,0.0008815819385283452,0.0008815819385283452,0.0009132231235932753,0.00091970194356822,0.0009318729288420919,0.0009392342997888978,0.0,0.0,0.0,0.0,0.0029871216832320236,0.0030199058299656004,0.0030199058299656004,0.003134696771647641,0.0031595038153114582,0.003205395266227156,0.003225026883184482,0.0,0.0,0.0,0.0,0.001591529020950441,0.0016069172473519551,0.0016069172473519551,0.0016643838326658197,0.0016764588519706275,0.0016984461398321224,0.0017122684371678868,0.0,0.0,0.0,0.0,0.0008433422558822197,0.0008529487160002566,0.0008529487160002566,0.0008853270603172138,0.0008914646892564241,0.0009038898157254343,0.0009113590763446517,0.0,0.0,0.0,0.0,0.005452611549832711,0.005511704595046758,0.005511704595046758,0.005720937639052426,0.005767347787396403,0.005849046562415785,0.00588592826648923,0.0,0.0,0.0,0.0,-0.004573635784587259,1.0,0.15945839945543155,0.5484945242584796,0.2906313668274608,0.15467004012954472,1.0008656484334462
Qwen3-8B,magicoder,5,7,0.0029156392247932624,0.0029627829251105426,0.0029627829251105426,0.003101141526773869,0.0031504245000657954,0.0032111071902095464,0.0032643833407653327,0.0,0.0,0.0,0.0,0.0006636696014344725,0.0006711619222484954,0.0006711619222484954,0.0007030058548031307,0.0007129038529987738,0.0007300381388618072,0.0007348641830189114,0.0,0.0,0.0,0.0,0.002009242208580025,0.002042091126953917,0.002042091126953917,0.002137673426645458,0.0021711397813313133,0.0022123000385386353,0.0022500197985681264,0.0,0.0,0.0,0.0,0.0009638780993033674,0.0009746669417749791,0.0009746669417749791,0.0010212333330932698,0.0010355180251606028,0.0010608617261516446,0.0010672426750676985,0.0,0.0,0.0,0.0,0.000638472366201321,0.000647022489950127,0.000647022489950127,0.0006786697119196949,0.0006864723244760843,0.0007007216097317765,0.0007095698297851069,0.0,0.0,0.0,0.0,0.0029188715176426882,0.002965432580291763,0.002965432580291763,0.003104577870835978,0.0031528183685520126,0.003214218511320953,0.0032676751425465647,0.0,0.0,0.0,0.0,-0.0022519696233587894,1.0,0.2273477948938127,0.6889524103349125,0.33037256725223685,0.2182180687920448,1.0009689247126017
Qwen3-8B,magicoder,6,7,0.005067261096208792,0.005061010812489638,0.005061010812489638,0.00510864350585189,0.005121479236832882,0.005135779641221958,0.005140927997261313,0.0,0.0,0.0,0.0,0.0005330945171956527,0.0005335617798190538,0.0005335617798190538,0.0005373296222837214,0.000537940906592185,0.0005390563749523614,0.0005395254348976413,0.0,0.0,0.0,0.0,0.0018317499996561095,0.0018320903330381198,0.0018320903330381198,0.0018422164112000278,0.001844286093325161,0.0018489861520756211,0.001850574886582257,0.0,0.0,0.0,0.0,0.001457679615774604,0.0014566972088004533,0.0014566972088004533,0.001467276796513169,0.0014700938098673576,0.0014732850418421048,0.0014744447789200234,0.0,0.0,0.0,0.0,0.000506596700617068,0.0005070744708683946,0.0005070744708683946,0.0005109811392407983,0.0005118000160256907,0.0005128576163037778,0.0005137186478788761,0.0,0.0,0.0,0.0,0.005063726831790851,0.005057506724447139,0.005057506724447139,0.005104988270102921,0.005117786589847822,0.005132044390259069,0.005137176435490167,0.0,0.0,0.0,0.0,-0.004534166579013139,1.0,0.10496096262107216,0.36002053850497584,0.2868668721720244,0.09985973934460968,0.9992727003057318
Qwen3-8B,magicoder,7,7,0.0037570917528663888,0.0037686149380586806,0.0037686149380586806,0.0039025665256236927,0.003946281283487162,0.004052870064203826,0.004139677302005996,0.0,0.0,0.0,0.0,0.0006967941154578358,0.0006988469883303843,0.0006988469883303843,0.0007217424698405824,0.0007260173845213174,0.0007422098000301213,0.0007608109938166227,0.0,0.0,0.0,0.0,0.0021443638929726223,0.002150465706759962,0.002150465706759962,0.002236151499077292,0.002262986678052809,0.002325937299261504,0.002398007179991747,0.0,0.0,0.0,0.0,0.0011805170785625814,0.0011845814637894499,0.0011845814637894499,0.0012198539350148285,0.0012256655841016064,0.0012535570251442677,0.001275919119138289,0.0,0.0,0.0,0.0,0.0006716427770008821,0.0006734427751708104,0.0006734427751708104,0.0006956533032849019,0.0007010494983011705,0.0007177035785862052,0.0007354008138686359,0.0,0.0,0.0,0.0,0.003761566124975119,0.003772948224689399,0.003772948224689399,0.003907466629686739,0.003950461736671818,0.0040566293942450255,0.00414411339679133,0.0,0.0,0.0,0.0,-0.003060297637408553,1.0,0.18313190116444705,0.5738988081075891,0.3093010645014412,0.17708526728383922,1.0009275723084248
Qwen3-8B,magicoder,8,7,0.006814099001130875,0.006904032992206056,0.006904032992206056,0.00782279606593422,0.008197438329547592,0.008931577489305328,0.009392988902686292,0.0,0.0,0.0,0.0,0.0018070246135575886,0.0018207833678832615,0.0018207833678832615,0.0019706812230319355,0.0020287153394808405,0.002127158392979649,0.002159769243386024,0.0,0.0,0.0,0.0,0.004307611192481383,0.004365317937153383,0.004365317937153383,0.0049392277059252115,0.005179675086249003,0.005651802151933569,0.005932276806612425,0.0,0.0,0.0,0.0,0.0028157479102932006,0.002839973009854782,0.002839973009854782,0.0030751692840211057,0.003166177875124558,0.003318523135709578,0.0033804530201189576,0.0,0.0,0.0,0.0,0.0016041961476665266,0.0016254669539256755,0.0016254669539256755,0.0017892370601615974,0.0018491037732358943,0.0019589049403543517,0.0019965676296287123,0.0,0.0,0.0,0.0,0.006864421786754522,0.006951572964498798,0.006951572964498798,0.007865584729109563,0.008237817674740439,0.008968054568292848,0.009432063238396408,0.0,0.0,0.0,0.0,-0.005007074387573286,1.0,0.23816155606629497,0.632788794443203,0.37154949835940826,0.21932351174246034,1.0040840578309036
Qwen3-8B,magicoder,9,7,0.0068590563214036265,0.006981781079054086,0.006981781079054086,0.007932155800380893,0.008398227507467031,0.009077340604164819,0.00976260221218057,0.0,0.0,0.0,0.0,0.0017364305575064407,0.0017480399897231856,0.0017480399897231856,0.0019349359507134325,0.0020007260284667784,0.002080314155843537,0.0022249950485857565,0.0,0.0,0.0,0.0,0.004318209775972399,0.0043830746800109874,0.0043830746800109874,0.004994775746730911,0.00527961011813695,0.005690228777810626,0.006115308376117646,0.0,0.0,0.0,0.0,0.0027592068376526687,0.0027768062874662615,0.0027768062874662615,0.0030733909377436276,0.0031763992758773894,0.0033070116775521055,0.003541250853981398,0.0,0.0,0.0,0.0,0.001571699562813397,0.0015877834705569382,0.0015877834705569382,0.0017765831412068461,0.0018528909765911654,0.001935092534442772,0.002068317060928928,0.0,0.0,0.0,0.0,0.006899259596135557,0.007020344756542985,0.007020344756542985,0.007968905329936455,0.008432186378256573,0.00911027256631694,0.00979666973989745,0.0,0.0,0.0,0.0,-0.0051226257638971855,1.0,0.22917661092160166,0.6268607762938702,0.3643150369431769,0.2131783546333959,1.0036279306449085
