base_model,task,module,layer,module_type,lora_mean,lora_median,lora_p50,lora_p90,lora_p95,lora_p99,lora_max,lora_fraction_gt_0p10,lora_fraction_gt_0p25,lora_fraction_gt_0p50,lora_fraction_gt_1p00,hns_mean,hns_median,hns_p50,hns_p90,hns_p95,hns_p99,hns_max,hns_fraction_gt_0p10,hns_fraction_gt_0p25,hns_fraction_gt_0p50,hns_fraction_gt_1p00,scalar_shrink_mean,scalar_shrink_median,scalar_shrink_p50,scalar_shrink_p90,scalar_shrink_p95,scalar_shrink_p99,scalar_shrink_max,scalar_shrink_fraction_gt_0p10,scalar_shrink_fraction_gt_0p25,scalar_shrink_fraction_gt_0p50,scalar_shrink_fraction_gt_1p00,shape_only_mean,shape_only_median,shape_only_p50,shape_only_p90,shape_only_p95,shape_only_p99,shape_only_max,shape_only_fraction_gt_0p10,shape_only_fraction_gt_0p25,shape_only_fraction_gt_0p50,shape_only_fraction_gt_1p00,head_only_mean,head_only_median,head_only_p50,head_only_p90,head_only_p95,head_only_p99,head_only_max,head_only_fraction_gt_0p10,head_only_fraction_gt_0p25,head_only_fraction_gt_0p50,head_only_fraction_gt_1p00,tail_only_mean,tail_only_median,tail_only_p50,tail_only_p90,tail_only_p95,tail_only_p99,tail_only_max,tail_only_fraction_gt_0p10,tail_only_fraction_gt_0p25,tail_only_fraction_gt_0p50,tail_only_fraction_gt_1p00,paired_mean_delta,paired_fraction_hns_lower,hns_to_lora_p99_ratio,scalar_shrink_to_lora_p99_ratio,shape_only_to_lora_p99_ratio,head_only_to_lora_p99_ratio,tail_only_to_lora_p99_ratio
Qwen3-8B,magicoder,layers.0.mlp.down_proj,0,down_proj,0.01114055431258268,0.01111530086186265,0.01111530086186265,0.011910865529694323,0.012123731270992413,0.012541032913352826,0.012866955495084636,0.0,0.0,0.0,0.0,0.0018721113246163937,0.001861966490012071,0.001861966490012071,0.0019912929481358706,0.0020206954299647056,0.0021287829468974893,0.002190531241829742,0.0,0.0,0.0,0.0,0.00592127317973944,0.005908166736555226,0.005908166736555226,0.006330010367196831,0.006444884610564423,0.006665202562612264,0.006840175474874686,0.0,0.0,0.0,0.0,0.0035232408173511576,0.0035042563592580563,0.0035042563592580563,0.0037484124294853267,0.00380261402144348,0.004006460718292138,0.004124329797306881,0.0,0.0,0.0,0.0,0.001747485859150852,0.0017379607280806554,0.0017379607280806554,0.0018775479695078323,0.0019094341931770063,0.0020055968346839835,0.0020810638239280315,0.0,0.0,0.0,0.0,0.011160459235316524,0.011133960899661106,0.011133960899661106,0.011928926605575277,0.012142024779327293,0.012561443016328026,0.012889005067820886,0.0,0.0,0.0,0.0,-0.009268442987966287,1.0,0.16974542381041902,0.5314715788294931,0.3194681607147634,0.15992277897210225,1.001627465864751
Qwen3-8B,magicoder,layers.0.mlp.gate_proj,0,gate_proj,0.0016493317706320967,0.0016131371355972012,0.0016131371355972012,0.0019304664718096495,0.0020243050340338006,0.002318583589220311,0.0025139406936930562,0.0,0.0,0.0,0.0,0.001120416164670001,0.0011137253637017639,0.0011137253637017639,0.0011962515173319862,0.0012264593635713265,0.001309261079326892,0.0013761606651755034,0.0,0.0,0.0,0.0,0.0014452043047499567,0.0014136450730471075,0.0014136450730471075,0.0016916682101510384,0.0017731419565710823,0.0020319738163625334,0.002201823336993437,0.0,0.0,0.0,0.0,0.0012788442868224125,0.0012711895947117987,0.0012711895947117987,0.0013654691480487068,0.0013997398630862172,0.0014941133564023348,0.0015704937178547477,0.0,0.0,0.0,0.0,0.0009785391601176761,0.0009693486086218817,0.0009693486086218817,0.001073251152956119,0.0010975447377287273,0.001201370206235354,0.001264178306540001,0.0,0.0,0.0,0.0,0.0017382019473209465,0.001703317047814832,0.001703317047814832,0.002005880690711492,0.0020945951382165115,0.002379122954410043,0.0025718486637789644,0.0,0.0,0.0,0.0,-0.0005289156059620956,1.0,0.5646814224917239,0.8763858356497045,0.6444078028279207,0.5181483263406297,1.026110494989784
Qwen3-8B,magicoder,layers.0.mlp.up_proj,0,up_proj,0.0022772612158199006,0.002268782640881777,0.002268782640881777,0.0025931217381574482,0.002777568178235887,0.0031594871047445983,0.0034003904279850125,0.0,0.0,0.0,0.0,0.0014589443660674754,0.0014499222026730127,0.0014499222026730127,0.001562528958308624,0.0016129083877659347,0.001739398754956682,0.0017954329704210255,0.0,0.0,0.0,0.0,0.0019791154076003073,0.0019719190812069803,0.0019719190812069803,0.0022539042637018574,0.0024132171982710476,0.0027445859554457584,0.0029559966967063933,0.0,0.0,0.0,0.0,0.0016784722996271545,0.0016677521666771042,0.0016677521666771042,0.0017974741561888091,0.0018553725418643961,0.0020013488802244858,0.002065194799738404,0.0,0.0,0.0,0.0,0.0012858782817377116,0.0012759360725062563,0.0012759360725062563,0.0014013994110684519,0.001460141588626052,0.0015951950026836176,0.0016661655482301694,0.0,0.0,0.0,0.0,0.002380185797905915,0.0023736526897162086,0.0023736526897162086,0.0026784561349869804,0.0028584479679997304,0.003235504857047338,0.0034653390940133336,0.0,0.0,0.0,0.0,-0.0008183168497524255,1.0,0.5505320000656527,0.8686808537133185,0.6334410661841482,0.5048904932348403,1.0240601558995395
Qwen3-8B,magicoder,layers.0.self_attn.k_proj,0,k_proj,0.000861741701109702,0.0008683648051015718,0.0008683648051015718,0.0009041550225507712,0.0009142160560572897,0.00094487688016306,0.000981059478949023,0.0,0.0,0.0,0.0,0.0005751930867591924,0.000575683456873,0.000575683456873,0.0006062458629775368,0.0006145150442779204,0.0006309935413880689,0.0006452635440855861,0.0,0.0,0.0,0.0,0.0008056932875816985,0.0008118590857095794,0.0008118590857095794,0.0008454208400343044,0.0008548640731383723,0.0008836316516731364,0.0009169318806364619,0.0,0.0,0.0,0.0,0.0006157565003646136,0.0006163100290369802,0.0006163100290369802,0.0006489201639640167,0.0006578160731720096,0.0006755484623969126,0.0006908025262474298,0.0,0.0,0.0,0.0,0.0005352101200306327,0.0005363831028761116,0.0005363831028761116,0.0005636002247688909,0.0005730533298768768,0.0005852201283075341,0.0006080337246650131,0.0,0.0,0.0,0.0,0.0008868770553530572,0.0008932037125134538,0.0008932037125134538,0.0009303405499795506,0.0009421947491298639,0.0009707294952466715,0.0010042198086369681,0.0,0.0,0.0,0.0,-0.0002865486143505097,1.0,0.6678050385561096,0.9351817895265314,0.7149592466272763,0.619361252871952,1.0273608293592178
Qwen3-8B,magicoder,layers.0.self_attn.o_proj,0,o_proj,0.003682948734918587,0.003710180845895121,0.003710180845895121,0.003987267113817772,0.004078745374944535,0.0043720337429057985,0.0046075239020030275,0.0,0.0,0.0,0.0,0.001143128528448043,0.0011479711779754215,0.0011479711779754215,0.0012173936710563348,0.0012448528106939112,0.0013282442780853353,0.0013913928072872806,0.0,0.0,0.0,0.0,0.0028066792190046138,0.0028277840598726085,0.0028277840598726085,0.0030386680040714,0.0031082158494127638,0.0033322879419802843,0.0035114599589961687,0.0,0.0,0.0,0.0,0.0014991982898304745,0.001505325080431268,0.001505325080431268,0.001596710583815152,0.0016325569337378523,0.0017419979277697793,0.001825506774933914,0.0,0.0,0.0,0.0,0.0010752261876950985,0.0010835695652836115,0.0010835695652836115,0.0011551900389150946,0.0011769038275096406,0.0012624389398094929,0.0013175852631020922,0.0,0.0,0.0,0.0,0.003703825895608432,0.0037299662888206136,0.0037299662888206136,0.00400426626244069,0.004099841271464882,0.004392423708248891,0.004629108099744117,0.0,0.0,0.0,0.0,-0.002539820206470544,1.0,0.3038046721941675,0.7621825763324359,0.39844109862976257,0.2887532471262297,1.0046637255204578
Qwen3-8B,magicoder,layers.0.self_attn.q_proj,0,q_proj,0.0013009608134392325,0.0013063277026365422,0.0013063277026365422,0.0014307756893076188,0.0014975441229663935,0.0016489739382680817,0.001836940788248141,0.0,0.0,0.0,0.0,0.0007246453785777772,0.0007294499081510462,0.0007294499081510462,0.0007648757049704575,0.0007695701966258506,0.0007907093973635585,0.0008519962400800068,0.0,0.0,0.0,0.0,0.0010427084484396845,0.0010471433039448371,0.0010471433039448371,0.0011463937345014322,0.0011998360999757578,0.0013210295372043874,0.0014714508490066235,0.0,0.0,0.0,0.0,0.0009032826022106883,0.0009093458804119179,0.0009093458804119179,0.0009534694815467885,0.0009593313798740446,0.0009858286778340881,0.0010623861923169102,0.0,0.0,0.0,0.0,0.0006471193448391915,0.0006530323005438236,0.0006530323005438236,0.0006843235046079281,0.0006923289346716429,0.000717859877761639,0.0007812104131624778,0.0,0.0,0.0,0.0,0.001340886326123556,0.0013478133662083364,0.0013478133662083364,0.0014657907492015483,0.0015328307942894608,0.001676401238254754,0.001867089618288,0.0,0.0,0.0,0.0,-0.0005763154348614552,1.0,0.4795160062954306,0.8011221442298023,0.5978436984089055,0.435337309524496,1.016632949345142
Qwen3-8B,magicoder,layers.0.self_attn.v_proj,0,v_proj,0.004830221992894917,0.0048520917131765085,0.0048520917131765085,0.005140615791613087,0.005244563924012169,0.005336859277931612,0.005456545551210445,0.0,0.0,0.0,0.0,0.0015552901621044741,0.0015547177279947198,0.0015547177279947198,0.0016363471567750754,0.0016536861804333195,0.001712170388499678,0.0017446461936434176,0.0,0.0,0.0,0.0,0.0035510653277317956,0.003567051654455274,0.003567051654455274,0.0037796829687330516,0.0038561495454388518,0.003923996129533134,0.004010096213044244,0.0,0.0,0.0,0.0,0.0021157320520541296,0.002114673222387804,0.002114673222387804,0.0022255837360333937,0.0022504425067145354,0.0023294541015609588,0.00237415665481698,0.0,0.0,0.0,0.0,0.0014088394410999572,0.0014078085260937523,0.0014078085260937523,0.0014948446367737812,0.0015127452618097074,0.0015725353113577745,0.0016127700253231805,0.0,0.0,0.0,0.0,0.004877389203900023,0.004902005286546973,0.004902005286546973,0.005184957297610706,0.005287251812347347,0.005378448706582938,0.005499555481634885,0.0,0.0,0.0,0.0,-0.0032749318307904425,1.0,0.32081984915353773,0.7352631810546715,0.4364840780407043,0.2946555697768438,1.00779286589461
Qwen3-8B,magicoder,layers.1.mlp.down_proj,1,down_proj,0.015471561554637338,0.015591585877472332,0.015591585877472332,0.01649312311397404,0.016668841667140416,0.01704730440448477,0.017223833481040007,0.0,0.0,0.0,0.0,0.002110616844255963,0.002112277333123395,0.002112277333123395,0.0022036654965795644,0.002223910864193805,0.0022604337506534327,0.0023098857341624255,0.0,0.0,0.0,0.0,0.006919454554396959,0.006973668858708395,0.006973668858708395,0.007375963358945966,0.007455278367815218,0.007624377210459781,0.007702843774718196,0.0,0.0,0.0,0.0,0.004718669724692955,0.004722206129473314,0.004722206129473314,0.004927340056857119,0.004972725036584556,0.005052946679154536,0.005164388131591916,0.0,0.0,0.0,0.0,0.001932402335208847,0.0019464785954630445,0.0019464785954630445,0.0020417549822070876,0.002056374504457009,0.002096718549306185,0.0021316872481232244,0.0,0.0,0.0,0.0,0.015493591203484626,0.015614645267385534,0.015614645267385534,0.01651534559742146,0.01668805905258907,0.017066535209095183,0.017240921370175074,0.0,0.0,0.0,0.0,-0.013360944710381375,1.0,0.13259772319539048,0.4472482587014739,0.29640737088176927,0.12299414027912733,1.001128084778339
Qwen3-8B,magicoder,layers.1.mlp.gate_proj,1,gate_proj,0.0033817808162306955,0.0033959181088360478,0.0033959181088360478,0.0034525789054725615,0.0034692082879126352,0.003511161710158993,0.0035619222091844466,0.0,0.0,0.0,0.0,0.00037564632240328385,0.0003770264320414685,0.0003770264320414685,0.0003825822878041046,0.0003846142203231212,0.0003887171203591691,0.0003932162761888171,0.0,0.0,0.0,0.0,0.001392154089078217,0.0013979731523415446,0.0013979731523415446,0.0014213239224555054,0.001428224473854982,0.0014454329417496416,0.0014661474560360326,0.0,0.0,0.0,0.0,0.0009120564859801957,0.0009154308629057166,0.0009154308629057166,0.0009289109228689308,0.0009338060875798316,0.0009438500365895771,0.0009546897483724597,0.0,0.0,0.0,0.0,0.0003667006461512978,0.0003680033420004324,0.0003680033420004324,0.00037393383816325485,0.0003759655186825967,0.00037996278382741266,0.0003851503141367038,0.0,0.0,0.0,0.0,0.0033856236015208617,0.0033996856413084937,0.0033996856413084937,0.0034566583247849876,0.0034730784450629206,0.003515112744867515,0.003566054851695619,0.0,0.0,0.0,0.0,-0.0030061344938274114,1.0,0.11070897681370738,0.4116680065083614,0.26881417448210826,0.1082156890490262,1.0011252784789406
Qwen3-8B,magicoder,layers.1.mlp.up_proj,1,up_proj,0.05022099419999129,0.05030326012513113,0.05030326012513113,0.05153324808172782,0.0518507441961243,0.05270678231330094,0.05304148565131945,0.0,0.0,0.0,0.0,0.0062328132034957535,0.006244389822602551,0.006244389822602551,0.006404363767453006,0.006453392501977731,0.006536663916749423,0.0065601423074462374,0.0,0.0,0.0,0.0,0.022343739871825488,0.022379958754755437,0.022379958754755437,0.0229258577752346,0.023071203851796302,0.02345103936696333,0.023602351620355913,0.0,0.0,0.0,0.0,0.01400311555167558,0.014030612432359892,0.014030612432359892,0.014387655252551122,0.014498170527671978,0.014686659369120204,0.014739722708188548,0.0,0.0,0.0,0.0,0.006072560491402407,0.006078528482973367,0.006078528482973367,0.006237109192738151,0.006285308210757444,0.006370493878118706,0.006391243849102624,0.0,0.0,0.0,0.0,0.050264743946682074,0.05035071511722395,0.05035071511722395,0.051572535661661686,0.05189718631581121,0.05275078023336876,0.0530736716075926,0.0,0.0,0.0,0.0,-0.043988180996495534,1.0,0.12401940755734292,0.4449339978214775,0.27864837739134607,0.12086668163977571,1.0008347677117964
