base_model,task,module,layer,module_type,basis_offdiag_fraction,basis_projection_residual_fraction,negative_aligned_fraction,lora_nuclear_norm,lora_frobenius_norm,lora_top1_nuclear_share,lora_top4_nuclear_share,lora_top1_energy_share,lora_top4_energy_share,lora_effective_rank,lora_condition_number,lora_s1,lora_s1_share,lora_s2,lora_s2_share,lora_s3,lora_s3_share,lora_s4,lora_s4_share,lora_s5,lora_s5_share,lora_s6,lora_s6_share,lora_s7,lora_s7_share,lora_s8,lora_s8_share,lora_s9,lora_s9_share,lora_s10,lora_s10_share,lora_s11,lora_s11_share,lora_s12,lora_s12_share,lora_s13,lora_s13_share,lora_s14,lora_s14_share,lora_s15,lora_s15_share,lora_s16,lora_s16_share,hns_nuclear_norm,hns_frobenius_norm,hns_top1_nuclear_share,hns_top4_nuclear_share,hns_top1_energy_share,hns_top4_energy_share,hns_effective_rank,hns_condition_number,hns_s1,hns_s1_share,hns_s2,hns_s2_share,hns_s3,hns_s3_share,hns_s4,hns_s4_share,hns_s5,hns_s5_share,hns_s6,hns_s6_share,hns_s7,hns_s7_share,hns_s8,hns_s8_share,hns_s9,hns_s9_share,hns_s10,hns_s10_share,hns_s11,hns_s11_share,hns_s12,hns_s12_share,hns_s13,hns_s13_share,hns_s14,hns_s14_share,hns_s15,hns_s15_share,hns_s16,hns_s16_share
Qwen3-8B,magicoder,base_model.model.model.layers.0.mlp.down_proj,0,down_proj,8.369128720634432e-07,0.0,0.0,0.4621986960992217,0.21743869132782861,0.43336915953185823,0.6843062803290348,0.8485936631069443,0.9610140276256244,8.212028721445353,22.666062022916954,0.20030266046524048,0.43336915969848633,0.06215420365333557,0.13447506725788116,0.028195641934871674,0.06100329011678696,0.025632964447140694,0.05545875430107117,0.016814615577459335,0.036379624158144,0.015614728443324566,0.03378358483314514,0.014270742423832417,0.03087577410042286,0.01333947665989399,0.02886091358959675,0.012797529809176922,0.027688372880220413,0.011958676390349865,0.025873452425003052,0.011531475931406021,0.024949174374341965,0.011045660823583603,0.023898078128695488,0.010639246553182602,0.023018771782517433,0.00993205513805151,0.02148871310055256,0.009131900034844875,0.019757520407438278,0.008837117813527584,0.019119737669825554,0.4621988721191883,0.11555877857608146,0.06342121920698919,0.2524820008678126,0.06434592528137424,0.25495785271423305,15.99873853399122,1.0115349365048216,0.029313215985894203,0.06342121958732605,0.028982773423194885,0.06270628422498703,0.029019592329859734,0.06278594583272934,0.029381314292550087,0.06356855481863022,0.028695059940218925,0.06208379566669464,0.028034955263137817,0.060655612498521805,0.02806793339550495,0.060726962983608246,0.028625717386603355,0.06193377077579498,0.028892818838357925,0.06251166015863419,0.029045069590210915,0.06284106522798538,0.0290426854044199,0.06283590942621231,0.029028264805674553,0.0628047063946724,0.02902272157371044,0.06279271841049194,0.029035305604338646,0.0628199428319931,0.029032498598098755,0.06281387060880661,0.028978945687413216,0.06269800662994385
Qwen3-8B,magicoder,base_model.model.model.layers.0.mlp.gate_proj,0,gate_proj,9.487358520046534e-07,0.0,0.0,0.5736265387386084,0.16369639157709867,0.17284846017888691,0.4441937472680804,0.3668692306290192,0.6786005356995903,14.20912839469905,4.64965430037338,0.09915046393871307,0.17284846305847168,0.06503240019083023,0.1133706271648407,0.048329584300518036,0.08425270020961761,0.042288873344659805,0.07372196018695831,0.03371192514896393,0.05876981467008591,0.03107459843158722,0.05417218059301376,0.029109623283147812,0.050746649503707886,0.02837027609348297,0.049457747489213943,0.0278476569801569,0.04854666814208031,0.026076311245560646,0.04545869305729866,0.02542552910745144,0.04432418569922447,0.025123734027147293,0.04379807040095329,0.02441299520432949,0.04255904257297516,0.023385677486658096,0.04076812416315079,0.022962624207139015,0.04003061726689339,0.021324265748262405,0.03717447817325592,0.573626670986414,0.14340992238631822,0.062846180258377,0.2494347430305972,0.06319140965608615,0.2488829478881096,15.999636327450583,1.000161230244644,0.03605024516582489,0.06284618377685547,0.03529484197497368,0.06152929365634918,0.035586610436439514,0.062037933617830276,0.036150723695755005,0.06302134692668915,0.036026112735271454,0.06280411034822464,0.036060042679309845,0.06286326050758362,0.03573247045278549,0.06229221075773239,0.035616956651210785,0.062090832740068436,0.03556908667087555,0.06200738251209259,0.03567258268594742,0.0621878057718277,0.03579701483249664,0.062404729425907135,0.0358605720102787,0.06251552700996399,0.03599753975868225,0.0627543032169342,0.03608796000480652,0.06291193515062332,0.03607947751879692,0.06289714574813843,0.03604443371295929,0.06283605098724365
Qwen3-8B,magicoder,base_model.model.model.layers.0.mlp.up_proj,0,up_proj,7.611381546801171e-07,0.0,0.0,0.624669149518013,0.17968292425054938,0.1760416544163944,0.4450558561127966,0.3745565403333171,0.6815266106271824,14.09690619257585,4.915714514330286,0.10996779054403305,0.1760416477918625,0.07283666729927063,0.11660037934780121,0.05365968123078346,0.08590095490217209,0.04154852405190468,0.06651284545660019,0.038748882710933685,0.06203104555606842,0.034420304000377655,0.055101651698350906,0.032284315675497055,0.051682259887456894,0.031672533601522446,0.050702888518571854,0.030783671885728836,0.04927995800971985,0.029098816215991974,0.04658276215195656,0.02836746908724308,0.045411985367536545,0.026221223175525665,0.04197617620229721,0.025242093950510025,0.04040873795747757,0.024323349818587303,0.038937970995903015,0.023123163729906082,0.03701665624976158,0.022370662540197372,0.03581201657652855,0.6246692389249802,0.15617522834963435,0.06280387181145189,0.24936596575598444,0.06310282148755653,0.2487785875788592,15.999188098291402,0.9961703238217001,0.03923164680600166,0.06280387938022614,0.03819391131401062,0.06114261969923973,0.03847863897681236,0.06159842759370804,0.03986705094575882,0.06382106244564056,0.03937903791666031,0.06303982436656952,0.03923901543021202,0.06281567364931107,0.038924895226955414,0.062312815338373184,0.0388135202229023,0.0621345192193985,0.03869998827576637,0.06195277348160744,0.038729362189769745,0.06199979409575462,0.038841936737298965,0.06218000873923302,0.03922310099005699,0.06279019266366959,0.0392412394285202,0.0628192350268364,0.03919011354446411,0.06273739039897919,0.039233312010765076,0.06280653923749924,0.03938246890902519,0.06304532289505005
Qwen3-8B,magicoder,base_model.model.model.layers.0.self_attn.k_proj,0,k_proj,7.414100000018323e-07,0.0,0.0,0.1837963075377047,0.04919442903797716,0.1266696911611747,0.3913055946742683,0.22396860185323994,0.5593305784624225,15.00587321886562,3.092067168643534,0.02328142151236534,0.12666969001293182,0.019826216623187065,0.10787058621644974,0.015717308968305588,0.08551482111215591,0.01309557631611824,0.07125048339366913,0.012267103418707848,0.0667429268360138,0.011100134812295437,0.060393672436475754,0.010300109162926674,0.056040890514850616,0.010106810368597507,0.05498918890953064,0.009701118804514408,0.05278189852833748,0.009350024163722992,0.05087166279554367,0.009223997592926025,0.050185974687337875,0.008568743243813515,0.04662086442112923,0.008129646070301533,0.04423182085156441,0.007945919409394264,0.04323220252990723,0.007652773521840572,0.041637253016233444,0.0075294035486876965,0.04096601903438568,0.18379635270684958,0.0459525780904829,0.06261443416184126,0.24720398164414947,0.06271955016521669,0.2444631370728429,15.998779513647587,1.0008675517892618,0.011508304625749588,0.06261443346738815,0.011273110285401344,0.06133478507399559,0.011106499470770359,0.06042828783392906,0.011547275818884373,0.06282646954059601,0.011676936410367489,0.06353192031383514,0.011710919439792633,0.063716821372509,0.01155616994947195,0.06287485361099243,0.011546368710696697,0.06282152980566025,0.011562484316527843,0.06290921568870544,0.011558594182133675,0.06288804858922958,0.01154426857829094,0.06281010061502457,0.011421483010053635,0.06214205175638199,0.01139878947287798,0.06201858073472977,0.01141617726534605,0.06211318448185921,0.011470641940832138,0.06240951642394066,0.011498329229652882,0.06256015598773956
Qwen3-8B,magicoder,base_model.model.model.layers.0.self_attn.o_proj,0,o_proj,9.039347173686568e-07,0.0,0.0,0.34317090082913637,0.11252496051768027,0.22911926574815403,0.5596728765793162,0.4882546507589719,0.8441194680322255,12.249533128228084,8.318095558446316,0.07862706482410431,0.22911925613880157,0.04820004105567932,0.14045491814613342,0.037851665169000626,0.11029975116252899,0.027384674176573753,0.07979893684387207,0.017481381073594093,0.05094074085354805,0.015887418761849403,0.04629593715071678,0.014505426399409771,0.04226881265640259,0.013861220329999924,0.04039159417152405,0.013305465690791607,0.03877212479710579,0.012611791491508484,0.036750759929418564,0.012075106613337994,0.03518686071038246,0.011586390435695648,0.03376274183392525,0.010851087048649788,0.03162006661295891,0.009854800999164581,0.028716888278722763,0.009634834714233875,0.02807590737938881,0.009452532045543194,0.027544677257537842,0.34317086450755596,0.08580536426749419,0.06046090649207843,0.24491398389114802,0.0584710977437983,0.23997637721176446,15.997626587766602,0.9651469308962108,0.020748421549797058,0.06046091020107269,0.02064790576696396,0.060168005526065826,0.02084958739578724,0.06075570732355118,0.021801428869366646,0.063529372215271,0.021323585882782936,0.0621369369328022,0.02149573527276516,0.06263858079910278,0.02148614265024662,0.06261062622070312,0.021604280918836594,0.06295488029718399,0.021736178547143936,0.0633392333984375,0.021844444796442986,0.06365472078323364,0.021841347217559814,0.06364569813013077,0.021764449775218964,0.06342161446809769,0.021567560732364655,0.06284788250923157,0.021471993997693062,0.06256940215826035,0.02149011939764023,0.06262221932411194,0.021497681736946106,0.06264425069093704
Qwen3-8B,magicoder,base_model.model.model.layers.0.self_attn.q_proj,0,q_proj,9.408838385031421e-07,0.0,0.0,0.356523459777236,0.11110943410069749,0.22856578316135912,0.46841437287519283,0.5378941058806427,0.7539589170434557,13.264492498776237,6.391985120031874,0.08148906379938126,0.2285657823085785,0.04020707681775093,0.11277540773153305,0.026154080405831337,0.07335865497589111,0.019150491803884506,0.053714536130428314,0.01894320920109749,0.05313313752412796,0.018509190529584885,0.05191577225923538,0.01763942837715149,0.04947620630264282,0.017341487109661102,0.048640523105859756,0.01620127446949482,0.045442380011081696,0.015946170315146446,0.04472684860229492,0.015302527695894241,0.0429215170443058,0.015105927363038063,0.04237008094787598,0.014412001706659794,0.040423713624477386,0.01396158430725336,0.0391603522002697,0.013411314226686954,0.03761691972613335,0.01274863164871931,0.035758186131715775,0.3565234821289778,0.08913569168946521,0.061635126394248924,0.24899375329817333,0.06077564590964237,0.24801455234205474,15.999135796681305,0.9684425030463408,0.021974369883537292,0.06163512542843819,0.022000839933753014,0.06170937046408653,0.022735124453902245,0.06376893818378448,0.02206178568303585,0.06188031658530235,0.022045494988560677,0.06183462217450142,0.02203572727739811,0.06180722638964653,0.02211652137339115,0.062033843249082565,0.022168509662151337,0.06217966228723526,0.022350996732711792,0.06269150972366333,0.022363536059856415,0.06272668391466141,0.022344820201396942,0.06267418712377548,0.022334109991788864,0.06264414638280869,0.02234305813908577,0.06266924738883972,0.022412685677409172,0.06286454200744629,0.022545479238033295,0.0632370114326477,0.02269042283296585,0.06364355981349945
Qwen3-8B,magicoder,base_model.model.model.layers.0.self_attn.v_proj,0,v_proj,9.214372877091193e-07,0.0,0.0,0.1498809363692999,0.05098175020432436,0.23203939666233422,0.5710914630975056,0.465357554976394,0.8607025026056677,11.744121390955742,9.71598456022383,0.034778282046318054,0.23203937709331512,0.026719752699136734,0.17827318608760834,0.015459264628589153,0.10314363241195679,0.00863842386752367,0.05763523653149605,0.008045109920203686,0.05367666855454445,0.006898077670484781,0.04602371156215668,0.006251300219446421,0.04170843958854675,0.0058213998563587666,0.0388401597738266,0.005507051944732666,0.03674284368753433,0.005307742394506931,0.03541305661201477,0.005176606122404337,0.03453812003135681,0.004873990546911955,0.032519079744815826,0.004515760112553835,0.030128980055451393,0.0041994983330369,0.028018893674016,0.0041091847233474255,0.027416324242949486,0.0035794912837445736,0.02388223074376583,0.14988098852336407,0.03747571660307289,0.06029686699261582,0.24595627040602352,0.058154416052138384,0.2419582909146574,15.997652890187442,0.9988830255709015,0.009037354029715061,0.06029687076807022,0.00939633883535862,0.06269200146198273,0.009155463427305222,0.061084892600774765,0.009275012649595737,0.06188252195715904,0.009314783848822117,0.062147874385118484,0.009397597052156925,0.06270039826631546,0.009465089067816734,0.06315070390701294,0.009552804753184319,0.06373593956232071,0.009564959444105625,0.06381703168153763,0.009540271945297718,0.06365232169628143,0.009511820040643215,0.06346248835325241,0.009432053193449974,0.06293028593063354,0.009397259913384914,0.06269814819097519,0.009406709112226963,0.06276119500398636,0.009386011399328709,0.06262309849262238,0.009047459810972214,0.06036429852247238
Qwen3-8B,magicoder,base_model.model.model.layers.1.mlp.down_proj,1,down_proj,7.513600659647686e-07,0.0,0.0,0.5188540141098201,0.2900843707159182,0.5421877879271249,0.7263437646072501,0.9404618092579071,0.9785361397727752,6.458493847780863,42.36965504259288,0.2813163101673126,0.5421877503395081,0.041091371327638626,0.07919640094041824,0.031262896955013275,0.06025374308228493,0.023195799440145493,0.044705830514431,0.01836354471743107,0.035392507910728455,0.016308628022670746,0.03143201768398285,0.014487754553556442,0.027922602370381355,0.013207215815782547,0.02545458823442459,0.01276580523699522,0.024603847414255142,0.011769205331802368,0.022683076560497284,0.010808481834828854,0.020831450819969177,0.010285082273185253,0.01982268877327442,0.009776659309864044,0.018842794001102448,0.00925628561526537,0.017839863896369934,0.008319403044879436,0.016034187749028206,0.006639570463448763,0.012796605937182903,0.5188538543879986,0.1297309593503544,0.06394282442368765,0.2539546245708903,0.0654013128750781,0.25792121530247625,15.997836764344058,1.0138574560185207,0.033176980912685394,0.06394282728433609,0.032729387283325195,0.06308016926050186,0.033260248601436615,0.06410331279039383,0.032598719000816345,0.06282832473516464,0.031954988837242126,0.06158765032887459,0.03270812705159187,0.06303919106721878,0.032705340534448624,0.0630338191986084,0.03271859511733055,0.06305936723947525,0.03272956982254982,0.06308051943778992,0.032649148255586624,0.06292551755905151,0.03221257030963898,0.06208409368991852,0.03185291215777397,0.061390914022922516,0.03155164048075676,0.06081026792526245,0.03142759948968887,0.06057119742035866,0.03185451030731201,0.061393994837999344,0.03272351622581482,0.06306885182857513
Qwen3-8B,magicoder,base_model.model.model.layers.1.mlp.gate_proj,1,gate_proj,7.979758103435386e-07,0.0,0.0,0.4087584305088967,0.24824373117922777,0.5934209001566971,0.7755506420724102,0.9547783035179961,0.9869274537713134,5.4195110445467645,62.813345431202436,0.2425657957792282,0.5934209227561951,0.03243600204586983,0.0793524980545044,0.025834131985902786,0.06320146471261978,0.01617693342268467,0.03957577794790268,0.013689334504306316,0.03349003568291664,0.011345796287059784,0.02775672636926174,0.010982303880155087,0.026867467910051346,0.008929120376706123,0.021844491362571716,0.00826575793325901,0.020221620798110962,0.007085410878062248,0.0173339806497097,0.006551721598953009,0.016028346493840218,0.006212451029568911,0.015198343433439732,0.005637732800096273,0.013792334124445915,0.004918127786368132,0.012031869031488895,0.004266118165105581,0.01043677143752575,0.0038616920355707407,0.0094473697245121,0.40875917859375477,0.10221099729922675,0.06337615464830625,0.25009367356790174,0.0642379323178096,0.25016681586242706,15.99668629451432,0.9682897989072521,0.025905584916472435,0.06337615847587585,0.02557440660893917,0.06256595253944397,0.025957422330975533,0.0635029748082161,0.024790670722723007,0.0606485977768898,0.025606170296669006,0.06264366209506989,0.02559848502278328,0.06262485682964325,0.025607243180274963,0.06264628469944,0.02500312216579914,0.06116834282875061,0.024648504331707954,0.0603007972240448,0.024948908016085625,0.06103571504354477,0.02535456046462059,0.06202811375260353,0.025537000969052315,0.06247444078326225,0.025599533692002296,0.06262741982936859,0.02562624029815197,0.06269276142120361,0.02624736726284027,0.06421229988336563,0.02675395831465721,0.06545163691043854
Qwen3-8B,magicoder,base_model.model.model.layers.1.mlp.up_proj,1,up_proj,1.120646927945316e-06,0.0,0.0,0.47445907979272306,0.2665439898250161,0.5361762011041874,0.7890227421994982,0.9109086004706706,0.985011976282758,5.887297494510462,74.91048381705897,0.25439366698265076,0.5361762046813965,0.05693697929382324,0.12000398337841034,0.03579317033290863,0.0754399523139,0.027235187590122223,0.057402607053518295,0.018023017793893814,0.037986453622579575,0.013533533550798893,0.028524132445454597,0.012523460201919079,0.02639523707330227,0.011432741768658161,0.024096369743347168,0.008506023325026035,0.017927832901477814,0.007214928977191448,0.015206641517579556,0.006243943702429533,0.013160130940377712,0.0055751316249370575,0.011750500649213791,0.005434678867459297,0.011454473249614239,0.004145289305597544,0.008736873976886272,0.004071357659995556,0.008581051602959633,0.0033959688153117895,0.007157559040933847,0.47445904091000557,0.1186500457318017,0.06326268015934375,0.25070186170435993,0.0639965861585866,0.251269320225782,15.995245587566574,0.9737282417684809,0.030015550553798676,0.06326267868280411,0.02957978844642639,0.06234423816204071,0.029482267796993256,0.06213869899511337,0.029870158061385155,0.06295624375343323,0.028383973985910416,0.059823863208293915,0.029512573033571243,0.0622025728225708,0.02951155975461006,0.062200434505939484,0.029529878869652748,0.06223904713988304,0.028356174007058144,0.059765271842479706,0.029098639264702797,0.06133013963699341,0.029531870037317276,0.06224324181675911,0.02948145382106304,0.06213698163628578,0.029499968513846397,0.06217600405216217,0.030853336676955223,0.06502845138311386,0.030926460400223732,0.06518256664276123,0.030825387686491013,0.06496953964233398
