base_model	task	module_type	modules	raw_top1_spectral_share	functional_top1_share	functional_effective_rank	lora_modification_p99	hns_to_lora_p99_ratio
Qwen3-8B	magicoder	down_proj	36	0.8523584058118489	0.971785882424553	1.154234258414966	0.014161028519280796	0.17884782019469672
Qwen3-8B	magicoder	gate_proj	36	0.8388523989783311	0.9676018173411243	1.2321723071651958	0.025313660740451802	0.18677717406122182
Qwen3-8B	magicoder	k_proj	36	0.5305954053727835	0.7640507674059837	2.2902937596156097	0.005497900332589067	0.3778099481359395
Qwen3-8B	magicoder	o_proj	36	0.7284913542061511	0.9299087541920527	1.3563441154015443	0.023220221236835856	0.2270697611368488
Qwen3-8B	magicoder	q_proj	36	0.7225043232805978	0.9605390973660425	1.2259086227939506	0.009029423796591239	0.22813337480228724
Qwen3-8B	magicoder	up_proj	36	0.8406800784794206	0.9693690957578404	1.2010937205087409	0.03496601726392407	0.1816453774750703
Qwen3-8B	magicoder	v_proj	36	0.788231592005515	0.9725995168162671	1.160193949610469	0.02084956533228205	0.19171174802293287
Qwen3-8B	metamath	down_proj	36	0.6686969443142861	0.7622789071704879	2.660831300295081	0.022744300458128783	0.41227040924009534
Qwen3-8B	metamath	gate_proj	36	0.8379348274985484	0.9726212745147451	1.1702203156732542	0.113331017735049	0.19276693781473886
Qwen3-8B	metamath	k_proj	36	0.5425173748899281	0.6280436356912793	3.378492715805543	0.030427105401648405	0.4544476608787639
Qwen3-8B	metamath	o_proj	36	0.5077805645354805	0.6482491805350675	3.5868915660990117	0.05059197926645938	0.4468650098496407
Qwen3-8B	metamath	q_proj	36	0.6999498169124345	0.8782703087270417	1.6548472696797811	0.047186039904943605	0.28553162120989
Qwen3-8B	metamath	up_proj	36	0.6968037171764104	0.9284819034734559	1.4673041256525536	0.0770023016771265	0.2739920007299635
Qwen3-8B	metamath	v_proj	36	0.6874232396546976	0.7499925626053394	2.325234960523575	0.042234514246694235	0.3390373082039293
Qwen3-8B	tulu	down_proj	36	0.610766266333069	0.6562716935743885	3.2041557170260457	0.05945243095908645	0.42532833089652794
Qwen3-8B	tulu	gate_proj	36	0.5802075350587801	0.787022083002999	2.175421707845356	0.08020648168146591	0.36043424428715254
Qwen3-8B	tulu	k_proj	36	0.4853386929748889	0.5340693202439829	3.963301898042023	0.040779172975741004	0.4686919548225834
Qwen3-8B	tulu	o_proj	36	0.4711643045927787	0.610851128880309	3.8957149648652987	0.08850153492379055	0.4510126504140547
Qwen3-8B	tulu	q_proj	36	0.49555207625116143	0.5386834733485866	3.7248725150922533	0.03489188651215643	0.4526956722214941
Qwen3-8B	tulu	up_proj	36	0.47521684724187085	0.6526738763460389	3.436448953430606	0.07551504381947108	0.4618664429343696
Qwen3-8B	tulu	v_proj	36	0.6134105066119337	0.5855183839007418	3.128741811895439	0.05227826011795822	0.40930622345106066
Qwen3-8B	commonsense	down_proj	36	0.6043000510818344	0.6062835212119961	3.3630738330840444	0.10668791690375452	0.5337111057340604
Qwen3-8B	commonsense	gate_proj	36	0.6971709115646127	0.7822611782165959	2.703524824436741	0.08994756780626455	0.4251165512163176
Qwen3-8B	commonsense	k_proj	36	0.6293396067592467	0.6036072052723457	3.159589917651143	0.09367843894293267	0.44862231931412744
Qwen3-8B	commonsense	o_proj	36	0.5296498703926045	0.6028572282736177	3.6042832325138496	0.16143382987990768	0.4719449835816558
Qwen3-8B	commonsense	q_proj	36	0.6456122877953812	0.6684857635756846	3.006128771433743	0.08346090183041734	0.44272272953008096
Qwen3-8B	commonsense	up_proj	36	0.6007982734916246	0.6628661011657646	3.532044186300728	0.12224034868096331	0.49445863435682935
Qwen3-8B	commonsense	v_proj	36	0.7545254713657861	0.7811614616423049	2.2340619662207972	0.13557992279712502	0.36625454970294513
Llama-3.1-8B-Instruct	magicoder	down_proj	32	0.6790585420664761	0.8672770672306038	1.7448888938193639	0.013301605654785885	0.3002186857080856
Llama-3.1-8B-Instruct	magicoder	gate_proj	32	0.7771645822778377	0.9744619054183066	1.2059119438032013	0.05093220848864875	0.21793768434718774
Llama-3.1-8B-Instruct	magicoder	k_proj	32	0.39044833342233787	0.7597123951430325	2.9519279393361337	0.002835872040191558	0.48349782432181376
Llama-3.1-8B-Instruct	magicoder	o_proj	32	0.3565805174455341	0.5515330244848876	4.2626942897395805	0.024172209426800418	0.5100626839197429
Llama-3.1-8B-Instruct	magicoder	q_proj	32	0.5430429259087687	0.9155962728366419	1.6024052234254524	0.0073837900949943625	0.34468916554604173
Llama-3.1-8B-Instruct	magicoder	up_proj	32	0.6322608038760416	0.9359154303757453	1.4602442795328447	0.04124483329616345	0.29637970223016696
Llama-3.1-8B-Instruct	magicoder	v_proj	32	0.5243420502209247	0.8036064544081578	2.0779377686676983	0.027190175442423168	0.3524452192856825
Llama-3.1-8B-Instruct	metamath	down_proj	32	0.41907014744096316	0.5223185438008131	5.346720526575981	0.04487968272857336	0.6128202067885106
Llama-3.1-8B-Instruct	metamath	gate_proj	32	0.40185341403968877	0.6644847851838638	4.0675204790700725	0.059077417430922374	0.5322498349013959
Llama-3.1-8B-Instruct	metamath	k_proj	32	0.3671613103794716	0.5106089501798535	4.897109666650936	0.012777654402336549	0.5830068228321044
Llama-3.1-8B-Instruct	metamath	o_proj	32	0.26504094460639693	0.41177370805317715	6.928053330901316	0.07598597596553583	0.6738469637773463
Llama-3.1-8B-Instruct	metamath	q_proj	32	0.32871533807654374	0.4546308703193521	5.913716746954928	0.018296516467733278	0.6373862925173159
Llama-3.1-8B-Instruct	metamath	up_proj	32	0.24914210284720556	0.47334776317404637	6.839575252412921	0.057135022871853784	0.6994873367610912
Llama-3.1-8B-Instruct	metamath	v_proj	32	0.3673261421901867	0.5065017858566312	4.844460647559514	0.07079956739436688	0.5788460725321938
Llama-3.1-8B-Instruct	tulu	down_proj	32	0.30954073885063926	0.3488461446563551	8.559503446323376	0.030334149631193984	0.7487166152469842
