base	task	method	primary_score	gain_vs_lora	difference_vs_hns
Qwen3-8B	magicoder	original_lora	0.6646341463414634	0.0	-0.08536585365853655
Qwen3-8B	magicoder	hns	0.75	0.08536585365853655	0.0
Qwen3-8B	magicoder	restore_lora_fro	0.6524390243902439	-0.012195121951219523	-0.09756097560975607
Qwen3-8B	magicoder	restore_lora_nuclear	0.6707317073170732	0.0060975609756097615	-0.07926829268292679
Qwen3-8B	magicoder	restore_hns_fro	0.7317073170731707	0.06707317073170727	-0.018292682926829285
Qwen3-8B	magicoder	restore_hns_nuclear	0.6707317073170732	0.0060975609756097615	-0.07926829268292679
Qwen3-8B	metamath	original_lora	0.8415466262319939	0.0	-0.04018195602729335
Qwen3-8B	metamath	hns	0.8817285822592873	0.04018195602729335	0.0
Qwen3-8B	metamath	restore_lora_fro	0.8248673237300985	-0.01667930250189542	-0.056861258529188774
Qwen3-8B	metamath	restore_lora_nuclear	0.8233510235026535	-0.0181956027293404	-0.05837755875663375
Qwen3-8B	metamath	restore_hns_fro	0.846095526914329	0.004548900682335044	-0.03563305534495831
Qwen3-8B	metamath	restore_hns_nuclear	0.8233510235026535	-0.0181956027293404	-0.05837755875663375
Qwen3-8B	tulu	original_lora	0.6765249537892791	0.0	-0.03512014787430684
Qwen3-8B	tulu	hns	0.711645101663586	0.03512014787430684	0.0
Qwen3-8B	tulu	restore_lora_fro	0.6950092421441775	0.01848428835489835	-0.01663585951940849
Qwen3-8B	tulu	restore_lora_nuclear	0.6913123844731978	0.014787430683918634	-0.020332717190388205
Qwen3-8B	tulu	restore_hns_fro	0.7024029574861368	0.025878003696857665	-0.009242144177449174
Qwen3-8B	tulu	restore_hns_nuclear	0.6913123844731978	0.014787430683918634	-0.020332717190388205
Qwen3-8B	commonsense	original_lora	0.9078616627399869	0.0	0.004056204958095555
Qwen3-8B	commonsense	hns	0.9038054577818914	-0.004056204958095555	0.0
Qwen3-8B	commonsense	restore_lora_fro	0.8864858348369342	-0.021375827903052702	-0.017319622944957147
Qwen3-8B	commonsense	restore_lora_nuclear	0.8839759607407653	-0.023885701999221576	-0.01982949704112602
Qwen3-8B	commonsense	restore_hns_fro	0.8842865886018406	-0.0235750741381463	-0.019518869180050746
Qwen3-8B	commonsense	restore_hns_nuclear	0.8838248651123847	-0.024036797627602247	-0.01998059266950669
Llama-3.1-8B-Instruct	magicoder	original_lora	0.5365853658536586	0.0	-0.0060975609756097615
Llama-3.1-8B-Instruct	magicoder	hns	0.5426829268292683	0.0060975609756097615	0.0
Llama-3.1-8B-Instruct	magicoder	restore_lora_fro	0.5670731707317073	0.030487804878048697	0.024390243902438935
Llama-3.1-8B-Instruct	magicoder	restore_lora_nuclear	0.5426829268292683	0.0060975609756097615	0.0
Llama-3.1-8B-Instruct	magicoder	restore_hns_fro	0.5426829268292683	0.0060975609756097615	0.0
Llama-3.1-8B-Instruct	magicoder	restore_hns_nuclear	0.5304878048780488	-0.0060975609756097615	-0.012195121951219523
Llama-3.1-8B-Instruct	metamath	original_lora	0.7710386656557998	0.0	-0.03335860500379073
Llama-3.1-8B-Instruct	metamath	hns	0.8043972706595905	0.03335860500379073	0.0
Llama-3.1-8B-Instruct	metamath	restore_lora_fro	0.7482941622441244	-0.022744503411675443	-0.056103108415466174
Llama-3.1-8B-Instruct	metamath	restore_lora_nuclear	0.7384382107657316	-0.03260045489006824	-0.06595905989385897
Llama-3.1-8B-Instruct	metamath	restore_hns_fro	0.7490523123578469	-0.021986353297952954	-0.055344958301743685
Llama-3.1-8B-Instruct	metamath	restore_hns_nuclear	0.7452615617892343	-0.02577710386656551	-0.05913570887035624
Llama-3.1-8B-Instruct	tulu	original_lora	0.6321626617375231	0.0	-0.011090573012939031
Llama-3.1-8B-Instruct	tulu	hns	0.6432532347504621	0.011090573012939031	0.0
Llama-3.1-8B-Instruct	tulu	restore_lora_fro	0.634011090573013	0.001848428835489857	-0.009242144177449174
Llama-3.1-8B-Instruct	tulu	restore_lora_nuclear	0.6192236598890942	-0.012939001848428888	-0.02402957486136792
Llama-3.1-8B-Instruct	tulu	restore_hns_fro	0.6377079482439926	0.00554528650646946	-0.005545286506469571
Llama-3.1-8B-Instruct	tulu	restore_hns_nuclear	0.6229205175600739	-0.009242144177449174	-0.020332717190388205
Llama-3.1-8B-Instruct	commonsense	original_lora	0.8795895457536193	0.0	0.003733586491741825
Llama-3.1-8B-Instruct	commonsense	hns	0.8758559592618774	-0.003733586491741825	0.0
Llama-3.1-8B-Instruct	commonsense	restore_lora_fro	0.8494016226110102	-0.030187923142609097	-0.02645433665086727
Llama-3.1-8B-Instruct	commonsense	restore_lora_nuclear	0.8460221273659445	-0.03356741838767474	-0.029833831895932916
Llama-3.1-8B-Instruct	commonsense	restore_hns_fro	0.8466686835543447	-0.03292086219927459	-0.029187275707532767
Llama-3.1-8B-Instruct	commonsense	restore_hns_nuclear	0.8467118381306482	-0.03287770762297104	-0.029144121131229217
