base_model	task	module_type	modules	gamma_mean	gamma_median	gamma_p05	gamma_p95
Llama-3.1-8B-Instruct	commonsense	down_proj	32	0.6533202786468186	0.6527505065165478	0.5021405052352713	0.7565580170010695
Llama-3.1-8B-Instruct	commonsense	gate_proj	32	0.7975628826882443	0.8018819316916324	0.7070819849015668	0.8808972503488992
Llama-3.1-8B-Instruct	commonsense	k_proj	32	0.6281776651439325	0.6597739198217629	0.44368990589027907	0.7955084225493022
Llama-3.1-8B-Instruct	commonsense	o_proj	32	0.771773657635282	0.790618223973647	0.6165350841962336	0.8561414583528938
Llama-3.1-8B-Instruct	commonsense	q_proj	32	0.7000629308282413	0.730674919043347	0.5012436620156228	0.8507893139585025
Llama-3.1-8B-Instruct	commonsense	up_proj	32	0.8450450202975288	0.8655573250577469	0.7287018890224486	0.9005348006972574
Llama-3.1-8B-Instruct	commonsense	v_proj	32	0.7082123596938547	0.7314769170049451	0.5106351704979943	0.842621063019738
Llama-3.1-8B-Instruct	magicoder	down_proj	32	0.6924349454934116	0.6982102022987366	0.5773671612290462	0.7821959007825809
Llama-3.1-8B-Instruct	magicoder	gate_proj	32	0.6135115160246638	0.5805056604241812	0.4118817892253764	0.9120362986155536
Llama-3.1-8B-Instruct	magicoder	k_proj	32	0.8601258481901621	0.8657659155765747	0.7583458903976007	0.9262525036708082
Llama-3.1-8B-Instruct	magicoder	o_proj	32	0.8622424935872401	0.8629411916806841	0.7823982959838618	0.9176494427701565
Llama-3.1-8B-Instruct	magicoder	q_proj	32	0.7953027685191547	0.8105766980919332	0.6678053081621023	0.8850567088755911
Llama-3.1-8B-Instruct	magicoder	up_proj	32	0.7388196952170418	0.7405271347511553	0.5714154453949639	0.9132083292953234
Llama-3.1-8B-Instruct	magicoder	v_proj	32	0.7459754769060616	0.7642884973295286	0.6057702806516655	0.8355065726166041
Llama-3.1-8B-Instruct	metamath	down_proj	32	0.8150685469815011	0.8256651437834377	0.7572584843701162	0.879079613814006
Llama-3.1-8B-Instruct	metamath	gate_proj	32	0.8535250110000057	0.8581448994120644	0.7543711906513396	0.940980973559689
Llama-3.1-8B-Instruct	metamath	k_proj	32	0.842246116829823	0.8491765847048609	0.7639858041301038	0.9027464115661539
Llama-3.1-8B-Instruct	metamath	o_proj	32	0.9095294585436968	0.9094543389268173	0.873118245802781	0.9460277678865663
Llama-3.1-8B-Instruct	metamath	q_proj	32	0.8716909097412489	0.88201010449956	0.8161289623024486	0.9237016774675594
Llama-3.1-8B-Instruct	metamath	up_proj	32	0.9298094539465607	0.9381728658350149	0.9016094731213941	0.9550406784353782
Llama-3.1-8B-Instruct	metamath	v_proj	32	0.835819515639032	0.836117948535852	0.7454091008463553	0.9041209079437013
Llama-3.1-8B-Instruct	tulu	down_proj	32	0.8949899522109472	0.9112561010756499	0.8175433470609961	0.9464504938303683
Llama-3.1-8B-Instruct	tulu	gate_proj	32	0.7921928541841834	0.776465336960401	0.664415999517421	0.9575640520000811
Llama-3.1-8B-Instruct	tulu	k_proj	32	0.8800304043026639	0.8848494524498979	0.8033294485898602	0.9217001404791672
Llama-3.1-8B-Instruct	tulu	o_proj	32	0.9471662273917707	0.9458332756496551	0.9239214638219522	0.9733490336695064
Llama-3.1-8B-Instruct	tulu	q_proj	32	0.9066521595599879	0.9121398910993861	0.8404086745245903	0.9484160739029212
Llama-3.1-8B-Instruct	tulu	up_proj	32	0.9242673730733498	0.9308253768674264	0.8527587055745828	0.9701963666368212
Llama-3.1-8B-Instruct	tulu	v_proj	32	0.8947173533555148	0.89501146474501	0.8472099640271752	0.9381901125397205
Qwen3-8B	commonsense	down_proj	36	0.645190691447139	0.6564330532744451	0.5450247389055818	0.7217987713212906
Qwen3-8B	commonsense	gate_proj	36	0.6325864659906669	0.6157509643724893	0.4143324586902898	0.8557514026213477
Qwen3-8B	commonsense	k_proj	36	0.6010846849540737	0.613399891601724	0.47089825400968655	0.6942451102374227
Qwen3-8B	commonsense	o_proj	36	0.7144173128410398	0.719376487571372	0.599051039664852	0.8000217625886832
Qwen3-8B	commonsense	q_proj	36	0.6173250294568786	0.6287568441587295	0.4653967798871595	0.7437474704827727
Qwen3-8B	commonsense	up_proj	36	0.6924364346273295	0.7007005218513658	0.5042704781400027	0.8401344714260002
Qwen3-8B	commonsense	v_proj	36	0.5481926332648049	0.5331470260693274	0.39094344952272436	0.6966708811047357
Qwen3-8B	magicoder	down_proj	36	0.538362207705871	0.5545357707924908	0.397486911971973	0.6380229001618488
Qwen3-8B	magicoder	gate_proj	36	0.561971101939057	0.5471550236069506	0.40916881849257025	0.7279074294046792
Qwen3-8B	magicoder	k_proj	36	0.7505096212329915	0.7520083408265235	0.6285881617512453	0.8767682652832918
Qwen3-8B	magicoder	o_proj	36	0.6372290505863197	0.6386786598717713	0.5188568774956911	0.7675632215026292
Qwen3-8B	magicoder	q_proj	36	0.6498431936126536	0.648643285408665	0.5078993605425534	0.750423509860406
Qwen3-8B	magicoder	up_proj	36	0.5496331067793007	0.5393168867067916	0.43307618557251215	0.6971429012943968
Qwen3-8B	magicoder	v_proj	36	0.562210968135565	0.5830955837594479	0.4268323421089921	0.6543683939564109
Qwen3-8B	metamath	down_proj	36	0.6765583168549906	0.706687037710521	0.4844329225949013	0.8237787536108889
Qwen3-8B	metamath	gate_proj	36	0.5372885777265703	0.562965129649241	0.33118050849833147	0.6530755174999908
Qwen3-8B	metamath	k_proj	36	0.7172510858170121	0.73607207154166	0.5686780212112503	0.812330831466783
Qwen3-8B	metamath	o_proj	36	0.7795518681301967	0.7835135262472894	0.6392376211130559	0.9004896085258123
Qwen3-8B	metamath	q_proj	36	0.6459052175111015	0.652882342879941	0.49472684695721797	0.7952064815944441
Qwen3-8B	metamath	up_proj	36	0.6693811281089302	0.6928409428828299	0.4867118615852625	0.8068024321521976
Qwen3-8B	metamath	v_proj	36	0.6355544749279132	0.650098105488139	0.44843220383206983	0.7729920059639366
Qwen3-8B	tulu	down_proj	36	0.6747068366556369	0.6961435750798467	0.5519833379633199	0.7702840510486912
Qwen3-8B	tulu	gate_proj	36	0.7365991334528461	0.7705767002119412	0.4897566812519605	0.8317453318667626
Qwen3-8B	tulu	k_proj	36	0.7425741971265227	0.7550227673880117	0.6296325873780898	0.8298365097243167
Qwen3-8B	tulu	o_proj	36	0.792639384906025	0.8042888349772388	0.6497873576066703	0.895647410187276
Qwen3-8B	tulu	q_proj	36	0.7565267830504392	0.7728521918472042	0.6371624865329285	0.8362393927743923
Qwen3-8B	tulu	up_proj	36	0.7992658146117825	0.8297854254328778	0.6034922440201348	0.8954873867643209
Qwen3-8B	tulu	v_proj	36	0.6634997924115338	0.6550241934080803	0.5971108047397196	0.7370859716114657
