base	task	configuration	fast_steps	stable_steps	modules	mean_effective_rank_before	mean_effective_rank_after	adapter_fro_before	adapter_fro_after	adapter_fro_ratio	max_saved_update_relative_error
Qwen3-8B	magicoder	0+0	0	0	252	9.66240316713053	9.66240316713053	4.186509155755519	4.186509155755519	1.0	0.0
Qwen3-8B	magicoder	2+0	2	0	252	9.66240316713053	15.422658866764243	4.186509155755519	2.282126909691653	0.5451145154081978	0.0
Qwen3-8B	magicoder	2+1	2	1	252	9.66240316713053	15.904246790473342	4.186509155755519	2.19770783658776	0.5249499654303634	0.0
Qwen3-8B	magicoder	2+2	2	2	252	9.66240316713053	15.986200317394239	4.186509155755519	2.1847911651924865	0.5218646571425467	0.0
Qwen3-8B	magicoder	4+0	4	0	252	9.66240316713053	15.788891926356758	4.186509155755519	2.211642476456259	0.5282784282021079	0.0
Qwen3-8B	magicoder	4+1	4	1	252	9.66240316713053	15.998225942926267	4.186509155755519	2.1838911322796135	0.5216496730401865	0.0
Qwen3-8B	magicoder	4+2	4	2	252	9.66240316713053	15.999999782211113	4.186509155755519	2.1836463662324763	0.5215912076127788	0.0
Qwen3-8B	magicoder	8+0	8	0	252	9.66240316713053	15.675979542853694	4.186509155755519	2.228436929032993	0.5322899929573515	0.0
Qwen3-8B	magicoder	8+1	8	1	252	9.66240316713053	15.997108716864991	4.186509155755519	2.184055877733426	0.521689024549447	0.0
Qwen3-8B	magicoder	8+2	8	2	252	9.66240316713053	15.999999785468603	4.186509155755519	2.1836463654117493	0.5215912074167379	0.0
Qwen3-8B	metamath	0+0	0	0	252	10.603495290209793	10.603495290209793	18.519932272581638	18.519932272581638	1.0	0.0
Qwen3-8B	metamath	2+0	2	0	252	10.603495290209793	15.474198685283367	18.519932272581638	11.739442514780146	0.6338815035603633	0.0
Qwen3-8B	metamath	2+1	2	1	252	10.603495290209793	15.91121809201741	18.519932272581638	11.351014607377492	0.6129079977350902	0.0
Qwen3-8B	metamath	2+2	2	2	252	10.603495290209793	15.982167707050799	18.519932272581638	11.285519829275545	0.6093715496996452	0.0
Qwen3-8B	metamath	4+0	4	0	252	10.603495290209793	15.783854462702843	18.519932272581638	11.42228005195536	0.6167560379724389	0.0
Qwen3-8B	metamath	4+1	4	1	252	10.603495290209793	15.998247270500766	18.519932272581638	11.275160259526807	0.6088121756373505	0.0
Qwen3-8B	metamath	4+2	4	2	252	10.603495290209793	15.999999765733465	18.519932272581638	11.273952819234928	0.6087469788388898	0.0
Qwen3-8B	metamath	8+0	8	0	252	10.603495290209793	15.677227255308843	18.519932272581638	11.497071019216097	0.6207944419017808	0.0
Qwen3-8B	metamath	8+1	8	1	252	10.603495290209793	15.997183973905745	18.519932272581638	11.275907705543878	0.6088525346411561	0.0
Qwen3-8B	metamath	8+2	8	2	252	10.603495290209793	15.99999979071639	18.519932272581638	11.273952792571768	0.6087469773991891	0.0
Qwen3-8B	tulu	0+0	0	0	252	11.790767980863246	11.790767980863246	24.238549353947185	24.23854935394718	0.9999999999999999	0.0
Qwen3-8B	tulu	2+0	2	0	252	11.790767980863246	15.65756905516718	24.238549353947185	18.646488942989443	0.7692906316587346	0.0
Qwen3-8B	tulu	2+1	2	1	252	11.790767980863246	15.960305256232147	24.238549353947185	18.379062802870145	0.758257539858802	0.0
Qwen3-8B	tulu	2+2	2	2	252	11.790767980863246	15.987961423163107	24.238549353947185	18.361921011013447	0.7575503279045557	0.0
Qwen3-8B	tulu	4+0	4	0	252	11.790767980863246	15.777261540601609	24.238549353947185	18.60454395121405	0.7675601241451503	0.0
Qwen3-8B	tulu	4+1	4	1	252	11.790767980863246	15.998174835263915	24.238549353947185	18.35902072604633	0.757430672023968	0.0
Qwen3-8B	tulu	4+2	4	2	252	11.790767980863246	15.99999976859755	24.238549353947185	18.357221546701595	0.7573564440114552	0.0
Qwen3-8B	tulu	8+0	8	0	252	11.790767980863246	15.681580692216206	24.238549353947185	18.70083876712557	0.7715329203098612	0.0
Qwen3-8B	tulu	8+1	8	1	252	11.790767980863246	15.997238483034653	24.238549353947185	18.360207069680435	0.7574796165221218	0.0
Qwen3-8B	tulu	8+2	8	2	252	11.790767980863246	15.999999794375437	24.238549353947185	18.357221580370343	0.7573564454005132	0.0
Qwen3-8B	commonsense	0+0	0	0	252	9.685339955971713	9.685339955971713	79.27725921395408	79.27725921395408	1.0	0.0
Qwen3-8B	commonsense	2+0	2	0	252	9.685339955971713	15.061525607739492	79.27725921395408	50.60485358823443	0.6383274862172221	0.0
Qwen3-8B	commonsense	2+1	2	1	252	9.685339955971713	15.800541435268533	79.27725921395408	48.42193387687641	0.6107922291586155	0.0
Qwen3-8B	commonsense	2+2	2	2	252	9.685339955971713	15.97442623771593	79.27725921395408	48.004349408877175	0.605524836313055	0.0
Qwen3-8B	commonsense	4+0	4	0	252	9.685339955971713	15.787384175510965	79.27725921395408	48.60238102741681	0.6130683818955991	0.0
Qwen3-8B	commonsense	4+1	4	1	252	9.685339955971713	15.998067475961623	79.27725921395408	47.958384820144865	0.604945040931781	0.0
Qwen3-8B	commonsense	4+2	4	2	252	9.685339955971713	15.999999679779384	79.27725921395408	47.95279212066633	0.6048744948567276	0.0
Qwen3-8B	commonsense	8+0	8	0	252	9.685339955971713	15.661678892379221	79.27725921395408	48.96112724557932	0.6175935915423444	0.0
Qwen3-8B	commonsense	8+1	8	1	252	9.685339955971713	15.997012797623352	79.27725921395408	47.96171884821825	0.604987096221109	0.0
Qwen3-8B	commonsense	8+2	8	2	252	9.685339955971713	15.999999773747009	79.27725921395408	47.95279198135693	0.6048744930994847	0.0
Llama-3.1-8B-Instruct	magicoder	0+0	0	0	224	12.346009675180499	12.346009675180499	3.4469423378156434	3.446942337815644	1.0	0.0
Llama-3.1-8B-Instruct	magicoder	2+0	2	0	224	12.346009675180499	15.77256307639748	3.4469423378156434	2.2551125820878166	0.654235656148777	0.0
Llama-3.1-8B-Instruct	magicoder	2+1	2	1	224	12.346009675180499	15.986575370154446	3.4469423378156434	2.215136405377724	0.6426380798645662	0.0
Llama-3.1-8B-Instruct	magicoder	2+2	2	2	224	12.346009675180499	15.999349318444049	3.4469423378156434	2.212073054363625	0.6417493643846198	0.0
Llama-3.1-8B-Instruct	magicoder	4+0	4	0	224	12.346009675180499	15.798885236306868	3.4469423378156434	2.2390992563543453	0.6495899951065851	0.0
Llama-3.1-8B-Instruct	magicoder	4+1	4	1	224	12.346009675180499	15.998665232515291	3.4469423378156434	2.212119922429083	0.6417629613818611	0.0
Llama-3.1-8B-Instruct	magicoder	4+2	4	2	224	12.346009675180499	15.999999886241408	3.4469423378156434	2.21192602447071	0.6417067092199825	0.0
Llama-3.1-8B-Instruct	magicoder	8+0	8	0	224	12.346009675180499	15.706630893836563	3.4469423378156434	2.2522560595766294	0.6534069441393392	0.0
Llama-3.1-8B-Instruct	magicoder	8+1	8	1	224	12.346009675180499	15.997553649488372	3.4469423378156434	2.212271178552386	0.6418068426274635	0.0
Llama-3.1-8B-Instruct	magicoder	8+2	8	2	224	12.346009675180499	15.999999831273556	3.4469423378156434	2.2119260307058046	0.6417067110288596	0.0
Llama-3.1-8B-Instruct	metamath	0+0	0	0	224	13.913986622068043	13.913986622068043	14.498299815796182	14.498299815796182	1.0	0.0
Llama-3.1-8B-Instruct	metamath	2+0	2	0	224	13.913986622068043	15.790975279919932	14.498299815796182	12.807003471664665	0.8833451945662747	0.0
Llama-3.1-8B-Instruct	metamath	2+1	2	1	224	13.913986622068043	15.989425103802018	14.498299815796182	12.660473348279815	0.8732384837624878	0.0
Llama-3.1-8B-Instruct	metamath	2+2	2	2	224	13.913986622068043	15.998446779315575	14.498299815796182	12.65566239551834	0.8729066550085925	0.0
Llama-3.1-8B-Instruct	metamath	4+0	4	0	224	13.913986622068043	15.796887167719728	14.498299815796182	12.813913582992406	0.8838218098532764	0.0
Llama-3.1-8B-Instruct	metamath	4+1	4	1	224	13.913986622068043	15.998728001592353	14.498299815796182	12.65625579191596	0.8729475836971394	0.0
Llama-3.1-8B-Instruct	metamath	4+2	4	2	224	13.913986622068043	15.999999888964926	14.498299815796182	12.6553002173076	0.8728816742718619	0.0
Llama-3.1-8B-Instruct	metamath	8+0	8	0	224	13.913986622068043	15.696012989181103	14.498299815796182	12.89429265342264	0.8893658440815285	0.0
Llama-3.1-8B-Instruct	metamath	8+1	8	1	224	13.913986622068043	15.99751739757721	14.498299815796182	12.657229934536305	0.8730147738251354	0.0
Llama-3.1-8B-Instruct	metamath	8+2	8	2	224	13.913986622068043	15.999999825059446	14.498299815796182	12.655300274427638	0.872881678211637	0.0
Llama-3.1-8B-Instruct	tulu	0+0	0	0	224	14.35943861059142	14.35943861059142	11.233533828203223	11.233533828203223	1.0	0.0
Llama-3.1-8B-Instruct	tulu	2+0	2	0	224	14.35943861059142	15.798028909938935	11.233533828203223	9.777080443960937	0.8703477101225552	0.0
Llama-3.1-8B-Instruct	tulu	2+1	2	1	224	14.35943861059142	15.995151503335503	11.233533828203223	9.665547653780342	0.8604191522986069	0.0
Llama-3.1-8B-Instruct	tulu	2+2	2	2	224	14.35943861059142	15.999996143772123	11.233533828203223	9.662744084378467	0.860169580841864	0.0
Llama-3.1-8B-Instruct	tulu	4+0	4	0	224	14.35943861059142	15.797485189002032	11.233533828203223	9.786765431317301	0.8712098597812894	0.0
Llama-3.1-8B-Instruct	tulu	4+1	4	1	224	14.35943861059142	15.998750243037687	11.233533828203223	9.66351176678637	0.8602379193023737	0.0
Llama-3.1-8B-Instruct	tulu	4+2	4	2	224	14.35943861059142	15.99999989258711	11.233533828203223	9.662741904003937	0.8601693867467055	0.0
Llama-3.1-8B-Instruct	tulu	8+0	8	0	224	14.35943861059142	15.685186414030158	11.233533828203223	9.850306965452019	0.8768662752162247	0.0
