configuration	checkpoints	mean_gain_pp	median_gain_pp	wins	ties	losses
0+0	8	0.34958252850974814	0.2985654006073646	5	1	2
2+0	8	2.5215155587254374	2.1256931608133076	5	1	2
2+1	8	2.5563786783306424	2.4953789279112737	6	0	2
2+2	8	2.48331446861825	1.8484288354898293	5	1	2
4+0	8	2.6012524478542285	2.957486136783732	5	1	2
4+1	8	2.5659033061852368	2.1256931608133076	6	0	2
4+2	8	2.5979643489116326	2.3105360443622933	5	1	2
8+0	8	2.5504954480302793	2.218114602587801	6	0	2
8+1	8	2.53012042751283	1.9960777241783523	6	0	2
8+2	8	2.4518141097043697	1.6635859519408491	5	1	2
