base	task	display_name	variant	method	fast_steps	stable_steps	primary_metric	score	delta_vs_lora_pp	samples
Llama-3.1-8B-Instruct	magicoder	Base	base	base			pass_at_1	0.524390243902439	-1.2195121951219523	164
Llama-3.1-8B-Instruct	magicoder	HNS 0+0	magicoder__hns_f0_s0	hns	0	0	pass_at_1	0.5426829268292683	0.6097560975609762	164
Llama-3.1-8B-Instruct	magicoder	HNS 2+0	magicoder__hns_f2_s0	hns	2	0	pass_at_1	0.5365853658536586	0.0	164
Llama-3.1-8B-Instruct	magicoder	HNS 2+1	magicoder__hns_f2_s1	hns	2	1	pass_at_1	0.5426829268292683	0.6097560975609762	164
Llama-3.1-8B-Instruct	magicoder	HNS 2+2	magicoder__hns_f2_s2	hns	2	2	pass_at_1	0.5365853658536586	0.0	164
Llama-3.1-8B-Instruct	magicoder	HNS 4+0	magicoder__hns_f4_s0	hns	4	0	pass_at_1	0.5365853658536586	0.0	164
Llama-3.1-8B-Instruct	magicoder	HNS 4+1	magicoder__hns_f4_s1	hns	4	1	pass_at_1	0.5487804878048781	1.2195121951219523	164
Llama-3.1-8B-Instruct	magicoder	HNS 4+2	magicoder__hns_f4_s2	hns	4	2	pass_at_1	0.5365853658536586	0.0	164
Llama-3.1-8B-Instruct	magicoder	HNS 8+0	magicoder__hns_f8_s0	hns	8	0	pass_at_1	0.5426829268292683	0.6097560975609762	164
Llama-3.1-8B-Instruct	magicoder	HNS 8+1	magicoder__hns_f8_s1	hns	8	1	pass_at_1	0.5487804878048781	1.2195121951219523	164
Llama-3.1-8B-Instruct	magicoder	HNS 8+2	magicoder__hns_f8_s2	hns	8	2	pass_at_1	0.5365853658536586	0.0	164
Llama-3.1-8B-Instruct	magicoder	LoRA	magicoder__original_lora	original_lora			pass_at_1	0.5365853658536586	0.0	164
Llama-3.1-8B-Instruct	metamath	Base	base	base			strict_accuracy	0.6239575435936315	-14.708112206216828	1319
Llama-3.1-8B-Instruct	metamath	HNS 0+0	metamath__hns_f0_s0	hns	0	0	strict_accuracy	0.7733131159969674	0.22744503411675776	1319
Llama-3.1-8B-Instruct	metamath	HNS 2+0	metamath__hns_f2_s0	hns	2	0	strict_accuracy	0.8089461713419257	3.7907505686125886	1319
Llama-3.1-8B-Instruct	metamath	HNS 2+1	metamath__hns_f2_s1	hns	2	1	strict_accuracy	0.8081880212282032	3.7149355572403397	1319
Llama-3.1-8B-Instruct	metamath	HNS 2+2	metamath__hns_f2_s2	hns	2	2	strict_accuracy	0.8028809704321456	3.1842304776345753	1319
Llama-3.1-8B-Instruct	metamath	HNS 4+0	metamath__hns_f4_s0	hns	4	0	strict_accuracy	0.8089461713419257	3.7907505686125886	1319
Llama-3.1-8B-Instruct	metamath	HNS 4+1	metamath__hns_f4_s1	hns	4	1	strict_accuracy	0.8066717210007581	3.563305534495831	1319
Llama-3.1-8B-Instruct	metamath	HNS 4+2	metamath__hns_f4_s2	hns	4	2	strict_accuracy	0.8104624715693708	3.9423805913570975	1319
Llama-3.1-8B-Instruct	metamath	HNS 8+0	metamath__hns_f8_s0	hns	8	0	strict_accuracy	0.8066717210007581	3.563305534495831	1319
Llama-3.1-8B-Instruct	metamath	HNS 8+1	metamath__hns_f8_s1	hns	8	1	strict_accuracy	0.8013646702047005	3.0326004548900665	1319
Llama-3.1-8B-Instruct	metamath	HNS 8+2	metamath__hns_f8_s2	hns	8	2	strict_accuracy	0.8081880212282032	3.7149355572403397	1319
Llama-3.1-8B-Instruct	metamath	LoRA	metamath__original_lora	original_lora			strict_accuracy	0.7710386656557998	0.0	1319
Llama-3.1-8B-Instruct	tulu	Base	base	base			prompt_level_strict_accuracy	0.6210720887245841	-1.1090573012939031	541
Llama-3.1-8B-Instruct	tulu	HNS 0+0	tulu__hns_f0_s0	hns	0	0	prompt_level_strict_accuracy	0.6358595194085028	0.3696857670979714	541
Llama-3.1-8B-Instruct	tulu	HNS 2+0	tulu__hns_f2_s0	hns	2	0	prompt_level_strict_accuracy	0.6506469500924215	1.8484288354898348	541
Llama-3.1-8B-Instruct	tulu	HNS 2+1	tulu__hns_f2_s1	hns	2	1	prompt_level_strict_accuracy	0.6506469500924215	1.8484288354898348	541
Llama-3.1-8B-Instruct	tulu	HNS 2+2	tulu__hns_f2_s2	hns	2	2	prompt_level_strict_accuracy	0.6451016635859519	1.2939001848428777	541
Llama-3.1-8B-Instruct	tulu	HNS 4+0	tulu__hns_f4_s0	hns	4	0	prompt_level_strict_accuracy	0.6543438077634011	2.218114602587795	541
Llama-3.1-8B-Instruct	tulu	HNS 4+1	tulu__hns_f4_s1	hns	4	1	prompt_level_strict_accuracy	0.6487985212569316	1.6635859519408491	541
Llama-3.1-8B-Instruct	tulu	HNS 4+2	tulu__hns_f4_s2	hns	4	2	prompt_level_strict_accuracy	0.6506469500924215	1.8484288354898348	541
Llama-3.1-8B-Instruct	tulu	HNS 8+0	tulu__hns_f8_s0	hns	8	0	prompt_level_strict_accuracy	0.6469500924214417	1.4787430683918634	541
Llama-3.1-8B-Instruct	tulu	HNS 8+1	tulu__hns_f8_s1	hns	8	1	prompt_level_strict_accuracy	0.6432532347504621	1.1090573012939031	541
Llama-3.1-8B-Instruct	tulu	HNS 8+2	tulu__hns_f8_s2	hns	8	2	prompt_level_strict_accuracy	0.6524953789279113	2.0332717190388205	541
