task	module	layer	module_type	samples	baseline_nll	edited_nll	utility	utility_ci_low	utility_ci_high	fraction_examples_benefit
llama_tulu	layers.0.mlp.down_proj	0	down_proj	64	0.8002676182659343	0.8000932521536015	0.0001743661123327911	-0.000660327629884705	0.0011280828533926977	0.484375
llama_tulu	layers.0.mlp.gate_proj	0	gate_proj	64	0.8002676182659343	0.8000973424641415	0.00017027580179274082	-0.0007505063782446087	0.0012839124072343106	0.484375
llama_tulu	layers.0.mlp.up_proj	0	up_proj	64	0.8002676182659343	0.8000491965794936	0.00021842168644070625	-0.0005793269607238472	0.001266624889103695	0.5
llama_tulu	layers.0.self_attn.k_proj	0	k_proj	64	0.8002676182659343	0.7997780077857897	0.0004896104801446199	-0.0001406059309374541	0.0012073438148945562	0.5625
llama_tulu	layers.0.self_attn.o_proj	0	o_proj	64	0.8002676182659343	0.8004162745201029	-0.00014865625416859984	-0.0008789049039478414	0.0006511144354590214	0.296875
llama_tulu	layers.0.self_attn.q_proj	0	q_proj	64	0.8002676182659343	0.7999498151475564	0.00031780311837792397	-0.0003320389601867646	0.0009479659202042964	0.515625
llama_tulu	layers.0.self_attn.v_proj	0	v_proj	64	0.8002676182659343	0.8000997571507469	0.00016786111518740654	-0.00036999038420617577	0.0006955976830795405	0.53125
llama_tulu	layers.1.mlp.down_proj	1	down_proj	64	0.8002676182659343	0.7996266819536686	0.0006409363122656941	-0.0003340997063787654	0.0019648503104690426	0.53125
llama_tulu	layers.1.mlp.gate_proj	1	gate_proj	64	0.8002676182659343	0.8004094247007743	-0.0001418064348399639	-0.0008736229210626334	0.0005980233545415098	0.53125
llama_tulu	layers.1.mlp.up_proj	1	up_proj	64	0.8002676182659343	0.8004350044066086	-0.00016738614067435265	-0.0009230072260834277	0.0005680144065991041	0.46875
llama_tulu	layers.1.self_attn.k_proj	1	k_proj	64	0.8002676182659343	0.7997036226443015	0.0005639956216327846	-0.0001394776627421379	0.001353930252662394	0.515625
llama_tulu	layers.1.self_attn.o_proj	1	o_proj	64	0.8002676182659343	0.8001223089522682	0.00014530931366607547	-0.0005003042766475119	0.0008246814875747076	0.515625
llama_tulu	layers.1.self_attn.q_proj	1	q_proj	64	0.8002676182659343	0.800188533088658	7.90851772762835e-05	-0.0005770267991465517	0.0007891160013969051	0.546875
llama_tulu	layers.1.self_attn.v_proj	1	v_proj	64	0.8002676182659343	0.7997607116121799	0.0005069066537544131	-0.00038901961233932524	0.0017382580321282145	0.515625
llama_tulu	layers.10.mlp.down_proj	10	down_proj	64	0.8002676182659343	0.8001882598618977	7.935840403661132e-05	-0.0005471280877827666	0.0006814164255047198	0.578125
llama_tulu	layers.10.mlp.gate_proj	10	gate_proj	64	0.8002676182659343	0.8007644658791833	-0.0004968476132489741	-0.001444722774613183	0.00034223563416162445	0.5
llama_tulu	layers.10.mlp.up_proj	10	up_proj	64	0.8002676182659343	0.7996847259928472	0.0005828922730870545	-2.8187627322040455e-06	0.0011862363913678561	0.59375
llama_tulu	layers.10.self_attn.k_proj	10	k_proj	64	0.8002676182659343	0.8006422660546377	-0.0003746477887034416	-0.0011595242889598013	0.0003538166871294374	0.484375
llama_tulu	layers.10.self_attn.o_proj	10	o_proj	64	0.8002676182659343	0.8000320892315358	0.00023552903439849615	-0.00031586509139742703	0.0008081171283265574	0.5625
llama_tulu	layers.10.self_attn.q_proj	10	q_proj	64	0.8002676182659343	0.8003519044141285	-8.428614819422364e-05	-0.0007948410595417953	0.0005238272526185021	0.609375
llama_tulu	layers.10.self_attn.v_proj	10	v_proj	64	0.8002676182659343	0.8002463988377713	2.1219428163021803e-05	-0.00047458790068048983	0.0004937895311741156	0.59375
