case	base_model	task	module	layer	module_type	utility	utility_ci_low	utility_ci_high	functional_concentration	raw_concentration	gradient_compatibility	gradient_importance	p99_contribution	utility_z_within_case
qwen_magicoder	Qwen3-8B	magicoder	layers.0.mlp.down_proj	0	down_proj	-0.00017366399530504572	-0.00061413224969731	0.0002772955437664121	0.9903672907971506	0.8485936631069443	-1.7954584979682632e-05	1.2917801747614135e-05	0.012541032913352826	0.33745880208133366
qwen_magicoder	Qwen3-8B	magicoder	layers.0.mlp.gate_proj	0	gate_proj	-0.0003197863698005676	-0.0008730670956314587	0.00020101993787484073	0.5534710379072302	0.3668692306290192	-6.115374710725295e-06	3.2000534000782523e-06	0.002318583589220311	-0.374633629858612
qwen_magicoder	Qwen3-8B	magicoder	layers.0.mlp.up_proj	0	up_proj	-0.00011891089990490772	-0.0006894577508334254	0.0004533600092667048	0.6221172276606219	0.3745565403333171	-1.0533291288305751e-05	4.4992013042064386e-06	0.0031594871047445983	0.6042849126912387
qwen_magicoder	Qwen3-8B	magicoder	layers.0.self_attn.k_proj	0	k_proj	-0.00010244328467572322	-0.0005872102606980527	0.00035483640481214044	0.6875167407672678	0.22396860185323994	-1.0016577685008084e-06	2.4699984409502243e-06	0.00094487688016306	0.6845358955902381
qwen_magicoder	Qwen3-8B	magicoder	layers.0.self_attn.o_proj	0	o_proj	-2.8663971385017772e-05	-0.0005491375190312744	0.0005141730679840338	0.9429464940865975	0.4882546507589719	-7.237051837385462e-06	5.554640914346286e-06	0.0043720337429057985	1.0440817270169487
qwen_magicoder	Qwen3-8B	magicoder	layers.0.self_attn.q_proj	0	q_proj	-9.558264349327713e-05	-0.0006321091449162999	0.0004580154831780761	0.5234276995986036	0.5378941058806427	-4.4450958871328146e-05	1.1982611782245463e-05	0.0016489739382680817	0.7179695889663684
qwen_magicoder	Qwen3-8B	magicoder	layers.0.self_attn.v_proj	0	v_proj	-0.0001529290295038067	-0.0006051881696845664	0.000269929423439698	0.9294548621505868	0.465357554976394	-1.007252610286081e-05	3.2044420647814598e-06	0.005336859277931612	0.4385056970183468
qwen_magicoder	Qwen3-8B	magicoder	layers.1.mlp.down_proj	1	down_proj	-0.00011580754987529067	-0.000561681218811723	0.0003616576922721549	0.9979795803334518	0.9404618092579071	2.696781721901074e-06	1.083516765817829e-05	0.01704730440448477	0.6194083465758876
qwen_magicoder	Qwen3-8B	magicoder	layers.1.mlp.gate_proj	1	gate_proj	-0.00016280556799935512	-0.0006518469665382729	0.00032815517338572874	0.9995443444842258	0.9547783035179961	8.81702548934567e-06	4.673416489183449e-06	0.003511161710158993	0.3903747496482088
qwen_magicoder	Qwen3-8B	magicoder	layers.1.mlp.up_proj	1	up_proj	-0.00039893425390368604	-0.0008842123672366142	8.781181007135056e-05	0.9984486041199754	0.9109086004706706	4.3044441921116024e-05	9.552704120863367e-06	0.05270678231330094	-0.7603419066948729
qwen_magicoder	Qwen3-8B	magicoder	layers.1.self_attn.k_proj	1	k_proj	-0.0002881540138213361	-0.0008419726532502253	0.00025693231308069367	0.9437587969927227	0.8780057769828713	-1.5612921535775524e-05	5.896588718853277e-06	0.006061978845058489	-0.22048091111853044
qwen_magicoder	Qwen3-8B	magicoder	layers.1.self_attn.o_proj	1	o_proj	-7.77046699992946e-06	-0.000534244422174868	0.0005440487724835754	0.9936342481116083	0.90608032981836	8.037295317315376e-06	1.0139962083303748e-05	0.023685940999766862	1.1459012218115763
qwen_magicoder	Qwen3-8B	magicoder	layers.1.self_attn.q_proj	1	q_proj	-0.0002687057999313855	-0.0007315338757194457	0.00020116720898229567	0.987449660425123	0.9000320130902633	1.6337146563721672e-05	5.143938847911645e-06	0.007776132164303835	-0.12570469376238852
qwen_magicoder	Qwen3-8B	magicoder	layers.1.self_attn.v_proj	1	v_proj	-4.5200596090222966e-05	-0.0004866884441160765	0.00038955322787409904	0.9985274782494653	0.9417270550269911	3.790639549936112e-05	1.4008600394770157e-05	0.02730907535076143	0.9634944429472619
qwen_magicoder	Qwen3-8B	magicoder	layers.10.mlp.down_proj	10	down_proj	-0.00019823564369170392	-0.000715138888383498	0.00029567916129456166	0.9983649685083325	0.9622220242129084	-0.00015807944725132415	3.1513109814445644e-05	0.02334970923650655	0.21771475250072062
qwen_magicoder	Qwen3-8B	magicoder	layers.10.mlp.gate_proj	10	gate_proj	-0.00032574488002745834	-0.0008543868045337864	0.00020035050320820678	0.9348875030878482	0.7836862732337607	-7.663406381123349e-05	1.540256311808086e-05	0.00909123851813941	-0.4036710038600568
qwen_magicoder	Qwen3-8B	magicoder	layers.10.mlp.up_proj	10	up_proj	-0.00015335749895846256	-0.0006309448939854982	0.0002936046662144973	0.9780992038743185	0.8421435901797578	-0.00013614107019474742	2.503794286149855e-05	0.018611215509266376	0.43641765364353
qwen_magicoder	Qwen3-8B	magicoder	layers.10.self_attn.k_proj	10	k_proj	-0.00057883975935764	-0.0011223132554136338	-2.4042486167345075e-05	0.9544335017032552	0.7536746594789576	-7.1682529027001075e-06	4.855644011655244e-06	0.00588208244907124	-1.6370683446574399
qwen_magicoder	Qwen3-8B	magicoder	layers.10.self_attn.o_proj	10	o_proj	-0.0001264313449625109	-0.0006182425884438342	0.0003433931832675074	0.9789853207865671	0.84201798978588	-0.00018178262296640263	2.8839189752481177e-05	0.02695410989153294	0.5676358229893499
qwen_magicoder	Qwen3-8B	magicoder	layers.10.self_attn.q_proj	10	q_proj	-0.0004411957791594208	-0.0009067862859514893	5.071201041096533e-05	0.9969485347098783	0.8771764521199878	-0.00010283081604948934	2.393602000779796e-05	0.012732616062389436	-0.9662933388471739
qwen_magicoder	Qwen3-8B	magicoder	layers.10.self_attn.v_proj	10	v_proj	-0.00016029118025889162	-0.0007104564549737289	0.0003804554338337944	0.9807427716857147	0.8337361792965644	-3.451415969468105e-05	1.3052058953257813e-05	0.021115618457536678	0.4026280167274507
qwen_magicoder	Qwen3-8B	magicoder	layers.11.mlp.down_proj	11	down_proj	-8.13812261722127e-05	-0.0005346526346001469	0.00037785697361973413	0.9284541618224558	0.8296319424214327	-8.859268931142032e-06	1.8331428469269868e-05	0.01442395687504718	0.7871767985539785
qwen_magicoder	Qwen3-8B	magicoder	layers.11.mlp.gate_proj	11	gate_proj	9.422358430799891e-05	-0.00039032367592463726	0.000531641894676646	0.8756233462957155	0.7151949575396396	-1.8093705335235542e-05	1.5433685501287542e-05	0.006497027299519261	1.6429448285146424
qwen_magicoder	Qwen3-8B	magicoder	layers.11.mlp.up_proj	11	up_proj	-0.0001647289170593512	-0.0007413182407617569	0.0004191382070545285	0.9538919161131373	0.7777139010590846	-2.44368562081498e-05	2.262459688185327e-05	0.015643340121332835	0.3810017681706597
qwen_magicoder	Qwen3-8B	magicoder	layers.11.self_attn.k_proj	11	k_proj	-0.0002867239909093888	-0.000831775739789009	0.0002473720456244515	0.801428447486474	0.5566130382003636	-2.789391173278717e-06	6.994664772751194e-06	0.005507013265311739	-0.2135120365939133
qwen_magicoder	Qwen3-8B	magicoder	layers.11.self_attn.o_proj	11	o_proj	-0.00019631595885167356	-0.0006760798944313018	0.00028463992305466373	0.9761214806374747	0.7816973929760638	-5.209706873936201e-05	1.2541113647624796e-05	0.018713242385553892	0.22706987727894104
qwen_magicoder	Qwen3-8B	magicoder	layers.11.self_attn.q_proj	11	q_proj	-0.0001424928424788303	-0.0006635825867291357	0.0003818746808855257	0.9842526310719549	0.7546130997211762	1.0242454482508706e-05	1.7204502819995737e-05	0.009000521844077193	0.48936395759926354
qwen_magicoder	Qwen3-8B	magicoder	layers.11.self_attn.v_proj	11	v_proj	8.431394569209365e-05	-0.0003716291584929482	0.0005616623419718659	0.9960335002328328	0.8594368892721727	7.076965346100545e-05	1.368650971458131e-05	0.023775853134270636	1.5946525756272365
qwen_magicoder	Qwen3-8B	magicoder	layers.12.mlp.down_proj	12	down_proj	-0.0002950272354923311	-0.0007323472928561148	0.00014376723070125104	0.8716408460382792	0.7460811822176443	-3.7090002805944156e-05	1.4447961155200303e-05	0.010059213347149161	-0.25397591249568885
qwen_magicoder	Qwen3-8B	magicoder	layers.12.mlp.gate_proj	12	gate_proj	-0.0003832316056626742	-0.0008519267693894809	6.759479397633e-05	0.947570667893118	0.7241725335454354	-7.957724240306073e-05	1.4200986262373267e-05	0.006746036390294522	-0.6838188073923611
qwen_magicoder	Qwen3-8B	magicoder	layers.12.mlp.up_proj	12	up_proj	-0.00012839585542678833	-0.0006138344341125645	0.00037248928832714665	0.8975694516802996	0.6749723665486208	-6.191212733242977e-05	1.611005534921985e-05	0.010369521438193127	0.5580622512560103
qwen_magicoder	Qwen3-8B	magicoder	layers.12.self_attn.k_proj	12	k_proj	-6.110611997666906e-05	-0.0005955722518875951	0.00046725559857536405	0.9324389446669277	0.5779743442689238	-4.889095485864128e-07	3.879322060405297e-06	0.004336316043252484	0.8859826777252604
