task	module	layer	module_type	samples	baseline_nll	edited_nll	utility	utility_ci_low	utility_ci_high	fraction_examples_benefit
qwen_commonsense	layers.0.mlp.down_proj	0	down_proj	64	5.953032109886408	5.956707965582609	-0.0036758556962013245	-0.014101495407521725	0.006915319152176377	0.484375
qwen_commonsense	layers.0.mlp.gate_proj	0	gate_proj	64	5.953032109886408	5.93743110075593	0.015601009130477905	0.004906556569039822	0.026367096602916713	0.640625
qwen_commonsense	layers.0.mlp.up_proj	0	up_proj	64	5.953032109886408	5.941860962659121	0.011171147227287292	-0.0018436999991536137	0.024676211364567272	0.59375
qwen_commonsense	layers.0.self_attn.k_proj	0	k_proj	64	5.953032109886408	5.931668359786272	0.021363750100135803	0.009535646811127663	0.03304964695125818	0.671875
qwen_commonsense	layers.0.self_attn.o_proj	0	o_proj	64	5.953032109886408	5.952377174049616	0.0006549358367919922	-0.010189499333500862	0.011385328136384484	0.546875
qwen_commonsense	layers.0.self_attn.q_proj	0	q_proj	64	5.953032109886408	5.932944126427174	0.020087983459234238	0.008338586520403623	0.03172357575967907	0.625
qwen_commonsense	layers.0.self_attn.v_proj	0	v_proj	64	5.953032109886408	5.946362558752298	0.006669551134109497	-0.0032643930986523627	0.017075181193649765	0.546875
qwen_commonsense	layers.1.mlp.down_proj	1	down_proj	64	5.953032109886408	5.945007801055908	0.008024308830499649	-0.003793513774871826	0.019934014882892367	0.53125
qwen_commonsense	layers.1.mlp.gate_proj	1	gate_proj	64	5.953032109886408	5.947063360363245	0.005968749523162842	-0.004289194568991661	0.016235146112740025	0.53125
qwen_commonsense	layers.1.mlp.up_proj	1	up_proj	64	5.953032109886408	5.972241085022688	-0.01920897513628006	-0.031137628480792046	-0.007479819655418396	0.390625
qwen_commonsense	layers.1.self_attn.k_proj	1	k_proj	64	5.953032109886408	5.948577594012022	0.004454515874385834	-0.007748030871152878	0.017269341088831422	0.46875
qwen_commonsense	layers.1.self_attn.o_proj	1	o_proj	64	5.953032109886408	5.968175042420626	-0.015142932534217834	-0.026516049541532992	-0.0037785915657877925	0.390625
