task	module	layer	module_type	samples	baseline_nll	edited_nll	utility	utility_ci_low	utility_ci_high	fraction_examples_benefit
qwen_magicoder	layers.0.mlp.down_proj	0	down_proj	61	0.8585859731328292	0.8587596371281342	-0.00017366399530504572	-0.00061413224969731	0.0002772955437664121	0.47540983606557374
qwen_magicoder	layers.0.mlp.gate_proj	0	gate_proj	61	0.8585859731328292	0.8589057595026298	-0.0003197863698005676	-0.0008730670956314587	0.00020101993787484073	0.4426229508196721
qwen_magicoder	layers.0.mlp.up_proj	0	up_proj	61	0.8585859731328292	0.8587048840327342	-0.00011891089990490772	-0.0006894577508334254	0.0004533600092667048	0.45901639344262296
qwen_magicoder	layers.0.self_attn.k_proj	0	k_proj	61	0.8585859731328292	0.8586884164175049	-0.00010244328467572322	-0.0005872102606980527	0.00035483640481214044	0.5409836065573771
qwen_magicoder	layers.0.self_attn.o_proj	0	o_proj	61	0.8585859731328292	0.8586146371042143	-2.8663971385017772e-05	-0.0005491375190312744	0.0005141730679840338	0.45901639344262296
qwen_magicoder	layers.0.self_attn.q_proj	0	q_proj	61	0.8585859731328292	0.8586815557763224	-9.558264349327713e-05	-0.0006321091449162999	0.0004580154831780761	0.5409836065573771
qwen_magicoder	layers.0.self_attn.v_proj	0	v_proj	61	0.8585859731328292	0.858738902162333	-0.0001529290295038067	-0.0006051881696845664	0.000269929423439698	0.5573770491803278
qwen_magicoder	layers.1.mlp.down_proj	1	down_proj	61	0.8585859731328292	0.8587017806827045	-0.00011580754987529067	-0.000561681218811723	0.0003616576922721549	0.4426229508196721
qwen_magicoder	layers.1.mlp.gate_proj	1	gate_proj	61	0.8585859731328292	0.8587487787008286	-0.00016280556799935512	-0.0006518469665382729	0.00032815517338572874	0.4918032786885246
qwen_magicoder	layers.1.mlp.up_proj	1	up_proj	61	0.8585859731328292	0.8589849073867328	-0.00039893425390368604	-0.0008842123672366142	8.781181007135056e-05	0.45901639344262296
qwen_magicoder	layers.1.self_attn.k_proj	1	k_proj	61	0.8585859731328292	0.8588741271466506	-0.0002881540138213361	-0.0008419726532502253	0.00025693231308069367	0.45901639344262296
qwen_magicoder	layers.1.self_attn.o_proj	1	o_proj	61	0.8585859731328292	0.8585937435998291	-7.77046699992946e-06	-0.000534244422174868	0.0005440487724835754	0.5081967213114754
qwen_magicoder	layers.1.self_attn.q_proj	1	q_proj	61	0.8585859731328292	0.8588546789327606	-0.0002687057999313855	-0.0007315338757194457	0.00020116720898229567	0.45901639344262296
qwen_magicoder	layers.1.self_attn.v_proj	1	v_proj	61	0.8585859731328292	0.8586311737289194	-4.5200596090222966e-05	-0.0004866884441160765	0.00038955322787409904	0.5409836065573771
qwen_magicoder	layers.10.mlp.down_proj	10	down_proj	61	0.8585859731328292	0.858784208776521	-0.00019823564369170392	-0.000715138888383498	0.00029567916129456166	0.4262295081967213
qwen_magicoder	layers.10.mlp.gate_proj	10	gate_proj	61	0.8585859731328292	0.8589117180128567	-0.00032574488002745834	-0.0008543868045337864	0.00020035050320820678	0.4098360655737705
qwen_magicoder	layers.10.mlp.up_proj	10	up_proj	61	0.8585859731328292	0.8587393306317876	-0.00015335749895846256	-0.0006309448939854982	0.0002936046662144973	0.5573770491803278
qwen_magicoder	layers.10.self_attn.k_proj	10	k_proj	61	0.8585859731328292	0.8591648128921868	-0.00057883975935764	-0.0011223132554136338	-2.4042486167345075e-05	0.39344262295081966
qwen_magicoder	layers.10.self_attn.o_proj	10	o_proj	61	0.8585859731328292	0.8587124044777917	-0.0001264313449625109	-0.0006182425884438342	0.0003433931832675074	0.47540983606557374
qwen_magicoder	layers.10.self_attn.q_proj	10	q_proj	61	0.8585859731328292	0.8590271689119886	-0.0004411957791594208	-0.0009067862859514893	5.071201041096533e-05	0.4098360655737705
qwen_magicoder	layers.10.self_attn.v_proj	10	v_proj	61	0.8585859731328292	0.8587462643130881	-0.00016029118025889162	-0.0007104564549737289	0.0003804554338337944	0.47540983606557374
qwen_magicoder	layers.11.mlp.down_proj	11	down_proj	61	0.8585859731328292	0.8586673543590014	-8.13812261722127e-05	-0.0005346526346001469	0.00037785697361973413	0.45901639344262296
qwen_magicoder	layers.11.mlp.gate_proj	11	gate_proj	61	0.8585859731328292	0.8584917495485211	9.422358430799891e-05	-0.00039032367592463726	0.000531641894676646	0.5573770491803278
qwen_magicoder	layers.11.mlp.up_proj	11	up_proj	61	0.8585859731328292	0.8587507020498886	-0.0001647289170593512	-0.0007413182407617569	0.0004191382070545285	0.47540983606557374
qwen_magicoder	layers.11.self_attn.k_proj	11	k_proj	61	0.8585859731328292	0.8588726971237386	-0.0002867239909093888	-0.000831775739789009	0.0002473720456244515	0.4426229508196721
qwen_magicoder	layers.11.self_attn.o_proj	11	o_proj	61	0.8585859731328292	0.8587822890916809	-0.00019631595885167356	-0.0006760798944313018	0.00028463992305466373	0.4098360655737705
qwen_magicoder	layers.11.self_attn.q_proj	11	q_proj	61	0.8585859731328292	0.858728465975308	-0.0001424928424788303	-0.0006635825867291357	0.0003818746808855257	0.4262295081967213
qwen_magicoder	layers.11.self_attn.v_proj	11	v_proj	61	0.8585859731328292	0.8585016591871371	8.431394569209365e-05	-0.0003716291584929482	0.0005616623419718659	0.5081967213114754
