case	feature	spearman_rho	permutation_p	modules
qwen_magicoder	functional_concentration	-0.1769162761714295	0.0046995300469953	252
qwen_magicoder	raw_concentration	-0.2296719390085058	0.00019998000199980003	252
qwen_magicoder	gradient_compatibility	0.19583026823629635	0.0018998100189981002	252
qwen_magicoder	p99_contribution	-0.1737053292570355	0.006099390060993901	252
qwen_commonsense	functional_concentration	0.058291959210026084	0.36806319368063195	252
qwen_commonsense	raw_concentration	0.001883675536888771	0.9753024697530247	252
qwen_commonsense	gradient_compatibility	0.8686751207104578	9.999000099990002e-05	252
qwen_commonsense	p99_contribution	-0.01628644465990733	0.8037196280371963	252
llama_tulu	functional_concentration	-0.21264146914371132	0.0012998700129987	224
llama_tulu	raw_concentration	-0.15733824471492636	0.0184981501849815	224
llama_tulu	gradient_compatibility	0.07291586589792867	0.28077192280771923	224
llama_tulu	p99_contribution	-0.3252316890881914	9.999000099990002e-05	224
pooled	functional_concentration	-0.06755995262796424	0.063993600639936	728
pooled	raw_concentration	-0.09476861096913061	0.010798920107989201	728
pooled	gradient_compatibility	0.2950924322619264	9.999000099990002e-05	728
pooled	p99_contribution	-0.20084459271376587	9.999000099990002e-05	728
