case	feature	standardized_ridge_coefficient
qwen_magicoder	layer	4.998468271573346e-06
qwen_magicoder	functional_concentration	1.822891001738396e-05
qwen_magicoder	gradient_compatibility	7.87338245366561e-05
qwen_magicoder	p99_contribution	-3.6360665910579056e-05
qwen_magicoder	module_type=gate_proj	-1.5081618421188023e-05
qwen_magicoder	module_type=k_proj	2.059874021173763e-05
qwen_magicoder	module_type=o_proj	3.783500758596496e-05
qwen_magicoder	module_type=q_proj	2.205048517519248e-05
qwen_magicoder	module_type=up_proj	-9.387298506793126e-06
qwen_magicoder	module_type=v_proj	1.5506286683527487e-05
qwen_commonsense	layer	0.004309730087277539
qwen_commonsense	functional_concentration	0.004383152383388338
qwen_commonsense	gradient_compatibility	0.08250849199662745
qwen_commonsense	p99_contribution	0.00496327876294461
qwen_commonsense	module_type=gate_proj	-0.0007372139820118383
qwen_commonsense	module_type=k_proj	0.002426475579957101
qwen_commonsense	module_type=o_proj	-0.002138420267764875
qwen_commonsense	module_type=q_proj	0.004955131385283366
qwen_commonsense	module_type=up_proj	-0.0008538366153474805
qwen_commonsense	module_type=v_proj	-0.00031420102471592154
llama_tulu	layer	-9.099812554225849e-05
llama_tulu	functional_concentration	3.656489924016742e-05
llama_tulu	gradient_compatibility	-1.588065611976193e-05
llama_tulu	p99_contribution	-7.341248847214258e-05
llama_tulu	module_type=gate_proj	-0.0001406956233208209
llama_tulu	module_type=k_proj	-3.2918807746519254e-05
llama_tulu	module_type=o_proj	-1.100628448649653e-05
llama_tulu	module_type=q_proj	-3.757738196335025e-05
llama_tulu	module_type=up_proj	-2.2241315989946075e-05
llama_tulu	module_type=v_proj	2.300532898614222e-05
pooled	layer	-0.11761094266577277
pooled	functional_concentration	-0.03233172981709066
pooled	gradient_compatibility	0.5796176753202101
pooled	p99_contribution	-0.12695925061789523
pooled	module_type=gate_proj	-0.12379889979544507
pooled	module_type=k_proj	0.060190007593047164
pooled	module_type=o_proj	0.04730996446440645
pooled	module_type=q_proj	0.071046340614024
pooled	module_type=up_proj	-0.024155743414975946
pooled	module_type=v_proj	0.08710275692292503
