case	model	features	in_sample_r2	random_5fold_r2	leave_layer_quartile_out_r2	modules
qwen_magicoder	structure	layer,module_type	0.11003467768812347	0.06290885072842622	-0.0001836038947631291	252
qwen_magicoder	structure_plus_F	layer,functional_concentration,module_type	0.11150038047664446	0.008751165341739364	-0.006220412059295022	252
qwen_magicoder	structure_plus_C	layer,gradient_compatibility,module_type	0.24986124655566888	0.132859925113597	-0.05060192665093721	252
qwen_magicoder	structure_plus_p99	layer,p99_contribution,module_type	0.11628376265715856	-0.0019462413279081048	0.011918826548745876	252
qwen_magicoder	full	layer,functional_concentration,gradient_compatibility,p99_contribution,module_type	0.2593024083437274	0.17028872962257846	-0.04779939106146669	252
qwen_commonsense	structure	layer,module_type	0.06268915773138417	-0.012964072400363902	-0.07136420811783961	252
qwen_commonsense	structure_plus_F	layer,functional_concentration,module_type	0.10273733878351277	0.012300994035244872	-0.11075373587749726	252
qwen_commonsense	structure_plus_C	layer,gradient_compatibility,module_type	0.9035096086834662	0.8583906128740757	0.7521289584114044	252
qwen_commonsense	structure_plus_p99	layer,p99_contribution,module_type	0.07462053061606255	-0.06586957540212546	-0.17214453178937084	252
qwen_commonsense	full	layer,functional_concentration,gradient_compatibility,p99_contribution,module_type	0.909327504543544	0.8487160045701588	0.7353048174259518	252
llama_tulu	structure	layer,module_type	0.2822304070260533	0.23645264066384708	0.22531468529992404	224
llama_tulu	structure_plus_F	layer,functional_concentration,module_type	0.28399463218180987	0.23119739661577487	0.2207868778238622	224
llama_tulu	structure_plus_C	layer,gradient_compatibility,module_type	0.2844388478583434	0.1613197194517667	0.21911157465001252	224
llama_tulu	structure_plus_p99	layer,p99_contribution,module_type	0.2879828645931122	0.21663377930648775	0.2366200777342845	224
llama_tulu	full	layer,functional_concentration,gradient_compatibility,p99_contribution,module_type	0.295013045012	0.2012255857217995	0.2363851734038357	224
pooled	structure	layer,module_type	0.048137229755673694	0.023167247388330203	-0.015769606547338944	728
pooled	structure_plus_F	layer,functional_concentration,module_type	0.04814140976271286	0.026028407021956856	-0.02223325101187812	728
pooled	structure_plus_C	layer,gradient_compatibility,module_type	0.37669282713604924	0.3435955805287003	0.29193277302578	728
pooled	structure_plus_p99	layer,p99_contribution,module_type	0.06053230969597301	0.028642390253523442	0.002562211279236948	728
pooled	full	layer,functional_concentration,gradient_compatibility,p99_contribution,module_type	0.3900728948730037	0.35261049648562204	0.30118891503530676	728
