base	train_task	contrast	target_delta	off_task_macro_delta	ci_low	ci_high	p_value	holm_p	delta_magicoder	delta_metamath	delta_tulu	delta_commonsense
Qwen3-8B	magicoder	original_hns_vs_lora	0.08536585365853655	0.03198841329499188	0.019757218412623272	0.044153193708013745	0.0	0.0	nan	0.047005307050796086	0.049907578558225585	-0.0009476457240460423
Qwen3-8B	magicoder	common_hns_vs_lora	0.09146341463414631	0.03768239280971789	0.024758738344627503	0.05076501404757003	0.0	0.0	nan	0.05382865807429871	0.060998151571164505	-0.0017796312163095296
Qwen3-8B	magicoder	common_hns_vs_per_module	0.018292682926829285	0.013270029430471841	0.0018776745219674404	0.02447223212837548	0.02	0.08	nan	0.038665655799848375	0.007393715341959317	-0.006249282850392168
Qwen3-8B	metamath	original_hns_vs_lora	0.04018195602729335	0.03436078203734283	0.010974644520668495	0.05757826603772145	0.0031	0.0076	0.03658536585365857	nan	0.05175600739371533	0.014740972864654589
Qwen3-8B	metamath	common_hns_vs_lora	0.037149355572403286	0.03524354487373386	0.012554622652217639	0.0581623319297378	0.0028	0.0084	0.04268292682926833	nan	0.04805914972273573	0.014988558069197522
Qwen3-8B	metamath	common_hns_vs_per_module	0.03335860500379073	0.01646899291161774	-0.003723969413231298	0.03653216527103706	0.107	0.321	0.018292682926829285	nan	0.025878003696857665	0.005236292111166274
Qwen3-8B	tulu	original_hns_vs_lora	0.03512014787430684	-0.011275167702546588	-0.03152956581199584	0.008752679668357745	0.2762	0.2762	-0.030487804878048808	-0.005307050796057533	nan	0.0019693525664665756
Qwen3-8B	tulu	common_hns_vs_lora	0.007393715341959317	-0.004271886711852672	-0.022941736040010197	0.01451227016706542	0.646	0.646	-0.018292682926829285	0.0037907505686125553	nan	0.0016862722226587135
Qwen3-8B	tulu	common_hns_vs_per_module	0.00554528650646946	0.003394371770600794	-0.016930306663173605	0.02340221670983378	0.7407	1.0	0.0060975609756097615	0.0022744503411675776	nan	0.001811103995025043
Qwen3-8B	commonsense	original_hns_vs_lora	-0.004056204958095555	0.031504271545779575	0.011742129451497198	0.05090940593493118	0.0019	0.0076	-0.04268292682926829	0.061410159211523874	0.07578558225508314	nan
Qwen3-8B	commonsense	common_hns_vs_lora	-0.004669294201433805	0.039303497449482215	0.019199681439206192	0.05904513386927139	0.0004	0.0016	-0.03658536585365854	0.058377558756633835	0.09611829944547134	nan
Qwen3-8B	commonsense	common_hns_vs_per_module	-0.00645689334708166	-0.17356826177153006	-0.18962291025496725	-0.1575712728669681	0.0	0.0	0.0	-0.5299469294920394	0.009242144177449174	nan
Llama-3.1-8B-Instruct	magicoder	original_hns_vs_lora	0.0060975609756097615	0.038306857261199166	0.02447002782920086	0.05233974599761563	0.0	0.0	nan	0.06065200909780133	0.0406654343807763	0.013603128305019863
Llama-3.1-8B-Instruct	magicoder	common_hns_vs_lora	-0.012195121951219523	0.03826959254155423	0.02445730018906053	0.05239529292772915	0.0	0.0	nan	0.0720242608036391	0.02957486136783738	0.013209655453186198
Llama-3.1-8B-Instruct	magicoder	common_hns_vs_per_module	-0.030487804878048808	0.019223413659634796	0.007528180683706513	0.03094690484732398	0.0013	0.0065	nan	0.006823351023502622	0.044362292051756014	0.00648459790364575
Llama-3.1-8B-Instruct	metamath	original_hns_vs_lora	0.03335860500379073	0.04995611705218698	0.029063731334086164	0.07143863678155152	0.0	0.0	0.060975609756097504	nan	0.04251386321626616	0.04637887818419728
Llama-3.1-8B-Instruct	metamath	common_hns_vs_lora	0.03335860500379073	0.048885294453269425	0.02886753585006536	0.0694072750560301	0.0	0.0	0.06707317073170727	nan	0.03327171903881698	0.04631099358928403
Llama-3.1-8B-Instruct	metamath	common_hns_vs_per_module	0.03184230477634575	0.04201076920551453	0.023058690014526644	0.061980958921897616	0.0	0.0	0.07317073170731703	nan	0.020332717190388205	0.03252885871883837
Llama-3.1-8B-Instruct	tulu	original_hns_vs_lora	0.011090573012939031	0.025620444638285795	0.00937925924663468	0.04198404318299418	0.0023	0.0076	-0.0060975609756097615	0.09249431387414708	nan	-0.009535418983679933
Llama-3.1-8B-Instruct	tulu	common_hns_vs_lora	0.02402957486136781	0.020979189442745832	0.006037043891057773	0.03579321602219564	0.0052	0.0104	0.0	0.06974981046247153	nan	-0.006812242134234037
Llama-3.1-8B-Instruct	tulu	common_hns_vs_per_module	0.0	0.0037503358839786984	-0.00907243865257143	0.01623564632618024	0.5508	1.0	-0.0060975609756097615	0.019711902956785377	nan	-0.0023633343292395192
Llama-3.1-8B-Instruct	commonsense	original_hns_vs_lora	-0.003733586491741825	0.1455495860287095	0.11911072850030666	0.17315312543604625	0.0	0.0	0.22560975609756098	0.0576194086429113	0.1534195933456562	nan
Llama-3.1-8B-Instruct	commonsense	common_hns_vs_lora	-0.003178445944629793	0.15036802005400077	0.12246947411272778	0.17782397458923904	0.0	0.0	0.22560975609756098	0.05913570887035633	0.16635859519408502	nan
Llama-3.1-8B-Instruct	commonsense	common_hns_vs_per_module	-0.00714765155925845	0.05259365486130677	0.031251160986078004	0.07422016307365398	0.0	0.0	0.012195121951219523	0.05686125852918878	0.08872458410351203	nan
