base	train_task	eval_task	base_score	lora_score	hns_score	samples	recovered_forgetting	persistent_forgetting	hns_new_harm	preserved_base_success	preserved_positive_transfer	lost_positive_transfer	hns_novel_gain	persistent_failure	forgetting_opportunities	recovery_rate	base_success_harm_rate	positive_transfer_opportunities	positive_transfer_preservation_rate	net_hns_minus_lora
Qwen3-8B	magicoder	metamath	0.8567096285064443	0.8415466262319939	0.88855193328279	1319	82	18	18	1012	54	26	24	85	100	0.82	0.017475728155339806	80	0.675	0.04700530705079606
Qwen3-8B	magicoder	tulu	0.7060998151571165	0.6635859519408502	0.7134935304990758	541	43	10	11	318	15	15	10	119	53	0.8113207547169812	0.03343465045592705	30	0.5	0.04990757855822551
Qwen3-8B	magicoder	commonsense	0.8409830946964628	0.8454435969490165	0.8470047727374103	22419	407	84	30	18333	184	407	65	2909	491	0.8289205702647657	0.0016337199803953602	591	0.311336717428088	0.0015611757883937732
Qwen3-8B	metamath	magicoder	0.6646341463414634	0.6402439024390244	0.676829268292683	164	13	14	1	81	14	9	3	29	27	0.48148148148148145	0.012195121951219513	23	0.6086956521739131	0.036585365853658534
Qwen3-8B	metamath	tulu	0.7060998151571165	0.6765249537892791	0.7282809611829945	541	44	6	13	319	20	14	11	114	50	0.88	0.0391566265060241	34	0.5882352941176471	0.051756007393715345
Qwen3-8B	metamath	commonsense	0.8409830946964628	0.8397787590882734	0.85280342566573	22419	625	291	74	17864	488	401	142	2534	916	0.6823144104803494	0.004125320548556138	889	0.5489313835770528	0.013024666577456621
Qwen3-8B	tulu	magicoder	0.6646341463414634	0.8536585365853658	0.823170731707317	164	8	3	4	94	31	11	2	11	11	0.7272727272727273	0.04081632653061224	42	0.7380952380952381	-0.03048780487804878
Qwen3-8B	tulu	metamath	0.8567096285064443	0.8908263836239575	0.8855193328279	1319	17	22	23	1068	71	13	12	93	39	0.4358974358974359	0.021081576535288724	84	0.8452380952380952	-0.00530705079605762
Qwen3-8B	tulu	commonsense	0.8409830946964628	0.8472277978500379	0.851063829787234	22419	331	348	47	18128	538	281	83	2663	679	0.48748159057437407	0.0025859697386519946	819	0.6568986568986569	0.003836031937196128
Qwen3-8B	commonsense	magicoder	0.6646341463414634	0.09146341463414634	0.04878048780487805	164	3	95	8	3	1	3	1	50	98	0.030612244897959183	0.7272727272727273	4	0.25	-0.042682926829268296
Qwen3-8B	commonsense	metamath	0.8567096285064443	0.19711902956785443	0.2585291887793783	1319	125	760	44	201	8	7	7	167	885	0.14124293785310735	0.17959183673469387	15	0.5333333333333333	0.06141015921152388
Qwen3-8B	commonsense	tulu	0.7060998151571165	0.5804066543438078	0.6561922365988909	541	47	51	11	273	25	5	10	119	98	0.47959183673469385	0.03873239436619718	30	0.8333333333333334	0.07578558225508318
Llama-3.1-8B-Instruct	magicoder	metamath	0.6239575435936315	0.5640636846095527	0.624715693707354	1319	140	55	36	592	44	72	48	332	195	0.717948717948718	0.05732484076433121	116	0.3793103448275862	0.060652009097801364
Llama-3.1-8B-Instruct	magicoder	tulu	0.6210720887245841	0.5545286506469501	0.5951940850277264	541	45	24	11	256	13	20	8	164	69	0.6521739130434783	0.04119850187265917	33	0.3939393939393939	0.04066543438077634
Llama-3.1-8B-Instruct	magicoder	commonsense	0.6726883447076141	0.6262545162585307	0.649895178197065	22419	905	810	56	13310	323	351	32	6632	1715	0.5276967930029155	0.004189735148885231	674	0.4792284866468843	0.02364066193853428
Llama-3.1-8B-Instruct	metamath	magicoder	0.524390243902439	0.5426829268292683	0.6036585365853658	164	9	12	0	65	19	5	6	48	21	0.42857142857142855	0.0	24	0.7916666666666666	0.06097560975609756
Llama-3.1-8B-Instruct	metamath	tulu	0.6210720887245841	0.5434380776340111	0.5859519408502772	541	47	30	18	241	18	17	11	159	77	0.6103896103896104	0.0694980694980695	35	0.5142857142857142	0.04251386321626617
Llama-3.1-8B-Instruct	metamath	commonsense	0.6726883447076141	0.597172041571881	0.6434720549533878	22419	1344	1344	232	12161	658	337	263	6080	2688	0.5	0.018720245299765997	995	0.6613065326633166	0.04630001338150676
Llama-3.1-8B-Instruct	tulu	magicoder	0.524390243902439	0.6341463414634146	0.6280487804878049	164	3	4	3	76	21	4	3	50	7	0.42857142857142855	0.0379746835443038	25	0.84	-0.006097560975609756
Llama-3.1-8B-Instruct	tulu	metamath	0.6239575435936315	0.5678544351781653	0.6603487490523123	1319	141	54	39	589	79	42	62	313	195	0.7230769230769231	0.06210191082802548	121	0.6528925619834711	0.09249431387414708
Llama-3.1-8B-Instruct	tulu	commonsense	0.6726883447076141	0.6549801507649762	0.6453900709219859	22419	398	1383	206	13094	933	451	44	5910	1781	0.22346996069623806	0.015488721804511277	1384	0.6741329479768786	-0.009590079842990321
Llama-3.1-8B-Instruct	commonsense	magicoder	0.524390243902439	0.23170731707317074	0.4573170731707317	164	29	27	0	30	5	3	11	59	56	0.5178571428571429	0.0	8	0.625	0.22560975609756098
Llama-3.1-8B-Instruct	commonsense	metamath	0.6239575435936315	0.0	0.0576194086429113	1319	53	770	0	0	0	0	23	473	823	0.06439854191980558		0		0.0576194086429113
Llama-3.1-8B-Instruct	commonsense	tulu	0.6210720887245841	0.32532347504621073	0.4787430683918669	541	92	108	14	122	28	12	17	148	200	0.46	0.10294117647058823	40	0.7	0.1534195933456562
