base	train_task	eval_task	subtask	samples	recovered_forgetting	persistent_forgetting	hns_new_harm	preserved_base_success	preserved_positive_transfer	lost_positive_transfer	hns_novel_gain	persistent_failure	forgetting_opportunities	recovery_rate	base_success_harm_rate	positive_transfer_opportunities	positive_transfer_preservation_rate	net_hns_minus_lora
Qwen3-8B	magicoder	metamath	all	1319	82	18	18	1012	54	26	24	85	100	0.82	0.017475728155339806	80	0.675	0.04700530705079606
Qwen3-8B	magicoder	tulu	all	541	43	10	11	318	15	15	10	119	53	0.8113207547169812	0.03343465045592705	30	0.5	0.04990757855822551
Qwen3-8B	magicoder	commonsense	arc_challenge	1172	11	5	2	995	24	39	5	91	16	0.6875	0.0020060180541624875	63	0.38095238095238093	-0.021331058020477817
Qwen3-8B	magicoder	commonsense	arc_easy	2376	5	3	1	2240	30	30	0	67	8	0.625	0.0004462293618920125	60	0.5	-0.010942760942760943
Qwen3-8B	magicoder	commonsense	boolq	3270	33	3	4	2806	15	38	4	367	36	0.9166666666666666	0.0014234875444839859	53	0.2830188679245283	-0.0015290519877675841
Qwen3-8B	magicoder	commonsense	hellaswag	10042	211	40	18	8173	65	181	38	1316	251	0.8406374501992032	0.0021975338786472958	246	0.26422764227642276	0.004979087831109341
Qwen3-8B	magicoder	commonsense	openbookqa	500	4	2	0	406	10	9	2	67	6	0.6666666666666666	0.0	19	0.5263157894736842	-0.006
Qwen3-8B	magicoder	commonsense	piqa	1838	60	9	0	1535	19	35	1	179	69	0.8695652173913043	0.0	54	0.35185185185185186	0.014145810663764961
Qwen3-8B	magicoder	commonsense	siqa	1954	45	12	2	1413	8	44	5	425	57	0.7894736842105263	0.0014134275618374558	52	0.15384615384615385	0.0020470829068577278
Qwen3-8B	magicoder	commonsense	winogrande	1267	38	10	3	765	13	31	10	397	48	0.7916666666666666	0.00390625	44	0.29545454545454547	0.011049723756906077
Qwen3-8B	metamath	magicoder	all	164	13	14	1	81	14	9	3	29	27	0.48148148148148145	0.012195121951219513	23	0.6086956521739131	0.036585365853658534
Qwen3-8B	metamath	tulu	all	541	44	6	13	319	20	14	11	114	50	0.88	0.0391566265060241	34	0.5882352941176471	0.051756007393715345
Qwen3-8B	metamath	commonsense	arc_challenge	1172	26	6	0	981	40	12	23	84	32	0.8125	0.0	52	0.7692307692307693	0.031569965870307165
Qwen3-8B	metamath	commonsense	arc_easy	2376	27	4	2	2216	48	18	5	56	31	0.8709677419354839	0.0009017132551848512	66	0.7272727272727273	0.005050505050505051
Qwen3-8B	metamath	commonsense	boolq	3270	37	17	6	2786	47	57	10	310	54	0.6851851851851852	0.002148997134670487	104	0.4519230769230769	-0.004892966360856269
Qwen3-8B	metamath	commonsense	hellaswag	10042	320	149	37	7936	190	181	61	1168	469	0.6823027718550106	0.004640662235043271	371	0.5121293800539084	0.01623182632941645
Qwen3-8B	metamath	commonsense	openbookqa	500	12	4	1	395	16	9	6	57	16	0.75	0.0025252525252525255	25	0.64	0.016
Qwen3-8B	metamath	commonsense	piqa	1838	65	32	5	1502	32	31	7	164	97	0.6701030927835051	0.0033178500331785005	63	0.5079365079365079	0.01958650707290533
Qwen3-8B	metamath	commonsense	siqa	1954	78	28	10	1356	31	57	13	381	106	0.7358490566037735	0.007320644216691069	88	0.3522727272727273	0.012282497441146366
Qwen3-8B	metamath	commonsense	winogrande	1267	60	51	13	692	84	36	17	314	111	0.5405405405405406	0.018439716312056736	120	0.7	0.022099447513812154
Qwen3-8B	tulu	magicoder	all	164	8	3	4	94	31	11	2	11	11	0.7272727272727273	0.04081632653061224	42	0.7380952380952381	-0.03048780487804878
Qwen3-8B	tulu	metamath	all	1319	17	22	23	1068	71	13	12	93	39	0.4358974358974359	0.021081576535288724	84	0.8452380952380952	-0.00530705079605762
Qwen3-8B	tulu	commonsense	arc_challenge	1172	9	10	5	989	51	4	9	95	19	0.47368421052631576	0.005030181086519115	55	0.9272727272727272	0.007679180887372013
Qwen3-8B	tulu	commonsense	arc_easy	2376	4	7	1	2237	55	9	5	58	11	0.36363636363636365	0.00044682752457551384	64	0.859375	-0.00042087542087542086
Qwen3-8B	tulu	commonsense	boolq	3270	27	19	6	2794	25	32	5	362	46	0.5869565217391305	0.002142857142857143	57	0.43859649122807015	-0.001834862385321101
