base	task	seed	method	epsilon	path	threshold	requested_energy_ratio	actual_energy_ratio	retained_components	total_components	zero_rank_modules	module_count	parameters_before	parameters_after	parameter_retention_ratio	max_unpruned_reconstruction_relative_error	max_saved_factor_relative_error
Qwen3-8B	magicoder	42	para_e90	0.9	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/para/adapters/Qwen3-8B/magicoder/seed42/para_e90	0.1292780488729477	0.9	0.9001066322993125	280	4032	44	252	43646976	3616768	0.08286411411411411	9.42004419357545e-07	1.374818562612835e-08
Qwen3-8B	magicoder	42	para_e95	0.95	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/para/adapters/Qwen3-8B/magicoder/seed42/para_e95	0.06458380073308945	0.95	0.9500172757242329	734	4032	6	252	43646976	9862144	0.225952515015015	9.42004419357545e-07	1.9311115984752193e-08
Qwen3-8B	magicoder	42	para_e99	0.99	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/para/adapters/Qwen3-8B/magicoder/seed42/para_e99	0.030026638880372047	0.99	0.9900021668265931	2075	4032	0	252	43646976	26724352	0.6122841591591591	9.42004419357545e-07	1.809395473681071e-08
Qwen3-8B	metamath	42	para_e90	0.9	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/para/adapters/Qwen3-8B/metamath/seed42/para_e90	0.44040215015411377	0.9	0.9001184844632713	638	4032	11	252	43646976	8244224	0.1888841966966967	8.359745152120013e-06	2.0956706053213266e-08
Qwen3-8B	metamath	42	para_e95	0.95	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/para/adapters/Qwen3-8B/metamath/seed42/para_e95	0.2848460376262665	0.95	0.9500311627433153	1187	4032	0	252	43646976	15252480	0.3494510135135135	8.359745152120013e-06	2.062658411394079e-08
Qwen3-8B	metamath	42	para_e99	0.99	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/para/adapters/Qwen3-8B/metamath/seed42/para_e99	0.14653953909873962	0.99	0.9900077481133717	2424	4032	0	252	43646976	30084096	0.6892595720720721	8.359745152120013e-06	1.962293338136416e-08
Qwen3-8B	tulu	42	para_e90	0.9	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/para/adapters/Qwen3-8B/tulu/seed42/para_e90	0.5383243560791016	0.9	0.9000437389643114	1178	4032	0	252	43646976	16294912	0.37333427177177175	6.909067451488227e-06	1.9884083785095673e-08
Qwen3-8B	tulu	42	para_e95	0.95	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/para/adapters/Qwen3-8B/tulu/seed42/para_e95	0.3980596661567688	0.95	0.9500529203172794	1721	4032	0	252	43646976	23326720	0.5344406906906907	6.909067451488227e-06	1.9840127155674642e-08
Qwen3-8B	tulu	42	para_e99	0.99	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/para/adapters/Qwen3-8B/tulu/seed42/para_e99	0.21340328454971313	0.99	0.9900174210437303	2750	4032	0	252	43646976	34416640	0.7885228978978979	6.909067451488227e-06	1.9402605213046797e-08
Qwen3-8B	magicoder	43	para_e90	0.9	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/para/adapters/Qwen3-8B/magicoder/seed43/para_e90	0.06873703002929688	0.9	0.9000082408698982	599	4032	14	252	43646976	7895040	0.180884009009009	5.425430572358891e-06	1.9175993374345506e-08
