group	method	n	target	off_score	forgetting_gap
overall	base	18	66.4729912026992	69.99311686456403	0.0
overall	original_lora	18	67.99797931455494	69.55120898067872	2.7081660112714134
overall	hns_f4_s1	18	72.08343957191462	72.79151252738858	0.3440958896830034
overall	para_e90	18	68.7777624783587	70.01262099321123	2.3706421445586336
overall	para_e95	18	68.58232991684034	69.63571959392185	2.6954382949274827
overall	para_e99	18	68.44207376935921	69.77756338772215	2.563722945196388
model/Qwen3-8B	base	9	73.96531986470991	76.86855802380079	0.0
model/Qwen3-8B	original_lora	9	71.75198545234693	77.27379523689342	2.2045652076565645
model/Qwen3-8B	hns_f4_s1	9	77.8232382441681	80.48935442810138	0.0
model/Qwen3-8B	para_e90	9	72.42413144920597	77.38820169754075	2.1014599658813906
model/Qwen3-8B	para_e95	9	72.46186985804839	77.1747098072514	2.3212955154378974
model/Qwen3-8B	para_e99	9	72.31665791977402	77.32890015569134	2.184149303553999
model/Llama-3.1-8B-Instruct	base	9	58.980662540688485	63.11767570532729	0.0
model/Llama-3.1-8B-Instruct	original_lora	9	64.24397317676298	61.82862272446401	3.2117668148862615
model/Llama-3.1-8B-Instruct	hns_f4_s1	9	66.34364089966114	65.09367062667579	0.6881917793660068
model/Llama-3.1-8B-Instruct	para_e90	9	65.1313935075114	62.63704028888167	2.6398243232358762
model/Llama-3.1-8B-Instruct	para_e95	9	64.70278997563224	62.096729380592315	3.0695810744170675
model/Llama-3.1-8B-Instruct	para_e99	9	64.56748961894442	62.22622661975294	2.943296586838778
task/magicoder	base	6	59.45121951219512	72.3337074280654	0.0
task/magicoder	original_lora	6	59.34959349593496	69.61759071891336	3.131166310707629
task/magicoder	hns_f4_s1	6	64.63414634146342	73.5310950105009	0.6445266586049793
task/magicoder	para_e90	6	60.0609756097561	69.89551926670055	2.9592661068010773
task/magicoder	para_e95	6	59.85772357723577	69.65158504670431	3.132090948763785
task/magicoder	para_e99	6	59.75609756097561	69.48937047848271	3.3334544405592648
task/metamath	base	6	74.0712661106899	67.46035856190046	0.0
task/metamath	original_lora	6	79.79529946929493	63.37449861742551	4.5068662511399245
task/metamath	hns_f4_s1	6	83.4091483447056	68.99312375019319	0.33303189468395983
task/metamath	para_e90	6	80.09855951478391	63.9189852325458	4.152660326874822
task/metamath	para_e95	6	79.80793530452362	63.583474164377144	4.406864506047637
task/metamath	para_e99	6	79.85847864543847	63.62756076705741	4.299878450381402
task/tulu	base	6	65.89648798521256	70.18528460372626	0.0
task/tulu	original_lora	6	64.849044978435	75.66153760569726	0.4864654719666856
task/tulu	hns_f4_s1	6	68.20702402957487	75.85031882147166	0.05472911576007138
task/tulu	para_e90	6	66.17375231053603	76.22335848038732	0.0
task/tulu	para_e95	6	66.08133086876157	75.6720995706841	0.5473594299710255
task/tulu	para_e99	6	65.71164510166359	76.2157589176263	0.05783594464849845
model_task/Qwen3-8B/magicoder	base	3	66.46341463414635	79.36919310065531	0.0
model_task/Qwen3-8B/magicoder	original_lora	3	64.22764227642277	78.03676603360815	1.6655167511624869
model_task/Qwen3-8B/magicoder	hns_f4_s1	3	74.59349593495934	81.26057961818536	0.0
model_task/Qwen3-8B/magicoder	para_e90	3	63.41463414634146	78.01475162090895	1.6992123117723785
model_task/Qwen3-8B/magicoder	para_e95	3	64.83739837398373	77.62559821160984	2.077321969022814
model_task/Qwen3-8B/magicoder	para_e99	3	65.2439024390244	77.66149951377135	2.045712917249214
model_task/Qwen3-8B/metamath	base	3	85.74677786201669	72.94140535803187	0.0
model_task/Qwen3-8B/metamath	original_lora	3	84.05357594136973	68.15773232448684	4.948178871807206
model_task/Qwen3-8B/metamath	hns_f4_s1	3	87.46525145312104	75.2767121929747	0.0
model_task/Qwen3-8B/metamath	para_e90	3	84.35683598685873	68.67805295961232	4.605167585871793
model_task/Qwen3-8B/metamath	para_e95	3	83.7250442254233	68.23404219020152	4.886564577290877
model_task/Qwen3-8B/metamath	para_e99	3	84.05357594136973	68.62357422312122	4.506734993412783
model_task/Qwen3-8B/tulu	base	3	69.68576709796673	78.29507561271518	0.0
model_task/Qwen3-8B/tulu	original_lora	3	66.97473813924832	85.62688735258526	0.0
model_task/Qwen3-8B/tulu	hns_f4_s1	3	71.41096734442391	84.93077147314409	0.0
model_task/Qwen3-8B/tulu	para_e90	3	69.50092421441774	85.47180051210101	0.0
model_task/Qwen3-8B/tulu	para_e95	3	68.82316697473816	85.66448901994282	0.0
model_task/Qwen3-8B/tulu	para_e99	3	67.65249537892791	85.70162673018145	0.0
model_task/Llama-3.1-8B-Instruct/magicoder	base	3	52.4390243902439	65.29822175547548	0.0
model_task/Llama-3.1-8B-Instruct/magicoder	original_lora	3	54.47154471544716	61.198415404218586	4.5968158702527715
model_task/Llama-3.1-8B-Instruct/magicoder	hns_f4_s1	3	54.674796747967484	65.80161040281645	1.2890533172099585
model_task/Llama-3.1-8B-Instruct/magicoder	para_e90	3	56.707317073170735	61.77628691249212	4.219319901829777
model_task/Llama-3.1-8B-Instruct/magicoder	para_e95	3	54.87804878048781	61.67757188179879	4.186859928504756
model_task/Llama-3.1-8B-Instruct/magicoder	para_e99	3	54.268292682926834	61.317241443194085	4.621195963869315
model_task/Llama-3.1-8B-Instruct/metamath	base	3	62.39575435936316	61.97931176576907	0.0
model_task/Llama-3.1-8B-Instruct/metamath	original_lora	3	75.53702299722012	58.59126491036418	4.0655536304726425
model_task/Llama-3.1-8B-Instruct/metamath	hns_f4_s1	3	79.35304523629011	62.70953530741166	0.6660637893679197
model_task/Llama-3.1-8B-Instruct/metamath	para_e90	3	75.84028304270912	59.15991750547929	3.7001530678778525
model_task/Llama-3.1-8B-Instruct/metamath	para_e95	3	75.89082638362396	58.932906138552745	3.927164434804396
model_task/Llama-3.1-8B-Instruct/metamath	para_e99	3	75.66338134950719	58.63154731099359	4.093021907350021
model_task/Llama-3.1-8B-Instruct/tulu	base	3	62.10720887245841	62.07549359473732	0.0
model_task/Llama-3.1-8B-Instruct/tulu	original_lora	3	62.72335181762168	65.69618785880925	0.9729309439333712
model_task/Llama-3.1-8B-Instruct/tulu	hns_f4_s1	3	65.00308071472581	66.76986616979923	0.10945823152014277
model_task/Llama-3.1-8B-Instruct/tulu	para_e90	3	62.84658040665434	66.97491644867361	0.0
model_task/Llama-3.1-8B-Instruct/tulu	para_e95	3	63.339494762784966	65.67971012142539	1.094718859942051
model_task/Llama-3.1-8B-Instruct/tulu	para_e99	3	63.77079482439925	66.72989110507116	0.1156718892969969
