base	task	seed	method	epsilon	module	input_dim	output_dim	source_rank	retained_rank	zero_rank	scaling_before	scaling_after	parameters_before	parameters_after	parameter_ratio	energy_before	energy_after	saved_factor_relative_error	sigma_before	sigma_retained
Qwen3-8B	magicoder	42	para_e90	0.9	base_model.model.model.layers.0.mlp.down_proj	12288	4096	16	1	False	2.0	2.0	262144	16384	0.0625	0.189118108949067	0.16048440825644494	0.0	[0.20030252635478973,0.06215420365333557,0.028195595368742943,0.025632988661527634,0.016814615577459335,0.015614730305969715,0.014270714484155178,0.013339473865926266,0.012797506526112556,0.011958636343479156,0.011531475931406021,0.01104565430432558,0.010639259591698647,0.009932061657309532,0.009131897240877151,0.008837118744850159]	[0.20030252635478973]
Qwen3-8B	magicoder	42	para_e90	0.9	base_model.model.model.layers.0.mlp.gate_proj	4096	12288	16	2	False	2.0	2.0	262144	32768	0.125	0.10718592758721329	0.05624013615924861	0.0	[0.09915051609277725,0.06503237038850784,0.04832945019006729,0.04228884354233742,0.03371184319257736,0.03107456862926483,0.029109612107276917,0.028370212763547897,0.027847692370414734,0.02607625164091587,0.025425534695386887,0.02512373775243759,0.024412957951426506,0.02338564023375511,0.02296261675655842,0.02132423035800457]	[0.09915051609277725,0.06503237038850784]
Qwen3-8B	magicoder	42	para_e90	0.9	base_model.model.model.layers.0.mlp.up_proj	4096	12288	16	2	False	2.0	2.0	262144	32768	0.125	0.1291434769983897	0.06959212725082531	0.0	[0.10996758192777634,0.07283654808998108,0.05365961790084839,0.04154849797487259,0.03874881565570831,0.03442026674747467,0.03228430822491646,0.03167250007390976,0.030783722177147865,0.029098790138959885,0.02836744301021099,0.026221219450235367,0.025242071598768234,0.024323362857103348,0.023123152554035187,0.022370655089616776]	[0.10996758192777634,0.07283654808998108]
Qwen3-8B	magicoder	42	para_e90	0.9	base_model.model.model.layers.0.self_attn.k_proj	4096	1024	16	0	True	2.0	2.0	81920	0	0.0	0.009680376122994667	0.0	0.0	[0.023281408473849297,0.019826291128993034,0.015717308968305588,0.013095569796860218,0.012267124839127064,0.011100121773779392,0.0103001082316041,0.010106807574629784,0.009701118804514408,0.009350025095045567,0.009224003180861473,0.008568736724555492,0.008129638619720936,0.007945907302200794,0.007652785629034042,0.00752940122038126]	[]
Qwen3-8B	magicoder	42	para_e90	0.9	base_model.model.model.layers.0.self_attn.o_proj	4096	4096	16	1	False	2.0	2.0	131072	8192	0.0625	0.05064735046437531	0.024728805052988356	0.0	[0.07862697541713715,0.048200011253356934,0.03785160183906555,0.02738460712134838,0.017481356859207153,0.01588742621243,0.014505402185022831,0.01386120356619358,0.013305449858307838,0.01261178869754076,0.012075112201273441,0.01158637460321188,0.01085108332335949,0.009854771196842194,0.00963480956852436,0.009452528320252895]	[0.07862697541713715]
Qwen3-8B	magicoder	42	para_e90	0.9	base_model.model.model.layers.0.self_attn.q_proj	4096	4096	16	1	False	2.0	2.0	131072	8192	0.0625	0.04938109975167154	0.02656178750450877	0.0	[0.08148893713951111,0.04020700231194496,0.026154063642024994,0.01915048435330391,0.018943216651678085,0.01850920543074608,0.017639407888054848,0.017341485247015953,0.016201229766011238,0.015946175903081894,0.01530249509960413,0.015105904079973698,0.01441199705004692,0.013961576856672764,0.013411304913461208,0.012748627923429012]	[0.08148893713951111]
Qwen3-8B	magicoder	42	para_e90	0.9	base_model.model.model.layers.0.self_attn.v_proj	4096	1024	16	0	True	2.0	2.0	81920	0	0.0	0.010396543014506546	0.0	0.0	[0.03477830812335014,0.02671969309449196,0.01545923762023449,0.0086384117603302,0.008045106194913387,0.006898066494613886,0.006251303944736719,0.005821384023874998,0.005507037974894047,0.005307743791490793,0.005176599603146315,0.004873985890299082,0.004515758249908686,0.004199496004730463,0.00410918053239584,0.0035794898867607117]	[]
Qwen3-8B	magicoder	42	para_e90	0.9	base_model.model.model.layers.1.mlp.down_proj	12288	4096	16	1	False	2.0	2.0	262144	16384	0.0625	0.33659515369679827	0.3165548618255798	0.0	[0.28131604194641113,0.041091371327638626,0.03126285970211029,0.023195838555693626,0.018363533541560173,0.016308611258864403,0.0144877340644598,0.013207207433879375,0.012765800580382347,0.011769202537834644,0.010808473452925682,0.01028507575392723,0.009776660241186619,0.00925628561526537,0.008319401182234287,0.006639570463448763]	[0.28131604194641113]
Qwen3-8B	magicoder	42	para_e90	0.9	base_model.model.model.layers.1.mlp.gate_proj	4096	12288	16	1	False	2.0	2.0	262144	16384	0.0625	0.24650131206305922	0.23535419368363364	0.0	[0.24256658554077148,0.03243594244122505,0.02583412639796734,0.016176894307136536,0.013689352199435234,0.011345787905156612,0.010982313193380833,0.008929128758609295,0.008265749551355839,0.0070854052901268005,0.006551702041178942,0.0062124477699398994,0.005637731868773699,0.004918128717690706,0.004266129340976477,0.0038616920355707407]	[0.24256658554077148]
Qwen3-8B	magicoder	42	para_e90	0.9	base_model.model.model.layers.1.mlp.up_proj	4096	12288	16	1	False	2.0	2.0	262144	16384	0.0625	0.2841825463063198	0.2588643692470214	0.0	[0.2543935775756836,0.05693690478801727,0.03579308092594147,0.02723519876599312,0.01802298054099083,0.013533517718315125,0.012523449026048183,0.01143274549394846,0.008506019599735737,0.007214927114546299,0.0062439520843327045,0.005575122777372599,0.005434674676507711,0.0041452860459685326,0.004071353003382683,0.0033959674183279276]	[0.2543935775756836]
Qwen3-8B	magicoder	42	para_e90	0.9	base_model.model.model.layers.1.self_attn.k_proj	4096	1024	16	1	False	2.0	2.0	81920	5120	0.0625	0.05019947194301343	0.044075448617030055	0.0	[0.1049707680940628,0.02277153544127941,0.015583924017846584,0.011576522141695023,0.009866489097476006,0.009656261652708054,0.008205459453165531,0.007749185897409916,0.007654338143765926,0.007247610483318567,0.006816621869802475,0.006591864861547947,0.0058227842673659325,0.005775366444140673,0.00510102603584528,0.004827225115150213]	[0.1049707680940628]
Qwen3-8B	magicoder	42	para_e90	0.9	base_model.model.model.layers.1.self_attn.o_proj	4096	4096	16	1	False	2.0	2.0	131072	8192	0.0625	0.16319663193319134	0.1478692861302342	0.0	[0.19226887822151184,0.03376486524939537,0.022295987233519554,0.02155417390167713,0.01854594238102436,0.015848644077777863,0.014808202162384987,0.012642009183764458,0.011521970853209496,0.01091564167290926,0.01054968498647213,0.009611749090254307,0.009226314723491669,0.00881300400942564,0.008439564146101475,0.008138386532664299]	[0.19226887822151184]
