base	train_task	seed	method	target	target_gain	base_off	off_score	off_gain_lora	off_gain_hns	forgetting_gap
Qwen3-8B	magicoder	42	original_lora	65.2439024390244	0.0	79.36919310065531	77.79784283010967	0.0	-3.5353319509949777	1.9004202758208966
Qwen3-8B	magicoder	42	flat_fro	76.82926829268293	11.58536585365853	79.36919310065531	81.35098514114459	3.553142311034918	0.01781036003994056	0
Qwen3-8B	magicoder	42	flat_nuclear	75.60975609756098	10.36585365853658	79.36919310065531	81.0020964675649	3.204253637455224	-0.3310783135397533	0
Qwen3-8B	magicoder	42	dg_hard	65.2439024390244	0.0	79.36919310065531	77.79784283010967	0.0	-3.5353319509949777	1.9004202758208966
Qwen3-8B	magicoder	42	hns_f4_s1	75.0	9.756097560975604	79.36919310065531	81.33317478110466	3.5353319509949777	0.0	0
Qwen3-8B	magicoder	43	original_lora	62.80487804878049	0.0	79.36919310065531	77.75939775549443	0.0	-3.43196098036978	1.985624576956435
Qwen3-8B	magicoder	43	flat_fro	76.21951219512195	13.414634146341463	79.36919310065531	80.82141242473925	3.0620146692448222	-0.36994631112495807	0
Qwen3-8B	magicoder	43	flat_nuclear	73.17073170731707	10.365853658536587	79.36919310065531	81.02809205899014	3.2686943034957117	-0.16326667687406862	0
Qwen3-8B	magicoder	43	dg_hard	62.80487804878049	0.0	79.36919310065531	77.75939775549443	0.0	-3.43196098036978	1.985624576956435
Qwen3-8B	magicoder	43	hns_f4_s1	74.39024390243902	11.585365853658537	79.36919310065531	81.19135873586421	3.43196098036978	0.0	0
Qwen3-8B	magicoder	44	original_lora	64.63414634146342	0.0	79.36919310065531	78.55305751522032	0.0	-2.704147822366911	1.1105054007101292
Qwen3-8B	magicoder	44	flat_fro	72.5609756097561	7.926829268292678	79.36919310065531	81.02427729495592	2.4712197797356055	-0.23292804263130526	0
Qwen3-8B	magicoder	44	flat_nuclear	74.39024390243902	9.756097560975604	79.36919310065531	80.74528266353049	2.192225148310181	-0.5119226740567294	0
Qwen3-8B	magicoder	44	dg_hard	64.63414634146342	0.0	79.36919310065531	78.55305751522032	0.0	-2.704147822366911	1.1105054007101292
Qwen3-8B	magicoder	44	hns_f4_s1	74.39024390243902	9.756097560975604	79.36919310065531	81.25720533758722	2.704147822366911	0.0	0
Qwen3-8B	metamath	42	original_lora	84.1546626231994	0.0	72.94140535803187	71.29307699567126	0.0	-3.6273311806650383	1.798836842342548
Qwen3-8B	metamath	42	flat_fro	87.64215314632298	3.487490523123583	72.94140535803187	73.86605391813983	2.572976922468565	-1.0543542581964733	0.2032520325203251
Qwen3-8B	metamath	42	flat_nuclear	88.17285822592874	4.018195602729335	72.94140535803187	75.19983334415933	3.9067563484880687	0.27942516782303056	0
Qwen3-8B	metamath	42	dg_hard	84.1546626231994	0.0	72.94140535803187	71.29307699567126	0.0	-3.6273311806650383	1.798836842342548
Qwen3-8B	metamath	42	hns_f4_s1	88.17285822592874	4.018195602729335	72.94140535803187	74.9204081763363	3.6273311806650383	0.0	0
Qwen3-8B	metamath	43	original_lora	84.00303260045489	0.0	72.94140535803187	69.66560169554636	0.0	-6.984823647586609	3.5232856949641636
Qwen3-8B	metamath	43	flat_fro	87.26307808946171	3.260045489006828	72.94140535803187	74.88072379119913	5.215122095652774	-1.769701551933835	0
Qwen3-8B	metamath	43	flat_nuclear	87.03563305534496	3.0326004548900727	72.94140535803187	76.5309523567975	6.865350661251142	-0.11947298633546666	0
Qwen3-8B	metamath	43	dg_hard	84.00303260045489	0.0	72.94140535803187	69.66560169554636	0.0	-6.984823647586609	3.5232856949641636
