cohort	model	split	rows	clusters	normalized_mse	zero_normalized_mse	train_mean_normalized_mse	feature_selection	skill_vs_zero	skill_vs_train_mean	target_gain_rmse	target_gain_r2	target_gain_pearson	forgetting_reduction_rmse	forgetting_reduction_r2	forgetting_reduction_pearson
joint_flat_hns	single	seed	54	18	1.3907422693493707	3.080280441643781	1.5474165768378052	{'base_bilateral_overlap_k16': 1, 'shannon_eff_rank': 2}	0.5485014122262173	0.10124895250159682	2.5312022404681946	0.4374288748668832	0.7412596146780422	2.5590715682292915	-0.38595260628569084	0.08061393092034314
joint_flat_hns	single	base	54	18	13.213080605407304	7.511226968399229	4.875171192349731	{'entropy_gap': 1, 'base_bilateral_overlap_k16': 1}	-0.759110816514607	-1.7102803335689378	7.373845240626065	-3.7743228347750835	-0.856664486498376	2.775786913056005	-0.6306312601722703	0.034729134601176354
joint_flat_hns	single	train_task	54	18	4.588857380844224	7.856768656881061	4.668797815595934	{'head_tail': 1, 'base_right_overlap_k16': 1, 'entropy_gap': 1}	0.4159357897314131	0.017122273850598724	3.579877025948362	-0.1252783456159039	0.2765808485506281	3.0703615401500706	-0.9950902708315461	-0.6480405534857141
joint_flat_hns	shape_plus_strength	seed	54	18	1.3900565313012567	3.080280441643781	1.5474165768378052	{'head_tail+original_head1_retention': 2, 'head_tail+fro_ratio': 1}	0.5487240341793496	0.10169210275497931	2.7724668607242275	0.3250735122223387	0.577874167209697	2.281276040299115	-0.10138509381313043	-0.03335030578532725
joint_flat_hns	shape_plus_strength	base	54	18	8.356468414755685	7.511226968399229	4.875171192349731	{'hill_tail_contrast+fro_ratio': 1, 'erank_attn_mlp_gap+original_head1_retention': 1}	-0.11253040946738846	-0.7140871745937689	7.175695777054927	-3.5211798250878665	-0.5204311406722049	3.6471692638835727	-1.815109902607026	0.03489273127098836
joint_flat_hns	shape_plus_strength	train_task	54	18	7.464880677980525	7.856768656881061	4.668797815595934	{'erank_attn_mlp_gap+original_head1_retention': 1, 'erank_depth_slope+original_head1_retention': 1, 'hill_tail_contrast+fro_ratio': 1}	0.04987902737308114	-0.5988871167315035	4.617901427293825	-0.8724622108461175	-0.1371301979109299	3.809440988114963	-2.0711852735282545	-0.19308167809077392
hns_grid_target	single	seed	162	18	0.8543994729440928	2.7832491803851753	1.1513285574586558	{'base_bilateral_overlap_k16': 1, 'shannon_eff_rank': 2}	0.693020848091707	0.2579012590202565	2.853851951591766	0.2035924666717378	0.6327228583496852			
hns_grid_target	single	base	162	18	10.150010494806818	10.213566115776343	6.779864883113807	{'erank_iqr': 1, 'entropy_gap': 1}	0.006222667014545991	-0.4970815303542149	5.040211634895233	-1.4841054366452902	-0.534931647092572			
hns_grid_target	single	train_task	162	18	4.271015493303829	8.203843694807992	4.232968307612652	{'flatness': 2, 'shannon_eff_rank': 1}	0.47938848517959354	-0.008988299209033102	3.5540574961227045	-0.23515476733457463	0.14820355748162475			
hns_grid_target	shape_plus_strength	seed	162	18	0.6940390314917352	2.7832491803851753	1.1513285574586558	{'erank_attn_mlp_gap+fro_ratio': 1, 'erank_depth_slope+fro_ratio': 2}	0.7506371199593107	0.39718421210388666	2.598160935825464	0.339907835328745	0.663532377308307			
hns_grid_target	shape_plus_strength	base	162	18	9.93234345406573	10.213566115776343	6.779864883113807	{'hill_tail_contrast+fro_ratio': 1, 'erank_depth_slope+original_head1_retention': 1}	0.02753422835107744	-0.4649766072482666	6.608933223628257	-3.271055430624834	-0.645086579489905			
